episode,sim/wall,total steps,steps/sec,score
0,0.1373891413345177,132,1.3738913894797606,"012: 3.9599, 021: 3.9204, 003: 3.8206, 018: 4.0079, 039: -1.7659, 016: -0.5904, 034: 0.4217, 040: 0.9678, 015: -4.3787, 035: -0.6623, 000: 3.8041, 005: -0.0500, 008: 3.9252, 019: 3.9740, 030: 3.9655, 020: 3.8205, 014: 3.8979, 028: 3.8897, 042: 3.5955, 001: -0.6062, 044: 3.8079, 029: 3.7750, 037: 3.5829, 027: 0.0717, 017: -1.6469, 009: -0.5823, 011: 3.9074, 036: 0.9855, 038: 3.3756, 006: 2.6215, 032: -0.5796, 023: 3.2136, 002: 1.5401, 013: -1.6596, 033: 3.4672, 043: -1.0133, 007: 3.1514, 026: 3.8134, 004: 3.9849, 010: 0.9114, 024: 3.6841, 025: 2.4038, 041: -18.4606, 031: 3.8290, 022: 1.0633"
1,0.13323683512522455,110,1.332368324318667,"012: 1.5694, 021: -0.2469, 003: 2.8522, 018: 0.3795, 039: 3.2568, 016: 2.9622, 034: 3.2225, 040: 3.0731, 015: -3.9954, 035: 3.2862, 000: 3.2542, 005: -0.4574, 008: -10.7882, 019: 3.2076, 030: -0.4351, 020: -5.2904, 014: 3.1330, 028: 3.2098, 042: 3.1871, 001: -0.4647, 044: 3.1093, 029: 2.0426, 037: 3.2062, 027: 0.9234, 017: 0.0300, 009: 3.1277, 011: -6.2513, 036: 3.0569, 038: 2.7727, 006: -0.7955, 032: 0.3444, 023: -11.2501, 002: -2.2351, 013: 3.2556, 033: 3.3240, 043: 0.4912, 007: -3.8472, 026: -7.4187, 004: 2.8379, 010: 3.2424, 024: 3.1586, 025: 1.0046, 041: 3.2362, 031: -2.4228, 022: -3.7577"
2,0.13400899153220105,190,1.3400898995476267,"012: 1.0577, 021: 0.3692, 003: 5.6695, 018: 1.1483, 039: 0.5614, 016: 5.5366, 034: 5.7717, 040: -5.6048, 015: 5.4712, 035: 5.1594, 000: -8.3745, 005: 5.6488, 008: -35.6548, 019: 5.6281, 030: 5.5636, 020: 5.0053, 014: -0.0315, 028: 5.5217, 042: 5.1002, 001: 5.6218, 044: 5.7575, 029: 5.7619, 037: 4.2858, 027: 2.0017, 017: -0.7398, 009: -0.8429, 011: 4.0364, 036: 5.6791, 038: 5.6679, 006: -2.4250, 032: 0.6162, 023: 5.5228, 002: 5.5524, 013: -0.5105, 033: 5.6889, 043: 5.3397, 007: 5.6049, 026: -10.7672, 004: -1.6594, 010: -2.2367, 024: 4.8190, 025: 5.7787, 041: 5.7235, 031: 1.6374, 022: 5.6409"
3,0.11723793309643517,215,1.1723793187708644,"012: -0.6368, 021: 6.2175, 003: -0.1216, 018: 6.2948, 039: -2.5263, 016: -8.2000, 034: 3.3683, 040: 6.2008, 015: 5.9109, 035: 6.4665, 000: -1.4623, 005: 0.2932, 008: -6.9017, 019: -7.2305, 030: -2.9383, 020: 6.5353, 014: 3.7911, 028: 6.3725, 042: 6.2833, 001: 5.4121, 044: -3.0859, 029: 6.3857, 037: 2.9748, 027: 6.3754, 017: 3.9875, 009: -29.7777, 011: -2.4417, 036: 6.3487, 038: 6.5442, 006: 6.3487, 032: 6.1524, 023: 6.1808, 002: 6.5151, 013: 6.5127, 033: 2.8710, 043: 6.4601, 007: -15.9144, 026: 6.4184, 004: 6.0376, 010: -2.0456, 024: 6.3788, 025: 5.7936, 041: -0.1634, 031: 5.9004, 022: 6.5485"
4,0.10054023548297056,110,1.0054023329204713,"012: -1.6532, 021: 3.1494, 003: 0.2556, 018: -0.5285, 039: -0.7816, 016: 3.0626, 034: 3.3325, 040: 2.9347, 015: 0.8438, 035: 3.2254, 000: 3.2822, 005: 3.3344, 008: 3.2945, 019: 3.1256, 030: 3.1598, 020: 0.2855, 014: 3.2891, 028: 2.9034, 042: 3.1977, 001: 0.8700, 044: 3.2616, 029: 3.2761, 037: 0.6106, 027: 0.2937, 017: -0.3883, 009: 2.9941, 011: 3.2820, 036: 0.7589, 038: -1.0916, 006: 3.2322, 032: -0.3196, 023: -23.2055, 002: 3.4200, 013: 3.0132, 033: 2.6645, 043: 2.9537, 007: -0.8478, 026: -1.0735, 004: -0.3155, 010: 0.2493, 024: -4.5560, 025: 3.3039, 041: -38.5357, 031: 3.2843, 022: 3.3107"
5,0.08795937695663086,145,0.8795937606612985,"012: 4.1983, 021: 4.1939, 003: 1.5451, 018: 4.0413, 039: 4.2337, 016: -0.8021, 034: 3.2093, 040: -0.7772, 015: 4.1386, 035: 4.1920, 000: 3.6249, 005: -6.7531, 008: 4.2078, 019: 4.0146, 030: 0.4160, 020: -4.6435, 014: -0.2248, 028: 4.2655, 042: -0.9098, 001: 1.2349, 044: 0.7136, 029: 4.3556, 037: 4.3275, 027: 4.2261, 017: 3.8208, 009: 4.2777, 011: 1.5076, 036: -5.3416, 038: 4.3235, 006: 0.4653, 032: 3.7890, 023: -1.9021, 002: -1.5342, 013: 4.1822, 033: 0.8671, 043: -5.2544, 007: 4.1884, 026: 4.4320, 004: 3.1073, 010: -0.4421, 024: 4.1488, 025: 4.1796, 041: 1.8817, 031: -5.0452, 022: 4.3896"
6,0.08788276622243889,189,0.878827654430114,"012: -0.9124, 021: 3.8190, 003: 5.2304, 018: 4.9936, 039: -11.5835, 016: 5.3055, 034: -8.0077, 040: -1.1229, 015: -2.5378, 035: 1.0744, 000: 5.4953, 005: -2.3165, 008: 5.2797, 019: 2.7967, 030: 5.5696, 020: 1.9853, 014: 5.3323, 028: 1.9669, 042: 5.5292, 001: 3.7244, 044: 5.5777, 029: 5.5441, 037: 2.7770, 027: 5.0663, 017: 0.1495, 009: 3.0599, 011: 5.4125, 036: 5.5486, 038: 2.8043, 006: 5.3460, 032: 5.2318, 023: 5.0588, 002: -0.2287, 013: 5.5925, 033: 4.3036, 043: 5.2064, 007: 5.1398, 026: 5.5368, 004: 5.5658, 010: 5.0945, 024: 2.2713, 025: -29.4293, 041: 5.4394, 031: -0.2286, 022: 5.1806"
7,0.09020779937820268,185,0.9020779864410378,"012: 5.1644, 021: 5.2667, 003: 4.9258, 018: 5.2883, 039: 5.5200, 016: -3.7690, 034: 5.4035, 040: 5.1774, 015: 5.4437, 035: 5.0308, 000: 0.7246, 005: -0.6080, 008: -1.4160, 019: 5.5388, 030: 3.9812, 020: 5.4130, 014: 4.9802, 028: 4.6341, 042: 5.0186, 001: 5.3104, 044: -4.9347, 029: 1.1879, 037: -0.9750, 027: 2.1317, 017: 5.4601, 009: 1.4905, 011: -1.0371, 036: 5.3785, 038: 5.2200, 006: -2.0065, 032: -1.1141, 023: 4.1118, 002: 3.7819, 013: 2.4269, 033: 4.6675, 043: 3.2688, 007: 5.3902, 026: 5.0473, 004: 5.1935, 010: 5.4124, 024: 4.3237, 025: -4.7631, 041: 0.3154, 031: 5.2630, 022: -0.7812"
8,0.08850478887469448,139,0.8850478766548557,"012: 2.2709, 021: 4.1233, 003: 4.2697, 018: 4.2378, 039: 3.4230, 016: -1.9529, 034: 0.2143, 040: 4.2017, 015: 4.1752, 035: 1.9069, 000: -25.3056, 005: -8.9444, 008: 3.2802, 019: 0.2749, 030: 1.4864, 020: 3.1855, 014: 2.1874, 028: 4.0350, 042: 4.0502, 001: 2.1000, 044: 4.1205, 029: 0.8056, 037: 4.0249, 027: 3.9789, 017: 3.5859, 009: 4.0969, 011: 4.1800, 036: 3.9900, 038: 4.0923, 006: -0.7785, 032: -0.8191, 023: 2.3751, 002: 4.1537, 013: 1.0556, 033: 4.1881, 043: 0.2317, 007: 3.6118, 026: -10.7544, 004: 3.9127, 010: 3.9893, 024: 3.9486, 025: 4.1886, 041: 4.1427, 031: -0.4159, 022: -1.6958"
9,0.08328220640889443,123,0.8328220560223414,"012: 0.0361, 021: 3.4363, 003: 3.6511, 018: -5.0435, 039: 2.2392, 016: 3.5785, 034: 3.4656, 040: -8.2244, 015: 3.5190, 035: 1.4922, 000: -0.8492, 005: 3.4843, 008: 3.1379, 019: -1.4252, 030: 3.6080, 020: 3.5502, 014: 3.3067, 028: 3.8188, 042: 1.5519, 001: -4.0152, 044: 3.4770, 029: 1.8142, 037: 3.2438, 027: 3.6215, 017: 3.6432, 009: 3.6822, 011: -0.9327, 036: 3.6342, 038: 2.7228, 006: -4.2641, 032: 1.6005, 023: -8.2729, 002: 2.1451, 013: 3.4736, 033: -0.9595, 043: -4.1375, 007: 3.6726, 026: 3.0767, 004: 3.5265, 010: 3.5715, 024: 0.1512, 025: 3.5008, 041: 3.5797, 031: 3.3767, 022: 0.1570"
