episode,sim/wall,total steps,steps/sec,score
0,0.18432952606179384,295,1.8432952441416595,"021: 8.2228, 008: 8.2866, 024: 8.4952, 016: -28.4980, 004: 8.7176, 011: 7.3156, 014: 8.1126, 006: 8.4434, 001: 8.8585, 028: 6.8355, 003: 7.6409, 025: 0.2425, 022: 4.6412, 015: -2.0686, 017: -1.6432, 018: 8.3483, 012: 8.5946, 029: 8.2388, 026: 2.6685, 000: 0.2034, 005: 0.7930, 019: 7.8644, 027: 8.4710, 013: -17.5870, 020: 8.6291, 007: 8.3365, 002: -2.1018, 010: 8.9395, 023: -0.5491, 009: 8.6346"
1,0.190790029832139,177,1.9079002590959198,"021: 5.1497, 008: 1.0829, 024: -0.3296, 016: 5.0761, 004: -5.6859, 011: 2.2295, 014: 4.8933, 006: 5.2236, 001: -0.8315, 028: -0.3470, 003: 1.0518, 025: -5.9652, 022: -10.7576, 015: 4.6864, 017: 5.1404, 018: -1.5289, 012: 5.0670, 029: 5.3459, 026: 4.7520, 000: -66.2311, 005: -0.2418, 019: 5.1547, 027: 4.7005, 013: 4.7946, 020: 3.0429, 007: 5.0873, 002: 4.5612, 010: 4.8952, 023: 5.1977, 009: 5.0409"
2,0.15491850227952425,122,1.5491849899641845,"021: 3.5682, 008: -1.8463, 024: 3.5812, 016: 3.6215, 004: 1.3375, 011: 3.5203, 014: 3.5720, 006: -0.9712, 001: -1.9551, 028: 3.4507, 003: -7.4185, 025: 3.4983, 022: -0.6796, 015: 3.3424, 017: 3.6646, 018: 3.5247, 012: 3.3969, 029: -1.4909, 026: -6.6299, 000: 3.5687, 005: 3.5928, 019: 3.5707, 027: 0.1579, 013: 3.3224, 020: -0.2560, 007: -0.9838, 002: 1.8329, 010: 3.6232, 023: -4.0095, 009: 1.0427"
3,0.14232544036676864,154,1.4232543817152623,"021: -2.9828, 008: -0.7397, 024: 4.0666, 016: 4.3313, 004: -0.7322, 011: 4.0934, 014: 0.6172, 006: 2.0677, 001: -4.7457, 028: 4.5524, 003: 4.5939, 025: 4.5948, 022: 4.3442, 015: 4.5476, 017: -0.7490, 018: 2.3313, 012: -0.6118, 029: 4.6867, 026: -11.1900, 000: 4.4416, 005: 4.6444, 019: 4.7224, 027: 2.9522, 013: -7.3920, 020: 4.0440, 007: 4.0664, 002: 4.5685, 010: -1.5137, 023: 4.5660, 009: -0.8366"
4,0.1372139829100203,380,1.3721398208312356,"021: -6.2438, 008: 11.0721, 024: 11.2915, 016: 11.0192, 004: -4.1112, 011: 9.1731, 014: -0.8203, 006: 9.1800, 001: -0.6086, 028: 10.6877, 003: 11.0918, 025: 9.5592, 022: 10.7777, 015: -0.5909, 017: 10.3206, 018: 11.1634, 012: 1.2242, 029: -6.9038, 026: -16.1986, 000: 10.7629, 005: -1.6507, 019: 10.8654, 027: 10.1380, 013: -1.2637, 020: 10.9919, 007: 10.5339, 002: 11.0925, 010: 10.7702, 023: 11.0210, 009: 10.8001"
5,0.12843579044005987,270,1.28435789274758,"021: 7.8572, 008: -7.7933, 024: 7.6346, 016: 0.2694, 004: -4.7607, 011: 1.4389, 014: 8.1426, 006: 8.2675, 001: 7.4799, 028: 3.7384, 003: 7.4988, 025: -2.0392, 022: 7.3280, 015: 2.1469, 017: 8.0639, 018: -3.1031, 012: 7.8874, 029: 7.5548, 026: -19.1055, 000: 3.2655, 005: 7.8065, 019: 7.7742, 027: 8.2087, 013: 0.4097, 020: 7.3693, 007: -11.0493, 002: 7.9878, 010: 3.6212, 023: 0.2711, 009: 7.9778"
6,0.12508671210503172,124,1.2508670969828304,"021: 3.5170, 008: -11.8025, 024: 0.1988, 016: -0.1744, 004: 3.6560, 011: -0.4321, 014: 3.6277, 006: 3.7873, 001: -0.0213, 028: -37.8207, 003: -0.8521, 025: 3.5664, 022: -1.4242, 015: 0.8945, 017: 2.0433, 018: 3.6112, 012: 3.6359, 029: 0.2576, 026: 3.6571, 000: -47.7739, 005: 3.4174, 019: -2.7822, 027: 3.7423, 013: -3.9032, 020: -4.5147, 007: 3.8356, 002: 3.7689, 010: 3.7513, 023: -0.1721, 009: 3.1583"
7,0.13082369145823686,267,1.3082369008278896,"021: -0.3700, 008: 1.5300, 024: -0.8484, 016: -0.2736, 004: 7.8765, 011: 7.9511, 014: 7.8373, 006: 7.4015, 001: -0.7886, 028: 7.1298, 003: -186.7620, 025: 7.7740, 022: 7.8742, 015: -7.2865, 017: 3.5532, 018: -0.3767, 012: 7.5807, 029: 7.5919, 026: 2.0897, 000: 7.6450, 005: 7.9060, 019: 1.4595, 027: 7.5881, 013: 2.3847, 020: -3.0049, 007: 7.7577, 002: 7.7852, 010: -18.0441, 023: -7.7908, 009: 7.2853"
8,0.11420259880572453,168,1.1420259676973534,"021: 4.8876, 008: 1.6103, 024: 4.7576, 016: -0.7786, 004: 4.7498, 011: 4.9263, 014: 4.7794, 006: -0.4976, 001: 1.7635, 028: 4.8283, 003: 4.8927, 025: -2.9220, 022: 4.8472, 015: 4.9559, 017: 1.7896, 018: 4.9118, 012: 4.7584, 029: 0.7798, 026: 4.7564, 000: 4.8966, 005: 4.8127, 019: -10.7129, 027: 1.5025, 013: 4.8205, 020: -2.8454, 007: -2.6756, 002: 5.0819, 010: 4.8831, 023: -3.8535, 009: -1.8198"
9,0.12232181418728717,213,1.2232181284743062,"021: -0.2839, 008: 6.0859, 024: 5.9559, 016: 6.1442, 004: 1.9081, 011: 5.7883, 014: 0.1907, 006: -1.0223, 001: 6.3529, 028: 5.9660, 003: 2.0104, 025: -10.4726, 022: -23.4743, 015: 5.8499, 017: -11.2713, 018: 3.1211, 012: -2.5232, 029: 6.1489, 026: 6.0068, 000: 5.9607, 005: -14.5564, 019: 5.5115, 027: 6.1982, 013: 6.0356, 020: -0.1200, 007: 5.5038, 002: -2.7612, 010: 6.4706, 023: 6.3419, 009: -0.9111"
10,0.1260094967822339,284,1.2600949598243727,"021: 8.1670, 008: -5.9562, 024: -0.2872, 016: 2.8145, 004: 6.9509, 011: 2.1245, 014: 7.0995, 006: 8.3430, 001: 0.5429, 028: 8.3145, 003: 8.4568, 025: 7.6429, 022: 8.2375, 015: 8.4062, 017: 8.3286, 018: -0.2339, 012: -6.0124, 029: 8.3963, 026: 8.2483, 000: 8.2607, 005: -2.1934, 019: -2.1405, 027: 3.9395, 013: 5.0785, 020: 4.0099, 007: 8.0612, 002: 8.4502, 010: 8.1290, 023: 8.3993, 009: 8.1435"
11,0.13026276934639353,161,1.3026276783872426,"021: 4.8105, 008: -0.0167, 024: -0.0450, 016: -12.9644, 004: -0.0918, 011: 4.7157, 014: 1.5752, 006: 4.5456, 001: -0.2370, 028: 4.6909, 003: 1.4550, 025: -0.0009, 022: -1.2986, 015: 4.6724, 017: 4.8481, 018: 4.5318, 012: 4.6740, 029: -0.0580, 026: 0.3562, 000: 4.8714, 005: 4.2093, 019: 2.0687, 027: 4.6198, 013: 0.3112, 020: -2.2788, 007: 4.7965, 002: 4.8362, 010: 4.4637, 023: 4.8298, 009: 4.7571"
MEAN,0.14056002954793448,217.91666666666666,1.4056002767241533,n/a
