episode,sim/wall,total steps,steps/sec,score
0,0.20210465256664487,126,2.0210464870215503,"014: 3.8912, 012: 3.7309, 025: -0.7626, 020: 3.6614, 001: 3.7757, 002: -3.7523, 005: -3.0755, 007: 3.3476, 024: 3.4794, 010: 3.7054, 015: -1.1020, 018: 3.7161, 011: 3.6455, 003: 3.5933, 016: 0.4120, 023: 3.1975, 008: -1.2315, 019: 3.7223, 028: -2.1184, 004: 3.8050, 029: 3.4430, 026: 3.6902, 000: -0.7511, 022: 3.6604, 017: -1.6434, 013: -2.7092, 027: -1.7813, 006: 3.1394, 021: -7.2461, 009: 0.4160"
1,0.2049714716877261,216,2.049714689052949,"014: 6.3452, 012: 2.7773, 025: -6.0794, 001: -0.8502, 020: 2.2966, 002: 5.8060, 005: -0.2280, 007: 4.6416, 024: 6.2939, 010: 6.2318, 015: 5.7564, 018: -1.5260, 011: 3.1560, 003: 0.6769, 023: 6.4216, 016: 6.3562, 008: -9.9248, 019: 6.4260, 028: 6.5109, 004: 1.3591, 029: 6.3410, 026: -8.9354, 000: 6.1971, 022: -10.8013, 017: 3.4936, 013: 5.7302, 027: 6.4117, 006: -3.7594, 021: 5.7011, 009: 6.0212"
2,0.19663474416865767,150,1.966347410958219,"014: 4.4220, 012: 4.3890, 025: 4.6240, 020: 0.2124, 001: 0.6361, 002: -4.6820, 005: 4.2441, 007: 0.1098, 024: 4.5240, 010: 4.3670, 015: 3.7038, 018: 1.0747, 011: 4.3889, 003: -3.8048, 016: 3.3347, 023: -2.9962, 008: -1.0697, 019: 4.4007, 028: 4.3503, 004: -0.1713, 029: -0.2551, 026: 0.7705, 000: 3.2612, 022: 4.4811, 017: 4.4103, 013: 4.5734, 027: 0.6521, 006: -1.0132, 021: 4.3875, 009: -13.7140"
3,0.16472067455101877,164,1.6472067257876646,"014: 0.5979, 012: 0.5952, 025: 4.7619, 001: -5.5626, 020: 4.6047, 002: 4.7524, 005: 4.9852, 007: 4.9083, 024: 4.1511, 010: -0.4405, 015: 3.4129, 018: -1.0887, 011: 4.0883, 003: 4.6412, 023: 4.7328, 016: 4.9081, 008: -2.8190, 019: 4.7838, 028: 4.8670, 004: -1.8130, 029: 4.8388, 026: -10.8099, 000: 4.5481, 022: 4.5012, 017: -0.7178, 013: -17.6821, 027: 3.1933, 006: 2.3014, 021: 4.7004, 009: -0.8487"
4,0.15532460353112082,241,1.5532460209908192,"014: -0.7919, 012: -55.6088, 025: 7.1464, 020: 7.1778, 001: -0.6702, 002: 0.3439, 005: -1.6443, 007: 6.6246, 024: 7.1164, 010: 6.8831, 015: -0.6357, 018: 7.1146, 011: 7.1541, 003: 0.3364, 016: 6.8854, 023: 7.1858, 008: 6.9181, 019: 7.2994, 028: 7.0847, 004: 1.4291, 029: -6.9619, 026: -0.3147, 000: 6.6863, 022: 6.7062, 017: 2.7094, 013: 1.7839, 027: 6.8378, 006: 1.6220, 021: -3.6480, 009: 7.2708"
5,0.1272470904089748,194,1.272470890160357,"014: 5.3140, 012: 5.9557, 025: -2.0612, 001: 2.6521, 020: 5.8755, 002: 5.8130, 005: 5.4028, 007: 3.0482, 024: 5.6720, 010: 5.5962, 015: -3.6179, 018: -3.1079, 011: 3.5340, 003: 5.6163, 023: 0.1929, 016: 0.2071, 008: -1.0347, 019: 5.5480, 028: 3.9156, 004: -6.1000, 029: 5.7704, 026: -51.9484, 000: -4.7568, 022: 5.4030, 017: 5.7496, 013: -1.9169, 027: 3.8745, 006: 5.6513, 021: 3.9036, 009: 5.6789"
6,0.1367723956309702,130,1.3677239322941994,"014: -0.6499, 012: 3.9299, 025: 3.8583, 020: -4.5085, 001: -0.7246, 002: 3.7507, 005: 2.3925, 007: 3.8521, 024: 3.4881, 010: 3.9537, 015: 1.8931, 018: 3.7772, 011: 0.6198, 003: -0.8484, 016: 3.7618, 023: 3.7431, 008: -18.8680, 019: -0.5818, 028: -0.3906, 004: 3.8317, 029: 3.5058, 026: -0.9387, 000: -14.2858, 022: -1.4285, 017: 3.8375, 013: -17.7582, 027: 3.8365, 006: 3.8836, 021: 4.0602, 009: 3.5864"
7,0.12912816754662668,209,1.291281662151492,"014: 6.3116, 012: 6.0886, 025: 5.9359, 001: -0.7872, 020: 3.4674, 002: 6.1702, 005: 5.7673, 007: 6.1038, 024: 0.8982, 010: 3.9710, 015: -7.3384, 018: 0.5791, 011: 6.1655, 003: 6.0839, 023: 5.7059, 016: -0.2533, 008: 3.1220, 019: 1.5930, 028: 5.3480, 004: 6.0637, 029: 6.2542, 026: -15.6601, 000: -2.7853, 022: 6.0374, 017: 0.4020, 013: 2.3350, 027: 6.0621, 006: 6.2639, 021: 0.5831, 009: 5.5919"
8,0.12966747101585252,186,1.2966746929168598,"014: 5.2306, 012: -0.4558, 025: -2.8889, 020: -4.9784, 001: 4.6953, 002: 5.5484, 005: 5.5522, 007: -8.8216, 024: 5.3847, 010: -0.4481, 015: 5.5085, 018: 0.9670, 011: 5.6648, 003: 5.5437, 016: -0.7786, 023: 0.6473, 008: 5.1246, 019: -0.4376, 028: -1.2255, 004: 5.4290, 029: 5.3503, 026: 5.3872, 000: 5.5359, 022: 5.3979, 017: -14.1032, 013: 2.2562, 027: 2.0649, 006: 0.9483, 021: 5.4490, 009: 3.9842"
9,0.13606064764144896,178,1.3606064615367686,"014: 0.1517, 012: -2.5206, 025: 1.5552, 001: 5.0698, 020: 4.8486, 002: -8.4329, 005: -2.8895, 007: 4.5514, 024: 4.9718, 010: 5.3223, 015: 4.4973, 018: 4.8112, 011: 4.8107, 003: 1.2651, 023: 5.4767, 016: -2.6984, 008: 5.3191, 019: 4.8419, 028: 0.7046, 004: 1.0990, 029: 4.7659, 026: 5.1535, 000: 2.4892, 022: -0.4609, 017: 1.9096, 013: 5.2422, 027: 5.2969, 006: 5.1690, 021: 0.1183, 009: -0.9065"
