episode,sim/wall,total steps,steps/sec,score
0,0.5001795501320274,1000,5.00179547746129,"004: 27.0114, 003: 6.3012, 001: 14.6439, 013: -1.6776, 012: 5.0984, 010: -58.4644, 002: -0.1090, 000: 6.1709, 005: -2.1543, 009: 27.0166, 006: 18.0360, 014: 10.3739, 007: 6.1339, 008: 4.8846, 011: 20.3668"
1,0.6886143375724599,815,6.886143306365314,"004: 12.9771, 003: 14.3215, 001: 16.9365, 013: -3.7622, 012: -15.7264, 010: 14.1968, 002: -0.8794, 000: -3.6095, 005: -0.3366, 009: 0.4669, 006: 0.7257, 014: -1.7637, 007: -0.7307, 008: 5.8628, 011: 3.2945"
2,0.8303704991323346,1000,8.303704892687412,"004: 5.3190, 003: 7.1420, 001: 1.4088, 013: 27.3964, 012: 3.7116, 010: 3.7055, 002: -0.1962, 000: -6.2430, 005: 2.6458, 009: 2.2638, 006: 15.2069, 014: 2.7780, 007: -9.6352, 008: 0.4374, 011: 14.6779"
3,0.663717308492175,1000,6.637173021904764,"004: -3.1984, 003: -0.0695, 001: 2.4939, 013: 5.0931, 012: -4.0016, 010: 10.1659, 002: 4.8618, 000: 25.2660, 005: -10.6953, 009: 0.5707, 006: 4.1199, 014: -0.2167, 007: 5.4876, 008: -6.2708, 011: 27.2119"
4,0.45129770184479745,1000,4.5129769893128024,"004: -0.9721, 003: -0.8586, 001: -8.9168, 013: 3.7196, 012: 3.0235, 010: 12.3087, 002: 27.7765, 000: 12.1215, 005: -1.4796, 009: 7.7738, 006: 0.9840, 014: 2.3065, 007: 1.0379, 008: 22.5447, 011: 26.3034"
5,0.22746364516258358,1000,2.2746364442244107,"004: 22.0383, 003: -2.0131, 001: -358.3679, 013: -3.5891, 012: 7.1419, 010: 28.4714, 002: -1.3216, 000: 17.1218, 005: -3.2824, 009: 1.8336, 006: -175.2600, 014: 3.4217, 007: 4.1626, 008: 23.4388, 011: 19.1340"
6,0.2812409034985257,1000,2.812409027442032,"004: 2.9211, 003: 19.8785, 001: 1.6103, 013: 3.4462, 012: 0.5809, 010: 29.4506, 002: 0.0884, 000: 13.5942, 005: 9.5163, 009: 3.8150, 006: -6.4587, 014: 16.5965, 007: -0.8381, 008: -1.9670, 011: -43.1697"
7,0.2210249777131252,1000,2.210249770142912,"004: 0.7815, 003: 10.5661, 001: -3.0302, 013: 2.1134, 012: 2.9926, 010: 30.0213, 002: 2.7246, 005: -1.6281, 000: 0.9645, 009: 1.2416, 006: 13.8873, 014: 2.5322, 007: -0.7141, 008: 12.1537, 011: 11.7034"
8,0.1796977189745643,1000,1.7969771851263396,"004: -0.5118, 003: 7.8672, 001: -7.0221, 013: 23.7626, 012: -0.8204, 010: 17.6407, 002: 10.2798, 000: -2.7508, 005: -1.1811, 009: 20.4752, 006: 18.5296, 014: -10.6747, 007: -620.2424, 008: -12.4492, 011: 1.7608"
9,0.1408557272764964,1000,1.4085572699267812,"004: -2.0388, 003: 6.1513, 001: 14.8915, 013: -7.1621, 012: 11.8296, 010: 30.2413, 002: 0.3751, 000: 14.8700, 005: -2.5791, 009: 14.5535, 006: -7.2141, 014: 20.9689, 007: 6.2724, 008: -375.8564, 011: -107.1314"
10,0.19380145138190386,1000,1.938014510237133,"004: 21.9895, 003: 5.2750, 001: 9.6831, 013: 7.0112, 012: -5.9549, 010: 2.3507, 002: 1.1276, 000: -9.4699, 005: 12.5024, 009: -11.3643, 006: -26.3605, 014: -3.1025, 007: 1.6892, 008: 4.8098, 011: -168.6338"
11,0.14936713329196416,1000,1.4936713307919425,"004: 3.0778, 003: 0.1829, 001: 7.0517, 013: 17.2705, 012: 6.3634, 010: 5.2645, 002: 2.3699, 000: 14.7681, 005: -5.9285, 009: 10.0674, 006: -134.2410, 014: -3.5333, 007: 2.9307, 008: 19.8582, 011: -0.2029"
12,0.15553079215602988,1000,1.5553079186766468,"004: 7.2010, 003: 2.2422, 001: 5.5283, 013: -462.1718, 012: 16.5446, 010: 1.5455, 002: -5.0269, 000: 6.6118, 005: 0.2106, 009: -0.9805, 006: 5.5011, 014: -4.5027, 007: -3.1648, 008: -380.9657, 011: -1.1961"
13,0.1387590828179797,1000,1.3875908258845315,"004: 4.7121, 003: -0.7743, 001: 3.9360, 013: -5.1483, 012: 14.9992, 010: 1.6882, 002: 15.2117, 000: 3.9620, 005: -1.6433, 009: -10.8124, 006: 4.1342, 014: 11.6513, 007: 1.7831, 008: 6.1954, 011: -267.5112"
