,mem_usage,step,replay_usage
0,100,882495488,876480
1,200,883986432,1577280
2,300,884924416,2278080
3,400,885833728,2978880
4,500,886706176,3679680
5,600,886706176,4380480
6,700,887140352,5004192
7,800,887664640,5529792
8,900,888188928,6055392
9,1000,897617920,6584496
10,1100,941883392,7383408
11,1200,928649216,7917768
12,1300,929173504,8354016
13,1400,929435648,8623824
14,1500,929697792,8799024
15,1600,929959936,8974224
16,1700,930222080,9149424
17,1800,930222080,9324624
18,1900,930484224,9499824
19,2000,931328000,9689168
20,2100,931328000,10346928
21,2200,931328000,10848000
22,2300,931479552,11198400
23,2400,931479552,11499744
24,2500,917934080,11773056
25,2600,917934080,12435312
26,2700,917934080,12925872
27,2800,926560256,13197432
28,2900,927080448,13795216
29,3000,984080384,14320816
30,3100,985649152,14695744
31,3200,985649152,15046144
32,3300,985649152,15358000
33,3400,985649152,15533200
34,3500,985649152,15708400
35,3600,985649152,15883600
36,3700,985649152,16058800
37,3800,998916096,16332112
38,3900,1094115328,17164648
39,4000,1077719040,17781472
40,4100,1078243328,18131872
41,4200,1078767616,18482272
42,4300,1079029760,18832672
43,4400,1079554048,19183072
44,4500,1079816192,19388056
45,4600,1072476160,19563256
46,4700,1072476160,19738456
47,4800,1031737344,20412976
48,4900,1032208384,20938576
49,5000,1028321280,21464176
50,5100,1020612608,21931960
51,5200,1020481536,22282360
52,5300,1020481536,22632760
53,5400,1020481536,22983160
54,5500,1020481536,23333560
55,5600,1020481536,23683960
56,5700,1020481536,24034360
57,5800,1061093376,24758320
58,5900,1055850496,25283920
59,6000,1055850496,25634320
60,6100,1055850496,25984720
61,6200,1055850496,26335120
62,6300,1055850496,26685520
63,6400,1055850496,27035920
64,6500,1055850496,27386320
65,6600,1055850496,27736720
66,6700,1055850496,28087120
67,6800,1090572288,28844880
68,6900,1090572288,29545680
69,7000,1090842624,30247040
70,7100,1090842624,30952072
71,7200,1090842624,31657576
72,7300,1091260416,32358376
73,7400,1091780608,33059176
74,7500,1092304896,33759976
75,7600,1093095424,34460776
76,7700,1093615616,35161576
77,7800,1093595136,36001296
78,7900,1094381568,36702096
79,8000,1095430144,37402896
80,8100,1096216576,38103696
81,8200,1089888256,38804496
82,8300,1089888256,39505296
83,8400,1089888256,40206096
