,mem_usage,step,replay_usage
0,10,1029693440,3950096
1,20,1029697536,7900096
2,30,1030033408,11850096
3,40,1030033408,15800096
4,50,1030033408,19750096
5,60,1030123520,23700096
6,70,953384960,27650096
7,80,953384960,31600096
8,90,953450496,35550096
9,100,953450496,39500096
10,110,953450496,43450096
11,120,953450496,47400096
12,130,953450496,51350096
13,140,953450496,55300096
14,150,953450496,59250096
15,160,953450496,63200096
16,170,953450496,67150096
17,180,953450496,71100096
18,190,953450496,75050096
19,200,953450496,79000096
20,210,1158701056,82950096
21,220,1158660096,86900096
22,230,1107619840,90850096
23,240,1133244416,94800096
24,250,1158963200,98750096
25,260,1184595968,102700096
26,270,1186447360,106650096
27,280,1186656256,110600096
28,290,1212276736,114550096
29,300,1212776448,118500096
30,310,1213022208,122450096
31,320,1213050880,126400096
32,330,1238691840,130350096
33,340,1238614016,134300096
34,350,1238810624,138250096
35,360,1187557376,142200096
36,370,1187557376,146150096
37,380,1187622912,150100096
38,390,1187622912,154050096
39,400,1187700736,158000096
40,410,1187700736,161950096
41,420,1187700736,165900096
42,430,1187770368,169850096
43,440,1187770368,173800096
44,450,1187770368,177750096
45,460,1187852288,181700096
46,470,1187852288,185650096
47,480,1187930112,189600096
48,490,1187930112,193550096
49,500,1187930112,197500096
50,510,1187999744,201450096
51,520,1188012032,205400096
52,530,1188012032,209350096
53,540,1188012032,213300096
54,550,1188085760,217250096
55,560,1188085760,221200096
56,570,1188085760,225150096
57,580,1188159488,229100096
58,590,1188159488,233050096
59,600,1188159488,237000096
60,610,1188225024,240950096
61,620,1188225024,244900096
62,630,1188274176,248850096
63,640,1188274176,252800096
64,650,1188274176,256750096
65,660,1265086464,260700096
66,670,1265319936,264650096
67,680,1316708352,268600096
68,690,1316708352,272550096
69,700,1316708352,276500096
70,710,1316802560,280450096
71,720,1316802560,284400096
72,730,1316851712,288350096
73,740,1316868096,292300096
74,750,1316868096,296250096
75,760,1326034944,300200096
76,770,1326034944,304150096
77,780,1326034944,308100096
78,790,1326034944,312050096
79,800,1326034944,316000096
80,810,1326034944,319950096
81,820,1326260224,323900096
82,830,1326260224,327850096
83,840,1326260224,331800096
84,850,1326260224,335750096
85,860,1326260224,339700096
86,870,1326260224,343650096
87,880,1326260224,347600096
88,890,1326260224,351550096
89,900,1326260224,355500096
90,910,1326260224,359450096
91,920,1326260224,363400096
92,930,1326526464,367350096
93,940,1326526464,371300096
94,950,1326526464,375250096
95,960,1326526464,379200096
96,970,1326526464,383150096
97,980,1326526464,387100096
98,990,1326526464,391050096
99,1000,1326526464,395000096
100,1010,1326526464,398950096
101,1020,1326526464,402900096
102,1030,1326526464,406850096
103,1040,1326526464,410800096
104,1050,1454936064,414750096
105,1060,1454936064,418700096
106,1070,1352105984,422650096
107,1080,1352105984,426600096
108,1090,1352105984,430550096
109,1100,1352105984,434500096
110,1110,1352376320,438450096
111,1120,1352376320,442400096
112,1130,1352376320,446350096
113,1140,1352376320,450300096
114,1150,1352376320,454250096
115,1160,1352376320,458200096
116,1170,1352376320,462150096
117,1180,1506734080,466100096
118,1190,1558097920,470050096
119,1200,1558097920,474000096
120,1210,1583890432,477950096
121,1220,1583890432,481900096
122,1230,1532702720,485850096
123,1240,1583792128,489800096
124,1250,1635155968,493750096
125,1260,1609584640,497700096
126,1270,1560563712,501650096
127,1280,1586458624,505600096
128,1290,1586458624,509550096
129,1300,1586458624,513500096
130,1310,1637818368,517450096
131,1320,1509584896,521400096
132,1330,1534992384,525350096
133,1340,1534992384,529300096
134,1350,1534992384,533250096
135,1360,1535262720,537200096
136,1370,1535262720,541150096
137,1380,1535262720,545100096
138,1390,1535336448,549050096
139,1400,1535336448,553000096
140,1410,1535336448,556950096
141,1420,1535336448,560900096
142,1430,1535336448,564850096
143,1440,1535336448,568800096
144,1450,1535336448,572750096
145,1460,1535336448,576700096
146,1470,1663741952,580650096
147,1480,1664012288,584600096
148,1490,1612787712,588550096
149,1500,1664057344,592500096
150,1510,1664057344,596450096
151,1520,1741099008,600400096
152,1530,1741099008,604350096
153,1540,1741099008,608300096
154,1550,1612902400,612250096
155,1560,1612902400,616200096
156,1570,1612902400,620150096
157,1580,1652908032,624100096
158,1590,1576177664,628050096
159,1600,1576177664,632000096
160,1610,1576177664,635950096
161,1620,1704312832,639900096
162,1630,1704583168,643850096
163,1640,1704583168,647800096
164,1650,1714286592,651750096
165,1660,1714286592,655700096
166,1670,1714286592,659650096
167,1680,1714286592,663600096
168,1690,1715363840,667550096
169,1700,1715363840,671500096
170,1710,1715363840,675450096
171,1720,1715363840,679400096
172,1730,1715363840,683350096
173,1740,1715363840,687300096
174,1750,1715363840,691250096
175,1760,1715466240,695200096
176,1770,1715466240,699150096
177,1780,1715466240,703100096
178,1790,1715466240,707050096
179,1800,1715466240,711000096
180,1810,1715466240,714950096
181,1820,1705775104,718900096
182,1830,1705775104,722850096
183,1840,1705775104,726800096
184,1850,1705775104,730750096
185,1860,1705775104,734700096
186,1870,1705775104,738650096
187,1880,1705775104,742600096
188,1890,1705775104,746550096
189,1900,1705775104,750500096
190,1910,1705775104,754450096
191,1920,1705775104,758400096
192,1930,1705775104,762350096
193,1940,1705775104,766300096
194,1950,1705775104,770250096
195,1960,1705775104,774200096
196,1970,1705775104,778150096
197,1980,1705775104,782100096
198,1990,1680224256,786050096
199,2000,1680224256,790000096
200,2010,1680224256,793950096
201,2020,1680224256,797900096
202,2030,1705631744,801850096
203,2040,1680224256,805800096
204,2050,1680224256,809750096
205,2060,1680224256,813700096
206,2070,1680224256,817650096
207,2080,1680224256,821600096
208,2090,1680224256,825550096
209,2100,1680224256,829500096
210,2110,1680224256,833450096
211,2120,1680224256,837400096
212,2130,1680224256,841350096
213,2140,1680224256,845300096
214,2150,1680224256,849250096
215,2160,1680224256,853200096
216,2170,1680224256,857150096
217,2180,1680224256,861100096
218,2190,1680224256,865050096
219,2200,1680224256,869000096
220,2210,1680236544,872950096
221,2220,1680252928,876900096
222,2230,1680277504,880850096
223,2240,1680318464,884800096
224,2250,1757364224,888750096
225,2260,1938489344,892700096
226,2270,1947840512,896650096
227,2280,1947840512,900600096
228,2290,1947840512,904550096
229,2300,1947840512,908500096
230,2310,1947840512,912450096
231,2320,2024882176,916400096
232,2330,1973923840,920350096
233,2340,2024992768,924300096
234,2350,2024992768,928250096
235,2360,2024992768,932200096
236,2370,2025263104,936150096
237,2380,1948336128,940100096
238,2390,1948336128,944050096
239,2400,2050789376,948000096
240,2410,2050789376,951950096
241,2420,1974099968,955900096
242,2430,1974099968,959850096
243,2440,1922715648,963800096
244,2450,2042347520,967750096
245,2460,2119393280,971700096
246,2470,2119393280,975650096
247,2480,2119393280,979600096
248,2490,2171027456,983550096
249,2500,2171068416,987500096
250,2510,2145259520,991450096
251,2520,2119602176,995400096
252,2530,2119602176,999350096
253,2540,2094268416,1003300096
254,2550,2119675904,1007250096
255,2560,2119675904,1011200096
256,2570,2119688192,1015150096
257,2580,2094280704,1019100096
258,2590,2094280704,1023050096
259,2600,2119688192,1027000096
260,2610,2119688192,1030950096
261,2620,2119688192,1034900096
262,2630,2119688192,1038850096
263,2640,2119688192,1042800096
264,2650,2119688192,1046750096
265,2660,2119688192,1050700096
266,2670,2119688192,1054650096
267,2680,2119688192,1058600096
268,2690,2119688192,1062550096
269,2700,2119688192,1066500096
270,2710,2119688192,1070450096
271,2720,2119745536,1074400096
272,2730,2119761920,1078350096
273,2740,2119761920,1082300096
274,2750,2129121280,1086250096
275,2760,2103824384,1090200096
276,2770,2103857152,1094150096
277,2780,2129264640,1098100096
278,2790,2129264640,1102050096
279,2800,2129264640,1106000096
280,2810,2129534976,1109950096
281,2820,2129534976,1113900096
282,2830,2129534976,1117850096
283,2840,2129534976,1121800096
284,2850,2129649664,1125750096
285,2860,2129649664,1129700096
286,2870,2129649664,1133650096
287,2880,2129649664,1137600096
288,2890,2129649664,1141550096
289,2900,2129649664,1145500096
290,2910,2129649664,1149450096
291,2920,2104242176,1153400096
292,2930,2129649664,1157350096
293,2940,2104242176,1161300096
294,2950,2129649664,1165250096
295,2960,2104242176,1169200096
296,2970,2104242176,1173150096
297,2980,2104242176,1177100096
298,2990,2104242176,1181050096
299,3000,2104242176,1185000096
300,3010,2650042368,1188950096
301,3020,2705453056,1192900096
302,3030,2782535680,1196850096
303,3040,2818863104,1200800096
304,3050,2851028992,1204750096
305,3060,2865778688,1208700096
306,3070,2756464640,1212650096
307,3080,2756464640,1216600096
308,3090,2756464640,1220550096
309,3100,2756464640,1224500096
310,3110,2756476928,1228450096
311,3120,2694541312,1232400096
312,3130,2694557696,1236350096
313,3140,2694586368,1240300096
314,3150,2694615040,1244250096
315,3160,2694639616,1248200096
316,3170,2694664192,1252150096
317,3180,2694692864,1256100096
318,3190,2694709248,1260050096
319,3200,2694709248,1264000096
320,3210,2694709248,1267950096
321,3220,2720272384,1271900096
322,3230,2720215040,1275850096
323,3240,2720235520,1279800096
324,3250,2720264192,1283750096
325,3260,2720288768,1287700096
326,3270,2767577088,1291650096
327,3280,2767605760,1295600096
328,3290,2767626240,1299550096
329,3300,2720374784,1303500096
330,3310,2720378880,1307450096
331,3320,2720378880,1311400096
332,3330,2771726336,1315350096
333,3340,2823696384,1319300096
