,mem_usage,step,replay_usage
0,10,1033895936,28896
1,20,1034330112,57696
2,30,984600576,86496
3,40,985116672,115296
4,50,1011093504,144096
5,60,1037496320,172896
6,70,1038004224,201696
7,80,1038553088,230496
8,90,962531328,259296
9,100,911458304,288096
10,110,911945728,316896
11,120,912539648,345696
12,130,913002496,374496
13,140,913588224,403296
14,150,914112512,432096
15,160,914767872,460896
16,170,915357696,489696
17,180,915886080,518496
18,190,916361216,547296
19,200,917078016,576096
20,210,917729280,604896
21,220,918306816,633696
22,230,918757376,662496
23,240,919388160,691296
24,250,919867392,720096
25,260,920682496,748896
26,270,921178112,777696
27,280,921681920,806496
28,290,922435584,835296
29,300,923860992,864096
30,310,924459008,892896
31,320,924946432,921696
32,330,925507584,950496
33,340,926273536,979296
34,350,926818304,1008096
35,360,927297536,1036896
36,370,928034816,1065696
37,380,928632832,1094496
38,390,929148928,1123296
39,400,929685504,1152096
40,410,930488320,1180896
41,420,930959360,1209696
42,430,931696640,1238496
43,440,932298752,1267296
44,450,932847616,1296096
45,460,933634048,1324896
46,470,934158336,1353696
47,480,934649856,1382496
48,490,935469056,1411296
49,500,935948288,1440096
50,510,936763392,1468896
51,520,937304064,1497696
52,530,938090496,1526496
53,540,938614784,1555296
54,550,939401216,1584096
55,560,939859968,1612896
56,570,940580864,1641696
57,580,941318144,1670496
58,590,942006272,1699296
59,600,942546944,1728096
60,610,943333376,1756896
61,620,943857664,1785696
62,630,944623616,1814496
63,640,945156096,1843296
64,650,945954816,1872096
65,660,946700288,1900896
66,670,947220480,1929696
67,680,947937280,1958496
68,690,948547584,1987296
69,700,949325824,2016096
70,710,950149120,2044896
71,720,950673408,2073696
72,730,951402496,2102496
73,740,952205312,2131296
74,750,952770560,2160096
75,760,963813376,2188896
76,770,964354048,2217696
77,780,965038080,2246496
78,790,965824512,2275296
79,800,966615040,2304096
80,810,967135232,2332896
81,820,967663616,2361696
82,830,968450048,2390496
83,840,968974336,2419296
84,850,969756672,2448096
85,860,970547200,2476896
86,870,971071488,2505696
87,880,971853824,2534496
88,890,972640256,2563296
89,900,973438976,2592096
90,910,973955072,2620896
91,920,974741504,2649696
92,930,975527936,2678496
93,940,976322560,2707296
94,950,977100800,2736096
95,960,977620992,2764896
96,970,978407424,2793696
97,980,979197952,2822496
98,990,979980288,2851296
99,1000,980766720,2880096
100,1010,981553152,2908896
101,1020,982077440,2937696
102,1030,982863872,2966496
103,1040,983650304,2995296
104,1050,984457216,3024096
105,1060,985223168,3052896
106,1070,986009600,3081696
107,1080,986796032,3110496
108,1090,987332608,3139296
109,1100,988110848,3168096
110,1110,988905472,3196896
111,1120,989679616,3225696
112,1130,990466048,3254496
113,1140,991256576,3283296
114,1150,992038912,3312096
115,1160,992825344,3340896
116,1170,993611776,3369696
117,1180,994418688,3398496
118,1190,995196928,3427296
119,1200,995971072,3456096
120,1210,997019648,3484896
121,1220,997810176,3513696
122,1230,998592512,3542496
123,1240,999378944,3571296
124,1250,1000177664,3600096
125,1260,1000955904,3628896
126,1270,1001742336,3657696
127,1280,1002524672,3686496
128,1290,1003315200,3715296
129,1300,1004097536,3744096
130,1310,1004888064,3772896
131,1320,1005240320,3801696
132,1330,1005240320,3830496
133,1340,1005240320,3859296
134,1350,1005240320,3888096
135,1360,1005240320,3916896
136,1370,1005240320,3945696
137,1380,1005240320,3974496
138,1390,1005264896,4003296
139,1400,1005948928,4032096
140,1410,1006735360,4060896
141,1420,1007525888,4089696
142,1430,1008287744,4118496
143,1440,1009070080,4147296
144,1450,1009848320,4176096
145,1460,1010667520,4204896
146,1470,1011466240,4233696
