episode,sim/wall,total steps,steps/sec,score
0,0.18628979911894847,250,1.8628979779510015,"027: 3.7029, 004: -0.7048, 043: -0.8087, 015: 1.1979, 025: -1.7321, 032: -0.8149, 040: 0.4266, 046: 4.1098, 042: 0.7516, 010: -0.9121, 011: -0.7935, 028: -0.7902, 030: -0.0802, 008: -6.8220, 005: -0.9828, 013: -2.1486, 016: -0.9419, 031: 3.1967, 034: -0.9748, 002: -0.9361, 019: -1.0211, 024: 0.1909, 039: -1.4448, 026: -0.8227, 012: 1.7165, 033: -0.8000, 038: -1.2156, 037: -1.1445, 007: -0.0502, 018: 0.5999, 029: 0.8881, 000: -0.8337, 003: 0.8314, 047: 4.0672, 001: 4.0433, 006: -0.4932, 045: -0.5067, 020: 2.8072, 044: -0.8133, 021: 1.7796, 049: 3.9583, 022: -2.0034, 048: -0.9928, 041: -0.0160, 036: 2.4080, 009: 4.3253, 014: 3.3610, 017: -0.7724, 023: -0.1028, 035: -0.6535"
1,0.1676944790876856,250,1.6769447774675093,"027: -1.4008, 004: -0.9568, 043: -0.3397, 015: -0.9713, 025: 3.3332, 032: -0.8660, 040: -0.7080, 046: 1.3510, 042: 0.5918, 011: 3.6351, 010: -1.8261, 028: 1.8572, 030: 1.1786, 008: 4.3256, 005: 0.2340, 013: -1.0258, 016: 0.2477, 031: 4.2452, 034: -0.9857, 002: 0.7839, 019: -0.1764, 024: 3.7663, 039: 0.1065, 026: 0.2680, 012: -0.4652, 033: 0.4262, 038: -3.5820, 037: -1.0990, 007: -0.7916, 018: -0.1173, 029: -0.7072, 000: 2.8823, 047: -2.2361, 003: 1.8354, 001: 0.9851, 006: 4.1065, 045: -0.9910, 020: -0.4201, 044: -0.4001, 021: 4.5250, 049: -0.8758, 022: -0.4556, 048: 0.3230, 041: -2.2457, 036: 1.1295, 014: 4.0430, 009: -0.6246, 017: 3.3000, 023: 0.5039, 035: -0.1517"
2,0.1499096236296657,250,1.499096223437563,"027: 2.0762, 004: 1.0139, 043: 2.4265, 015: -14.6382, 025: -0.9783, 032: -2.6528, 040: -0.9765, 046: -2.5337, 042: -0.9821, 011: 1.8774, 010: -0.5426, 028: 4.4767, 030: 3.1237, 008: 2.5692, 005: 1.1032, 013: 1.0624, 016: 0.4630, 031: -0.9989, 034: -1.0166, 002: -0.9770, 019: 1.0315, 024: 2.1688, 039: -4.9845, 026: -1.5671, 012: -0.3671, 033: 0.3421, 038: 0.2777, 037: 4.3155, 007: 3.9212, 018: 3.5321, 029: -0.9732, 000: -1.0678, 003: 3.6436, 047: -2.7411, 001: -1.1418, 006: 0.2045, 045: 4.4737, 020: 0.2062, 044: -0.9731, 021: 3.4967, 049: 1.1736, 022: 0.9059, 048: -0.7883, 041: -0.2320, 036: 0.8550, 017: 2.1424, 014: 0.6429, 009: -0.9864, 023: -0.6963, 035: -0.8306"
3,0.1682491341814668,250,1.6824913310161103,"027: 1.6455, 004: -4.2327, 043: -0.4783, 015: 0.9632, 025: -0.6647, 032: 1.8368, 040: -0.3309, 046: -0.7141, 042: -1.0128, 011: 0.9492, 010: -0.8246, 028: 1.3746, 030: -4.0705, 008: -2.7007, 005: 3.9373, 013: 2.2881, 016: -0.7489, 031: -0.8043, 034: -0.3887, 002: 1.7002, 019: -0.7953, 024: -3.1065, 039: -0.9899, 026: -0.4417, 012: 2.6751, 033: -1.3862, 038: -0.2286, 037: -2.5516, 018: 1.0922, 007: 0.9966, 029: 0.1319, 000: -0.2773, 003: 0.9487, 047: 1.5679, 001: -0.9270, 006: 0.5989, 045: 2.6261, 020: 4.6865, 044: -0.4203, 021: 2.9320, 049: -0.4509, 022: -0.0556, 048: 3.6308, 041: 3.5523, 036: -2.0678, 014: -0.4704, 009: -0.7953, 017: 3.3426, 023: -0.1693, 035: 2.1269"
4,0.17973056937979878,250,1.7973056814753419,"027: 1.7973, 004: 2.8814, 043: -0.0433, 015: 2.3698, 025: -0.6252, 032: -0.7482, 040: 0.9045, 046: -0.4686, 042: 0.2196, 011: 2.2274, 010: -1.4483, 028: -0.7803, 030: 0.9252, 008: -0.3079, 005: 0.2402, 013: 2.2359, 016: -0.8271, 031: -1.1529, 034: 0.1187, 002: 1.3219, 019: 3.5709, 024: 1.9677, 039: -0.5665, 026: 2.1203, 012: -0.9095, 033: -0.6115, 038: -1.1606, 037: -0.7234, 007: 3.6324, 018: -1.8086, 029: 2.9945, 000: -1.2054, 003: 0.2500, 047: -0.7816, 001: -1.0443, 006: -2.0876, 045: 2.7715, 020: -0.7963, 044: -0.8393, 021: 2.5361, 049: -0.4909, 022: -0.8041, 048: -0.8653, 041: -0.8328, 036: -0.1872, 009: -0.6099, 014: 0.5703, 017: 4.0644, 023: -0.6050, 035: -0.2706"
5,0.21672692368345373,250,2.1672692144372294,"027: 0.9987, 004: 0.3966, 043: -0.8222, 015: 0.7293, 025: -0.2371, 032: 3.2466, 040: -0.2226, 046: -0.8262, 042: -0.2642, 011: -0.5214, 010: -0.8081, 028: -0.7943, 030: -0.4797, 008: -1.7157, 005: 0.6989, 013: 1.2868, 016: -1.0560, 031: 0.5087, 034: 0.7356, 019: 1.7823, 002: -0.3286, 024: 3.8781, 039: -0.2957, 026: -1.7101, 012: -0.8361, 033: 3.0058, 038: -0.6885, 037: -0.8655, 018: -0.5404, 007: 0.0579, 029: 4.8446, 000: -0.6127, 003: -2.5948, 047: -0.8620, 001: -1.1682, 006: -1.4529, 045: -0.2320, 020: -0.5597, 044: -1.9881, 021: 0.7512, 049: -0.8217, 022: 3.1700, 048: 0.5287, 041: 0.6376, 036: -0.5244, 009: -0.8741, 014: 1.2863, 017: 0.3658, 023: 4.8239, 035: -0.3796"
6,0.16474972584788763,250,1.647497245536337,"027: -0.4514, 004: -0.6824, 043: -2.1798, 015: -0.8108, 025: -0.8664, 032: -0.4359, 040: -224.6425, 046: -0.7574, 042: -0.2736, 011: -0.6928, 010: -0.6845, 028: -0.2674, 030: 4.1734, 008: -0.1891, 005: 2.7936, 013: -0.4229, 016: 0.7217, 034: 0.7788, 031: 0.0704, 002: 3.2321, 019: -0.7938, 024: 2.6312, 039: 3.5451, 026: -0.9222, 012: 1.9759, 033: -0.2415, 038: 0.8177, 037: -0.4705, 007: 0.2426, 018: -0.4144, 029: -0.4028, 000: 3.4090, 003: -0.5463, 047: -1.1818, 001: -0.7748, 006: 4.0871, 045: -0.4865, 020: -0.9111, 044: -0.8826, 021: -0.9424, 049: 1.8584, 022: -0.8472, 048: 2.2019, 041: 1.8990, 036: 4.4198, 017: -1.0311, 014: -0.0416, 009: 0.1491, 023: -1.0509, 035: 5.0238"
7,0.19061862646417763,250,1.906186250780898,"027: -0.7630, 004: -0.3004, 043: -0.8455, 015: -1.4343, 025: 0.4648, 032: 3.1787, 040: -2.7160, 046: 4.3839, 042: -0.6382, 011: -0.6328, 010: 1.5333, 028: 0.2701, 030: -0.6594, 008: 0.2211, 005: -0.8522, 013: -0.4103, 016: -10.6912, 031: -0.9815, 034: 0.5604, 002: -0.7338, 019: 1.7403, 039: 0.2078, 024: -1.0392, 026: 1.0714, 012: -0.0926, 033: 2.3696, 038: -1.4127, 037: 1.5188, 007: -0.7946, 018: -0.4142, 029: -0.0179, 000: 4.2016, 003: 0.4318, 047: -0.7464, 001: 0.2123, 006: 1.2984, 045: -0.6217, 020: -0.8839, 044: -0.8818, 021: 3.1826, 049: 0.4695, 022: 0.4174, 048: 0.7981, 041: -1.0382, 036: 0.9372, 009: 0.4199, 014: 2.3257, 017: 2.2977, 023: 2.1646, 035: 0.9308"
8,0.14020145522306462,250,1.4020145409831366,"027: 3.5623, 004: -3.7606, 043: 0.0661, 015: 2.3731, 025: 4.0061, 032: 3.7571, 040: 3.5719, 046: -0.9730, 042: -0.9805, 011: 0.6366, 010: -0.0653, 028: -0.2962, 030: 3.2224, 008: 2.0128, 005: 1.7770, 013: -1.1465, 016: 3.5547, 031: 2.0815, 034: 1.5550, 002: 1.0684, 019: -0.8957, 024: 1.3005, 039: 1.8015, 026: -1.2975, 033: 5.0163, 012: -0.9847, 038: -0.7350, 037: 0.5239, 007: 1.0877, 018: 1.6140, 029: -0.5455, 000: 0.0885, 003: 1.9504, 047: 2.0976, 001: -0.5811, 006: 2.9797, 045: 0.7778, 020: 2.3987, 044: -0.8599, 021: -0.0955, 049: 1.7821, 022: -2.3340, 048: -0.7882, 041: 0.7784, 036: 1.9366, 017: 0.2055, 014: -1.0933, 009: 4.4499, 023: -0.8015, 035: -0.5589"
9,0.16218432083430984,250,1.6218431983090127,"027: 0.3440, 004: 4.0743, 043: 1.9608, 015: 2.4446, 025: 0.1456, 032: -1.4709, 040: -1.0702, 046: 0.4109, 042: -4.0452, 011: -0.6175, 010: -0.2018, 028: 3.8065, 030: 1.3646, 008: -0.6008, 005: 1.9886, 013: -1.7647, 016: 0.3550, 034: 0.4560, 031: -0.7679, 002: 0.6860, 019: -0.8235, 024: -0.8021, 039: 0.1205, 026: -0.3152, 012: 0.4836, 033: -2.3072, 038: 2.2572, 037: -0.7618, 007: -0.7700, 018: 1.5795, 029: -0.8067, 000: 1.6245, 003: -0.3665, 047: -1.2014, 001: 4.1858, 006: 4.5890, 045: 2.1205, 020: -0.7527, 044: 1.2818, 021: 2.5949, 049: 0.5480, 022: 2.0141, 048: -0.6074, 041: -0.9168, 036: -1.3211, 009: 1.8992, 014: 1.1373, 017: -0.9291, 023: 3.3208, 035: -0.3758"
