episode,sim/wall,total steps,steps/sec,score
0,1.3457246482818876,452,13.457246005197161,"013: -0.5012, 027: -0.6662, 012: -0.8812, 058: -0.2571, 039: -0.9805, 032: -0.6214, 016: -0.6784, 062: -0.7371, 008: -0.1701, 014: -0.7134, 057: -0.9751, 031: -0.6025, 009: -0.7015, 063: -2.3864, 015: -0.1786, 030: -0.8390, 017: -0.8749, 040: -0.8351, 053: -0.4892, 049: -0.4615, 003: -0.9855, 007: -0.3303, 020: -0.9380, 033: -0.3604, 048: -0.6891, 026: -0.8356, 029: -0.7829, 052: -0.8479, 069: -0.8305, 022: -0.9186, 059: -0.8158, 051: -0.8566, 067: -0.9927, 028: -0.3628, 072: -0.6080, 006: -0.7708, 056: -0.5889, 035: 0.0602, 036: -0.6932, 024: -1.0036, 018: -0.6735, 023: -0.8573, 001: -0.9755, 038: -0.9881, 010: -1.1062, 002: -0.8249, 019: -0.7532, 042: -0.7615, 037: -0.7101, 071: -1.8031, 068: -0.7072, 070: -0.9074, 074: -4.2833, 064: -0.9596, 065: -0.5725, 005: -0.8422, 060: -0.4719, 050: -0.3400, 004: -0.6770, 034: -1.1965, 041: -0.7341, 025: -0.4495, 055: -2.2277, 047: -0.8041, 043: -0.6350, 066: -0.8066, 011: -0.9552, 044: -0.5388, 021: -0.9943, 046: -0.7078, 000: -0.4206, 073: -0.8531, 054: -0.3960, 045: -0.8076, 061: -0.8159"
1,1.1447027719835663,353,11.447027277327948,"013: -0.4968, 027: -0.7170, 012: -0.4830, 062: -0.8463, 039: -0.4950, 032: -0.8532, 016: -0.9674, 008: -0.7206, 057: -0.9302, 014: -0.8053, 031: -0.8331, 061: -0.4221, 015: -0.7818, 009: -0.6739, 063: -0.7544, 030: -0.8386, 017: -0.7472, 040: -0.6778, 053: -0.5421, 049: -0.8215, 003: -0.8035, 007: -0.6523, 020: -0.4214, 033: -0.7039, 048: -0.9524, 026: -0.7979, 029: -0.7334, 052: -0.6975, 069: -0.7355, 022: -1.1783, 059: -0.6795, 051: -0.3795, 067: -0.7401, 028: -0.7886, 072: -0.9766, 006: -0.6811, 073: -0.4374, 056: -0.9299, 036: -0.7656, 035: -0.8799, 018: -0.6340, 024: -0.8072, 023: -0.6448, 001: -0.8487, 038: -0.8676, 010: -0.7433, 002: -0.7802, 019: -0.8238, 042: -0.8640, 037: -0.2919, 071: -0.4523, 068: -0.1646, 074: -0.7731, 070: -0.8791, 064: -0.8019, 065: -0.6195, 060: -1.0910, 005: -0.9505, 050: -0.8072, 004: -0.7124, 034: -1.9149, 041: -0.3329, 025: -0.6576, 055: -0.8570, 066: -0.9740, 043: -0.7897, 047: -0.3997, 011: -3.6540, 044: -0.6772, 021: -0.6504, 046: -0.5170, 000: -0.8281, 054: -0.6371, 045: -0.3098, 058: -0.8923"
2,1.3920694315233026,500,13.92069394561609,"013: -0.4865, 027: -0.8383, 012: -0.8402, 062: -0.8528, 039: -0.3062, 032: -2.4579, 016: -0.7895, 008: -0.7658, 057: -0.7003, 014: -0.4958, 031: -0.8614, 061: -0.8662, 015: -0.3995, 009: -0.5664, 063: -0.5561, 030: -3.1657, 017: -0.5073, 040: -0.7555, 053: -0.5473, 049: -0.9759, 003: -1.4000, 007: -0.9725, 020: -0.6888, 033: -0.6825, 048: -0.7917, 026: -2.1951, 029: -0.7764, 052: -0.9780, 069: -0.6702, 022: -0.7365, 059: -0.6004, 051: -0.5592, 067: -0.4764, 028: -0.9843, 072: -0.7672, 006: -0.7467, 073: -0.7870, 056: -0.8307, 035: -0.6059, 036: -0.5184, 018: -0.9739, 024: -0.8401, 023: -0.9820, 001: -0.4088, 038: -0.4003, 010: -0.8744, 002: -0.6036, 019: -0.7610, 042: -0.7407, 037: -0.8186, 071: -0.5391, 068: -0.5387, 074: -0.1564, 070: -1.1980, 064: -0.5393, 065: -0.7081, 060: -0.6937, 005: -0.6076, 050: -0.5958, 004: -0.6792, 034: -0.6423, 041: -0.8252, 025: -0.7942, 055: -0.6095, 066: -0.6524, 043: -0.2076, 047: -0.4710, 011: -0.3196, 044: -0.6209, 021: -0.9103, 046: -1.5564, 000: -0.6844, 054: -0.7827, 045: -0.9919, 058: -0.9946"
3,1.2515329720124517,500,12.515329421369874,"013: -0.9116, 027: -0.5625, 012: -0.8327, 062: -0.2817, 039: -0.8679, 032: -0.4528, 016: -0.8648, 008: -0.6754, 057: -0.7829, 014: -0.9761, 031: -0.7460, 061: -0.6889, 015: -1.9517, 009: -0.6203, 063: -0.5105, 030: -0.3137, 017: -0.7773, 040: -0.1330, 053: -0.7202, 049: -0.9732, 003: -0.6151, 007: -0.8274, 020: -0.8580, 033: -1.0266, 048: -0.4284, 026: -0.7370, 029: -0.8166, 052: -0.9786, 069: -0.5302, 022: -0.6447, 059: -0.8169, 051: -0.7035, 067: -0.1459, 028: -0.8197, 072: -0.7124, 006: -0.4703, 073: -1.0247, 056: -11.2660, 035: -0.5686, 036: -0.5586, 018: -0.4406, 024: -0.9884, 023: -0.6522, 001: -0.9820, 038: -0.6744, 010: -0.8165, 002: -1.0232, 019: -0.7336, 042: -0.4175, 037: -0.7588, 071: -0.8649, 068: -1.1668, 074: -0.8772, 070: -0.2366, 064: -0.8089, 065: -0.4363, 060: -0.6771, 005: -0.6296, 050: -0.9987, 004: -1.3409, 034: -1.1910, 041: -1.0398, 025: -0.7415, 055: -0.7049, 066: -0.9826, 043: -0.8402, 047: -3.8412, 011: -0.9705, 044: -0.5532, 021: -1.0213, 046: -0.7465, 000: -0.8344, 054: -0.2641, 045: -0.5349, 058: -0.6370"
4,1.6826190444517335,500,16.826189634502597,"013: -0.8082, 027: -0.8081, 012: -0.9027, 062: -0.7725, 039: -0.9796, 032: -0.7716, 016: -0.3934, 008: -0.6023, 057: -0.2534, 014: -0.1820, 031: -0.6778, 061: -0.5550, 015: -0.7296, 009: -0.9817, 063: -0.7017, 030: -1.0674, 017: -0.7701, 040: -0.9763, 053: -0.7214, 049: -2.6472, 003: -0.5891, 007: -1.0024, 020: -0.5733, 033: -0.7762, 048: -0.9812, 026: -0.7603, 029: -0.6547, 052: -0.2712, 069: -0.8285, 022: -0.3985, 059: -0.9775, 051: -0.7112, 067: -0.7621, 028: -0.9924, 072: -0.3156, 006: -0.3282, 073: -0.7343, 056: -0.7486, 035: -0.7840, 036: -0.9663, 018: -0.2662, 024: -0.6587, 023: -0.8336, 001: -0.7534, 038: -0.0751, 010: -0.8911, 002: -0.4211, 019: -0.3986, 042: -0.4799, 037: -0.9897, 071: -0.4320, 068: -1.0235, 074: -0.7896, 070: -0.3661, 064: -0.4816, 065: -2.2169, 060: -0.6756, 005: -0.9524, 050: -0.9789, 004: -0.1525, 034: -1.6379, 041: -0.6546, 025: -0.9972, 055: -0.3883, 066: -0.7695, 043: -0.8296, 047: -0.6030, 011: -0.8631, 044: -0.2931, 021: -0.8845, 046: -0.8268, 000: -0.8865, 054: -1.0498, 045: -0.8589, 058: -0.9879"
5,1.3810936256974116,500,13.810935893162709,"013: 0.2128, 027: -0.8274, 012: -0.9739, 062: -0.5159, 039: -0.8229, 032: -0.7568, 016: -0.5557, 008: -0.8285, 057: -0.6921, 014: -0.5717, 031: -0.9348, 061: -0.8501, 015: -0.4805, 009: -0.6987, 063: -0.3462, 030: -0.7996, 017: 0.0643, 040: -0.6592, 053: -0.6486, 049: -0.4100, 003: -0.6517, 007: -0.6947, 020: -1.2148, 033: -0.7048, 048: -0.9569, 026: -0.7240, 029: -0.8202, 052: -0.3361, 069: -0.6069, 022: -0.7322, 059: -0.5884, 051: -0.8851, 067: -0.7281, 028: -1.0553, 072: -0.8829, 006: -0.7526, 073: -0.6387, 056: -0.5586, 035: -0.9592, 036: -1.6319, 018: -0.8050, 024: -0.5374, 023: -0.9764, 001: -0.5483, 038: -0.4641, 010: -0.7355, 002: -0.6823, 019: -0.7392, 042: -0.7986, 037: -0.8977, 071: -0.9726, 068: -0.8461, 074: -0.7669, 070: -0.6551, 064: -0.8490, 065: -0.4594, 060: -0.6040, 005: -0.6251, 050: -0.7050, 004: -0.7956, 034: -0.8730, 041: -0.7708, 025: -0.7829, 055: -0.7791, 066: -0.6831, 043: -1.1516, 047: -0.2067, 011: -1.6931, 044: -0.7139, 021: -0.6704, 046: -0.9109, 000: -0.9859, 054: -0.6684, 045: -0.7735, 058: -0.6751"
6,1.1926552542562818,278,11.926551932611558,"013: -0.9789, 027: -0.4282, 012: -0.9688, 062: -0.9877, 039: -1.0943, 032: 0.1719, 016: -0.6046, 008: -0.8738, 057: -0.6357, 014: -0.4831, 031: -0.8093, 061: -0.7425, 015: -0.6941, 009: -0.9902, 063: -0.7811, 030: -0.9184, 017: -0.2663, 040: -0.8974, 053: -1.1874, 049: -0.4709, 003: -0.8193, 007: -1.0392, 020: -0.4719, 033: -0.8883, 048: -0.9146, 026: -0.6280, 029: -0.9808, 052: -0.9857, 069: -0.9934, 022: -0.0895, 059: -0.7917, 051: -1.0135, 067: -0.5751, 028: -0.3734, 072: -0.1331, 006: -0.9775, 073: -0.5403, 056: -0.5173, 035: -0.6877, 036: -0.6329, 018: -0.4571, 024: -0.4704, 023: -0.8775, 001: -0.1936, 038: -0.8405, 010: -0.9299, 002: 0.3030, 019: -1.5930, 042: -0.8701, 037: -0.8778, 071: -0.6811, 068: -0.9769, 074: -0.7727, 070: -0.7016, 064: -0.8384, 065: -0.7778, 060: -0.8243, 005: -0.8776, 050: -0.8740, 004: -0.8505, 034: -0.3622, 041: -0.8561, 025: -0.7646, 055: -0.9438, 066: -0.6126, 043: -1.2909, 047: -0.9789, 011: -0.8103, 044: -1.0173, 021: -0.6935, 046: -1.0668, 000: -0.9853, 054: -0.7420, 045: -0.4894, 058: -0.6811"
7,1.3550155602921163,500,13.550155077618152,"013: -0.2727, 027: -0.8792, 012: -0.7690, 062: -0.2326, 039: -0.8023, 032: -0.4872, 016: -0.8732, 008: -0.2977, 057: -0.9798, 014: -0.8456, 031: -0.8697, 061: -0.6652, 015: -0.4775, 009: -0.7631, 063: -0.5990, 030: -1.9100, 017: -0.6420, 040: -0.6882, 053: -0.7386, 049: -0.6522, 003: -0.8727, 007: -0.6406, 020: -0.4879, 033: -0.5966, 048: -0.7312, 026: -0.7661, 029: -0.2524, 052: -1.3533, 069: -0.8380, 022: -0.5928, 059: -0.8477, 051: -0.5485, 067: -0.1066, 028: 0.0293, 072: -1.1214, 006: -0.7883, 073: -0.7733, 056: -0.7060, 035: -0.8796, 036: -0.3723, 018: -0.6935, 024: -0.7871, 023: -0.7253, 001: -0.6363, 038: -10.8410, 010: -0.9853, 002: -6.3588, 019: -0.2151, 042: -0.8889, 037: -0.2431, 071: -0.7278, 068: -0.8531, 074: -0.7903, 070: -0.3861, 064: -0.7351, 065: -0.3307, 060: -0.6644, 005: 0.0437, 050: -0.8566, 004: -0.3842, 034: -1.3162, 041: -0.6090, 025: -0.7368, 055: -0.8225, 066: -0.6540, 043: -0.6887, 047: -0.8252, 011: -0.8068, 044: -0.6756, 021: -0.2602, 046: -0.5571, 000: -0.7060, 054: -0.7168, 045: -0.7461, 058: -0.9757"
8,1.611928366567062,455,16.119282984916687,"013: -0.5538, 027: -0.5441, 012: -0.2297, 062: -0.8158, 039: -0.2368, 032: -0.6670, 016: -0.2712, 008: -0.9741, 057: -0.5237, 014: -0.1642, 031: -1.1510, 061: -0.4509, 015: -0.6388, 009: -0.8943, 063: -0.7348, 030: -0.9815, 017: -0.7509, 040: -0.8020, 053: -0.9895, 049: -0.6902, 003: -0.3354, 007: -0.1717, 020: -0.6245, 033: -0.7342, 048: -0.6873, 026: -0.6517, 029: -0.7575, 052: -0.5337, 069: -0.6896, 022: -0.7899, 059: -0.8408, 051: -0.9220, 067: -0.7226, 028: -0.7661, 072: -0.7940, 006: -0.8951, 073: -0.4224, 056: -0.8089, 036: -0.7748, 035: -0.8813, 018: -2.4763, 024: -0.8295, 023: -0.4218, 001: -0.7871, 038: -0.5292, 010: -1.1229, 019: -0.7685, 002: -0.3186, 042: -0.4889, 037: -0.8244, 071: -0.9375, 068: -0.3448, 074: -0.4319, 070: -1.0976, 064: -0.9778, 065: -0.3401, 060: -0.7800, 005: -0.2212, 050: -0.7617, 004: -0.7257, 034: -1.0105, 041: -0.6677, 025: -0.5606, 055: -0.9912, 066: -0.7371, 043: -0.4867, 047: -0.3272, 011: -0.9679, 044: -0.5996, 021: -0.8464, 046: -0.8242, 000: -0.8952, 054: -0.7285, 045: -1.0066, 058: -0.8691"
9,1.301386480562403,500,13.013864482594181,"013: -0.9462, 027: -0.5896, 012: -0.2613, 062: -0.7067, 039: -0.6420, 032: -0.9593, 016: -0.9649, 008: -0.8921, 057: -0.9745, 014: -0.4985, 031: -0.7471, 061: -0.5836, 015: -0.6606, 009: -0.3636, 063: -0.6809, 030: 0.0412, 017: -0.5838, 040: -0.8515, 053: -0.9777, 049: -0.7079, 003: -0.8415, 007: -0.7435, 020: -0.7115, 033: -1.0942, 048: -0.6247, 026: -1.2145, 029: 0.3038, 052: -0.8021, 069: -0.8507, 022: -0.6311, 059: -0.7546, 051: -0.5859, 067: -0.7069, 028: -0.6694, 072: -0.8367, 006: -1.0188, 073: -0.6814, 056: -0.3065, 036: -0.6152, 035: -0.7942, 018: -0.9732, 024: -0.5815, 023: -0.6790, 001: -0.6845, 038: -0.5386, 010: -0.9192, 019: -1.0699, 002: -0.5250, 042: -0.8125, 037: -0.9459, 071: -0.5121, 068: -0.1522, 074: -0.5898, 070: -0.6521, 064: -0.9778, 065: -0.5449, 060: -0.5663, 005: -0.6611, 050: -0.4446, 004: -0.7579, 034: -0.9697, 041: -0.5749, 025: -0.7607, 055: -0.6198, 066: -0.8227, 043: -1.4319, 047: -0.6807, 011: -1.1407, 044: -1.1329, 021: -0.9366, 046: -0.5593, 000: -0.6886, 054: -0.0418, 045: -0.6537, 058: -0.7614"
