,mem_usage
0,477.27734375
1,477.29296875
2,554.28125
3,648.9140625
4,726.51171875
5,750.05859375
6,763.37109375
7,773.9140625
8,802.53125
9,811.5234375
10,813.9296875
11,814.95703125
12,817.140625
13,817.4375
14,823.77734375
15,823.77734375
16,830.19140625
17,836.44140625
18,840.18359375
19,849.78125
20,849.78125
21,849.78125
22,850.0390625
23,850.25
24,850.25
25,850.25
26,850.25
27,850.55078125
28,850.55078125
29,850.55078125
30,850.55078125
31,850.80078125
32,850.80078125
33,850.80078125
34,850.80078125
35,850.80078125
36,851.05078125
37,851.05078125
38,851.05078125
39,851.05078125
40,851.05078125
41,851.30078125
42,851.30078125
43,851.30078125
44,851.30078125
45,851.55078125
46,851.80078125
47,851.80078125
48,851.80078125
49,851.80078125
50,852.0546875
51,852.0546875
52,852.0546875
53,852.0546875
54,852.29296875
55,852.29296875
56,852.29296875
57,852.29296875
58,852.29296875
59,852.55078125
60,852.55078125
61,852.55078125
62,852.55078125
63,852.80859375
64,852.80859375
65,853.1953125
66,853.1953125
67,853.1953125
68,854.84765625
69,854.875
70,854.875
71,854.875
72,854.875
73,855.09375
74,855.09375
75,855.09375
76,855.09375
77,855.375
78,855.375
79,855.375
80,855.375
81,855.375
82,855.62890625
83,855.62890625
84,855.62890625
85,855.62890625
86,855.88671875
87,855.88671875
88,855.88671875
89,855.88671875
90,855.88671875
91,856.14453125
92,856.375
93,856.375
94,856.375
95,856.625
96,856.625
97,856.625
98,857.27734375
99,857.27734375
100,857.53125
101,857.53125
102,857.53125
103,857.53125
104,857.53125
105,887.171875
106,887.171875
107,887.171875
108,887.171875
109,887.171875
110,887.41015625
111,887.41015625
112,887.41015625
113,887.41015625
114,887.41015625
115,887.41015625
116,887.41015625
117,887.41015625
118,887.41015625
119,887.41015625
120,887.41015625
121,887.41015625
122,887.6484375
123,887.6484375
124,887.6484375
125,887.6484375
126,887.6484375
127,887.875
128,887.875
129,887.875
130,887.875
131,887.875
132,887.875
133,887.875
134,887.875
135,887.875
136,887.875
137,887.875
138,887.875
139,887.875
140,887.875
141,887.875
142,887.875
143,887.875
144,887.875
145,887.875
146,887.875
147,887.875
148,887.875
149,887.875
150,887.875
151,887.875
152,887.875
153,887.875
154,887.875
155,888.16015625
156,888.16015625
157,888.16015625
158,888.4140625
159,888.4140625
160,888.4140625
161,888.4140625
162,888.671875
163,888.671875
164,888.671875
