,mem_usage
0,475.8046875
1,475.8203125
2,552.99609375
3,883.9140625
4,1270.83984375
5,1273.09375
6,1296.2109375
7,1310.375
8,1340.828125
9,1349.7109375
10,1357.3125
11,1362.80078125
12,1362.90234375
13,1363.09375
14,1363.09375
15,1370.03515625
16,1372.53515625
17,1372.78125
18,1375.1015625
19,1375.1015625
20,1375.1015625
21,1375.1015625
22,1375.1015625
23,1375.1015625
24,1375.1015625
25,1375.1015625
26,1375.32421875
27,1375.32421875
28,1376.09765625
29,1376.09765625
30,1376.09765625
31,1376.09765625
32,1376.09765625
33,1376.09765625
34,1376.61328125
35,1376.87109375
36,1376.87109375
37,1376.87109375
38,1376.87109375
39,1377.12890625
40,1377.64453125
41,1377.64453125
42,1377.64453125
43,1377.64453125
44,1377.64453125
45,1377.86328125
46,1377.86328125
47,1377.86328125
48,1378.1171875
49,1378.1171875
50,1378.890625
51,1378.890625
52,1378.890625
53,1378.890625
54,1378.890625
55,1378.890625
56,1379.65625
57,1379.80078125
58,1379.80078125
59,1379.80078125
60,1379.80078125
61,1379.80078125
62,1379.80078125
63,1379.80078125
64,1379.80078125
65,1380.3125
66,1380.3125
67,1380.3125
68,1380.3125
69,1380.3125
70,1380.3125
71,1380.5625
72,1380.5625
73,1380.5625
74,1380.5625
75,1380.5625
76,1380.5625
77,1380.92578125
78,1380.92578125
79,1381.6953125
80,1381.953125
81,1381.953125
82,1381.953125
83,1381.953125
84,1381.953125
85,1381.953125
86,1382.421875
87,1382.421875
88,1382.93359375
89,1382.93359375
90,1382.93359375
91,1382.93359375
92,1382.93359375
93,1382.93359375
94,1382.93359375
95,1382.93359375
96,1383.4453125
97,1383.4453125
98,1383.4453125
99,1383.4453125
100,1383.4453125
101,1383.4453125
102,1383.703125
103,1384.4765625
104,1384.6484375
105,1384.6484375
106,1384.6484375
107,1384.90234375
108,1384.90234375
109,1384.90234375
110,1384.90234375
111,1385.67578125
112,1385.67578125
113,1385.67578125
114,1385.67578125
115,1385.8984375
116,1385.8984375
117,1385.8984375
118,1385.8984375
119,1385.8984375
120,1385.8984375
121,1386.41015625
122,1386.41015625
123,1386.41015625
124,1386.41015625
125,1386.41015625
126,1386.41015625
127,1386.41015625
128,1386.41015625
129,1386.41015625
130,1386.41015625
131,1386.92578125
132,1386.92578125
133,1386.92578125
134,1386.92578125
135,1386.92578125
136,1386.92578125
137,1386.92578125
138,1386.92578125
139,1387.69921875
140,1387.69921875
141,1387.69921875
142,1387.69921875
143,1387.69921875
144,1387.69921875
145,1387.69921875
146,1387.69921875
147,1387.69921875
148,1387.69921875
149,1387.69921875
150,1388.73046875
151,1388.8984375
152,1388.8984375
153,1388.8984375
154,1388.8984375
155,1388.8984375
156,1388.8984375
157,1388.8984375
158,1388.8984375
159,1388.8984375
160,1388.8984375
161,1388.8984375
162,1388.8984375
163,1389.1484375
164,1389.1484375
165,1389.1484375
166,1389.1484375
167,1390.17578125
168,1390.17578125
169,1390.69140625
170,1390.69140625
171,1390.69140625
172,1390.69140625
173,1390.69140625
174,1390.69140625
175,1390.69140625
176,1390.69140625
177,1390.8828125
178,1390.8828125
179,1390.8828125
180,1390.8828125
181,1391.1328125
182,1391.1328125
183,1391.38671875
184,1392.41796875
185,1392.67578125
186,1392.67578125
187,1392.95703125
188,1392.95703125
189,1392.95703125
190,1393.20703125
191,1393.20703125
192,1393.20703125
193,1393.20703125
194,1393.45703125
195,1393.45703125
196,1393.45703125
197,1393.45703125
198,1393.7109375
199,1394.2265625
200,1394.484375
201,1395.515625
202,1395.65234375
203,1395.65234375
204,1395.65234375
205,1395.65234375
206,1395.65234375
207,1395.65234375
208,1395.90625
209,1395.90625
210,1395.90625
211,1396.15234375
212,1396.15234375
213,1396.15234375
214,1396.6640625
215,1396.83203125
216,1397.859375
217,1397.859375
218,1397.859375
219,1398.1171875
220,1398.1171875
221,1398.1171875
222,1398.1171875
223,1398.4296875
224,1398.4296875
225,1398.4296875
226,1398.68359375
227,1398.68359375
228,1398.68359375
229,1399.97265625
230,1400.18359375
231,1400.4375
232,1400.6953125
233,1400.6953125
234,1400.859375
235,1400.859375
236,1400.859375
237,1400.859375
238,1400.859375
239,1400.859375
240,1400.859375
241,1401.109375
242,1404.21875
243,1404.6484375
244,1414.765625
245,1421.01171875
246,1421.01171875
247,1421.01171875
248,1421.265625
249,1415.84765625
250,1415.84765625
251,1415.859375
252,1415.859375
253,1415.859375
254,1415.859375
255,1415.859375
256,1415.859375
257,1415.859375
258,1415.9765625
259,1415.9765625
260,1415.9765625
261,1415.9765625
262,1415.9765625
263,1415.9765625
264,1415.9765625
265,1416.75
266,1416.75
267,1416.75
268,1416.75
269,1416.75
270,1416.75
271,1416.75
272,1417.5234375
273,1417.5234375
274,1417.5234375
275,1417.5234375
276,1417.5234375
277,1418.03515625
278,1418.03515625
279,1418.03515625
280,1418.03515625
281,1418.03515625
282,1418.55078125
283,1418.55078125
284,1418.55078125
285,1418.55078125
286,1418.55078125
287,1418.6484375
288,1418.6484375
289,1419.41796875
290,1419.41796875
291,1419.7109375
292,1419.7109375
293,1419.7109375
294,1419.9609375
295,1419.9609375
296,1420.73046875
297,1420.73046875
298,1420.9609375
299,1420.9609375
300,1420.9609375
301,1420.9609375
302,1420.9609375
303,1421.73046875
304,1421.73046875
305,1421.98828125
306,1421.98828125
307,1421.98828125
308,1422.1484375
309,1422.1484375
310,1422.91796875
311,1422.91796875
312,1423.15234375
313,1423.15234375
314,1423.15234375
315,1423.40625
316,1423.40625
317,1424.1796875
318,1424.1796875
319,1424.40234375
320,1424.40234375
321,1424.40234375
322,1424.65234375
323,1424.65234375
324,1425.421875
325,1425.421875
326,1425.6796875
327,1425.6796875
328,1425.6796875
329,1425.83984375
330,1425.83984375
331,1426.3515625
332,1426.3515625
333,1426.609375
334,1426.609375
335,1426.609375
336,1426.609375
337,1426.609375
338,1426.8671875
339,1427.3828125
340,1427.3828125
341,1427.640625
342,1427.640625
343,1427.8984375
344,1427.8984375
345,1427.8984375
346,1427.8984375
347,1427.8984375
348,1428.4140625
349,1428.4140625
350,1428.4140625
351,1428.4140625
352,1428.4140625
353,1428.4140625
354,1428.4140625
355,1428.671875
356,1428.671875
357,1428.671875
358,1428.671875
359,1428.671875
360,1428.9296875
361,1429.703125
362,1429.703125
363,1429.9609375
364,1429.9609375
365,1429.9609375
366,1430.01953125
367,1430.01953125
368,1430.01953125
369,1430.4140625
370,1430.66796875
371,1431.18359375
372,1431.44140625
373,1431.44140625
374,1431.44140625
375,1431.6640625
376,1431.6640625
377,1432.17578125
378,1432.17578125
379,1432.17578125
380,1432.17578125
381,1432.17578125
382,1432.5390625
383,1432.5390625
384,1433.05078125
385,1433.30859375
386,1433.30859375
387,1433.30859375
388,1433.56640625
389,1433.56640625
390,1434.08203125
391,1434.2890625
392,1434.2890625
393,1434.2890625
394,1434.2890625
395,1434.2890625
396,1434.80078125
397,1435.05859375
398,1435.05859375
399,1435.05859375
400,1435.31640625
401,1435.31640625
402,1436.08984375
403,1436.08984375
404,1436.34765625
405,1436.34765625
406,1436.34765625
407,1436.34765625
408,1436.34765625
409,1436.34765625
410,1436.6015625
411,1436.6015625
412,1437.62890625
413,1437.62890625
414,1437.62890625
415,1437.62890625
416,1437.62890625
417,1437.62890625
418,1437.62890625
419,1437.62890625
420,1437.62890625
421,1437.62890625
422,1437.62890625
423,1437.62890625
424,1438.14453125
425,1438.14453125
426,1438.14453125
427,1438.14453125
428,1438.14453125
429,1438.14453125
430,1438.66015625
431,1439.15625
432,1439.15625
433,1439.421875
434,1439.421875
435,1439.421875
436,1439.421875
437,1439.421875
438,1440.19140625
439,1440.19140625
440,1440.44921875
441,1440.44921875
442,1440.546875
443,1440.546875
444,1441.05859375
445,1441.05859375
446,1441.05859375
447,1441.05859375
448,1441.05859375
449,1441.05859375
450,1441.05859375
451,1441.05859375
452,1441.57421875
453,1441.57421875
454,1441.57421875
455,1441.57421875
456,1441.57421875
457,1441.57421875
458,1441.57421875
459,1441.57421875
460,1442.08984375
461,1442.08984375
462,1442.08984375
463,1442.08984375
464,1442.08984375
465,1442.08984375
466,1442.60546875
467,1442.60546875
468,1442.60546875
469,1442.86328125
470,1442.86328125
471,1442.86328125
472,1442.86328125
473,1442.86328125
474,1443.89453125
475,1443.89453125
476,1443.89453125
477,1444.19140625
478,1444.19140625
479,1444.19140625
480,1444.19140625
481,1444.9609375
482,1444.9609375
483,1444.9609375
484,1444.9609375
485,1445.12890625
486,1445.12890625
487,1445.54296875
488,1445.54296875
489,1446.0546875
490,1446.3125
491,1446.3125
492,1446.3125
