episode,sim/wall,total steps,steps/sec,score
0,0.07256678978729715,100,0.7256678915954832,"031: 2.4136, 001: 2.4291, 024: 2.2960, 039: -1.9515, 023: 1.9181, 016: 2.4149, 030: 2.4674, 021: -4.4965, 020: 2.3862, 022: 2.3116, 037: 2.1641, 029: 2.2705, 002: 1.2987, 006: -0.1822, 011: 2.2757, 043: -1.1596, 046: 2.3118, 014: 2.3218, 033: 2.3814, 025: -0.3240, 013: -1.9630, 041: -0.0907, 036: 2.2871, 004: 2.3462, 040: -0.3129, 035: 2.4872, 008: 2.4210, 019: 2.2358, 007: 1.8763, 032: -0.6888, 028: 2.3710, 044: 2.3231, 047: 2.4781, 048: 2.0877, 009: 2.4134, 018: 2.4367, 015: -11.8138, 003: -4.5497, 005: 0.4569, 049: 2.4534, 017: -1.8175, 027: 2.2021, 038: 2.2730, 026: 2.4647, 000: 1.9686, 042: 1.9822, 045: 2.3575, 012: 2.4572, 034: 2.4717, 010: -0.3047"
1,0.07067989465846057,100,0.7067989418203849,"031: 2.4366, 001: 2.3243, 024: 2.4332, 039: 2.4455, 023: 1.3518, 016: 0.4074, 030: 2.3773, 021: 0.9222, 020: -1.7267, 022: -8.6016, 037: -1.0855, 029: 2.0985, 002: -7.2704, 006: -4.3476, 011: -6.0441, 043: -1.4228, 046: 2.0609, 014: -11.8309, 033: 2.1111, 025: -2.5819, 013: -4.0788, 041: 0.3003, 036: 2.3182, 004: 2.5576, 040: 0.1576, 035: 2.4273, 008: -3.3667, 019: 0.1572, 007: 2.3625, 032: 2.4567, 028: 2.4415, 044: 2.4954, 047: 2.1524, 048: 2.3732, 009: 2.1182, 018: 2.4265, 015: 2.0687, 003: 2.1922, 005: 2.1732, 049: 2.0476, 017: -7.1134, 027: 2.4014, 038: 2.4316, 026: 2.3327, 000: 1.9706, 042: 2.3334, 045: 2.3070, 012: 2.4512, 034: 2.4822, 010: -1.6831"
2,0.06938659797955313,100,0.6938659740562001,"031: -4.0188, 001: 2.3908, 024: 2.4447, 039: 2.3029, 023: 2.5064, 016: 2.4111, 030: 2.4703, 021: 2.1662, 020: 2.1111, 022: -0.3337, 037: -7.6938, 029: 2.4536, 002: 1.8994, 006: 2.3757, 011: -11.4354, 043: 2.2695, 046: 0.3699, 014: 2.2519, 033: 2.5139, 025: 2.2501, 013: 2.3870, 041: 1.9365, 036: -1.4586, 004: 2.3686, 040: -4.0255, 035: 2.3633, 008: 2.4833, 019: 2.5448, 007: 2.4560, 032: 2.2943, 028: 2.4479, 044: 2.3793, 047: 2.3417, 048: -0.8845, 009: 2.1858, 018: 2.3796, 015: 2.3897, 003: 2.2854, 005: -0.3047, 049: 2.0927, 017: 2.5402, 027: -0.2083, 038: 2.3528, 026: 2.3750, 000: -0.0159, 042: 2.3973, 045: 2.4043, 012: 2.3330, 034: 2.3244, 010: 2.3976"
3,0.07518072048320715,100,0.7518071980941947,"031: 2.0055, 001: -0.8442, 024: 0.2987, 039: 2.4198, 023: 2.4199, 016: 0.7801, 030: 0.3379, 021: -3.3607, 020: 2.5329, 022: 2.3868, 037: 2.2800, 029: -0.6804, 002: 2.5257, 006: 2.4932, 011: 2.4188, 043: 2.4493, 046: 2.3835, 014: 2.1075, 033: 2.2046, 025: 2.4847, 013: 2.2702, 041: 2.3468, 036: -6.3109, 004: 2.4696, 040: 2.4754, 035: -0.6748, 008: 2.3451, 019: -0.3138, 007: 0.0621, 032: 2.4533, 028: -2.2471, 044: 2.1571, 047: 0.3261, 048: 2.4318, 009: 2.5966, 018: 2.4592, 015: 2.4839, 003: 2.2413, 005: 2.4425, 049: 2.5373, 017: 2.2431, 027: 2.4096, 038: 2.4212, 026: -0.3435, 000: 2.4146, 042: 2.1289, 045: -3.7976, 012: 2.4674, 034: 1.6066, 010: 2.1669"
4,0.07937413703086248,100,0.7937413597939422,"031: 2.3813, 001: 2.4026, 024: 2.5730, 039: -0.6826, 023: 2.5203, 016: -5.1430, 030: 2.3983, 021: 2.4025, 020: -1.6064, 022: 2.0918, 037: 2.3555, 029: 2.3921, 002: 0.5664, 006: -0.8644, 011: 2.4500, 043: -2.4436, 046: 2.3391, 014: -0.7699, 033: -7.9570, 025: 2.4777, 013: 2.0006, 041: 1.9416, 036: -0.7041, 004: 0.0687, 040: 2.4875, 035: 2.3333, 008: -1.7023, 019: 2.0212, 007: 2.3072, 032: 2.5270, 028: -0.0032, 044: -0.2888, 047: 0.6245, 048: -2.2137, 009: -0.0860, 018: -0.9144, 015: 2.3857, 003: -0.2194, 005: 2.4805, 049: 2.3976, 017: 2.0534, 027: 2.4036, 038: 1.8619, 026: 0.7374, 000: 2.4614, 042: 0.5713, 045: 2.4370, 012: -11.5033, 034: -12.6023, 010: 2.3048"
5,0.07377749801508236,100,0.7377749749598607,"031: -6.8259, 001: 2.3885, 024: 2.3390, 039: 2.4692, 023: -1.3101, 016: 2.5095, 030: -5.2992, 021: 2.1836, 020: 2.0208, 022: 2.3041, 037: -2.4013, 029: 2.3618, 002: -0.8530, 006: 2.3895, 011: -3.3367, 043: 2.4301, 046: 1.9406, 014: 2.3633, 033: 2.2729, 025: 2.3567, 013: -0.5309, 041: 2.3199, 036: 2.4405, 004: -0.7507, 040: 2.4030, 035: 2.3495, 008: 2.3486, 019: 2.2583, 007: 2.2857, 032: 2.3136, 028: 2.4666, 044: -1.0238, 047: -2.7895, 048: 2.2888, 009: 0.4973, 018: 2.3237, 015: 2.4176, 003: 2.1693, 005: 0.6173, 049: -0.0794, 017: -10.4016, 027: 2.4233, 038: 2.5773, 026: 2.3961, 000: 2.3833, 042: 2.4461, 045: 2.4975, 012: 2.3044, 034: 2.3778, 010: 2.4056"
6,0.08146247476135464,100,0.8146247412848351,"031: 2.3518, 001: 2.1392, 024: 1.1266, 039: 0.0036, 023: 2.3250, 016: -0.9878, 030: -1.4541, 021: 1.1888, 020: 2.1409, 022: 1.3606, 037: 2.0113, 029: 2.1007, 002: -1.7596, 006: -0.3253, 011: 0.2308, 043: 2.3538, 046: 2.4497, 014: -0.6365, 033: 2.4383, 025: 2.0531, 013: 2.2373, 041: 1.2864, 036: -1.0189, 004: 2.4247, 040: 2.3826, 035: -0.3216, 008: 0.1280, 019: 0.5184, 007: -6.7299, 032: 2.4959, 028: 1.6518, 044: -0.8465, 047: -0.5493, 048: 2.1582, 009: -5.8900, 018: 2.4761, 015: -6.0992, 003: 1.4899, 005: 2.3665, 049: -0.6319, 017: 2.3579, 027: -6.0275, 038: -7.2431, 026: 2.3684, 000: 2.3709, 042: 2.3484, 045: 1.9455, 012: 2.3954, 034: 2.3773, 010: -3.3553"
7,0.07276522031817581,100,0.7276521956075185,"031: 2.4029, 001: 2.4716, 024: 2.3736, 039: 2.0370, 023: -0.8445, 016: 2.4585, 030: 1.9608, 021: 2.1640, 020: 2.4430, 022: -1.1320, 037: 2.0047, 029: 2.3723, 002: 2.2877, 006: -0.3861, 011: 2.3859, 043: -11.4790, 046: 2.3955, 014: -0.8734, 033: -3.1779, 025: 1.8253, 013: 2.4397, 041: 1.9128, 036: 2.2226, 004: 2.5006, 040: 2.2587, 035: 2.2925, 008: 2.4860, 019: 2.3771, 007: -0.8483, 032: 2.3741, 028: -0.3531, 044: 2.4808, 047: 2.2621, 048: -0.4561, 009: 1.0869, 018: 2.3109, 015: 2.2794, 003: 2.2798, 005: 2.0119, 049: -0.7440, 017: 2.4180, 027: 2.2125, 038: 2.3253, 026: 2.2114, 000: -15.2964, 042: 2.4830, 045: 2.5754, 012: 2.4438, 034: 2.0997, 010: 1.9552"
8,0.0709378893494765,100,0.7093788862961679,"031: 0.1108, 001: 2.2988, 024: 2.5270, 039: -3.2285, 023: 2.3157, 016: 2.4225, 030: 2.4596, 021: -7.7892, 020: 2.1474, 022: -4.9547, 037: 2.4310, 029: 2.1760, 002: 2.4360, 006: 2.0079, 011: 2.4392, 043: 2.1701, 046: 2.3196, 014: 2.4287, 033: -8.0181, 025: 2.3533, 013: 2.2929, 041: 2.1381, 036: 2.3050, 004: 2.4063, 040: 0.1848, 035: 2.0963, 008: 2.3352, 019: 2.2864, 007: 0.2780, 032: -1.4867, 028: -1.5850, 044: -2.6441, 047: 2.3556, 048: 2.4798, 009: 2.3720, 018: 2.5222, 015: -4.5116, 003: 2.3137, 005: -7.8899, 049: -9.3832, 017: 2.0046, 027: -5.9534, 038: 2.3928, 026: 2.5526, 000: 2.4085, 042: -11.1648, 045: 2.4063, 012: 2.3487, 034: 2.3859, 010: -4.9054"
9,0.06871419954176586,100,0.6871419897890237,"031: 2.1514, 001: -0.8509, 024: 2.3901, 039: -0.6697, 023: 2.3015, 016: -2.5413, 030: 1.8399, 021: 1.5730, 020: 1.9224, 022: 2.2994, 037: 2.3089, 029: 2.3486, 002: 2.3714, 006: -1.0869, 011: 2.5305, 043: 2.2698, 046: 2.4670, 014: 2.4402, 033: 0.5917, 025: 2.4246, 013: 2.5194, 041: -2.5854, 036: 2.3834, 004: 2.2643, 040: 2.2997, 035: 2.3667, 008: 2.4525, 019: 2.4145, 007: 2.4305, 032: 2.4458, 028: 1.3029, 044: -0.8915, 047: 1.8182, 048: 2.4498, 009: 2.3949, 018: 2.4211, 015: 2.4737, 003: 1.1776, 005: 2.6287, 049: 2.0648, 017: 2.3690, 027: 2.3369, 038: 2.3095, 026: 2.4299, 000: 2.3753, 042: 2.3454, 045: 2.3639, 012: 2.2899, 034: 0.5406, 010: 0.0880"
