,mem_usage
0,472.828125
1,472.96875
2,504.09375
3,553.94140625
4,580.48828125
5,678.515625
6,694.96484375
7,696.2421875
8,720.41796875
9,725.9375
10,727.3984375
11,729.80078125
12,731.89453125
13,733.61328125
14,733.84765625
15,734.36328125
16,758.45703125
17,758.8515625
18,760.36328125
19,765.03515625
20,770.44921875
21,770.44921875
22,770.44921875
23,770.44921875
24,770.57421875
25,770.57421875
26,770.57421875
27,770.57421875
28,770.57421875
29,770.57421875
30,770.57421875
31,770.57421875
32,770.57421875
33,770.57421875
34,770.6640625
35,770.6640625
36,770.6640625
37,770.6640625
38,770.6640625
39,770.6640625
40,770.6640625
41,770.6640625
42,770.6640625
43,770.6640625
44,770.6640625
45,770.6640625
46,770.6640625
47,770.6640625
48,770.6640625
49,770.6640625
50,770.6640625
51,770.6640625
52,770.6640625
53,770.6640625
54,770.6640625
55,770.6640625
56,770.6640625
57,771.21484375
58,771.21484375
59,771.21484375
60,771.21484375
61,771.21484375
62,771.21484375
63,771.21484375
64,771.21484375
65,771.21484375
66,771.21484375
67,771.21484375
68,771.21484375
69,771.21484375
70,771.21484375
71,771.21484375
72,771.21484375
73,771.21484375
74,771.21484375
75,771.21484375
76,771.21484375
77,771.21484375
78,771.21484375
79,771.21484375
80,771.21484375
81,771.21484375
82,771.21484375
83,771.21484375
84,771.21484375
85,771.21484375
86,771.21484375
87,771.21484375
88,771.21484375
89,771.21484375
90,771.21484375
91,771.21484375
92,771.21484375
93,771.21484375
94,771.21484375
95,771.21484375
96,771.21484375
97,771.21484375
98,771.21484375
99,772.0625
100,772.0625
101,772.0625
102,772.0625
103,772.0625
104,772.0625
105,772.0625
106,772.0625
107,772.0625
108,772.0625
109,772.0625
110,772.0625
111,772.0625
112,772.0625
113,772.0625
114,772.0625
115,772.0625
116,772.0625
117,772.0625
118,772.26953125
119,772.26953125
120,772.26953125
121,772.26953125
122,772.26953125
123,772.26953125
124,772.26953125
125,772.26953125
126,772.52734375
127,772.52734375
128,772.52734375
129,772.52734375
130,772.75
131,772.75
132,772.75
133,772.75
134,772.75
135,772.9140625
136,772.9140625
137,772.9140625
138,772.9140625
139,772.9140625
140,772.9140625
141,772.9140625
142,773.14453125
143,773.14453125
144,773.14453125
145,773.14453125
146,773.14453125
147,773.390625
148,773.4140625
149,773.4140625
150,773.4140625
151,773.4140625
152,773.58984375
153,773.58984375
154,773.6640625
155,773.6640625
156,773.6640625
157,773.6640625
158,773.6640625
159,773.6640625
160,773.8828125
161,773.8828125
162,773.8828125
163,773.8828125
164,773.8828125
165,773.8828125
166,773.8828125
167,774.1640625
168,774.1640625
169,774.1640625
170,774.1640625
171,774.1640625
172,774.1640625
173,774.41796875
174,774.41796875
175,774.41796875
176,774.41796875
177,774.41796875
178,774.41796875
179,774.41796875
180,774.67578125
181,774.67578125
182,774.67578125
183,774.67578125
184,774.67578125
185,774.67578125
186,774.67578125
187,774.67578125
188,774.8984375
189,774.8984375
190,774.8984375
191,774.8984375
192,774.8984375
193,774.8984375
194,775.1171875
195,775.1640625
196,775.1640625
197,775.1640625
198,775.1640625
199,775.1640625
200,775.1640625
201,775.1640625
202,775.1640625
203,775.1640625
204,775.38671875
205,775.38671875
206,775.38671875
207,775.38671875
208,775.38671875
209,775.38671875
210,775.6640625
211,775.6640625
212,775.6640625
213,775.6640625
214,775.6640625
215,775.6640625
216,775.6640625
217,775.6640625
218,775.6640625
219,775.6640625
220,775.6640625
221,775.6640625
222,775.6640625
223,775.6640625
224,775.6640625
225,775.6640625
226,775.6640625
227,775.6640625
228,775.88671875
229,775.9140625
230,775.9140625
231,775.9140625
232,775.9140625
233,775.9140625
234,776.1328125
235,776.1328125
236,776.1328125
237,776.1328125
238,776.1328125
239,776.1328125
240,776.1328125
241,776.1328125
242,776.1328125
243,776.1328125
244,776.1328125
245,776.1328125
246,776.1328125
247,776.390625
248,776.390625
249,776.390625
250,776.390625
251,776.390625
252,776.6484375
253,776.6640625
254,776.6640625
255,776.6640625
256,776.6640625
257,776.6640625
258,776.8828125
259,776.8828125
260,776.8828125
261,776.8828125
262,776.8828125
263,776.8828125
264,776.8828125
265,777.140625
266,777.140625
267,777.140625
268,777.140625
269,777.140625
270,777.3671875
271,777.4140625
272,777.4140625
273,777.4140625
274,777.4140625
275,777.4140625
276,777.6640625
277,777.6640625
278,777.6640625
279,777.6640625
280,777.6640625
281,777.91796875
282,777.91796875
283,777.91796875
284,777.91796875
285,777.91796875
286,777.91796875
287,777.91796875
288,777.91796875
289,777.91796875
290,777.91796875
291,777.91796875
292,778.17578125
293,778.17578125
294,778.17578125
295,778.17578125
296,778.4140625
297,778.4140625
298,778.4140625
299,778.4140625
300,778.4140625
301,778.4140625
302,778.66796875
303,778.66796875
304,778.66796875
305,778.66796875
306,778.66796875
307,778.66796875
308,778.66796875
309,778.66796875
310,778.66796875
311,778.66796875
312,778.66796875
313,778.66796875
314,778.9140625
315,778.9140625
316,778.9140625
317,778.9140625
318,778.9140625
319,779.1640625
320,779.1640625
321,779.1640625
322,779.1640625
323,779.1640625
324,779.1640625
325,779.1640625
326,779.1640625
327,779.1640625
328,779.1640625
329,779.1640625
330,779.1640625
331,779.41796875
332,779.41796875
333,779.41796875
334,779.41796875
335,779.41796875
336,779.41796875
337,779.41796875
338,779.41796875
339,779.41796875
340,779.41796875
341,779.41796875
342,779.41796875
343,779.41796875
344,779.41796875
345,779.41796875
346,779.41796875
347,779.41796875
348,779.6640625
349,779.6640625
350,779.6640625
351,779.6640625
352,779.6640625
353,779.9140625
354,779.9140625
355,779.9140625
356,779.9140625
357,779.9140625
358,779.9140625
359,780.1640625
360,780.1640625
361,780.1640625
362,780.1640625
363,780.1640625
364,780.1640625
365,780.1640625
366,780.41796875
367,780.41796875
368,780.41796875
369,780.41796875
370,780.41796875
371,780.67578125
372,780.67578125
373,780.67578125
374,780.67578125
375,780.67578125
376,780.9140625
377,780.9140625
378,780.9140625
379,780.9140625
380,780.9140625
381,780.9140625
382,781.16015625
383,781.16015625
384,781.16015625
385,781.16015625
386,781.16015625
387,781.41796875
388,781.41796875
389,781.41796875
390,781.41796875
391,781.41796875
392,781.41796875
393,781.41796875
394,781.6640625
395,781.6640625
396,783.72265625
397,783.72265625
398,783.72265625
399,783.72265625
400,783.98046875
401,783.98046875
402,783.98046875
403,783.98046875
404,783.98046875
405,783.98046875
406,784.23828125
407,784.2890625
408,784.2890625
409,784.2890625
410,784.2890625
411,784.2890625
412,784.54296875
413,784.54296875
414,784.54296875
415,785.31640625
416,786.86328125
417,787.37890625
418,787.37890625
419,787.37890625
420,787.54296875
421,787.54296875
422,787.54296875
423,787.54296875
424,787.54296875
425,787.796875
426,787.796875
427,787.796875
428,787.796875
429,787.796875
430,787.796875
431,787.796875
432,787.796875
433,787.796875
434,787.796875
435,787.796875
436,787.796875
437,787.796875
438,787.796875
439,787.796875
440,787.796875
441,787.796875
442,787.796875
443,787.796875
444,787.796875
445,787.796875
446,787.796875
447,787.796875
448,787.796875
449,787.796875
450,787.796875
451,787.796875
452,788.04296875
453,788.04296875
454,788.04296875
455,788.04296875
456,788.04296875
457,788.04296875
458,788.04296875
459,788.296875
460,788.296875
461,788.296875
462,788.296875
463,788.296875
464,788.296875
465,788.54296875
466,788.54296875
467,788.54296875
468,788.54296875
469,788.54296875
470,788.79296875
471,788.79296875
472,788.79296875
473,788.79296875
474,788.79296875
475,788.79296875
476,789.04296875
477,789.04296875
478,789.04296875
479,789.04296875
480,789.04296875
481,789.04296875
482,789.04296875
483,789.04296875
484,789.04296875
485,789.04296875
486,789.04296875
487,789.04296875
488,790.328125
489,791.1015625
490,791.1015625
491,791.1015625
492,791.1015625
493,791.1015625
494,791.1015625
495,791.16796875
496,791.16796875
497,791.16796875
498,791.16796875
499,791.16796875
500,791.16796875
501,791.16796875
502,791.16796875
503,792.7109375
504,792.7109375
505,792.7109375
506,792.96875
507,792.96875
508,792.96875
509,793.109375
510,793.109375
511,793.109375
512,793.109375
513,793.109375
514,793.109375
515,793.359375
516,793.359375
517,793.359375
518,793.359375
519,793.359375
520,793.359375
521,793.61328125
522,794.12890625
523,794.12890625
524,794.12890625
525,794.12890625
526,794.12890625
527,794.38671875
528,794.38671875
529,794.38671875
530,795.16015625
531,795.16015625
532,795.359375
533,795.359375
534,795.359375
535,795.359375
536,795.359375
537,795.61328125
538,795.61328125
539,795.61328125
540,795.61328125
541,795.61328125
542,795.61328125
543,796.12890625
544,796.12890625
545,796.12890625
546,796.12890625
547,796.12890625
548,796.12890625
549,796.12890625
550,796.64453125
551,797.41796875
552,797.41796875
553,797.41796875
554,797.484375
555,797.484375
556,797.484375
557,797.484375
558,797.484375
559,797.734375
560,797.734375
561,797.734375
562,797.734375
563,797.734375
564,797.734375
565,797.98828125
566,797.98828125
567,797.98828125
568,797.98828125
569,797.98828125
570,798.24609375
571,798.24609375
572,798.24609375
573,798.24609375
574,798.24609375
575,798.24609375
576,798.24609375
577,798.50390625
578,798.50390625
579,798.50390625
580,798.50390625
581,798.50390625
582,798.734375
583,798.734375
584,798.734375
585,798.734375
586,800.53515625
587,800.53515625
588,800.53515625
589,800.53515625
590,800.79296875
591,800.79296875
592,800.98828125
593,800.98828125
594,800.98828125
595,800.98828125
596,800.98828125
597,800.98828125
598,801.23828125
599,801.23828125
600,801.75
601,801.75
602,801.75
603,801.98828125
604,801.98828125
605,801.98828125
606,803.2734375
607,803.7890625
608,803.7890625
609,804.11328125
610,804.11328125
611,804.11328125
612,804.11328125
613,804.11328125
614,804.11328125
615,804.11328125
616,804.625
617,804.625
618,804.625
619,804.625
620,804.625
621,804.625
622,804.625
623,804.625
624,804.625
625,804.625
626,804.625
627,804.625
628,804.625
629,804.86328125
630,804.86328125
631,805.6328125
632,806.6640625
633,806.6640625
634,807.1796875
635,807.2421875
636,807.2421875
637,807.2421875
638,807.2421875
639,807.2421875
640,807.4921875
641,807.4921875
642,807.4921875
643,807.4921875
644,807.4921875
645,807.4921875
646,807.7421875
647,807.7421875
648,807.7421875
649,807.7421875
650,807.7421875
651,807.99609375
652,807.99609375
653,807.99609375
654,807.99609375
655,807.99609375
656,807.99609375
657,808.2421875
658,808.2421875
659,808.2421875
660,809.01171875
661,809.01171875
662,809.01171875
663,809.01171875
664,809.01171875
665,809.01171875
666,809.26953125
667,809.26953125
668,809.3671875
669,809.3671875
670,809.3671875
671,809.3671875
672,809.3671875
673,809.3671875
674,809.6171875
675,809.6171875
676,809.6171875
677,809.6171875
678,809.6171875
679,809.8671875
680,809.8671875
681,809.8671875
682,809.8671875
683,809.8671875
684,809.8671875
685,810.1171875
686,810.1171875
687,810.1171875
688,810.1171875
689,810.1171875
690,810.3671875
691,810.3671875
692,810.3671875
693,810.3671875
694,810.3671875
695,810.3671875
696,810.6171875
697,810.6171875
698,810.6171875
699,810.6171875
700,810.6171875
701,810.8671875
702,810.8671875
703,810.8671875
704,810.8671875
705,810.8671875
706,810.8671875
707,810.8671875
708,810.8671875
709,810.8671875
710,810.8671875
711,812.15234375
712,812.66796875
713,814.30859375
714,815.8515625
715,816.109375
716,816.3671875
717,816.3671875
718,816.3671875
719,816.49609375
720,816.49609375
721,816.49609375
722,816.49609375
723,816.49609375
724,818.12109375
725,818.12109375
726,818.12109375
727,818.12109375
728,818.12109375
729,818.375
730,818.375
731,818.375
732,818.375
733,818.375
734,818.375
735,818.6328125
736,818.6328125
737,818.6328125
738,818.6328125
739,818.6328125
740,818.87109375
741,818.87109375
742,818.87109375
743,818.87109375
744,818.87109375
745,819.12109375
746,819.12109375
747,819.12109375
748,819.12109375
749,819.12109375
750,819.12109375
751,819.37109375
752,819.37109375
753,819.37109375
754,819.625
755,819.625
756,819.87109375
757,819.87109375
758,819.87109375
759,819.87109375
760,819.87109375
761,820.12109375
762,820.12109375
763,820.12109375
764,820.6328125
765,820.6328125
766,820.6328125
767,820.875
768,820.875
769,820.875
770,820.875
771,820.875
772,821.125
773,821.125
774,821.125
775,821.125
776,821.125
777,821.375
778,821.375
779,821.375
780,821.375
781,821.375
782,821.625
783,821.625
784,821.625
785,821.625
786,821.625
787,821.625
788,821.875
789,821.875
790,821.875
791,821.875
792,821.875
793,822.125
794,822.125
795,822.125
796,822.125
797,822.125
798,822.375
799,822.375
800,822.375
801,822.375
802,824.17578125
803,824.17578125
804,825.72265625
805,826.23828125
806,826.23828125
807,826.23828125
808,826.23828125
809,826.23828125
810,826.23828125
811,826.23828125
812,826.23828125
813,826.23828125
814,826.23828125
815,826.23828125
816,826.23828125
817,826.23828125
818,827.52734375
819,827.52734375
820,827.52734375
821,827.52734375
822,827.52734375
823,827.52734375
824,827.52734375
825,827.52734375
826,827.81640625
827,827.81640625
828,827.81640625
829,827.81640625
830,827.81640625
831,827.81640625
832,828.06640625
833,828.06640625
834,828.06640625
835,828.06640625
836,828.06640625
837,828.31640625
838,828.31640625
839,828.31640625
840,828.31640625
841,828.31640625
842,828.56640625
843,828.56640625
844,828.56640625
845,828.56640625
846,828.56640625
847,828.56640625
848,828.81640625
849,828.81640625
850,828.81640625
851,828.81640625
852,828.81640625
853,829.06640625
854,829.06640625
855,829.06640625
856,829.06640625
857,829.06640625
858,829.06640625
859,829.31640625
860,829.31640625
861,829.31640625
862,829.31640625
863,829.31640625
864,829.56640625
865,829.56640625
866,829.56640625
867,829.56640625
868,829.56640625
869,829.56640625
870,829.81640625
871,829.81640625
872,829.81640625
873,831.1015625
874,831.875
875,834.14453125
876,834.14453125
877,834.14453125
878,834.40234375
879,834.40234375
880,834.40234375
881,834.5078125
882,834.5078125
883,834.5078125
884,835.01953125
885,835.27734375
886,835.76171875
887,835.76171875
888,835.76171875
889,835.76171875
890,835.76171875
891,835.76171875
892,835.76171875
893,835.76171875
894,835.76171875
895,835.76171875
896,836.01953125
897,836.01953125
898,836.1328125
899,836.1328125
900,836.1328125
901,836.1328125
902,836.1328125
903,836.1328125
904,836.38671875
905,836.38671875
906,836.38671875
907,836.38671875
908,836.38671875
909,836.6328125
910,836.6328125
911,836.6328125
912,836.6328125
913,836.6328125
914,836.8828125
915,836.8828125
916,836.8828125
917,836.8828125
918,836.8828125
919,837.1328125
920,837.64453125
921,837.64453125
922,837.64453125
923,837.64453125
924,837.64453125
925,837.90234375
926,837.90234375
927,837.90234375
928,837.90234375
929,837.90234375
930,838.6328125
931,838.6328125
932,838.6328125
933,838.88671875
934,838.88671875
935,839.0078125
936,839.51953125
937,839.51953125
938,839.51953125
939,839.51953125
940,839.7578125
941,839.7578125
942,839.7578125
943,839.7578125
944,839.7578125
945,840.26171875
946,842.58203125
947,842.58203125
948,842.83984375
949,842.83984375
950,842.94921875
951,842.94921875
952,842.94921875
953,842.94921875
954,842.94921875
955,843.203125
956,843.203125
957,843.203125
958,843.203125
959,843.203125
960,843.4609375
961,843.4609375
962,843.4609375
963,843.4609375
964,843.4609375
965,843.71875
966,843.71875
967,845.5234375
968,845.5234375
969,845.69921875
970,845.69921875
971,845.69921875
972,845.69921875
973,845.69921875
974,845.94921875
975,845.94921875
976,845.94921875
977,845.94921875
978,845.94921875
979,845.94921875
980,845.94921875
981,845.94921875
982,845.94921875
983,845.94921875
984,845.94921875
985,845.94921875
986,846.19921875
987,846.19921875
988,846.19921875
989,846.19921875
990,846.19921875
991,846.44921875
992,846.44921875
993,846.44921875
994,846.44921875
995,846.44921875
996,846.69921875
997,846.69921875
998,846.953125
999,847.46875
1000,847.7265625
1001,847.7265625
1002,847.82421875
1003,847.82421875
1004,847.82421875
1005,849.109375
1006,849.109375
1007,849.328125
1008,849.328125
1009,849.328125
1010,849.328125
1011,849.328125
1012,849.578125
1013,849.578125
1014,849.578125
1015,849.578125
1016,850.34765625
1017,850.578125
1018,850.578125
1019,850.578125
1020,850.578125
1021,850.578125
1022,850.578125
1023,850.828125
1024,850.828125
1025,850.828125
1026,850.828125
1027,850.828125
1028,851.078125
1029,851.078125
1030,851.078125
1031,851.078125
1032,851.328125
1033,851.328125
1034,851.328125
1035,851.328125
1036,851.328125
1037,851.578125
1038,852.86328125
1039,852.86328125
1040,853.12109375
1041,853.12109375
1042,853.203125
1043,853.203125
1044,853.203125
1045,853.203125
1046,853.203125
1047,853.453125
1048,853.453125
