,mem_usage,step,replay_usage
0,100,5138587648,288096
1,200,5139218432,576096
2,300,5328826368,864096
3,400,5330956288,1152096
4,500,5331189760,1440096
5,600,5331451904,1728096
6,700,5331685376,2016096
7,800,5341536256,2304096
8,900,5341634560,2592096
9,1000,5336027136,2880096
10,1100,5336027136,3168096
11,1200,5336027136,3456096
12,1300,5336027136,3744096
13,1400,5336027136,4032096
14,1500,5336027136,4320096
15,1600,5336027136,4608096
16,1700,5342703616,4896096
17,1800,5342965760,5184096
18,1900,5342179328,5472096
19,2000,5342441472,5760096
20,2100,5392375808,6048096
21,2200,5392609280,6336096
22,2300,5392871424,6624096
23,2400,5393489920,6912096
24,2500,5393899520,7200096
25,2600,5394710528,7488096
26,2700,5395042304,7776096
27,2800,5395304448,8064096
28,2900,5396881408,8352096
29,3000,5396881408,8640096
30,3100,5398257664,8928096
31,3200,5398257664,9216096
32,3300,5398257664,9504096
33,3400,5408337920,9792096
34,3500,5408354304,10080096
35,3600,5408616448,10368096
36,3700,5408849920,10656096
37,3800,5409083392,10944096
38,3900,5398417408,11232096
39,4000,5398626304,11520096
40,4100,5408092160,11808096
41,4200,5403172864,12096096
42,4300,5402251264,12384096
43,4400,5402251264,12672096
44,4500,5402386432,12960096
45,4600,5402648576,13248096
46,4700,5412089856,13536096
47,4800,5407137792,13824096
48,4900,5407137792,14112096
49,5000,5404364800,14400096
50,5100,5404368896,14688096
51,5200,5414727680,14976096
52,5300,5415317504,15264096
53,5400,5415579648,15552096
54,5500,5416431616,15840096
55,5600,5416693760,16128096
56,5700,5417680896,16416096
57,5800,5406461952,16704096
58,5900,5407776768,16992096
59,6000,5407776768,17280096
60,6100,5408235520,17568096
61,6200,5408497664,17856096
62,6300,5411381248,18144096
63,6400,5411381248,18432096
64,6500,5415837696,18720096
65,6600,5416824832,19008096
66,6700,5420236800,19296096
67,6800,5420478464,19584096
68,6900,5418078208,19872096
69,7000,5420892160,20160096
70,7100,5420892160,20448096
71,7200,5414825984,20736096
72,7300,5415092224,21024096
73,7400,5414338560,21312096
74,7500,5414338560,21600096
75,7600,5414338560,21888096
76,7700,5414338560,22176096
77,7800,5414338560,22464096
78,7900,5414338560,22752096
79,8000,5414338560,23040096
80,8100,5420457984,23328096
81,8200,5422030848,23616096
82,8300,5422030848,23904096
83,8400,5422817280,24192096
84,8500,5422243840,24480096
85,8600,5422243840,24768096
86,8700,5422243840,25056096
87,8800,5422243840,25344096
88,8900,5422243840,25632096
89,9000,5422243840,25920096
90,9100,5422243840,26208096
91,9200,5422243840,26496096
92,9300,5422243840,26784096
93,9400,5422243840,27072096
94,9500,5426794496,27360096
95,9600,5427216384,27648096
96,9700,5432561664,27936096
97,9800,5431021568,28224096
98,9900,5431021568,28512096
99,10000,5431021568,28800096
