,mem_usage,step
0,5638434816,100
1,6114336768,200
2,6589759488,300
3,7056601088,400
4,7527276544,500
5,7971008512,600
6,8334413824,700
7,8721821696,800
8,9159569408,900
9,9601564672,1000
10,10023612416,1100
11,10471145472,1200
12,10894372864,1300
13,11300343808,1400
14,11766587392,1500
15,12191879168,1600
16,12676820992,1700
17,13123141632,1800
18,13535797248,1900
19,13999190016,2000
20,14403354624,2100
21,14725709824,2200
22,15169298432,2300
23,15621173248,2400
24,16044326912,2500
25,16523120640,2600
26,16999510016,2700
27,17419264000,2800
28,17846919168,2900
29,18222276608,3000
30,18616627200,3100
31,18998099968,3200
32,19527733248,3300
33,19998564352,3400
34,20349714432,3500
35,20847808512,3600
36,21299671040,3700
37,21728952320,3800
38,22175363072,3900
39,22523711488,4000
40,22957613056,4100
41,23342768128,4200
42,23760580608,4300
43,24225337344,4400
44,24621301760,4500
45,25037053952,4600
46,25520046080,4700
47,25995169792,4800
48,26358435840,4900
49,26763071488,5000
50,27122978816,5100
