episode,sim/wall,total steps,steps/sec,score
0,0.40527335151020727,377,4.052733442392285,"000: 8.9155, 008: -5.9209, 001: 10.9316, 007: 10.6508, 005: 8.8443, 004: 10.7696, 009: 10.4330, 006: 8.9981, 003: 5.7039, 002: 0.5215"
1,0.43269888807434137,186,4.326988712748268,"000: 5.4337, 008: 3.4180, 001: -12.9477, 007: 3.5344, 005: 5.4139, 004: 0.4889, 009: 5.3550, 006: 5.5050, 003: 5.6309, 002: -1.6428"
2,0.5138003007061003,170,5.138002747895078,"000: -0.5394, 008: 4.8970, 001: 4.3391, 007: -1.7632, 005: 4.6011, 004: 2.6865, 009: 0.1440, 006: 4.5250, 003: 5.1765, 002: -0.3161"
3,0.5366225359987167,103,5.366224826737454,"000: -0.9088, 008: 3.0621, 001: 0.9626, 007: -0.9037, 005: 3.0563, 004: 0.2240, 009: 2.9625, 006: 3.0402, 003: -0.2122, 002: 3.0365"
4,0.46270939112873166,67,4.627093377977091,"000: 1.9452, 008: 1.7365, 001: 1.1281, 007: 1.6451, 005: -0.4090, 004: 2.0290, 009: -0.4135, 006: -7.6373, 003: -11.3009, 002: -0.1312"
5,0.48287509317647126,182,4.828750687405745,"000: 5.3943, 008: -5.3054, 001: 0.8283, 007: 4.9168, 005: -0.0512, 004: 5.4469, 009: 5.2861, 006: 1.7571, 003: -4.0166, 002: 4.9925"
6,0.3818434017568125,187,3.8184338688516646,"000: 5.0945, 008: 5.3263, 001: 4.3483, 007: -3.4482, 005: -4.3080, 004: 5.3891, 009: 5.1923, 006: 0.1528, 003: -4.7051, 002: 5.5100"
7,0.2875439768111969,137,2.8754396386117307,"000: 4.1078, 008: 0.9488, 001: -4.6627, 007: 4.0837, 005: -5.8907, 004: 4.2690, 009: 4.0071, 006: 0.5772, 003: 4.1740, 002: -0.3276"
8,0.31627555338464414,146,3.1627553704966944,"000: 2.9231, 008: 4.1600, 001: 4.1333, 007: -3.9938, 005: 2.0255, 004: -1.4374, 009: 4.4663, 006: 4.1983, 003: 0.1701, 002: 2.6362"
9,0.2616141153252028,100,2.616141006391554,"000: 2.8464, 008: -1.8965, 001: 3.0209, 007: 2.8687, 005: -2.6087, 004: -0.8373, 009: -0.9329, 006: 2.4676, 003: -8.1883, 002: 3.0441"
10,0.2782074462193485,239,2.782074400424613,"000: -1.9201, 008: 6.6095, 001: 6.6298, 007: 2.3255, 005: -10.7708, 004: 7.1312, 009: 3.6434, 006: -0.1794, 003: 3.6419, 002: 6.3234"
11,0.25270351164724075,77,2.5270349582886515,"000: -1.1583, 008: -3.7788, 001: -0.3733, 007: 2.3564, 005: -14.6291, 004: 0.0932, 009: 2.2780, 006: 2.2594, 003: 2.2769, 002: 2.3077"
12,0.31708309817974084,249,3.170830924035946,"000: 0.6634, 008: -0.8185, 001: 6.8033, 007: -2.8083, 005: 7.2988, 004: 6.9421, 009: 7.1859, 006: 0.9855, 003: 2.1473, 002: 6.6040"
13,0.30228229992906197,131,3.0228228995101665,"000: 3.6456, 008: -0.3856, 001: 3.5832, 007: 3.9829, 005: 3.5702, 004: -1.9884, 009: -2.0388, 006: 0.5802, 003: 1.6250, 002: 0.6553"
14,0.26689656881730534,200,2.6689656117475025,"000: 4.1678, 008: -3.5827, 001: -0.1128, 007: 5.9555, 005: 5.8875, 004: 2.2034, 009: 6.0228, 006: 5.6886, 003: 4.7211, 002: 0.9629"
15,0.2622249974650148,217,2.622249914210974,"000: -0.8126, 008: 3.6613, 001: 6.4241, 007: -15.2916, 005: 1.0416, 004: 6.5734, 009: 6.3857, 006: 4.2260, 003: 3.2361, 002: 4.9682"
16,0.27957516187388437,104,2.7957514395529164,"000: 3.0722, 008: -5.9749, 001: -0.4486, 007: -0.4256, 005: 2.5594, 004: 0.3234, 009: 1.8425, 006: 2.4973, 003: 2.7048, 002: 3.1936"
17,0.31395515502154164,141,3.139551450213699,"000: 3.7749, 008: 4.2557, 001: -8.7532, 007: -0.8515, 005: -2.7178, 004: -16.3501, 009: 3.9345, 006: 4.1817, 003: 3.6434, 002: -0.0775"
18,0.31021171170723966,111,3.1021169930543944,"000: -6.1253, 008: 3.2956, 001: -0.3425, 007: -4.6321, 005: 3.3817, 004: 2.1350, 009: -1.4213, 006: -2.6266, 003: 3.2842, 002: 3.0278"
19,0.32945412212287445,97,3.2945410611589145,"000: -1.2347, 008: 2.8084, 001: -1.0513, 007: 2.8556, 005: 2.6525, 004: -0.7801, 009: 0.8455, 006: -1.6421, 003: 3.0018, 002: -3.5428"
