episode,sim/wall,total steps,steps/sec,score
0,0.7091132014135593,395,7.091131771326966,"000: 0.3811, 002: 0.8333, 004: 11.2360, 008: 11.4748, 003: 4.0460, 006: 11.1505, 007: 0.2031, 009: 11.3799, 001: 11.4483, 005: 0.7351"
1,0.6012515254054872,239,6.012514785243761,"000: 6.9417, 002: -1.6430, 004: 6.9405, 008: -1.0954, 003: 6.9198, 006: 6.2799, 007: 3.5083, 009: 2.4728, 001: 1.6364, 005: 6.9286"
2,0.6375649824196344,159,6.375649336575978,"000: -2.4634, 002: 2.1280, 004: 3.3805, 008: 4.6103, 003: 4.8477, 006: 4.0988, 007: -1.7646, 009: -0.2418, 001: 4.2815, 005: 4.6315"
3,0.6736210193288683,94,6.736209157464741,"000: -0.5101, 002: 2.5742, 004: -0.7980, 008: 2.5503, 003: -0.2635, 006: 2.7204, 007: -0.5198, 009: 2.5919, 001: -0.1021, 005: 2.7823"
4,0.5697615679256262,77,5.697614774611415,"000: 2.3237, 002: 0.3890, 004: 2.2557, 008: 1.8945, 003: -10.7616, 006: -4.1085, 007: 1.9042, 009: 0.3724, 001: 1.6834, 005: 0.3985"
5,0.5426101599518283,144,5.426101209537324,"000: 4.2619, 002: 3.9703, 004: 4.1415, 008: -5.3083, 003: -3.9978, 006: 1.4254, 007: -17.9708, 009: 3.9546, 001: 4.2979, 005: -1.0791"
6,0.4480148068087162,383,4.4801479931189245,"000: 10.5777, 002: 11.3087, 004: 4.1130, 008: 10.1888, 003: 10.6945, 006: 0.6274, 007: 8.4863, 009: -24.1215, 001: 10.8364, 005: -3.9895"
7,0.3648965059754194,105,3.6489648481188386,"000: -0.8480, 002: 0.6486, 004: 2.8829, 008: 0.7823, 003: 3.0338, 006: 0.6594, 007: 3.0422, 009: 3.2179, 001: 3.1097, 005: -1.1089"
8,0.38157631453443036,188,3.8157629606961185,"000: 4.9082, 002: -1.0564, 004: -1.8144, 008: 5.0211, 003: 5.2051, 006: 5.2507, 007: -4.0674, 009: 0.1824, 001: 5.5308, 005: 2.0368"
9,0.31658100829912383,95,3.165809881768912,"000: 2.6352, 002: 2.8875, 004: -0.8500, 008: -20.8921, 003: -0.0401, 006: 2.2212, 007: 2.8546, 009: 0.5337, 001: 2.8098, 005: -1.3253"
10,0.3123744695084917,339,3.1237446539090543,"000: 9.7170, 002: 7.9940, 004: 10.2935, 008: 0.0418, 003: 9.6115, 006: -11.6677, 007: 1.6185, 009: 9.8567, 001: 9.9407, 005: -10.8107"
11,0.2768873535642582,74,2.7688733627355604,"000: -0.9752, 002: 2.2351, 004: 0.0575, 008: -3.7776, 003: 2.1056, 006: 2.2351, 007: 2.2027, 009: 2.0779, 001: -5.2483, 005: -14.5865"
12,0.33596963423342774,242,3.3596962533701835,"000: 0.4712, 002: 6.5905, 004: 6.6589, 008: -0.8179, 003: 6.8885, 006: 1.2627, 007: 6.9983, 009: 2.8894, 001: 0.7908, 005: 6.7210"
13,0.34888895434269235,105,3.4888893499526374,"000: 2.9167, 002: 0.5625, 004: 0.0304, 008: -2.3701, 003: 3.2480, 006: 3.0335, 007: -0.7702, 009: -1.8991, 001: 3.1053, 005: 3.0722"
14,0.2827043435919903,261,2.8270433848149987,"000: 3.7493, 002: 2.4592, 004: 7.7380, 008: 7.1133, 003: 2.4747, 006: 5.8028, 007: 7.8115, 009: 7.5063, 001: 0.1979, 005: 7.4547"
15,0.28838297399349905,181,2.8838296303879276,"000: 5.3255, 002: 5.2553, 004: 5.4412, 008: 3.5486, 003: 3.2650, 006: 5.0293, 007: 2.2004, 009: 3.0249, 001: 5.5600, 005: 1.0091"
16,0.3222212633294496,134,3.222212485508373,"000: 3.8784, 002: 4.0506, 004: 3.9600, 008: -6.0294, 003: 3.4863, 006: 3.4970, 007: 0.4651, 009: 1.6340, 001: 0.5910, 005: -1.7593"
17,0.3059846994540187,82,3.059846803983726,"000: 2.1332, 002: -0.4535, 004: -12.2350, 008: 2.4942, 003: 2.3960, 006: 2.4984, 007: -0.8454, 009: 2.2353, 001: 1.3424, 005: -0.4676"
18,0.31483526333427453,103,3.1483524956786004,"000: -0.8254, 002: 1.6338, 004: 2.9931, 008: 3.1391, 003: 3.0298, 006: -10.5226, 007: -4.5303, 009: -1.4226, 001: -2.9183, 005: 3.1494"
19,0.3518860124405371,77,3.518859856024607,"000: -1.5288, 002: -3.7582, 004: -0.7876, 008: 2.2094, 003: 0.0287, 006: -1.5414, 007: 2.2970, 009: 2.2664, 001: 0.5858, 005: 2.1992"
20,0.3147061910879613,181,3.147061819558725,"000: 2.6032, 002: -1.1405, 004: 5.2153, 008: 4.8536, 003: 5.6075, 006: 5.4883, 007: 3.7746, 009: 2.6268, 001: -0.6996, 005: 1.3532"
21,0.2999708933955866,145,2.999708815591685,"000: 0.2051, 002: 3.8585, 004: 4.4360, 008: 1.8478, 003: 0.2029, 006: 4.0923, 007: 4.2306, 009: 1.7730, 001: 2.3474, 005: 3.8297"
22,0.3194580841877586,137,3.1945807175563505,"000: 2.9390, 002: -2.8250, 004: -1.2025, 008: 4.0613, 003: -0.8210, 006: 3.6094, 007: 3.7221, 009: -6.3448, 001: -0.3047, 005: 4.1056"
23,0.30071728765863737,125,3.0071727558481185,"000: 1.9123, 002: -2.3308, 004: -0.1389, 008: 3.3906, 003: 3.1360, 006: 3.7917, 007: -0.0472, 009: 3.6588, 001: -0.1056, 005: 3.5558"
24,0.298907398882858,122,2.9890738666059518,"000: 3.7218, 002: 0.8820, 004: -2.9048, 008: 1.3633, 003: 3.0729, 006: 2.3072, 007: 1.7328, 009: 3.7400, 001: 3.5672, 005: 3.5933"
25,0.2943201668181255,126,2.94320153705201,"000: 3.7698, 002: 1.8958, 004: 2.7072, 008: 3.6720, 003: 3.6464, 006: -6.9503, 007: 1.7412, 009: 2.7976, 001: 3.7180, 005: -4.8415"
