episode,sim/wall,total steps,steps/sec,score
0,0.17314058861777498,134,1.7314058488414645,"017: -1.6498, 022: 2.6225, 003: -0.3025, 011: 3.7569, 021: -0.1331, 028: 3.9720, 020: 0.1182, 007: 3.5859, 025: -0.0620, 010: 3.8356, 016: 0.6430, 012: 3.9786, 005: 0.4725, 018: 3.8671, 006: 3.4133, 002: -4.9129, 026: 3.8459, 015: -6.6699, 027: -10.5678, 023: 3.6090, 014: 4.0047, 019: 3.8698, 001: 3.9994, 009: 0.6151, 024: 2.4633, 000: -0.0784, 029: 3.9764, 004: 3.9095, 013: -0.2943, 008: 3.9459"
1,0.17460972712315678,159,1.7460972438012348,"017: 4.6713, 003: 0.7589, 022: -11.1921, 011: 4.6343, 021: 4.5887, 028: 4.7507, 020: 1.7445, 007: 4.6489, 025: -6.3738, 010: -2.9003, 016: 4.7090, 012: 4.6079, 018: -1.5330, 005: -0.3459, 006: -12.2304, 002: 1.5081, 026: 3.6916, 027: 1.8068, 015: 1.7626, 023: 4.8944, 014: 4.6852, 019: 4.3245, 001: -0.8528, 009: 4.8274, 024: 4.6310, 000: 4.5655, 029: 4.7040, 004: 1.5534, 013: 1.7660, 008: 4.0150"
2,0.17278496472452176,165,1.7278496213619388,"017: -2.0886, 022: 4.8927, 003: -5.7556, 011: 4.1790, 021: 4.6468, 028: 4.7923, 020: 0.1464, 007: 3.1588, 025: 4.9324, 010: 1.4272, 016: 4.7504, 012: 4.8717, 005: 4.7759, 018: -6.8359, 006: -0.9198, 002: -15.4703, 026: -0.3167, 015: 3.2672, 027: 0.6220, 023: -2.9408, 014: 4.7466, 019: 4.6412, 001: -0.2735, 009: -0.4453, 024: 4.8011, 000: 4.7667, 029: 1.1078, 004: 4.7980, 013: 4.9435, 008: 0.0594"
3,0.17366730168683914,176,1.7366729964400294,"017: -0.7314, 003: 5.2420, 022: 5.1733, 011: 3.6876, 021: 5.2380, 028: 5.1653, 020: 4.7903, 007: 5.2938, 025: 5.2776, 010: -0.9493, 016: 5.3155, 012: -3.5027, 018: 1.7902, 005: 5.1270, 006: 5.1539, 002: 4.9343, 026: -11.2145, 027: 2.3023, 015: 5.0406, 023: 5.2749, 014: -7.6997, 019: 4.9426, 001: -4.6112, 009: -0.8398, 024: 4.6667, 000: 4.7846, 029: 4.9583, 004: 0.1523, 013: -3.8233, 008: -11.4672"
4,0.18429708519540905,335,1.842970837450235,"017: 8.9874, 022: 5.1312, 003: 9.9088, 011: 9.4066, 021: -5.7834, 028: 9.8994, 020: 9.9741, 007: 9.3434, 025: 9.9162, 010: 5.6117, 016: 9.4769, 012: 1.2770, 005: -1.5279, 018: 9.6897, 006: 9.6297, 002: 9.9382, 026: -0.4735, 015: 1.4093, 027: 9.3668, 023: 6.4266, 014: -0.7963, 019: 10.0280, 001: 1.4160, 009: 9.5790, 024: 9.7100, 000: 2.5653, 029: -6.9441, 004: 9.6252, 013: 1.6909, 008: 9.9532"
5,0.1497095311832386,166,1.497095289298871,"017: 5.0944, 003: 5.1014, 022: 4.3896, 011: 3.2658, 021: 0.3956, 028: 4.5936, 020: 5.0132, 007: 4.7271, 025: -2.0385, 010: 4.7805, 016: -0.8267, 012: 5.0019, 018: -3.1223, 005: 4.2992, 006: 5.0005, 002: 5.0330, 026: -0.1996, 027: 0.4459, 015: 2.4338, 023: -0.8457, 014: 4.8393, 019: 4.9406, 001: 4.3400, 009: 4.8706, 024: 3.3191, 000: 2.4311, 029: 4.8511, 004: -17.4729, 013: -0.5821, 008: 4.3407"
6,0.13808234112537177,149,1.3808233929482279,"017: 4.4902, 022: -1.4268, 003: -0.8444, 011: -1.7261, 021: 4.3084, 028: -0.2747, 020: -4.5618, 007: 4.4170, 025: 0.2954, 010: 4.2950, 016: 2.1647, 012: 4.4417, 005: 4.2606, 018: 4.4302, 006: 3.8370, 002: 4.2103, 026: -0.2846, 015: 2.4268, 027: 4.5009, 023: 2.1892, 014: -14.3790, 019: -2.8372, 001: -2.6436, 009: 3.2462, 024: 4.0270, 000: -14.7473, 029: 4.1838, 004: 4.3730, 013: 4.3652, 008: -9.0628"
7,0.10465301115337716,178,1.0465301027319047,"017: 3.4522, 003: 5.0961, 022: 5.0411, 011: 4.9087, 021: 0.0697, 028: 4.9658, 020: 3.4008, 007: 5.3181, 025: -1.7834, 010: 5.0992, 016: -1.0763, 012: 5.1124, 018: 0.0110, 005: 5.3249, 006: 5.1651, 002: 5.1505, 026: -2.2282, 027: -0.3439, 015: -7.3153, 023: 5.1162, 014: 5.1927, 019: -7.3306, 001: -0.7890, 009: -57.3865, 024: 3.0350, 000: 2.1867, 029: 4.5652, 004: 5.3598, 013: -0.5323, 008: 3.2576"
8,0.09350546668086862,130,0.9350546555841402,"017: 2.2254, 022: 3.6987, 003: 3.9714, 011: 3.7873, 021: 3.7308, 028: 1.9005, 020: 2.2927, 007: -1.8235, 025: -2.8929, 010: 3.7680, 016: -0.7790, 012: 1.0052, 005: 3.9091, 018: 0.9137, 006: 0.3080, 002: 3.9504, 026: 3.7400, 015: 3.8444, 027: 2.4248, 023: 0.8109, 014: 3.8226, 019: 0.9096, 001: 3.5524, 009: -0.7204, 024: 3.8105, 000: 3.8197, 029: -1.5328, 004: 3.8760, 013: 3.3774, 008: 3.2837"
9,0.09679059049220279,193,0.9679058979781782,"017: 1.2479, 003: 5.2635, 022: 0.4779, 011: 5.1820, 021: 1.4409, 028: -8.0692, 020: 1.8223, 007: 5.0525, 025: 5.6416, 010: 5.6188, 016: 5.6359, 012: -2.3858, 018: 3.6831, 005: 0.9231, 006: 0.0632, 002: -12.1399, 026: 5.6754, 027: 5.5817, 015: 5.0292, 023: 5.8395, 014: 0.1681, 019: 5.4556, 001: 5.7897, 009: -0.9282, 024: 5.0518, 000: 2.4845, 029: 5.5988, 004: 5.3848, 013: 5.2879, 008: 5.4514"
