,mem_usage,step
0,5390921728,100
1,5394636800,200
2,5405212672,300
3,5406633984,400
4,5434220544,500
5,5427183616,600
6,5430947840,700
7,5454749696,800
8,5461225472,900
9,5465489408,1000
10,5550141440,1100
11,5584629760,1200
12,5584547840,1300
13,5586903040,1400
14,5620129792,1500
15,5622779904,1600
16,5629915136,1700
17,5667434496,1800
18,5667434496,1900
19,5673848832,2000
20,5675388928,2100
21,5657047040,2200
22,5709385728,2300
23,5735530496,2400
24,5723955200,2500
25,5745070080,2600
26,5745070080,2700
27,5758873600,2800
28,5770055680,2900
29,5773234176,3000
30,5798600704,3100
31,5832970240,3200
32,5832970240,3300
33,5836128256,3400
34,5844238336,3500
35,5852372992,3600
36,5850406912,3700
37,5879160832,3800
38,5882392576,3900
39,5927862272,4000
40,5929578496,4100
41,5938933760,4200
42,5936271360,4300
43,5945483264,4400
44,5945221120,4500
45,5950820352,4600
46,5971730432,4700
47,5974913024,4800
48,5976412160,4900
