episode,sim/wall,total steps,steps/sec,score
0,1.8040211185066506,90,18.04020342575579,"018: -1.2289, 009: -1.0585, 012: -1.8282, 008: -0.9762, 016: -1.0008, 017: -1.5212, 003: -1.1880, 005: -1.6897, 007: -1.8997, 000: -1.2256, 022: -1.6973, 011: -0.9739, 006: -1.0919, 023: -1.2074, 019: -0.8933, 024: -1.0308, 020: -1.7516, 013: -0.9838, 015: -1.0727, 004: -1.7488, 002: -1.7178, 010: -1.4731, 021: -1.5155, 001: -1.0698, 014: -4.7176"
1,1.0083602372446507,46,10.083598156418446,"018: -1.5142, 009: -1.2630, 012: -0.9808, 008: -0.9701, 016: -0.9717, 017: -2.8517, 003: -1.5076, 007: -1.3523, 005: -0.9554, 000: -1.4853, 022: -1.0966, 011: -1.6248, 006: -2.6690, 023: -3.3915, 024: -1.0589, 019: -2.2432, 020: -1.2548, 013: -1.4819, 015: -0.9757, 004: -1.5240, 002: -1.0752, 010: -1.0646, 021: -0.8699, 001: -1.3990, 014: -1.3831"
2,0.8390125246835335,43,8.390121734056113,"018: -0.7265, 009: -1.7525, 012: -0.9755, 008: -0.9787, 016: -2.1243, 017: -1.2701, 003: -1.5188, 007: -1.4335, 005: -1.4529, 000: -1.6764, 022: -3.8620, 011: -1.7230, 006: -1.0701, 023: -1.6170, 024: -1.1404, 019: -1.4722, 020: -1.5899, 013: -1.0703, 015: -1.3596, 004: -1.5506, 010: -2.2072, 002: -1.7645, 021: -2.3386, 001: -0.1252, 014: -1.4786"
3,0.8226842422189289,35,8.226838272833271,"018: -0.9905, 009: -1.1529, 012: -1.3290, 008: -1.0660, 016: -1.8703, 017: -2.7011, 003: -0.9688, 007: -0.2494, 005: -2.3656, 000: -0.9465, 022: -1.4180, 011: -1.8680, 006: -1.0742, 023: -0.9310, 024: -1.5091, 019: -1.4580, 020: -1.7050, 013: -1.4296, 015: -2.1618, 004: -1.1284, 010: -1.9124, 002: -0.7440, 021: -1.4184, 001: -0.6637, 014: -0.8148"
4,0.7568142832511559,27,7.5681377747927465,"018: -2.7547, 009: -1.4147, 012: -1.0757, 008: -0.9783, 016: -2.4680, 017: -1.2670, 003: -1.4233, 007: -1.8708, 005: -1.4702, 000: -1.4207, 022: -1.8017, 011: -0.9717, 006: -1.5584, 023: -0.7382, 024: -1.4420, 019: -2.5201, 020: -0.8852, 013: -1.0999, 015: -1.5672, 004: -0.9706, 010: -1.5054, 002: -1.5605, 021: -1.0675, 001: -0.9226, 014: -1.0640"
5,0.5163991763426834,25,5.163989220282818,"018: -0.8913, 009: -1.4329, 012: -1.4873, 008: -1.9689, 016: -1.1510, 017: -1.4952, 003: -1.3508, 007: -1.7728, 005: -1.0222, 000: -1.6756, 022: -1.9753, 011: -1.4485, 006: -2.0637, 023: -2.1338, 024: -0.5968, 019: -1.6202, 020: -1.1794, 013: -1.4450, 015: -1.5527, 004: -2.6528, 010: -1.7305, 002: -1.9748, 021: -0.7261, 001: -1.4220, 014: -1.8602"
6,0.8163797506209974,51,8.163794702089117,"018: -0.9694, 009: -0.9778, 012: -1.4733, 008: -1.4048, 016: -1.0272, 017: -1.9562, 003: -4.3101, 007: -2.6493, 005: -1.4714, 000: -1.0993, 022: -1.9555, 011: -1.9668, 006: -1.3688, 023: -2.5257, 024: -1.6508, 019: -1.0573, 020: -2.1286, 013: -1.0532, 015: -1.0721, 004: -1.5492, 010: -1.3873, 002: -1.4302, 021: -1.7225, 001: -1.4783, 014: -1.4388"
7,0.9860981122582589,44,9.860976907389485,"018: -1.5068, 009: -1.1393, 012: -1.2077, 008: -0.9877, 016: -0.9766, 017: -0.2201, 003: -0.9338, 007: -1.4897, 005: -2.5211, 000: -1.9565, 022: -1.4520, 011: -1.0706, 006: -1.7076, 023: -1.0703, 024: -1.8066, 019: -1.2559, 020: -1.4963, 013: -1.3797, 015: -1.6291, 004: -0.7966, 010: -2.9215, 002: -2.2370, 021: -1.5613, 001: -1.4117, 014: -1.4194"
8,0.9259374381870072,50,9.25936988483936,"018: -2.2974, 009: -2.4532, 012: -3.4034, 008: -1.9008, 016: -0.7160, 017: -1.4940, 003: -1.0395, 007: -2.3457, 005: -1.2694, 000: -1.4019, 022: -1.2572, 011: -1.3410, 006: -1.8225, 023: -1.2560, 024: -1.1482, 019: -0.9636, 020: -1.1328, 013: -1.3464, 015: -1.5292, 004: -1.1842, 010: -0.8149, 002: -1.6370, 021: -2.2061, 001: -2.2574, 014: -1.4948"
9,1.1673760143696894,60,11.673755270065213,"018: -1.4119, 009: -1.0499, 012: -1.5332, 008: -2.2402, 016: -1.3480, 017: -1.1899, 003: -1.7884, 007: -2.5192, 005: -0.9762, 000: -0.9310, 022: -2.0586, 011: -1.0996, 006: -5.0337, 023: -1.4565, 024: -2.0158, 019: -2.6613, 020: -0.9738, 013: -1.0776, 015: -1.0708, 004: -2.5965, 010: -1.0419, 002: -1.3257, 021: -1.0711, 001: -2.3187, 014: -0.8146"
