ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,464.542,464.542,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,0.892,0.892,464.518,464.518,marl_scalability/train.py:51(train)
3635,0.173,0.000,347.073,0.095,/marl/marl_scalability/env/scalability_env.py:112(step)
3735,0.024,0.000,312.384,0.084,/src/smarts/core/smarts.py:167(step)
3735,0.158,0.000,312.360,0.084,/src/smarts/core/smarts.py:193(_step)
3785,0.364,0.000,215.298,0.057,/src/smarts/core/agent_manager.py:132(observe)
23004,0.893,0.000,212.629,0.009,/src/smarts/core/sensors.py:180(observe)
115058,1.207,0.000,98.656,0.001,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
69050,0.161,0.000,84.544,0.001,/src/smarts/core/waypoints.py:170(closest_waypoint_batched)
30901919/23609623,25.148,0.000,75.215,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
710321,2.663,0.000,74.059,0.000,{built-in method builtins.min}
50,0.001,0.000,73.821,1.476,/src/smarts/env/hiway_env.py:187(reset)
50,0.002,0.000,65.648,1.313,/src/smarts/core/smarts.py:301(reset)
1105336,3.257,0.000,63.710,0.000,{built-in method builtins.sorted}
23004,0.088,0.000,62.649,0.003,/src/smarts/core/sensors.py:995(__call__)
23004,0.049,0.000,61.473,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
3735,0.061,0.000,59.537,0.016,/src/smarts/core/smarts.py:695(_step_providers)
5726664,10.069,0.000,58.760,0.000,/src/smarts/core/waypoints.py:64(dist_to)
24700,0.200,0.000,56.981,0.002,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
74262,0.842,0.000,52.038,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
3735,40.260,0.011,48.739,0.013,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
23004,0.231,0.000,48.007,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
6228481,3.233,0.000,45.535,0.000,<__array_function__ internals>:2(norm)
115058,0.287,0.000,45.081,0.000,/src/smarts/core/waypoints.py:318(<listcomp>)
4660309,9.815,0.000,43.234,0.000,/src/smarts/core/waypoints.py:320(<lambda>)
74073,2.113,0.000,42.638,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
