,mem_usage
0,480.1328125
1,480.26953125
2,655.2734375
3,701.28125
4,703.06640625
5,703.25
6,703.328125
7,703.26171875
8,704.58984375
9,706.1796875
10,707.63671875
11,709.1953125
12,710.4453125
13,711.94921875
14,711.94921875
15,713.7109375
16,711.0625
17,711.0625
18,711.0625
19,711.0625
20,712.31640625
21,714.1328125
22,715.47265625
23,715.75
24,718.03515625
25,718.1328125
26,718.1328125
27,718.1328125
28,718.1328125
29,718.1328125
30,718.1328125
31,718.1328125
32,718.1328125
33,718.921875
34,721.19921875
35,721.08984375
36,721.08984375
37,721.08984375
38,721.08984375
39,721.08984375
40,721.08984375
41,721.08984375
42,721.08984375
43,721.08984375
44,721.08984375
45,721.265625
46,721.265625
47,721.265625
48,721.265625
49,721.265625
50,721.265625
51,721.265625
52,725.86328125
53,726.32421875
54,727.57421875
55,728.32421875
56,727.58203125
57,727.58203125
58,727.58203125
59,727.58203125
60,727.58203125
61,727.58203125
62,727.58203125
63,728.95703125
64,729.45703125
65,728.87109375
66,728.87109375
67,728.87109375
68,728.87109375
69,728.87109375
70,711.109375
