,mem_usage
0,478.23046875
1,478.37890625
2,558.04296875
3,774.44921875
4,801.6953125
5,804.7421875
6,809.21875
7,811.1796875
8,811.1796875
9,811.1796875
10,811.1796875
11,811.1796875
12,811.1796875
13,811.1796875
14,811.1796875
15,811.1796875
16,811.1796875
17,811.1796875
18,811.1796875
19,811.1796875
20,811.1796875
21,811.1796875
22,811.39453125
23,811.65234375
24,812.27734375
25,815.1875
26,818.25
27,818.5078125
28,820.21484375
29,820.21484375
30,820.21484375
31,820.1484375
32,820.1484375
33,820.1484375
34,820.1484375
35,820.1484375
36,820.1484375
37,820.1484375
38,820.3515625
39,822.30859375
40,823.07421875
41,823.953125
42,823.953125
43,823.953125
44,823.953125
45,823.953125
46,823.953125
47,823.953125
48,823.953125
49,823.953125
50,823.953125
51,823.953125
52,823.953125
53,823.953125
54,823.953125
55,823.953125
56,823.953125
57,824.20703125
58,827.765625
59,828.796875
60,828.796875
61,828.796875
62,828.796875
63,828.796875
64,828.796875
65,828.796875
66,828.796875
67,828.796875
68,828.796875
69,828.796875
70,828.796875
71,828.796875
72,828.796875
73,828.796875
74,831.671875
75,832.4453125
76,832.89453125
77,834.39453125
78,834.39453125
79,834.39453125
80,834.39453125
81,834.39453125
82,834.39453125
83,834.39453125
84,834.39453125
85,834.39453125
86,834.39453125
87,834.39453125
88,834.39453125
89,834.39453125
90,837.46875
91,837.984375
92,838.671875
93,838.9296875
94,838.9296875
95,838.9296875
96,838.9296875
97,838.9296875
98,838.9296875
99,838.9296875
100,838.9296875
101,838.9296875
102,838.9296875
103,838.9296875
104,838.9296875
105,838.9296875
106,839.1875
107,839.1875
108,839.703125
109,839.9609375
110,840.98828125
111,843.8203125
112,844.43359375
113,844.43359375
114,844.43359375
115,844.43359375
116,844.43359375
117,844.43359375
118,844.43359375
119,844.43359375
120,844.43359375
121,844.43359375
122,844.43359375
123,844.43359375
124,844.43359375
125,844.43359375
126,844.69140625
127,847.76953125
128,847.76953125
129,848.02734375
130,848.02734375
131,848.02734375
132,848.02734375
133,848.02734375
134,848.02734375
135,848.02734375
136,848.02734375
137,848.28515625
138,850.08984375
139,851.8046875
140,851.8046875
141,851.8046875
