,mem_usage
0,477.41796875
1,477.55859375
2,558.875
3,852.6484375
4,967.16796875
5,972.765625
6,982.30078125
7,983.7578125
8,984.0078125
9,984.0078125
10,984.0078125
11,984.0078125
12,984.02734375
13,984.02734375
14,984.02734375
15,984.02734375
16,984.02734375
17,984.02734375
18,984.02734375
19,984.02734375
20,984.02734375
21,984.02734375
22,984.8984375
23,989.60546875
24,990.37890625
25,991.66015625
26,991.66015625
27,991.66015625
28,991.66015625
29,991.88671875
30,991.88671875
31,991.88671875
32,991.88671875
33,991.88671875
34,991.88671875
35,991.88671875
36,991.88671875
37,991.88671875
38,991.88671875
39,994.6328125
40,995.671875
41,996.66015625
42,996.91015625
43,996.91015625
44,996.68359375
45,996.68359375
46,996.68359375
47,996.68359375
48,996.68359375
49,996.68359375
50,996.68359375
51,996.68359375
52,996.68359375
53,996.68359375
54,998.95703125
55,999.7265625
56,1000.7890625
57,1000.7890625
58,1000.7890625
59,1000.7890625
60,1000.7890625
61,1000.7890625
62,1000.7890625
63,1000.7890625
64,1000.7890625
65,1000.7890625
66,1000.7890625
67,1000.7890625
68,1000.7890625
69,1000.7890625
70,1000.7890625
71,1000.7890625
72,1001.0390625
73,1004.16015625
74,1004.41796875
75,1006.34765625
76,1006.4609375
77,1006.4609375
78,1006.4609375
79,1006.4609375
80,1006.4609375
81,1006.4609375
82,1006.4609375
83,1006.4609375
84,1006.4609375
85,1006.4609375
86,1006.4609375
87,1006.71484375
88,1008.76953125
89,1009.02734375
90,1009.94140625
91,1010.69921875
92,1010.69921875
93,1010.69921875
94,1010.69921875
95,1010.69921875
96,1010.69921875
97,1010.69921875
98,1010.69921875
99,1010.69921875
100,1010.69921875
101,1010.69921875
102,1010.95703125
103,1013.01953125
104,1013.27734375
105,1014.30859375
106,1014.30859375
107,1014.30859375
108,1014.30859375
109,1014.30859375
110,1014.30859375
111,1014.30859375
112,1014.30859375
113,1014.30859375
114,1014.30859375
115,1016.10546875
116,1016.62109375
117,1017.1640625
118,1017.67578125
119,1017.67578125
120,1017.67578125
121,1017.67578125
122,1017.67578125
123,1017.67578125
124,1017.67578125
125,1017.67578125
126,1017.67578125
127,1017.67578125
128,1017.67578125
129,1017.67578125
130,1017.67578125
131,1017.67578125
132,1017.67578125
133,1017.67578125
134,1020.76953125
135,1022.171875
136,1022.921875
137,1023.421875
138,1023.421875
139,1023.421875
140,1023.421875
141,1023.421875
142,1023.421875
143,1023.421875
144,1023.421875
145,1023.421875
146,1023.421875
147,1023.421875
148,1023.421875
149,1023.421875
150,1023.421875
151,1023.421875
152,1023.421875
153,1023.67578125
154,1027.02734375
155,1028.2109375
156,1029.0078125
157,1029.0078125
158,1029.0078125
159,1029.0078125
160,1029.0078125
161,1029.0078125
162,1029.0078125
163,1029.0078125
164,1029.0078125
165,1029.0078125
166,1029.26171875
167,1030.8046875
168,1031.0625
169,1032.58984375
170,1032.84375
171,1032.84375
172,1032.84375
173,1032.84375
174,1032.84375
175,1032.84375
176,1032.84375
177,1032.84375
178,1032.84375
179,1032.84375
180,1032.84375
181,1032.84375
182,1033.359375
183,1035.16015625
184,1035.93359375
185,1037.19140625
186,1037.19140625
187,1037.19140625
188,1037.19140625
189,1037.19140625
190,1037.19140625
191,1037.19140625
192,1037.19140625
193,1037.19140625
194,1037.19140625
195,1037.19140625
196,1037.19140625
197,1037.19140625
198,1037.4453125
199,1039.5078125
200,1040.28125
201,1041.41015625
202,1041.41015625
203,1041.41015625
204,1041.41015625
205,1041.41015625
206,1041.41015625
207,1041.41015625
208,1041.41015625
209,1041.41015625
210,1041.41015625
211,1041.41015625
212,1041.41015625
213,1041.41015625
214,1041.41015625
215,1041.921875
216,1044.2421875
217,1044.90625
218,1046.05859375
219,1046.05859375
220,1046.05859375
221,1046.05859375
222,1046.05859375
223,1046.05859375
224,1046.05859375
225,1046.05859375
226,1046.05859375
227,1046.05859375
228,1046.57421875
229,1047.859375
230,1048.375
231,1049.34765625
232,1049.34765625
233,1049.34765625
234,1049.34765625
235,1049.34765625
236,1049.34765625
237,1049.34765625
238,1049.34765625
239,1049.34765625
240,1049.60546875
241,1050.89453125
242,1051.41015625
243,1051.66796875
244,1052.3828125
245,1052.3828125
246,1052.63671875
247,1052.63671875
248,1052.63671875
249,1052.63671875
250,1052.63671875
251,1052.63671875
252,1052.63671875
253,1052.63671875
254,1052.63671875
255,1052.63671875
256,1052.63671875
257,1052.63671875
258,1052.63671875
259,1052.63671875
260,1052.63671875
261,1052.63671875
262,1053.15234375
263,1057.0390625
264,1057.80859375
265,1059.03515625
266,1059.03515625
267,1059.03515625
268,1059.03515625
269,1059.03515625
270,1059.03515625
271,1059.03515625
272,1059.03515625
273,1059.29296875
274,1060.3203125
275,1060.8359375
276,1061.34375
277,1061.34375
278,1061.34375
279,1061.34375
280,1061.34375
281,1061.34375
282,1061.34375
283,1061.34375
284,1061.34375
285,1061.34375
286,1061.34375
287,1061.34375
288,1061.34375
289,1061.59765625
290,1063.66015625
291,1064.17578125
292,1065.32421875
293,1065.32421875
294,1065.32421875
295,1065.32421875
296,1065.32421875
297,1065.32421875
298,1065.32421875
299,1065.32421875
300,1065.32421875
301,1065.32421875
302,1065.32421875
303,1065.32421875
304,1065.32421875
305,1065.32421875
306,1065.32421875
307,1065.32421875
308,1065.578125
309,1067.2265625
310,1069.546875
311,1070.3203125
312,1070.97265625
313,1071.7265625
314,1071.7265625
315,1071.7265625
316,1071.7265625
317,1071.7265625
318,1071.7265625
319,1071.7265625
320,1071.7265625
321,1071.7265625
322,1071.7265625
323,1071.7265625
324,1071.7265625
325,1071.7265625
326,1071.7265625
327,1071.7265625
328,1071.7265625
329,1071.7265625
330,1071.7265625
331,1071.984375
332,1072.2421875
333,1072.5
334,1072.5
335,1074.05078125
336,1076.88671875
337,1078.35546875
338,1078.87109375
339,1079.65234375
340,1079.65234375
341,1079.65234375
342,1079.65234375
343,1079.65234375
344,1079.65234375
345,1079.65234375
346,1079.65234375
347,1079.65234375
348,1079.65234375
349,1079.65234375
350,1079.65234375
351,1079.65234375
352,1079.65234375
353,1079.65234375
354,1079.65234375
355,1079.65234375
356,1080.6796875
357,1083.25390625
358,1084.52734375
359,1085.484375
360,1086.0
361,1086.0
362,1086.0
363,1086.0
364,1086.0
365,1086.0
366,1086.0
367,1086.0
368,1086.0
369,1086.0
370,1086.0
371,1086.0
372,1086.0
373,1086.0
374,1086.0
375,1086.0
376,1086.0
377,1086.0
378,1086.2578125
379,1087.2890625
380,1090.88671875
381,1091.3984375
382,1092.77734375
383,1092.77734375
384,1092.77734375
385,1092.77734375
386,1092.77734375
387,1092.77734375
388,1092.77734375
389,1092.77734375
390,1094.62109375
391,1094.62109375
392,1095.390625
393,1095.390625
394,1095.390625
395,1095.390625
396,1095.390625
397,1095.390625
398,1095.390625
399,1095.390625
400,1095.390625
401,1095.390625
402,1096.421875
403,1097.19140625
404,1097.70703125
405,1098.41796875
406,1098.9296875
407,1098.9296875
408,1098.9296875
409,1098.9296875
410,1098.9296875
411,1098.9296875
412,1099.9609375
413,1099.9609375
414,1100.4765625
415,1100.4765625
416,1100.96484375
417,1100.96484375
418,1100.96484375
419,1100.96484375
420,1100.96484375
421,1100.96484375
422,1100.96484375
423,1100.96484375
424,1100.96484375
425,1100.96484375
426,1100.96484375
427,1100.96484375
428,1101.734375
429,1103.28125
430,1103.796875
431,1104.421875
432,1105.171875
433,1105.171875
434,1105.171875
435,1105.171875
436,1105.171875
437,1105.171875
438,1105.171875
439,1105.171875
440,1105.171875
441,1105.171875
442,1105.171875
443,1105.171875
444,1108.40625
445,1110.20703125
446,1110.20703125
447,1110.46484375
448,1110.46484375
449,1110.46484375
450,1110.46484375
451,1110.46484375
452,1110.46484375
453,1110.46484375
454,1110.46484375
455,1110.46484375
456,1110.46484375
457,1110.46484375
458,1110.46484375
459,1110.46484375
460,1110.46484375
461,1111.23828125
462,1113.0390625
463,1113.5546875
464,1114.71484375
465,1114.71484375
466,1114.71484375
467,1114.71484375
468,1114.71484375
469,1114.71484375
470,1114.71484375
471,1114.71484375
472,1114.71484375
473,1114.71484375
474,1114.71484375
475,1115.74609375
476,1117.03515625
477,1117.55078125
478,1118.046875
479,1118.796875
480,1118.796875
481,1118.796875
