,mem_usage,step,replay_usage
0,100,5140062208,288096
1,200,5140791296,576096
2,300,5349847040,864096
3,400,5350428672,1152096
4,500,5350645760,1440096
5,600,5350920192,1728096
6,700,5351067648,2016096
7,800,5360865280,2304096
8,900,5361123328,2592096
9,1000,5354938368,2880096
10,1100,5354938368,3168096
11,1200,5354938368,3456096
12,1300,5354938368,3744096
13,1400,5354938368,4032096
14,1500,5354938368,4320096
15,1600,5354938368,4608096
16,1700,5362159616,4896096
17,1800,5362421760,5184096
18,1900,5361635328,5472096
19,2000,5361635328,5760096
20,2100,5390635008,6048096
21,2200,5391089664,6336096
22,2300,5391564800,6624096
23,2400,5392379904,6912096
24,2500,5392605184,7200096
25,2600,5392977920,7488096
26,2700,5393731584,7776096
27,2800,5394313216,8064096
28,2900,5394518016,8352096
29,3000,5395312640,8640096
30,3100,5395828736,8928096
31,3200,5395832832,9216096
32,3300,5406957568,9504096
33,3400,5406978048,9792096
34,3500,5407240192,10080096
35,3600,5408075776,10368096
36,3700,5399240704,10656096
37,3800,5399126016,10944096
38,3900,5408358400,11232096
39,4000,5401735168,11520096
40,4100,5400129536,11808096
41,4200,5400129536,12096096
42,4300,5405196288,12384096
43,4400,5405196288,12672096
44,4500,5405196288,12960096
45,4600,5410570240,13248096
46,4700,5402247168,13536096
47,4800,5402443776,13824096
48,4900,5403066368,14112096
49,5000,5413920768,14400096
50,5100,5413920768,14688096
51,5200,5415383040,14976096
52,5300,5405786112,15264096
53,5400,5405810688,15552096
54,5500,5405855744,15840096
55,5600,5409263616,16128096
56,5700,5409857536,16416096
57,5800,5409857536,16704096
58,5900,5414854656,16992096
59,6000,5415514112,17280096
60,6100,5415514112,17568096
61,6200,5415514112,17856096
62,6300,5415907328,18144096
63,6400,5416300544,18432096
64,6500,5420089344,18720096
65,6600,5420089344,19008096
66,6700,5421137920,19296096
67,6800,5415403520,19584096
68,6900,5416419328,19872096
69,7000,5416419328,20160096
70,7100,5416419328,20448096
71,7200,5416812544,20736096
72,7300,5422292992,21024096
73,7400,5422292992,21312096
74,7500,5422292992,21600096
75,7600,5418909696,21888096
76,7700,5419106304,22176096
77,7800,5427171328,22464096
78,7900,5427171328,22752096
79,8000,5427171328,23040096
80,8100,5427171328,23328096
81,8200,5427744768,23616096
82,8300,5427744768,23904096
83,8400,5428334592,24192096
84,8500,5428531200,24480096
85,8600,5424529408,24768096
86,8700,5424922624,25056096
87,8800,5424922624,25344096
88,8900,5424922624,25632096
89,9000,5429972992,25920096
90,9100,5428269056,26208096
91,9200,5428269056,26496096
92,9300,5424730112,26784096
93,9400,5429977088,27072096
94,9500,5432336384,27360096
95,9600,5435826176,27648096
96,9700,5436022784,27936096
97,9800,5436223488,28224096
98,9900,5436604416,28512096
99,10000,5426114560,28800096
100,10100,5426114560,29088096
101,10200,5426114560,29376096
102,10300,5426475008,29664096
103,10400,5426475008,29952096
104,10500,5427134464,30240096
105,10600,5427396608,30528096
106,10700,5427658752,30816096
107,10800,5428310016,31104096
108,10900,5431390208,31392096
109,11000,5436637184,31680096
110,11100,5437423616,31968096
111,11200,5437423616,32256096
112,11300,5437620224,32544096
113,11400,5437816832,32832096
114,11500,5438013440,33120096
115,11600,5441294336,33408096
116,11700,5437685760,33696096
117,11800,5437685760,33984096
118,11900,5437685760,34272096
119,12000,5437685760,34560096
120,12100,5437685760,34848096
121,12200,5437685760,35136096
122,12300,5437685760,35424096
123,12400,5437685760,35712096
124,12500,5437685760,36000096
125,12600,5439037440,36288096
126,12700,5439037440,36576096
127,12800,5439037440,36864096
128,12900,5439037440,37152096
129,13000,5440217088,37440096
130,13100,5440217088,37728096
131,13200,5440217088,38016096
132,13300,5440806912,38304096
133,13400,5440806912,38592096
134,13500,5441396736,38880096
135,13600,5441396736,39168096
136,13700,5441396736,39456096
137,13800,5441523712,39744096
138,13900,5441523712,40032096
139,14000,5441523712,40320096
140,14100,5441523712,40608096
141,14200,5441523712,40896096
142,14300,5442506752,41184096
143,14400,5442506752,41472096
144,14500,5442506752,41760096
145,14600,5442506752,42048096
146,14700,5442506752,42336096
147,14800,5442506752,42624096
148,14900,5442506752,42912096
149,15000,5444866048,43200096
150,15100,5444866048,43488096
151,15200,5444866048,43776096
152,15300,5444866048,44064096
153,15400,5444866048,44352096
154,15500,5447225344,44640096
155,15600,5447225344,44928096
156,15700,5447225344,45216096
157,15800,5447225344,45504096
158,15900,5447225344,45792096
159,16000,5447225344,46080096
160,16100,5447225344,46368096
161,16200,5448605696,46656096
162,16300,5450571776,46944096
163,16400,5450571776,47232096
164,16500,5451358208,47520096
165,16600,5451554816,47808096
166,16700,5457588224,48096096
167,16800,5462958080,48384096
168,16900,5464670208,48672096
169,17000,5466701824,48960096
170,17100,5460930560,49248096
171,17200,5460930560,49536096
172,17300,5460930560,49824096
173,17400,5460930560,50112096
174,17500,5461520384,50400096
175,17600,5461520384,50688096
176,17700,5461716992,50976096
177,17800,5462110208,51264096
178,17900,5462700032,51552096
179,18000,5462700032,51840096
180,18100,5462896640,52128096
181,18200,5463093248,52416096
182,18300,5463367680,52704096
183,18400,5463957504,52992096
184,18500,5463957504,53280096
185,18600,5464547328,53568096
186,18700,5464743936,53856096
187,18800,5464940544,54144096
188,18900,5465202688,54432096
189,19000,5465858048,54720096
190,19100,5465858048,55008096
191,19200,5466710016,55296096
192,19300,5467561984,55584096
193,19400,5467561984,55872096
194,19500,5467824128,56160096
195,19600,5468086272,56448096
196,19700,5468676096,56736096
197,19800,5469724672,57024096
198,19900,5468934144,57312096
199,20000,5468934144,57600096
200,20100,5469327360,57888096
201,20200,5469327360,58176096
202,20300,5469921280,58464096
203,20400,5469921280,58752096
204,20500,5470904320,59040096
205,20600,5471166464,59328096
206,20700,5471559680,59616096
207,20800,5471559680,59904096
208,20900,5471952896,60192096
209,21000,5472346112,60480096
210,21100,5472346112,60768096
211,21200,5474971648,61056096
212,21300,5474971648,61344096
213,21400,5474971648,61632096
214,21500,5474971648,61920096
215,21600,5474971648,62208096
216,21700,5483364352,62496096
217,21800,5483364352,62784096
218,21900,5485727744,63072096
219,22000,5486383104,63360096
220,22100,5486645248,63648096
221,22200,5486907392,63936096
222,22300,5489725440,64224096
223,22400,5486469120,64512096
224,22500,5486469120,64800096
225,22600,5486469120,65088096
226,22700,5486862336,65376096
227,22800,5482663936,65664096
228,22900,5491630080,65952096
229,23000,5491630080,66240096
230,23100,5493465088,66528096
231,23200,5493727232,66816096
232,23300,5493989376,67104096
233,23400,5494251520,67392096
234,23500,5494513664,67680096
235,23600,5495955456,67968096
236,23700,5495955456,68256096
237,23800,5496217600,68544096
238,23900,5496479744,68832096
239,24000,5492981760,69120096
240,24100,5492981760,69408096
241,24200,5492981760,69696096
242,24300,5492981760,69984096
243,24400,5492981760,70272096
244,24500,5493002240,70560096
245,24600,5494640640,70848096
246,24700,5494640640,71136096
247,24800,5494640640,71424096
248,24900,5495230464,71712096
249,25000,5495820288,72000096
250,25100,5496016896,72288096
251,25200,5496016896,72576096
252,25300,5496410112,72864096
