episode,sim/wall,total steps,steps/sec,score
0,3.7748574185739194,778,37.74857156566962,000: 14.8100
1,2.479458753403836,1000,24.794586947746517,000: 27.0760
2,2.337056375648878,173,23.37056074561669,000: 2.9419
3,2.316443234830601,221,23.16442945388904,000: -0.9939
4,2.3965630078000615,367,23.965627839264297,000: -271.0405
5,2.254863034220027,469,22.54862904985795,000: 12.5457
6,2.5868865018938014,27,25.86884138202945,000: -1.6426
7,2.30552994207373,114,23.055292750705533,000: 1.3519
8,2.325053277249747,209,23.250527839061206,000: 2.1033
9,2.301063629892458,48,23.010623148921017,000: 0.3120
10,2.3231887821488937,240,23.231885140667966,000: 3.8154
11,2.5046920008987335,16,25.046873267991153,000: -0.5671
12,2.267363479228382,248,22.673631826893246,000: 5.3452
13,2.4486519856558266,55,24.48650686080939,000: -6.8334
14,2.6063215894764014,28,26.063192758263387,000: -1.7640
15,2.548437299929722,27,25.484350059803027,000: -1.6388
16,2.324450815844357,102,23.244499317909117,000: 0.7309
17,2.284501376869869,208,22.845011375826214,000: 4.5137
18,2.320518492293182,135,23.205179216987393,000: -1.6245
19,2.3237650796291507,71,23.237641729867537,000: 0.9020
20,2.324472226346752,106,23.24471618697673,000: 0.6392
21,2.3601971829598942,88,23.601965792700376,000: 0.0415
22,2.309500656688055,107,23.094999435992566,000: 1.8532
23,2.298101856502324,228,22.98101525146214,000: 2.1905
MEAN,2.4300807500024413,211.04166666666666,24.30079828937132,n/a
