,mem_usage,step
0,6086815744,100
1,6674636800,200
2,7169089536,300
3,7889649664,400
4,8497283072,500
5,9167855616,600
6,9705582592,700
7,10408411136,800
8,11021373440,900
9,11589881856,1000
10,12202262528,1100
11,12921634816,1200
12,13629853696,1300
13,14294265856,1400
14,14962860032,1500
15,15515455488,1600
16,16174735360,1700
17,16893648896,1800
18,17524633600,1900
19,18226917376,2000
20,18884227072,2100
21,19541536768,2200
22,20267511808,2300
23,20909441024,2400
24,21565501440,2500
25,22189830144,2600
26,22871748608,2700
27,23507660800,2800
28,24190046208,2900
29,24946397184,3000
30,25578344448,3100
31,26236215296,3200
32,26918080512,3300
33,27561385984,3400
34,28215664640,3500
35,28943626240,3600
36,29718384640,3700
37,30347886592,3800
38,31085498368,3900
39,31762427904,4000
40,32381554688,4100
41,33131024384,4200
42,33781911552,4300
43,34407956480,4400
44,35063869440,4500
45,35739054080,4600
46,36492832768,4700
47,37144113152,4800
48,37831630848,4900
