,mem_usage,step
0,6087811072,100
1,6723350528,200
2,7356858368,300
3,7988953088,400
4,8622080000,500
5,9255608320,600
6,9889390592,700
7,10522198016,800
8,11155398656,900
9,11808104448,1000
10,12516974592,1100
11,13067128832,1200
12,13538824192,1300
13,14014345216,1400
14,14488514560,1500
15,14962143232,1600
16,15436042240,1700
17,15910211584,1800
18,16384380928,1900
19,16881790976,2000
20,17206464512,2100
21,17199587328,2200
22,17199992832,2300
23,17199026176,2400
24,17200078848,2500
25,17417396224,2600
26,17952579584,2700
27,18487570432,2800
28,19019501568,2900
29,19019501568,3000
30,19019501568,3100
31,19019501568,3200
32,19019501568,3300
33,19020021760,3400
34,19020292096,3500
35,19021148160,3600
36,19021934592,3700
37,19022725120,3800
38,19023933440,3900
39,19020001280,4000
40,19020001280,4100
41,19020001280,4200
42,19020001280,4300
43,19020251136,4400
44,19020251136,4500
45,19020296192,4600
46,19020558336,4700
47,19021082624,4800
48,19022131200,4900
49,19022655488,5000
50,19022655488,5100
51,19022729216,5200
52,19022729216,5300
