episode,sim/wall,total steps,steps/sec,score
0,0.15216262777381376,311,1.5216262688631919,"031: 0.1169, 005: -4.2281, 001: 7.4334, 013: -6.8283, 019: 8.0165, 021: 8.0243, 030: 8.4155, 026: -0.2417, 036: 2.0415, 000: 8.0878, 027: 8.3254, 014: 8.1482, 017: -1.6709, 029: 8.5992, 007: 7.8218, 015: -3.4540, 008: 8.3761, 032: -0.7376, 025: -0.0459, 034: 8.0028, 037: 7.9633, 002: 0.2549, 012: 8.6034, 023: 2.3429, 016: 8.3103, 020: 8.3878, 033: 7.9212, 004: 8.6023, 038: -3.8850, 018: 8.3987, 024: 8.0804, 039: -1.7821, 010: 8.5389, 003: 8.3452, 028: 7.8697, 006: -0.1491, 035: 7.4005, 009: 8.4351, 022: -0.3901, 011: 8.4994"
1,0.1507274077397185,111,1.507274057878005,"031: -1.4717, 005: -11.1459, 001: 3.0824, 013: 2.9911, 019: 3.1534, 021: -4.4400, 030: 2.9996, 026: -5.8929, 036: -0.2573, 000: 2.8950, 027: -0.9738, 014: -10.9958, 017: -6.1971, 029: -11.4006, 007: 2.9647, 015: 3.0226, 008: -5.6846, 032: -3.6709, 025: 2.9775, 034: 2.9297, 037: -5.2892, 002: 2.9897, 012: -1.0009, 023: -8.8626, 016: 2.9106, 020: 2.9901, 033: 2.9334, 004: 2.9486, 038: 0.2347, 018: 1.1909, 024: 0.7880, 039: 2.9503, 010: 2.7741, 003: 2.7200, 028: -4.1769, 006: 3.0383, 035: -0.6150, 009: 2.6759, 022: 2.9278, 011: 3.0190"
2,0.14572356314264795,135,1.457235612674985,"031: 3.7103, 005: -2.2631, 001: -0.1587, 013: 3.7176, 019: -5.3692, 021: 3.6101, 030: 3.5341, 026: 3.2285, 036: 3.6147, 000: 3.5755, 027: -3.5871, 014: -4.1566, 017: 0.7804, 029: -2.1955, 007: 3.5490, 015: 3.7081, 008: -1.3587, 032: -0.7617, 025: -3.8351, 034: 3.7334, 037: 3.7526, 002: 3.7755, 012: 3.5826, 023: -2.7547, 016: 2.9675, 020: 3.6607, 033: 1.3087, 004: 3.6432, 038: 3.7494, 018: 3.7206, 024: -0.8584, 039: 0.8465, 010: 3.6948, 003: 3.6416, 028: -4.5005, 006: 3.2901, 035: 3.3134, 009: 1.8705, 022: 3.6748, 011: -4.4366"
3,0.17256922850768128,1000,1.7256922815267437,"031: -3.1756, 005: 0.1340, 001: -0.1937, 013: -0.8284, 019: 26.2306, 021: 25.3607, 030: -1.9250, 026: 26.4547, 036: 25.9615, 000: -0.8342, 027: 26.2114, 014: 26.0537, 017: 26.9214, 029: 25.9321, 007: 25.5874, 015: 26.4583, 008: 26.2312, 032: -1.2849, 025: 25.9924, 034: -2.9992, 037: 25.5233, 002: -6.5074, 012: -1.6301, 023: 25.3275, 016: 25.8532, 020: -3.6429, 033: 7.2410, 004: 25.7617, 038: 23.3114, 018: 7.2393, 024: 26.0626, 039: -7.8624, 010: 27.2188, 003: 25.8665, 028: -7.2573, 006: 26.0052, 035: 25.6998, 009: 25.8387, 022: 26.3034, 011: -0.2506"
4,0.07972975662497417,1000,0.7972975653403893,"031: 2.0287, 005: 0.0275, 001: 26.4128, 013: 1.6040, 019: 26.3176, 021: 26.1657, 030: 24.0457, 026: 0.3317, 036: 26.7948, 000: 25.9645, 027: 27.0786, 014: 0.0910, 017: 25.9578, 029: 2.4546, 007: -1.9250, 015: -5.8728, 008: 0.1024, 032: -0.8584, 025: 2.0061, 034: -1.2844, 037: 25.3370, 002: 26.7071, 012: 25.6276, 023: 26.0989, 016: -2.8604, 020: 25.3785, 033: 25.8214, 004: 26.4236, 038: 24.6168, 018: 26.4654, 024: -3.7701, 039: 26.8567, 010: 1.6739, 003: 26.7439, 028: 26.6153, 006: 25.5041, 035: 26.9250, 009: 26.6798, 022: 27.0006, 011: 26.6014"
5,0.13143718645012653,127,1.3143718450421034,"031: -1.0316, 005: 1.0786, 001: 3.1123, 013: -1.5297, 019: 3.5570, 021: 1.8257, 030: 2.1049, 026: -0.4356, 036: 3.1617, 000: 0.1251, 027: 3.4853, 014: 2.6997, 017: 3.5461, 029: -5.6288, 007: -9.9148, 015: 3.3688, 008: 3.1423, 032: 1.0418, 025: 3.3922, 034: 0.6826, 037: 2.1309, 002: 0.5530, 012: 3.3370, 023: 3.3580, 016: 3.3891, 020: 3.4758, 033: 3.1240, 004: -1.9932, 038: 3.4047, 018: 3.5712, 024: 3.4499, 039: -1.4019, 010: 3.3877, 003: 3.5468, 028: -6.4919, 006: 3.4697, 035: 3.4786, 009: -2.7706, 022: 3.3030, 011: -5.3608"
6,0.06551888280280077,421,0.6551888268124909,"031: 10.6680, 005: 10.6342, 001: 10.8051, 013: -0.7834, 019: 11.3854, 021: 11.3850, 030: 10.4906, 026: 10.5970, 036: 11.6224, 000: 10.5320, 027: 11.0877, 014: -1.3970, 017: 0.2071, 029: 1.4193, 007: 11.1104, 015: 11.1301, 008: 10.3234, 032: -0.1580, 025: 11.1162, 034: -1.1816, 037: 10.3704, 002: 11.1742, 012: 11.3511, 023: -4.1252, 016: -4.2379, 020: -0.6988, 033: 10.7619, 004: -1.8415, 038: 10.9116, 018: 11.1577, 024: 0.3103, 039: -0.8477, 010: 10.9920, 003: 0.1139, 028: 11.1487, 006: 8.5369, 035: 11.2415, 009: -1.1429, 022: -3.0843, 011: 10.7989"
7,0.05751125332436907,137,0.5751125303656615,"031: -0.7815, 005: -0.2854, 001: 3.6269, 013: 3.5016, 019: 3.7089, 021: -1.0099, 030: -7.1906, 026: -1.7363, 036: -2.7739, 000: 3.7263, 027: -3.5750, 014: 3.4810, 017: 3.6837, 029: -0.8061, 007: 3.7770, 015: -8.2145, 008: 3.6401, 032: 3.7673, 025: 3.7725, 034: 3.7084, 037: -1.0399, 002: -0.8800, 012: 3.6316, 023: 3.6695, 016: 1.2679, 020: -3.9095, 033: 3.8766, 004: 3.6140, 038: 3.8081, 018: 3.8184, 024: 3.5983, 039: -4.0721, 010: 3.7094, 003: 3.6827, 028: -1.1815, 006: 3.6445, 035: -0.2909, 009: -3.1070, 022: 3.7076, 011: 3.7329"
8,0.0799995800498119,1000,0.7999957994300151,"031: -0.1065, 005: 26.9798, 001: 24.8725, 013: -0.3864, 019: -2.3760, 021: 25.7621, 030: 26.3538, 026: 26.0319, 036: 26.2921, 000: 26.5466, 027: -0.2307, 014: 26.4077, 017: 1.0635, 029: 26.3994, 007: 26.0033, 015: -2.6622, 008: 27.0600, 032: 25.7182, 025: 26.4414, 034: 25.6516, 037: 26.4175, 002: 1.7392, 012: -0.7852, 023: 2.2299, 016: 25.7062, 020: 26.5332, 033: 1.6588, 004: 24.9566, 038: -3.0535, 018: 26.5490, 024: 26.0153, 039: 25.5998, 010: 25.6984, 003: 1.3485, 028: 26.0461, 006: 25.5047, 035: 26.1862, 009: 26.1558, 022: 0.0075, 011: 25.7857"
9,0.053734800866549054,166,0.5373480065919463,"031: -1.3160, 005: 4.2220, 001: 1.8558, 013: -3.4541, 019: -3.6667, 021: 4.0978, 030: 4.5873, 026: 0.2350, 036: 4.2303, 000: 4.5457, 027: -2.9200, 014: 4.2161, 017: 4.2993, 029: -40.6742, 007: 1.2156, 015: 4.5819, 008: 4.3972, 032: -1.4936, 025: 4.6128, 034: 4.2423, 037: 4.4546, 002: -1.0410, 012: 4.5323, 023: -11.1459, 016: 4.4102, 020: -2.7207, 033: 4.4170, 004: 4.2234, 038: 4.5444, 018: 4.4904, 024: 3.6829, 039: 4.6360, 010: 4.3675, 003: -0.7816, 028: -0.5410, 006: 4.3850, 035: -4.1742, 009: -0.1639, 022: 4.4936, 011: -0.4808"
