,mem_usage,step
0,6024908800,100
1,6664994816,200
2,7321706496,300
3,7873462272,400
4,8522395648,500
5,9257013248,600
6,9852796928,700
7,10348933120,800
8,10852888576,900
9,11474534400,1000
10,12050567168,1100
11,12581789696,1200
12,13332410368,1300
13,13981712384,1400
14,14520512512,1500
15,15209955328,1600
16,15815516160,1700
17,16393105408,1800
18,16978792448,1900
19,17541984256,2000
20,18076729344,2100
21,18606166016,2200
22,19189751808,2300
23,19922710528,2400
24,20505780224,2500
25,21013958656,2600
26,21499207680,2700
27,22073884672,2800
28,22734295040,2900
29,23236554752,3000
30,23934869504,3100
31,24646717440,3200
32,25261027328,3300
33,25857540096,3400
34,26477080576,3500
35,27002306560,3600
36,27677941760,3700
37,28275634176,3800
38,28995334144,3900
39,29694717952,4000
40,30267781120,4100
41,30944448512,4200
42,31566729216,4300
43,32081625088,4400
44,32779259904,4500
45,33399820288,4600
46,34061631488,4700
47,34704183296,4800
48,35250683904,4900
49,35745128448,5000
