episode,sim/wall,total steps,steps/sec,score
0,0.10318366053851336,111,1.0318365939508494,"041: -1.6981, 023: 2.8203, 021: 3.2665, 029: 3.3278, 014: 3.3017, 032: -0.4797, 040: -0.4489, 039: -1.7633, 044: -0.0032, 016: 0.6821, 047: 3.4040, 031: 3.2318, 008: 3.2035, 001: -0.6618, 025: -0.5260, 011: 3.3217, 010: -0.5098, 042: 3.0648, 024: 3.0982, 005: 0.7424, 004: 3.3496, 027: 3.2675, 002: 1.4221, 000: -0.5140, 019: 2.2200, 030: 3.1984, 043: -1.0190, 006: 2.5813, 020: 3.2080, 012: 3.3494, 009: 0.6228, 022: 3.1705, 018: 3.3708, 037: 2.9403, 049: 0.0994, 038: 2.6209, 046: 3.2642, 036: 3.1862, 045: 3.2079, 017: -1.6470, 026: 3.1825, 028: 3.2777, 034: 2.0404, 015: -1.4584, 048: 2.8636, 013: -8.7898, 035: -0.7065, 007: 2.7209, 033: 3.2647, 003: 0.6269"
1,0.09586230079396628,121,0.9586230006967974,"041: 0.4277, 023: 0.9405, 021: 0.2694, 029: 2.8581, 014: -11.1960, 032: 3.5312, 040: -2.2657, 039: 3.7352, 044: 3.7451, 016: 3.4905, 047: 3.4263, 031: 3.5367, 008: -3.3509, 001: 2.3703, 025: -10.3834, 011: -5.6134, 010: 3.6175, 042: 3.5424, 024: 3.2789, 005: 3.3403, 004: -0.5631, 027: 3.4642, 002: -6.6217, 000: 3.2684, 019: 3.6052, 030: 3.5379, 043: -3.0098, 006: -3.9923, 020: -0.2784, 012: 3.6139, 009: 1.3004, 022: -1.9019, 018: 1.3441, 037: -2.6964, 049: 3.2099, 038: 3.6754, 046: -0.5834, 036: -6.1127, 045: 1.2576, 017: -4.1161, 026: 3.5417, 028: 3.4188, 034: 3.5282, 015: 3.2206, 048: 3.5505, 013: -3.7447, 035: 3.5737, 007: 3.6663, 033: 3.6936, 003: 2.8138"
2,0.10062140039634022,289,1.0062139997870898,"041: 8.3680, 023: 8.4338, 021: 8.0801, 029: 8.3917, 014: 8.3129, 032: 0.2359, 040: 0.2387, 039: 8.2356, 044: -3.9118, 016: 0.4285, 047: 7.9351, 031: -3.7625, 008: 7.5997, 001: 8.6245, 025: 8.2547, 011: -11.2812, 010: 8.5772, 042: 7.8118, 024: 1.1885, 005: 1.1883, 004: 8.7673, 027: 6.3898, 002: 6.2450, 000: 8.1188, 019: 7.8320, 030: 8.5294, 043: 8.4149, 006: 8.0221, 020: 8.0248, 012: 2.1530, 009: 8.0377, 022: 6.2222, 018: 1.0082, 037: -6.4917, 049: 6.5347, 038: -1.4837, 046: 1.4588, 036: -0.5842, 045: 8.5362, 017: 8.3504, 026: 8.7007, 028: 8.4571, 034: 8.3171, 015: 8.4155, 048: -0.7929, 013: 8.3881, 035: -0.9915, 007: 7.0402, 033: 8.0656, 003: 0.1975"
3,0.10574226578684395,238,1.0574226533880027,"041: 7.0521, 023: 7.0677, 021: -3.0887, 029: -0.5842, 014: -2.3653, 032: 6.9849, 040: 3.3093, 039: 6.9015, 044: 6.4429, 016: 1.1530, 047: 0.9895, 031: 6.0025, 008: 6.5489, 001: -0.7796, 025: 6.6026, 011: 2.5971, 010: -2.1313, 042: 6.7626, 024: 2.3700, 005: 6.9044, 004: 7.1156, 027: 6.7606, 002: 7.0649, 000: 4.3315, 019: -0.7927, 030: 2.4583, 043: 6.9424, 006: 6.7277, 020: 6.9707, 012: 7.1573, 009: 6.9584, 022: -47.3333, 018: -31.5047, 037: 6.6641, 049: 6.9659, 038: 6.9339, 046: 6.4328, 036: -5.9546, 045: -3.5303, 017: 6.8925, 026: -0.8108, 028: -2.0400, 034: 2.1031, 015: 6.7803, 048: 7.0298, 013: 1.6149, 035: -0.5780, 007: 0.4134, 033: 6.8987, 003: 0.7361"
4,0.09810870826541078,140,0.981087071179834,"041: 3.0331, 023: 3.9774, 021: -0.4025, 029: 4.0932, 014: -2.2830, 032: 3.9121, 040: 4.1481, 039: 1.2490, 044: 1.3386, 016: -4.7393, 047: 3.0196, 031: 3.2491, 008: -1.6427, 001: 4.1665, 025: 4.1420, 011: 4.1320, 010: 1.9950, 042: 4.0254, 024: 4.1458, 005: 4.1993, 004: 0.1530, 027: 3.8191, 002: 2.8840, 000: 4.1571, 019: 3.8549, 030: 4.0610, 043: 4.1317, 006: -0.7754, 020: 4.1557, 012: -11.0944, 009: 1.2785, 022: 4.1819, 018: 0.7636, 037: 2.7934, 049: 3.8659, 038: 3.6402, 046: 4.0866, 036: 1.3192, 045: 4.0966, 017: 4.0608, 026: 3.8286, 028: 1.2917, 034: -0.6509, 015: 0.8903, 048: -0.6633, 013: 3.6606, 035: 3.9801, 007: 3.8877, 033: -7.3087, 003: 0.6158"
5,0.09890852073380885,185,0.98908519977347,"041: 1.9305, 023: -1.0865, 021: -0.7938, 029: 5.2414, 014: 1.7461, 032: 5.5160, 040: -4.1905, 039: 5.0818, 044: -0.9237, 016: 5.5070, 047: -2.5170, 031: -5.6529, 008: 5.4940, 001: 2.1417, 025: 5.2762, 011: -3.0855, 010: 5.3823, 042: 4.6418, 024: 5.3047, 005: -2.3790, 004: 5.3993, 027: 5.4052, 002: -0.7798, 000: 1.1398, 019: 4.6961, 030: -4.8187, 043: 5.3364, 006: -3.7918, 020: 4.8351, 012: 5.3620, 009: -6.9524, 022: 5.2347, 018: -2.4077, 037: -1.7144, 049: -0.8148, 038: 1.2079, 046: 4.8743, 036: 5.4164, 045: 5.5009, 017: -5.0007, 026: 5.6043, 028: 5.2914, 034: 5.2113, 015: 5.3263, 048: 5.4863, 013: -2.7630, 035: 2.9617, 007: 5.2765, 033: 3.7293, 003: 5.1272"
6,0.08526168163119115,94,0.8526168070927795,"041: 2.9659, 023: 0.4244, 021: 2.6176, 029: 1.5750, 014: 2.6926, 032: 2.7934, 040: 1.7831, 039: 2.8315, 044: -0.7805, 016: -0.9771, 047: -12.0372, 031: 2.6874, 008: 2.8266, 001: -0.6742, 025: 2.5679, 011: -0.5826, 010: 2.7092, 042: 0.3586, 024: -0.2740, 005: 2.7517, 004: 2.8371, 027: -0.7299, 002: -0.8107, 000: 2.6146, 019: -0.3075, 030: -1.8970, 043: 2.7918, 006: 0.9493, 020: 2.7809, 012: 2.8635, 009: -5.8137, 022: 1.0663, 018: 2.7921, 037: 2.5544, 049: 2.7166, 038: 2.7334, 046: 2.8904, 036: -1.0115, 045: 2.2796, 017: 2.7230, 026: 0.8085, 028: 2.5528, 034: 0.2702, 015: -6.0114, 048: 0.7022, 013: 2.6325, 035: 0.9280, 007: -7.9815, 033: 2.8306, 003: 2.9327"
7,0.07347222978879864,170,0.7347222941026227,"041: 4.4890, 023: -0.7816, 021: 3.7449, 029: 0.6609, 014: -0.8466, 032: 4.9552, 040: -0.1223, 039: -1.3339, 044: 4.8271, 016: 4.9783, 047: -10.6855, 031: 4.8778, 008: 4.8643, 001: 0.8370, 025: 4.3766, 011: 0.6736, 010: 1.1132, 042: 4.8969, 024: 4.7779, 005: 3.8288, 004: 4.5824, 027: 4.6711, 002: 4.9957, 000: -0.2022, 019: 5.0327, 030: 5.0202, 043: -10.7721, 006: -0.1769, 020: 5.1081, 012: 5.0216, 009: 5.0221, 022: -2.0182, 018: 4.2021, 037: 4.7794, 049: -0.6492, 038: 4.8578, 046: 2.8881, 036: -3.9325, 045: 4.9689, 017: -2.5859, 026: 4.8100, 028: -0.1410, 034: 1.1829, 015: 4.3363, 048: -0.3031, 013: 5.0006, 035: 4.9747, 007: -0.8234, 033: -3.8657, 003: 5.2534"
8,0.057699079374527146,191,0.5769907912518496,"041: 4.9448, 023: 5.3199, 021: 0.2768, 029: 1.4264, 014: 5.0391, 032: -3.1484, 040: 0.4335, 039: -0.0665, 044: -17.3108, 016: 5.4250, 047: 5.5975, 031: 0.4164, 008: 5.7270, 001: 5.7571, 025: 5.5037, 011: -6.9061, 010: -4.4260, 042: -1.2382, 024: 5.7997, 005: -7.2523, 004: 0.1122, 027: -5.4147, 002: 5.5424, 000: 5.5624, 019: -22.1877, 030: 5.3208, 043: 5.2674, 006: 5.0683, 020: 0.5543, 012: 5.6015, 009: 0.1432, 022: 5.3366, 018: 5.6376, 037: 5.5548, 049: -8.3482, 038: -0.4951, 046: 4.9326, 036: 4.6371, 045: 5.4771, 017: 4.8965, 026: 5.6117, 028: -1.4250, 034: 5.3738, 015: -4.2306, 048: 5.5788, 013: -1.0257, 035: 5.2381, 007: 0.4152, 033: 0.0942, 003: 1.3593"
9,0.05032577571626459,281,0.5032577560881996,"041: 7.9576, 023: 8.1706, 021: 7.8620, 029: 7.5368, 014: 8.3667, 032: 7.1274, 040: 7.3945, 039: -5.5479, 044: 4.1623, 016: 0.2826, 047: 7.8226, 031: -0.9740, 008: 8.0310, 001: -0.7779, 025: 8.3141, 011: 8.3827, 010: -4.9002, 042: 4.0054, 024: 8.1778, 005: 4.0819, 004: 2.9112, 027: 2.3187, 002: 1.8155, 000: 1.9829, 019: 3.9105, 030: 8.2997, 043: 8.0039, 006: -1.0150, 020: 7.6730, 012: -9.4815, 009: -3.7863, 022: 7.6185, 018: 7.3660, 037: 2.0870, 049: 8.2269, 038: 8.4163, 046: 8.1696, 036: -22.2876, 045: -10.0943, 017: 8.0415, 026: 7.9779, 028: 1.8335, 034: 8.3881, 015: 8.4668, 048: 7.9479, 013: 8.4133, 035: 7.9133, 007: 7.6245, 033: 8.1597, 003: 1.8922"
