,mem_usage
0,475.21484375
1,475.234375
2,664.51953125
3,1288.7109375
4,1911.53515625
5,2544.9375
6,3177.4921875
7,3380.97265625
8,3408.7265625
9,3483.875
10,3529.27734375
11,5131.30078125
12,7328.5703125
13,7548.4609375
14,9295.65625
15,9857.91015625
16,11205.5234375
17,12014.0234375
18,12014.23046875
19,12014.3828125
20,12014.3828125
21,12014.57421875
22,12014.63671875
23,12014.63671875
24,12014.79296875
25,12014.79296875
26,12014.79296875
27,12015.00390625
28,12015.00390625
29,12015.20703125
30,12015.20703125
31,12015.20703125
32,12015.20703125
33,12015.40625
34,12015.40625
35,12016.140625
36,12016.140625
37,12016.140625
38,12016.4921875
39,12016.53125
40,12016.53125
41,12016.69921875
42,12016.78125
43,12016.78125
44,12016.78125
45,12017.03125
46,12017.03125
47,12017.03125
48,12017.25390625
49,12017.28125
50,12017.28125
51,12017.453125
52,12017.53125
53,12017.53125
54,12017.53125
55,12017.78125
56,12017.78125
57,12017.78125
58,12018.00390625
59,12018.03515625
60,12018.03515625
61,12018.21875
62,12018.28515625
63,12018.28515625
64,12018.28515625
65,12018.49609375
66,12018.49609375
67,12018.71875
68,12018.71875
69,12018.71875
70,12018.71875
71,12016.9375
72,12016.9375
73,12016.9375
74,12016.9375
75,12016.9375
76,12016.9375
77,12016.9375
78,12016.9375
79,12016.9375
80,12016.9375
81,12016.9375
82,12016.9375
83,12016.9375
84,12016.9375
85,12017.00390625
86,12017.00390625
87,12017.00390625
88,12017.00390625
89,12017.24609375
90,12017.24609375
91,12017.24609375
92,12017.50390625
93,12017.50390625
94,12017.50390625
95,12017.50390625
96,12017.76171875
97,12017.76171875
98,12017.76171875
99,12018.01953125
100,12018.01953125
101,12018.01953125
102,12018.2578125
103,12018.2578125
104,12018.2578125
105,12018.47265625
106,12018.47265625
107,12018.47265625
108,12018.703125
109,12018.703125
110,12018.703125
111,12018.94140625
112,12018.94140625
113,12018.94140625
114,12018.94140625
115,12019.19921875
116,12019.2578125
117,12019.2578125
118,12019.2578125
119,12019.4921875
