episode,sim/wall,total steps,steps/sec,score
0,0.05023901756066454,100,0.5023901725978519,"023: -0.8985, 064: 3.0714, 030: 3.0040, 050: -0.4022, 072: 3.0191, 066: -1.5221, 069: 2.8943, 031: 2.8522, 073: -1.3730, 003: 2.9235, 060: 1.5142, 004: 2.9949, 014: 2.8663, 067: 2.9317, 005: 1.5107, 029: 2.7998, 013: -3.9967, 015: -4.5138, 007: 2.0912, 054: 0.2637, 042: 0.2274, 052: 2.6796, 020: 2.7845, 024: 2.9812, 032: -0.5689, 010: 2.9943, 057: 2.9367, 058: 3.0126, 026: 2.7215, 002: -0.8384, 056: 2.9382, 048: 2.7527, 059: 0.0127, 062: 2.9663, 039: -1.7677, 068: 2.6284, 017: -1.6427, 022: 2.7595, 040: 2.9170, 043: -1.0191, 049: 2.8876, 053: -0.3888, 055: 0.0170, 021: 2.9284, 037: 2.4318, 011: 2.9170, 006: 2.3236, 034: 2.8766, 070: -10.7331, 009: 2.9736, 038: -0.4741, 027: 2.9706, 016: 2.8800, 028: 2.9735, 036: 0.0130, 044: -0.0111, 051: -1.9740, 025: 2.3869, 074: 2.6090, 001: -0.5464, 041: 0.0135, 071: 2.8587, 047: 2.9807, 012: 3.0872, 008: 3.0029, 018: 2.6862, 035: -0.5984, 019: 2.9137, 033: 3.0213, 046: 2.9744, 061: 0.0117, 063: -6.4724, 065: 0.8858, 045: 2.9078, 000: 0.5971"
1,0.05077632610354745,100,0.5077632579619785,"023: 2.9163, 064: 2.8781, 030: 2.5623, 050: 2.9659, 072: 2.9969, 066: -0.6133, 069: 3.0132, 031: 2.9677, 073: -0.6243, 003: 2.9388, 060: 0.4480, 004: -3.7761, 014: 2.5323, 067: 0.4147, 005: 1.7437, 029: 2.6015, 013: 2.9495, 015: 3.1118, 007: 2.8170, 054: -10.8101, 042: 0.2807, 052: 2.5405, 020: -3.1355, 024: -4.0028, 032: -2.8311, 010: -1.3709, 057: 2.9938, 058: 2.8421, 026: -0.9739, 002: -0.6199, 056: 3.0487, 048: 0.8466, 059: 2.7958, 062: 3.0523, 039: 2.4569, 068: 2.8751, 017: 2.8875, 022: 2.8212, 040: 2.9636, 043: -0.0797, 049: -0.3642, 053: 2.9178, 055: 0.0254, 021: -1.6383, 037: -0.8480, 011: 2.7769, 006: 2.9121, 034: 2.9630, 070: 2.6022, 009: 2.9656, 038: 2.8657, 027: -1.8149, 016: 2.9320, 028: 2.8672, 036: -6.1499, 044: 3.0374, 051: 2.9814, 025: 2.8276, 074: -3.7660, 001: 2.9709, 041: -5.4016, 071: 3.1717, 047: -0.6169, 012: 2.9259, 008: -4.4080, 018: -0.7170, 035: 1.9218, 019: -0.9804, 033: 0.0436, 046: 2.8503, 061: 2.9626, 063: 2.5973, 065: 0.9134, 045: -0.7238, 000: 2.8075"
2,0.04980940655333102,100,0.4980940625757552,"023: 2.9470, 064: 2.6335, 030: 3.0638, 050: -3.5299, 072: 2.9524, 066: 2.9029, 069: -3.4476, 031: -0.7791, 073: 2.8855, 003: 2.6819, 060: 2.8557, 004: 3.0914, 014: 3.1679, 067: 2.9434, 005: 2.7806, 029: 3.0698, 013: 3.0263, 015: 2.4834, 007: 2.8932, 054: -0.6700, 042: -0.2460, 052: 0.9465, 020: 3.0475, 024: -0.7625, 032: 2.8581, 010: 2.9850, 057: -0.8422, 058: -0.8409, 026: -3.1226, 002: 3.0561, 056: -1.1373, 048: 2.9858, 059: 2.8920, 062: 3.0215, 039: 2.5031, 068: 0.0440, 017: 3.0593, 022: 2.7755, 040: -0.8689, 043: 2.9862, 049: 2.6244, 053: 3.0078, 055: 2.8116, 021: 1.0666, 037: 3.0207, 011: 3.0934, 006: 0.1360, 034: -0.8753, 070: -0.2550, 009: 2.8292, 038: 2.7679, 027: 2.8597, 016: 2.9099, 028: 3.1022, 036: 2.5592, 044: 2.9151, 051: -0.8404, 025: 3.0892, 074: -8.0641, 001: -7.3092, 041: -6.0225, 071: 2.8955, 047: 2.7347, 012: 1.0362, 008: 2.9982, 018: -19.1269, 035: 3.1018, 019: 2.5068, 033: -2.0387, 046: 2.1228, 061: -0.6694, 063: -2.5924, 065: 2.9392, 045: 3.0615, 000: 2.9379"
3,0.0471112165918522,100,0.4711121632727115,"023: 2.9856, 064: 2.9664, 030: 2.8145, 050: 2.9546, 072: 2.9295, 066: -1.0898, 069: 2.9639, 031: 3.0708, 073: -4.7315, 003: 0.8028, 060: -3.8298, 004: 2.8948, 014: 2.8599, 067: 2.8931, 005: -0.3214, 029: 2.9692, 013: 2.9744, 015: -13.7836, 007: 2.8988, 054: -2.8920, 042: 2.8938, 052: 2.1880, 020: 2.8764, 024: 2.6386, 032: 3.0886, 010: 2.8860, 057: 3.0002, 058: -4.2764, 026: 2.9646, 002: 0.7230, 056: 2.8488, 048: 0.8542, 059: -0.3579, 062: 2.4051, 039: 2.8896, 068: 2.9845, 017: 2.8822, 022: 3.0698, 040: 2.9032, 043: 2.9010, 049: 2.8303, 053: 3.0123, 055: 2.9193, 021: -0.7855, 037: 2.7343, 011: 2.7963, 006: 2.5809, 034: -0.2661, 070: 2.9256, 009: 1.5844, 038: -0.7562, 027: 0.4337, 016: 2.6253, 028: -2.0420, 036: 0.7248, 044: 2.9059, 051: 2.9456, 025: 2.9369, 074: -6.8275, 001: 3.0502, 041: 2.8810, 071: 2.8544, 047: 0.6273, 012: 3.0084, 008: 2.1499, 018: 3.0209, 035: 0.4551, 019: -0.3218, 033: 2.9882, 046: 2.9025, 061: 2.8781, 063: 2.6059, 065: 1.7001, 045: -0.7763, 000: -1.2564"
4,0.05058892335236992,100,0.5058892298626783,"023: -0.1436, 064: 2.4324, 030: 2.6708, 050: 3.0039, 072: 0.3558, 066: 3.0184, 069: 2.5383, 031: -1.5062, 073: 2.9129, 003: 2.8683, 060: 2.7749, 004: 3.1108, 014: 2.8032, 067: 2.9355, 005: 2.8421, 029: 3.0809, 013: 3.0020, 015: 0.5437, 007: -1.1650, 054: 2.4351, 042: -0.2791, 052: 0.7003, 020: -0.2640, 024: -5.6039, 032: 2.6773, 010: -0.7771, 057: 2.7969, 058: -0.1426, 026: 2.9847, 002: 3.0135, 056: -1.4326, 048: 2.9663, 059: 2.9455, 062: 2.9474, 039: -0.4623, 068: -0.7892, 017: 2.9749, 022: 2.6771, 040: 2.8603, 043: 2.7996, 049: 3.0108, 053: -0.7778, 055: 3.0059, 021: 2.9377, 037: 3.0339, 011: 1.8434, 006: 0.5838, 034: 2.6144, 070: 2.9931, 009: -6.6057, 038: 2.9548, 027: 3.0632, 016: -5.6859, 028: 0.0497, 036: -5.6707, 044: 0.5755, 051: 2.9705, 025: 2.3710, 074: 2.8541, 001: 2.9330, 041: 3.0784, 071: 3.0615, 047: 3.0231, 012: 3.1125, 008: -0.7921, 018: -5.2143, 035: 2.8255, 019: 2.8729, 033: -0.7857, 046: 2.8597, 061: -0.6354, 063: 0.4794, 065: 2.9273, 045: -0.7523, 000: -2.3576"
5,0.047009660597646406,100,0.4700966038689314,"023: -0.5941, 064: 2.8308, 030: 3.0880, 050: 3.0556, 072: -5.0268, 066: 0.3731, 069: 3.0255, 031: 3.1136, 073: -1.4189, 003: 2.8525, 060: -3.9875, 004: 1.9054, 014: 2.9847, 067: -1.1640, 005: 2.7225, 029: 2.8048, 013: 3.0287, 015: 2.8292, 007: -3.0656, 054: 2.8981, 042: 2.9653, 052: 2.8111, 020: 2.6846, 024: 2.6559, 032: -0.5707, 010: 3.0101, 057: 2.7963, 058: -0.5887, 026: 2.9640, 002: 2.4337, 056: 2.9493, 048: 2.6470, 059: 2.9085, 062: -0.8719, 039: 1.7682, 068: 2.9579, 017: -0.8446, 022: 2.8543, 040: 2.9645, 043: 2.9400, 049: -0.8730, 053: 3.0224, 055: -4.8403, 021: 2.8029, 037: 2.9831, 011: -11.2110, 006: 2.9267, 034: -1.1642, 070: 2.8574, 009: 2.4171, 038: 2.9316, 027: 2.9762, 016: -0.3049, 028: 0.6125, 036: 3.0517, 044: 2.6999, 051: 2.4372, 025: 1.2488, 074: 2.7266, 001: 3.0565, 041: 2.9125, 071: 3.0083, 047: 2.9271, 012: 2.8125, 008: 2.9183, 018: 3.0580, 035: 2.8856, 019: -2.0530, 033: 2.6110, 046: -3.2399, 061: 2.9299, 063: 2.4914, 065: 2.7935, 045: -0.8810, 000: 0.3577"
6,0.04819973910547139,100,0.4819973877313284,"023: 0.4814, 064: 2.7814, 030: 2.9719, 050: 0.1241, 072: -4.7419, 066: 2.8357, 069: 2.9544, 031: -0.7065, 073: 2.8403, 003: -6.3706, 060: 2.9506, 004: 3.1448, 014: 2.9156, 067: 3.0111, 005: 2.7158, 029: 2.8761, 013: 2.9749, 015: 2.9162, 007: -0.7694, 054: 2.9267, 042: 2.9000, 052: 2.9504, 020: 3.0355, 024: -1.4865, 032: -0.2307, 010: 2.8464, 057: 2.9837, 058: 2.8326, 026: 2.6426, 002: 2.9383, 056: 3.0345, 048: 2.9124, 059: 2.9814, 062: 2.9771, 039: -0.6630, 068: 2.8523, 017: 3.0090, 022: -1.9476, 040: 3.0197, 043: 2.9939, 049: -3.5601, 053: 2.6682, 055: 2.8937, 021: 3.0941, 037: -0.9729, 011: 3.0547, 006: 2.8919, 034: -0.7340, 070: -0.2457, 009: -0.7214, 038: 2.8722, 027: 2.7626, 016: 0.3933, 028: 3.0445, 036: 2.7076, 044: 2.8392, 051: 2.6272, 025: 3.0231, 074: 2.8439, 001: -0.7527, 041: 2.9523, 071: 3.0651, 047: 2.6708, 012: -0.9981, 008: 2.9879, 018: 2.8006, 035: 2.8365, 019: 0.4556, 033: 2.8245, 046: 3.0079, 061: -2.9037, 063: -2.6998, 065: 2.6441, 045: -0.4897, 000: 2.8163"
7,0.04821430408810871,100,0.48214303810992515,"023: -1.7666, 064: -1.7699, 030: 2.9039, 050: -0.2098, 072: -0.6182, 066: 0.6314, 069: 2.9030, 031: 0.2693, 073: 3.0513, 003: 2.2923, 060: 2.8464, 004: 2.9261, 014: 2.9110, 067: 0.9699, 005: 2.8245, 029: 2.8405, 013: -0.2012, 015: -0.3863, 007: 2.5354, 054: 0.5240, 042: 2.7729, 052: 2.3715, 020: 2.9942, 024: 2.8365, 032: 2.9592, 010: 1.5902, 057: 2.9680, 058: 2.8355, 026: 1.4990, 002: 0.7173, 056: 2.9180, 048: -0.0494, 059: 2.9323, 062: 2.8169, 039: 0.7885, 068: -3.8249, 017: 1.5525, 022: 2.8554, 040: 2.3868, 043: 1.3043, 049: -0.8403, 053: 2.9619, 055: 2.9661, 021: 1.3300, 037: -6.5704, 011: 3.0730, 006: -3.7640, 034: -1.0311, 070: 0.7602, 009: 3.0349, 038: -0.6148, 027: -2.3568, 016: 2.6623, 028: 2.7931, 036: 1.8848, 044: 3.0037, 051: 1.7160, 025: 2.9249, 074: 1.9202, 001: -1.2441, 041: 2.9153, 071: 2.9700, 047: -8.3723, 012: -0.2463, 008: 2.6526, 018: -2.7257, 035: 2.8453, 019: 2.9555, 033: 2.9266, 046: 1.8904, 061: 3.0633, 063: 2.8128, 065: 2.7585, 045: 3.0279, 000: 2.9984"
8,0.04496692577642461,100,0.44966925438962885,"023: 2.8289, 064: 2.8387, 030: 2.6682, 050: 3.0904, 072: 2.8905, 066: 2.1629, 069: 2.9774, 031: 2.8619, 073: 2.6520, 003: 2.9232, 060: 0.0482, 004: 3.0054, 014: -0.9049, 067: 1.0731, 005: 2.8166, 029: 2.8618, 013: 0.9969, 015: 2.9378, 007: 2.6964, 054: 2.7440, 042: 3.0345, 052: 2.8887, 020: 3.0216, 024: -2.3442, 032: 3.0847, 010: 2.8750, 057: -0.9056, 058: 2.8449, 026: 1.7854, 002: 2.6654, 056: -0.5399, 048: 2.8650, 059: 1.2691, 062: 2.5878, 039: 3.0070, 068: 1.7867, 017: 3.0463, 022: 2.7858, 040: 2.8481, 043: -1.9031, 049: 1.9198, 053: 2.9235, 055: 0.2622, 021: 2.4085, 037: 2.8530, 011: 2.9610, 006: 3.0364, 034: 2.9964, 070: 2.9868, 009: 2.9686, 038: -2.1592, 027: 0.1953, 016: 2.8760, 028: 2.8915, 036: 0.1830, 044: 2.8939, 051: 2.9306, 025: 2.9131, 074: -2.6987, 001: 2.9231, 041: 0.2654, 071: 2.7891, 047: 3.0136, 012: 2.9504, 008: 0.2669, 018: 2.8191, 035: 0.4141, 019: 0.5729, 033: 2.8446, 046: 2.9205, 061: 1.1608, 063: 2.9112, 065: 2.9826, 045: -5.4211, 000: 2.9978"
9,0.04421390996658513,100,0.44213909780154215,"023: 1.1009, 064: 2.0744, 030: 2.7977, 050: 0.5977, 072: 2.9568, 066: 2.7546, 069: -1.4418, 031: 2.7750, 073: -5.0042, 003: 2.7827, 060: 2.7401, 004: 0.4236, 014: 2.6183, 067: 2.8080, 005: 0.5648, 029: -1.4213, 013: 2.8899, 015: -4.4794, 007: 2.8431, 054: -4.0603, 042: 2.8649, 052: 0.3581, 020: 1.3143, 024: 2.9011, 032: 3.0781, 010: 2.9533, 057: 2.9113, 058: -0.1864, 026: 3.0147, 002: 2.9503, 056: 2.9632, 048: 2.9060, 059: 3.0178, 062: 2.8612, 039: 2.5819, 068: 3.0171, 017: 2.8666, 022: 2.9428, 040: -8.2670, 043: 2.7826, 049: 1.7640, 053: 3.0326, 055: -1.2387, 021: 3.0584, 037: 0.6880, 011: -0.1701, 006: 2.8513, 034: 3.0500, 070: 2.4280, 009: 2.2557, 038: 1.8949, 027: 0.4315, 016: 2.9711, 028: 2.4515, 036: 3.0084, 044: 3.0393, 051: 2.9197, 025: 2.9404, 074: -0.6334, 001: 2.2870, 041: 2.9027, 071: 2.8906, 047: 2.0357, 012: 2.9601, 008: 2.7477, 018: 2.9447, 035: -0.7437, 019: 1.1964, 033: 2.8776, 046: 2.9404, 061: 2.7058, 063: 2.8662, 065: 2.8029, 045: -0.9046, 000: 2.6755"
