episode,sim/wall,total steps,steps/sec,score
0,0.19549983697175866,100,1.954998324155575,"013: -1.2754, 015: -7.4842, 006: -0.1861, 020: 2.4356, 005: -0.7662, 019: 2.3855, 023: 1.9281, 004: 2.4199, 001: 2.4703, 014: 2.4360, 024: 2.4621, 010: 2.3201, 003: 2.3922, 018: 2.4951, 017: -1.8216, 011: 2.2622, 022: 0.0335, 007: 1.8313, 000: -0.3133, 009: -0.5442, 021: 2.3683, 016: -0.5488, 002: 1.3292, 012: 2.3524, 008: 2.3573"
1,0.1732735243971042,100,1.7327352153381974,"013: -0.4825, 015: 2.3783, 006: 2.4106, 020: 2.4458, 005: 2.3495, 019: 0.8356, 023: 0.0752, 004: 2.3524, 001: -0.8601, 014: 2.3750, 024: 2.4119, 010: 1.8208, 003: -1.1688, 018: 2.4816, 017: 2.4060, 011: -0.5318, 022: 2.3302, 007: 1.9532, 000: 2.3921, 009: 2.3361, 021: 1.8730, 016: 2.3752, 002: 2.0144, 012: 0.9209, 008: 2.1740"
2,0.20669881932572143,100,2.0669881525120504,"013: -4.2692, 015: 2.3863, 006: -4.2595, 020: -0.5933, 005: 2.1334, 019: 2.2992, 023: 0.5882, 004: 2.5560, 001: 1.0421, 014: -11.9469, 024: 2.3863, 010: 2.2742, 003: 2.3055, 018: 2.1281, 017: -6.5009, 011: -6.0844, 022: -6.5417, 007: -1.5968, 000: 1.9842, 009: 1.0731, 021: -0.8939, 016: 2.4046, 002: -6.6358, 012: 2.4702, 008: -5.2836"
3,0.1760360276737454,100,1.7603602397960658,"013: 2.3907, 015: 1.9603, 006: 2.4366, 020: -4.2903, 005: 2.5299, 019: 2.2117, 004: 0.5291, 023: 0.1710, 001: -1.5229, 014: -2.1424, 024: 2.4633, 010: 2.1420, 003: 2.4189, 018: 2.2350, 017: -1.9818, 011: 2.5036, 022: -1.9088, 007: 2.5036, 000: 2.2870, 009: 2.3541, 021: 2.3192, 016: 2.4926, 002: -0.6801, 012: 2.2472, 008: 2.1957"
4,0.16179094361099752,100,1.6179094111463017,"013: 2.4009, 015: 2.4077, 006: 2.3964, 020: 1.8327, 005: -0.0392, 019: 2.5204, 004: 2.3439, 023: 2.4327, 001: 2.5151, 014: 2.3641, 024: 2.4548, 010: 2.2659, 003: 2.3649, 018: 2.4691, 017: 2.4745, 011: -12.2055, 022: 1.9668, 007: 2.4461, 000: 1.7074, 009: 2.1711, 021: 2.2988, 016: 2.3803, 002: 1.9906, 012: 2.3258, 008: 2.4379"
5,0.1742176391230862,100,1.7421763550487146,"013: 2.5178, 015: -10.1526, 006: -0.2557, 020: -1.8683, 005: 2.2841, 019: 2.2892, 004: 2.3847, 023: -7.5640, 001: 2.4292, 014: 2.3142, 024: -6.3013, 010: 2.3065, 003: 2.5778, 018: 2.3267, 017: 2.4494, 011: 2.3821, 022: 2.4230, 007: 2.3307, 000: 2.4370, 009: 2.1172, 021: 2.5209, 016: 2.1757, 002: 2.4069, 012: 2.3707, 008: -0.8785"
6,0.16243820021077945,100,1.6243819769439836,"013: 1.9440, 015: 0.6484, 006: -0.3758, 020: -3.3654, 005: 2.5138, 019: 2.2852, 004: 2.4223, 023: 2.5634, 001: 2.3070, 014: 2.5208, 024: 2.4001, 010: 2.2906, 003: 2.2769, 018: 2.3971, 017: 2.2996, 011: 2.4703, 022: 2.4059, 007: 2.5508, 000: 2.4296, 009: 2.2284, 021: 2.3947, 016: 2.3552, 002: 2.4616, 012: 2.4336, 008: 2.4925"
7,0.18678568532483455,100,1.8678568282938655,"013: 2.4433, 015: -0.9420, 006: 1.7709, 020: -4.1050, 005: 2.4981, 019: 2.3945, 004: 2.2395, 023: -0.6881, 001: -11.0821, 014: -0.8552, 024: 2.5398, 010: 2.4302, 003: 2.3469, 018: 2.5149, 017: 2.2420, 011: 2.4276, 022: 2.4866, 007: -3.6238, 000: 2.3334, 009: 1.4638, 021: 2.0827, 016: 2.4081, 002: 1.9176, 012: 2.1974, 008: -0.8457"
8,0.1854101349124334,100,1.8541012999477595,"013: 2.3054, 015: -1.2902, 006: -0.8675, 020: 2.4433, 005: 2.3379, 019: 2.4181, 004: 0.1272, 023: 2.5394, 001: 2.3930, 014: -2.2738, 024: 2.5009, 010: 2.3307, 003: -1.8682, 018: -0.2696, 017: 2.4273, 011: 2.3628, 022: 2.5378, 007: 2.3112, 000: 2.4365, 009: 2.0365, 021: 2.3761, 016: -5.1478, 002: 2.2189, 012: -11.3974, 008: -1.8339"
9,0.1894866836251432,100,1.8948667934490953,"013: 2.4428, 015: 2.3393, 006: 2.5310, 020: 2.4372, 005: -17.1832, 019: 2.3359, 004: 0.6125, 023: 2.4948, 001: 2.1469, 014: -1.0274, 024: 2.4880, 010: 2.1684, 003: 2.4083, 018: 2.4212, 017: 0.8746, 011: 2.4587, 022: 2.4223, 007: 2.3404, 000: 2.4195, 009: 2.0447, 021: -2.0936, 016: 2.4607, 002: -1.5610, 012: -0.4005, 008: -0.6100"
MEAN,0.18116374951756037,100.0,1.8116374596631608,n/a
