,mem_usage
0,476.10546875
1,476.12890625
2,553.30078125
3,697.8984375
4,723.765625
5,752.0546875
6,755.8515625
7,760.0390625
8,786.8125
9,790.765625
10,792.3671875
11,792.3671875
12,792.609375
13,792.609375
14,792.609375
15,792.609375
16,792.609375
17,792.609375
18,792.7421875
19,792.7421875
20,792.9921875
21,792.9921875
22,792.9921875
23,793.2421875
24,793.2421875
25,793.2421875
26,793.2421875
27,793.4921875
28,793.4921875
29,793.73828125
30,793.7421875
31,793.7421875
32,793.7421875
33,793.7421875
34,793.9921875
35,793.9921875
36,793.9921875
37,794.2421875
38,794.2421875
39,794.4921875
40,794.4921875
41,794.4921875
42,794.7421875
43,794.7421875
44,795.0390625
45,795.0390625
46,796.41015625
47,796.63671875
48,796.63671875
49,796.69140625
50,796.69140625
51,796.69140625
52,796.94140625
53,796.94140625
54,796.94140625
55,796.94140625
56,796.94140625
57,796.94140625
58,796.94140625
59,796.94140625
60,797.1953125
61,797.1953125
62,797.1953125
63,797.1953125
64,797.1953125
65,797.44140625
66,797.44140625
67,797.44140625
68,797.69921875
69,797.69921875
70,797.69921875
71,797.95703125
72,797.95703125
73,797.95703125
74,797.95703125
75,798.19921875
76,798.19921875
77,798.4296875
78,807.671875
79,807.671875
80,807.671875
81,807.8359375
82,807.8359375
83,807.8359375
84,808.05859375
85,808.05859375
86,808.05859375
87,808.05859375
88,808.33984375
89,808.33984375
90,808.33984375
91,808.33984375
92,808.33984375
93,808.33984375
94,808.5546875
95,808.5546875
96,808.8125
97,808.8125
98,808.83984375
99,808.83984375
100,808.83984375
101,809.0859375
102,809.0859375
103,809.0859375
104,809.28125
105,809.28125
106,809.28125
107,809.50390625
108,809.50390625
109,809.50390625
110,809.73046875
111,809.73046875
112,809.98828125
113,809.98828125
114,809.98828125
115,810.24609375
116,810.33984375
117,810.33984375
118,810.33984375
119,810.58984375
120,810.58984375
121,810.58984375
122,810.58984375
123,810.81640625
124,810.81640625
125,810.81640625
126,811.07421875
127,811.07421875
128,811.07421875
129,811.07421875
130,811.07421875
131,811.07421875
132,811.07421875
133,815.71484375
134,815.71484375
135,815.97265625
136,815.97265625
137,815.97265625
138,815.97265625
139,815.97265625
140,815.97265625
141,815.97265625
142,816.1953125
143,816.22265625
144,816.22265625
145,816.22265625
146,816.22265625
147,816.22265625
148,816.47265625
149,820.7265625
150,821.515625
151,823.62890625
152,822.19140625
153,822.19140625
154,822.19140625
155,822.19140625
156,822.19140625
157,822.19140625
158,822.19140625
159,822.19140625
160,822.19140625
161,822.2421875
162,822.2421875
163,822.2421875
164,822.2421875
165,822.2421875
166,822.2421875
167,822.2421875
168,822.2421875
169,822.2421875
170,822.2421875
171,822.2421875
172,822.2421875
173,822.2421875
174,822.2421875
175,822.2421875
176,822.2421875
177,822.25
178,822.25
179,822.25
180,822.25
181,822.25
182,822.25
183,822.25
184,822.25
185,822.25
186,822.25
187,822.25
188,822.25
189,822.25
190,822.25
191,822.25
192,822.25
193,822.25
194,822.35546875
195,822.61328125
196,822.61328125
197,822.61328125
198,822.61328125
199,822.75
200,822.75
201,823.0
202,823.0
203,823.0
204,823.25390625
205,823.25390625
206,823.25390625
207,823.5
208,823.5
209,823.5
210,823.5
211,823.68359375
212,823.75
213,823.75
214,823.75
215,823.75
216,824.00390625
217,824.00390625
218,824.00390625
219,824.00390625
220,824.25
221,824.25
222,824.25
223,824.25
224,824.25
225,824.50390625
226,824.50390625
227,824.50390625
228,824.50390625
229,824.50390625
230,824.76171875
231,824.9921875
232,824.9921875
233,824.9921875
234,825.25
235,825.25
236,825.25
237,825.5
238,825.5
239,825.5
240,825.75390625
241,825.75390625
242,825.75390625
243,826.01171875
244,826.01171875
245,826.24609375
246,826.24609375
247,826.24609375
248,826.24609375
249,826.24609375
250,826.24609375
251,826.46484375
252,826.46484375
253,826.46484375
254,826.75
255,826.75
256,826.75
257,826.75
258,826.75
259,826.75
260,826.98046875
261,826.98046875
262,827.25
263,827.50390625
264,827.50390625
265,827.50390625
266,827.50390625
267,828.01953125
268,828.27734375
269,828.27734375
270,828.5078125
271,828.5078125
272,828.765625
273,828.765625
274,828.765625
275,850.1640625
276,850.1640625
277,850.39453125
278,850.39453125
279,850.65234375
280,850.65234375
281,850.65234375
282,850.91015625
283,850.91015625
284,850.91015625
285,851.16796875
286,851.16796875
287,851.16796875
288,851.39453125
289,851.62109375
290,851.62109375
291,851.62109375
292,851.82421875
293,851.82421875
294,851.82421875
295,852.08203125
296,852.08203125
297,852.08203125
298,852.08203125
299,852.08203125
300,852.3828125
301,852.3828125
302,852.3828125
303,852.60546875
304,852.60546875
305,852.60546875
306,852.828125
307,852.828125
308,859.1328125
309,861.6015625
310,864.1015625
311,864.1015625
312,864.1015625
313,858.69921875
314,858.69921875
315,858.69921875
316,858.69921875
317,858.69921875
318,858.69921875
319,858.69921875
320,858.69921875
321,858.69921875
322,858.69921875
323,858.69921875
324,858.69921875
325,858.69921875
326,858.69921875
327,858.69921875
328,858.69921875
329,858.69921875
330,858.69921875
331,858.69921875
332,858.69921875
333,858.69921875
334,858.69921875
335,858.69921875
336,858.69921875
337,858.69921875
338,858.69921875
339,858.69921875
340,858.69921875
341,858.69921875
342,858.69921875
343,858.69921875
344,858.69921875
345,858.69921875
346,858.69921875
347,858.69921875
348,858.69921875
349,858.69921875
350,858.69921875
351,858.69921875
352,858.69921875
353,858.69921875
354,858.69921875
355,858.69921875
356,858.69921875
357,858.69921875
358,858.69921875
359,858.69921875
360,858.69921875
361,858.69921875
362,858.69921875
363,858.69921875
364,858.69921875
365,858.69921875
366,858.69921875
367,858.69921875
368,858.69921875
369,858.69921875
370,858.69921875
371,858.7421875
372,858.7421875
373,858.7421875
374,858.7421875
375,858.7421875
376,858.7421875
377,858.7421875
378,858.7421875
379,858.7421875
380,858.7421875
381,858.7421875
382,858.7421875
383,858.7421875
384,858.7421875
385,858.91015625
386,858.91015625
387,858.91015625
388,858.91015625
389,858.91015625
390,859.11328125
391,859.11328125
392,859.11328125
393,859.3671875
394,859.3671875
395,859.3671875
396,859.625
397,859.625
398,859.625
399,859.8828125
400,859.8828125
401,859.8828125
402,860.12890625
403,860.12890625
404,860.12890625
405,860.30078125
406,860.30078125
407,860.30078125
408,860.55859375
409,860.55859375
410,860.55859375
411,860.81640625
412,860.81640625
413,860.81640625
414,860.81640625
415,861.07421875
416,861.07421875
417,861.30859375
418,861.30859375
419,861.30859375
420,861.30859375
421,861.30859375
422,861.55859375
423,861.81640625
424,861.81640625
425,862.07421875
426,862.07421875
427,862.07421875
428,862.33203125
429,862.84765625
430,862.84765625
431,862.84765625
432,862.84765625
433,862.84765625
434,863.140625
435,883.50390625
436,883.76171875
437,883.76171875
438,883.76171875
439,883.9921875
440,883.9921875
441,883.9921875
442,883.9921875
443,883.9921875
444,883.9921875
445,884.25
446,884.25
447,884.5078125
448,884.5078125
449,884.5078125
450,884.5078125
451,884.765625
452,884.765625
453,884.765625
454,884.765625
455,885.03125
456,885.03125
457,885.03125
458,885.24609375
459,885.24609375
460,885.24609375
461,885.24609375
462,885.484375
463,885.484375
464,885.484375
465,891.03125
466,891.28515625
467,895.04296875
468,895.04296875
469,895.04296875
470,895.7890625
471,896.80859375
472,891.5
473,891.5
474,891.5
475,891.5
476,891.5
477,891.5
478,891.5
479,891.5
480,891.5
481,891.5
482,891.5
483,891.5
484,891.5
485,891.5
486,891.5
487,891.5
488,891.5
489,891.5
490,891.5
491,891.5
492,891.5
493,891.5
494,891.5
495,891.5
496,891.5
497,891.5
498,891.5
499,891.5
500,891.5
501,891.5
502,891.5
503,891.5
504,891.5
505,891.5
506,891.5
507,891.5
508,891.5
509,891.5
510,891.5
511,891.5
512,891.5
513,891.5
514,891.5
515,891.5
516,891.5
517,891.5
518,891.5
519,891.5
520,891.5
521,891.5
522,891.5
523,891.5
524,891.5
525,891.5
526,891.5
527,891.5
528,891.5
529,891.5
530,891.5
531,891.5
532,891.5
533,891.5
534,891.5
535,891.5
536,891.5
537,891.5
538,891.5
539,891.5
540,891.5
541,891.5
542,891.5
543,891.5
544,891.5
545,891.5
546,891.5
547,891.5
548,891.5
549,891.5
550,891.5
551,891.5
552,891.5
553,891.5
554,891.5
555,891.64453125
556,891.64453125
557,891.64453125
558,891.64453125
559,905.56640625
560,905.67578125
561,905.67578125
562,905.67578125
563,905.92578125
564,905.92578125
565,905.92578125
566,906.1796875
567,906.1796875
568,906.1796875
569,906.42578125
570,906.42578125
571,906.42578125
572,906.67578125
573,906.67578125
574,906.67578125
575,906.67578125
576,906.67578125
577,906.67578125
578,906.67578125
579,906.67578125
580,906.9296875
581,906.9296875
582,906.9296875
583,907.1875
584,907.1875
585,907.1875
586,907.4453125
587,907.4453125
588,907.4453125
589,907.67578125
590,907.67578125
591,907.9296875
592,907.9296875
593,908.171875
594,908.171875
595,908.171875
596,908.42578125
597,908.42578125
598,908.42578125
599,908.6796875
600,908.6796875
601,908.6796875
602,908.9375
603,908.9375
604,908.9375
605,909.17578125
606,909.17578125
607,909.17578125
608,909.4296875
609,909.4296875
610,909.4296875
611,909.67578125
612,909.67578125
613,909.67578125
614,909.9296875
615,909.9296875
616,909.9296875
617,910.1875
618,910.1875
619,910.1875
620,910.1875
621,910.4453125
622,910.4453125
623,910.4453125
624,910.4453125
625,910.703125
626,910.703125
627,910.703125
628,910.703125
629,915.92578125
630,918.01953125
631,921.01953125
632,921.01953125
633,916.47265625
634,916.47265625
635,916.47265625
636,916.47265625
637,916.47265625
638,916.47265625
639,916.47265625
640,916.47265625
641,916.47265625
642,916.47265625
643,916.47265625
644,916.47265625
645,916.47265625
646,916.47265625
647,916.47265625
648,916.47265625
649,916.47265625
650,916.47265625
651,916.47265625
652,916.47265625
653,916.47265625
654,916.47265625
655,916.47265625
656,917.2421875
657,937.3515625
658,937.609375
659,937.609375
660,937.609375
661,937.609375
662,937.609375
663,937.609375
664,937.609375
665,937.609375
666,937.609375
667,937.609375
668,937.609375
669,937.609375
670,937.609375
671,937.609375
672,937.609375
673,937.609375
674,937.609375
675,937.609375
676,937.609375
677,937.609375
678,937.609375
679,937.609375
680,937.609375
681,937.609375
682,937.609375
683,937.609375
684,937.609375
685,937.609375
686,937.609375
687,937.609375
688,937.609375
689,937.609375
690,937.609375
691,937.609375
692,937.609375
693,937.609375
694,937.609375
695,937.609375
696,937.609375
697,937.609375
698,937.609375
699,937.609375
700,937.609375
701,937.609375
702,937.609375
703,937.609375
704,937.609375
705,937.609375
706,937.609375
707,937.609375
708,937.64453125
709,937.64453125
710,937.64453125
711,937.64453125
712,937.64453125
713,937.89453125
714,937.89453125
715,937.89453125
716,938.1484375
717,938.1484375
718,938.1484375
719,938.40625
720,938.40625
721,938.40625
722,938.40625
723,938.40625
724,938.6640625
725,938.6640625
726,938.6640625
727,938.89453125
728,938.89453125
729,938.89453125
730,939.14453125
731,939.14453125
732,939.14453125
733,939.3984375
734,939.3984375
735,939.3984375
736,939.3984375
737,939.3984375
738,939.65625
739,939.65625
740,939.65625
741,939.89453125
742,939.89453125
743,939.89453125
744,939.89453125
745,940.14453125
746,940.14453125
747,940.14453125
748,940.14453125
749,940.14453125
750,940.14453125
751,940.14453125
752,940.14453125
753,940.14453125
754,940.3984375
755,940.3984375
756,940.3984375
757,940.65625
758,940.65625
759,940.65625
760,940.65625
761,940.89453125
762,940.89453125
763,940.89453125
764,940.89453125
765,940.89453125
766,941.1484375
767,941.1484375
768,941.1484375
769,941.39453125
770,941.39453125
771,941.39453125
772,941.39453125
773,941.6484375
774,941.6484375
775,941.6484375
776,941.6484375
777,941.6484375
778,941.89453125
779,941.89453125
780,942.1484375
781,942.1484375
782,942.1484375
783,942.40625
784,942.40625
785,942.40625
786,942.64453125
787,942.64453125
788,947.89453125
789,949.21484375
790,951.9453125
791,951.9453125
792,951.9453125
793,954.0390625
794,954.0390625
795,954.0390625
796,954.2890625
797,950.47265625
798,950.46875
799,950.46875
800,950.46875
801,950.46875
802,950.46875
803,950.46875
804,950.46875
805,968.25390625
806,968.25390625
807,968.25390625
808,968.25390625
809,968.25390625
810,968.25390625
811,968.25390625
812,968.25390625
813,968.25390625
814,968.25390625
815,968.25390625
816,968.25390625
817,968.25390625
818,968.25390625
819,968.25390625
820,968.25390625
821,968.25390625
822,968.25390625
823,968.25390625
824,968.25390625
825,968.25390625
826,968.25390625
827,968.25390625
828,968.25390625
829,968.25390625
830,968.25390625
831,968.25390625
832,968.25390625
833,968.25390625
834,968.25390625
835,968.25390625
836,968.25390625
837,968.25390625
838,968.25390625
839,968.25390625
840,968.25390625
841,968.25390625
842,968.25390625
843,968.25390625
844,968.25390625
845,968.25390625
846,968.25390625
847,968.25390625
848,968.25390625
849,968.25390625
850,968.25390625
851,968.25390625
852,968.25390625
853,968.25390625
854,968.25390625
855,968.25390625
856,968.25390625
857,968.25390625
858,968.25390625
859,968.25390625
860,968.25390625
861,968.25390625
862,968.25390625
863,968.25390625
864,968.25390625
865,968.25390625
866,968.25390625
867,968.25390625
868,968.25390625
869,968.25390625
870,968.25390625
871,968.25390625
872,968.25390625
873,968.25390625
874,968.25390625
875,968.25390625
876,968.25390625
877,968.25390625
878,968.25390625
879,968.48828125
880,968.48828125
881,968.48828125
882,968.48828125
883,968.48828125
884,968.7421875
885,968.7421875
886,968.7421875
887,969.0
888,969.0
889,969.0
890,969.2578125
891,969.2578125
892,969.2578125
893,969.2578125
894,969.2578125
895,969.2578125
896,969.48828125
897,969.48828125
898,969.48828125
899,969.7421875
900,969.7421875
901,969.7421875
902,969.98828125
903,969.98828125
904,969.98828125
905,970.2421875
906,970.2421875
907,970.2421875
908,970.2421875
909,970.5
910,970.5
911,970.5
912,970.5
913,970.5
914,970.5
915,970.7578125
916,970.7578125
917,970.7578125
918,970.98828125
919,970.98828125
920,970.98828125
921,971.23828125
922,971.23828125
923,971.23828125
924,971.23828125
925,971.23828125
926,971.23828125
927,971.4921875
928,971.4921875
929,971.4921875
930,971.73828125
931,971.73828125
932,971.73828125
933,971.73828125
934,971.73828125
935,971.9921875
936,971.9921875
937,971.9921875
938,971.9921875
939,971.9921875
940,971.9921875
941,972.25
942,972.25
943,972.5078125
944,972.5078125
945,972.5078125
946,972.765625
947,974.73828125
948,977.48828125
949,979.28125
950,981.8515625
951,981.8515625
952,981.8515625
953,983.59375
