,mem_usage
0,469.75
1,469.765625
2,687.328125
3,858.88671875
4,1055.1484375
5,1055.39453125
6,1055.39453125
7,1055.39453125
8,1055.39453125
9,1055.39453125
10,1055.46484375
11,1055.53125
12,1055.6484375
13,1055.7421875
14,1056.64453125
15,1056.71484375
16,1056.78125
17,1056.859375
18,1056.9375
19,1057.01171875
20,1057.078125
21,1057.5546875
22,1461.44140625
23,1536.03515625
24,1562.421875
25,1669.73046875
26,1620.82421875
27,1551.1796875
28,1551.26171875
29,1551.203125
30,1503.2890625
31,1513.41796875
32,1587.640625
33,1564.36328125
34,1551.2578125
35,1551.23046875
36,1551.265625
37,1551.26171875
38,1551.28515625
39,1551.296875
40,1472.48828125
41,1656.35546875
42,1620.09765625
43,1563.55859375
44,1563.58984375
45,1563.58984375
46,1563.60546875
47,1563.609375
48,1551.41796875
49,1472.5703125
50,1575.9140625
51,1637.82421875
52,1600.34375
53,1575.953125
54,1551.4296875
55,1551.390625
56,1551.5078125
57,1520.59375
58,1529.8515625
59,1601.90625
60,1644.33203125
61,1577.8515625
62,1577.79296875
63,1551.57421875
64,1551.50390625
65,1551.58984375
66,1520.6640625
67,1472.73828125
68,1706.35546875
69,1631.0234375
70,1576.140625
71,1565.5234375
72,1551.578125
73,1551.61328125
74,1551.5703125
75,1472.8125
76,1530.01171875
77,1654.69921875
78,1607.58203125
79,1655.59375
80,1624.59375
81,1624.54296875
82,1624.546875
83,1576.6328125
84,1576.640625
85,1717.45703125
86,1664.59765625
87,1624.56640625
88,1624.59375
89,1624.6015625
90,1624.59375
91,1624.63671875
92,1624.63671875
93,1585.7109375
94,1576.7265625
95,1717.53125
96,1679.90234375
97,1624.6796875
98,1624.6640625
99,1624.71875
100,1624.70703125
101,1624.703125
102,1624.6796875
103,1601.3046875
104,1570.171875
105,1729.796875
106,1677.72265625
107,1649.2734375
108,1636.8828125
109,1624.84375
110,1624.78125
111,1624.76171875
112,1624.70703125
113,1570.2421875
114,1651.1796875
115,1711.28125
116,1649.38671875
117,1649.33984375
118,1649.33984375
119,1624.921875
120,1624.88671875
121,1624.8515625
122,1603.27734375
123,1649.390625
124,1742.765625
125,1661.0546875
126,1663.34375
127,1638.93359375
128,1624.91015625
129,1625.015625
130,1625.03515625
131,1570.375
132,1615.6171875
133,1725.3984375
134,1649.546875
135,1649.49609375
136,1625.07421875
137,1625.03125
138,1656.46875
139,1680.9609375
140,1680.9609375
141,1680.9609375
142,1680.9609375
143,1728.2109375
144,1725.71875
145,1680.80859375
146,1681.0546875
147,1681.0546875
148,1681.0546875
149,1681.0546875
150,1682.78125
151,1625.72265625
152,1625.73046875
153,1787.93359375
154,1744.7734375
155,1698.78515625
156,1695.08203125
157,1657.45703125
158,1656.4453125
159,1682.98828125
160,1682.98828125
161,1627.01953125
162,1666.40234375
163,1704.81640625
164,1729.56640625
165,1659.984375
166,1739.90625
167,1832.828125
168,1766.87890625
169,1715.3203125
170,1739.8125
171,1690.828125
172,1715.3203125
173,1690.7421875
174,1727.609375
175,1680.7578125
176,1684.41015625
177,1825.2421875
178,1781.671875
179,1732.359375
180,1732.359375
181,1732.359375
182,1747.734375
183,1747.734375
184,1747.734375
185,1699.78515625
186,1715.66015625
187,1840.5078125
188,1800.6328125
189,1763.609375
190,1763.609375
191,1763.609375
192,1763.609375
193,1763.609375
194,1776.2421875
195,1776.2421875
196,1776.2421875
197,1776.2421875
198,1869.125
199,1838.1875
200,1776.2421875
201,1777.2734375
202,1777.2734375
203,1777.2734375
204,1752.6484375
205,1778.9453125
206,1752.6640625
207,1722.00390625
208,1814.8125
209,1876.7734375
210,1814.8359375
211,1814.84375
212,1814.85546875
213,1752.73828125
214,1752.74609375
215,1745.01953125
216,1746.59765625
217,1814.9140625
218,1876.8671875
219,1807.203125
220,1814.9375
221,1814.953125
222,1752.828125
223,1752.8671875
224,1722.16796875
225,1722.171875
226,1921.78125
227,1857.78515625
228,1827.1328125
229,1827.14453125
230,1752.91015625
231,1752.91796875
232,1752.9296875
233,1722.26171875
234,1827.20703125
235,1851.44140625
236,1829.171875
237,1791.80078125
238,1815.015625
239,1863.9921875
240,1888.640625
241,1939.7734375
242,1888.671875
243,1851.03125
244,1851.03125
245,1851.03125
246,1826.57421875
247,1826.59765625
248,1851.3046875
249,1877.59765625
250,1943.97265625
251,1913.03515625
252,1863.4453125
253,1851.13671875
254,1851.13671875
255,1771.50390625
256,1823.8359375
257,1865.359375
258,1865.359375
259,1865.359375
260,1865.359375
261,1867.88671875
262,1867.88671875
263,1867.88671875
264,1867.88671875
265,1929.83203125
266,1887.4765625
267,1867.88671875
268,1867.88671875
269,1881.42578125
270,1850.25
271,1874.7421875
272,1874.7421875
273,1874.7421875
274,1874.7421875
275,1967.625
276,1936.6875
277,1874.7421875
278,1874.7421875
279,1874.7421875
280,1874.7421875
281,1874.7421875
282,1874.7421875
283,1874.7421875
284,1874.7421875
285,1876.52734375
286,2005.24609375
287,1935.6796875
288,1904.6484375
289,1912.3828125
290,1895.109375
291,1850.2578125
292,1850.2578125
293,1850.25
294,1844.07421875
295,1912.390625
296,1987.609375
297,1925.5625
298,1924.6328125
299,1924.6328125
300,1862.5
301,1862.5
302,1862.5
303,1911.2421875
304,1949.03125
305,2011.140625
306,1949.1015625
307,1936.75
308,1924.6328125
309,1953.72265625
310,1980.125
311,1954.95703125
312,1954.86328125
313,1862.078125
314,1868.390625
315,1868.40234375
316,1837.73828125
317,1931.578125
318,1962.50390625
319,1955.0546875
320,1955.0546875
321,1865.8515625
322,1909.421875
323,1930.5625
324,1837.75390625
325,2017.0
326,1942.8125
327,1943.1875
328,1852.19140625
329,1887.1328125
330,1887.1328125
331,2004.43359375
332,2001.078125
333,1973.49609375
334,1949.00390625
335,2004.44140625
336,1966.6484375
337,1936.13671875
338,2121.828125
339,2053.4453125
340,2047.38671875
341,1986.54296875
342,2012.06640625
343,2047.37109375
344,2009.734375
345,2140.28125
346,2052.30859375
347,2047.421875
