episode,sim/wall,total steps,steps/sec,score
0,0.6352472665632131,1000,6.35247259828428,000: 26.3478
1,0.3604679592584677,371,3.6046795508334233,000: 5.7215
2,0.36354115017248945,97,3.6354112418493147,000: 1.7924
3,0.3700181146718138,240,3.7001810515102664,000: -16.1729
4,0.36284809126097145,370,3.628480870190946,000: 5.9519
5,0.37099369996812903,200,3.7099368848285943,000: 4.7728
6,0.35858337062303075,27,3.5858327978943665,000: -1.6424
7,0.3649246818571934,108,3.649246642181899,000: -2.8460
8,0.37163809717277624,196,3.7163808541236505,000: 4.0152
9,0.3645121804382675,64,3.6451215568946513,000: 0.5019
10,0.3672101913314852,262,3.672101815149499,000: 5.3559
11,0.3370543835591242,18,3.370542932734836,000: -0.6949
12,0.367826663772103,235,3.6782665416357903,000: 5.6509
13,0.38110143382058853,54,3.811013889330811,000: -6.9561
14,0.3680940802242255,28,3.6809401100114867,000: -1.7636
15,0.3564761338398182,27,3.5647606651294925,000: -1.6400
16,0.37454841175078835,119,3.7454838926547134,000: -1.6482
17,0.36604625611910585,113,3.6604623915680263,000: 1.8314
18,0.36482774254366945,112,3.64827722710332,000: 0.1639
19,0.3773589342459463,79,3.7735890846056854,000: 1.1094
MEAN,0.3791659421596604,186.0,3.7916591299257525,n/a
