,mem_usage,step
0,100,746749952
1,200,746819584
2,300,749441024
3,400,758706176
4,500,782548992
5,600,855531520
6,700,847368192
7,800,847814656
8,900,855928832
9,1000,862732288
10,1100,862994432
11,1200,863055872
12,1300,863055872
13,1400,863203328
14,1500,883814400
15,1600,874987520
16,1700,875196416
17,1800,876965888
18,1900,876998656
19,2000,876990464
20,2100,884174848
21,2200,884101120
22,2300,874389504
23,2400,874307584
24,2500,874283008
25,2600,874500096
26,2700,874414080
27,2800,885268480
28,2900,884277248
29,3000,884539392
30,3100,884539392
31,3200,884539392
32,3300,884539392
33,3400,884539392
34,3500,884539392
35,3600,883568640
36,3700,874962944
37,3800,875167744
38,3900,875225088
39,4000,875368448
40,4100,875323392
41,4200,876417024
42,4300,876654592
43,4400,882073600
44,4500,903426048
45,4600,876654592
46,4700,898019328
47,4800,892645376
48,4900,896339968
49,5000,891060224
50,5100,891060224
51,5200,891207680
52,5300,896974848
53,5400,896974848
54,5500,896151552
55,5600,893591552
56,5700,893403136
57,5800,894484480
58,5900,900128768
59,6000,895062016
60,6100,890212352
61,6200,890212352
62,6300,893734912
63,6400,889257984
64,6500,893329408
65,6600,893329408
66,6700,894951424
67,6800,894431232
68,6900,893591552
69,7000,896909312
70,7100,895504384
71,7200,895504384
72,7300,883916800
73,7400,893374464
74,7500,893374464
75,7600,893374464
76,7700,893644800
77,7800,893644800
78,7900,893509632
79,8000,894279680
80,8100,895352832
81,8200,895352832
82,8300,896163840
83,8400,894558208
84,8500,892964864
85,8600,894308352
86,8700,894308352
87,8800,894308352
88,8900,893292544
89,9000,890114048
90,9100,898490368
91,9200,895889408
92,9300,895889408
93,9400,895889408
94,9500,895889408
95,9600,895881216
96,9700,895881216
97,9800,895881216
98,9900,895881216
99,10000,895881216
