episode,sim/wall,total steps,steps/sec,score
0,4.927959135575931,203,49.279571390446584,"003: -1.5199, 001: -0.9698, 000: -0.9232, 002: -0.6707"
1,1.4336476715851734,50,14.336472795592098,"003: -0.6050, 001: -1.4075, 000: -0.8102, 002: -0.6608"
2,1.2824182112523295,19,12.82416353928083,"003: -0.7549, 001: -0.5696, 000: -0.7092, 002: -0.9116"
3,4.918922577996988,301,49.18920853128727,"003: -3.6496, 001: -1.8515, 000: -0.6655, 002: -1.6167"
4,6.736292163293706,725,67.36291118713261,"003: -1.3740, 001: -0.9142, 000: -9.5506, 002: -0.1556"
5,1.3719688447104323,26,13.719667734446219,"003: -1.8971, 000: -0.6651, 001: -0.7620, 002: -0.9198"
6,5.757785602713318,10000,57.57785555288866,"003: -132.7390, 001: -0.5490, 000: -0.6480, 002: -1.0404"
7,1.647461796989045,34,16.474600840814254,"003: -1.0352, 001: -0.8177, 000: -0.5531, 002: -0.5823"
8,7.501742681277334,839,75.01741721758164,"003: -1.5616, 001: -0.9791, 000: -7.5737, 002: -0.9425"
9,5.884730171439271,6619,58.84730121543836,"003: -196.5959, 001: -0.2424, 000: -0.6321, 002: -0.9520"
MEAN,4.146292885683353,1881.6,41.46291700049085,n/a
