episode,sim/wall,total steps,steps/sec,score
0,1.9420386681673716,528,19.420385830159496,"002: 2.6603, 000: 2.0540, 001: 3.7676"
1,1.701215968746704,496,17.012158991886686,"002: 3.1989, 000: 2.2968, 001: 2.8534"
2,2.2052745662075823,318,22.052743109748892,"002: 0.6135, 000: 1.6243, 001: -0.1674"
3,2.7064663083891065,346,27.064659045957505,"002: 2.4138, 000: 3.3894, 001: -0.3303"
4,5.083049399240044,477,50.83048624383043,"002: -0.3101, 000: 2.8121, 001: 0.1538"
5,2.306629526826251,549,23.066293650847552,"002: 0.5701, 000: 3.9682, 001: 3.2288"
6,1.8906972391874755,499,18.9069717086816,"002: 1.5135, 000: 1.9706, 001: 1.5898"
7,1.7434678386716862,577,17.434677633112514,"002: 3.0328, 000: 2.8909, 001: 3.1323"
8,2.510728320920268,727,25.107281968818103,"002: 3.4048, 000: 2.8367, 001: 3.2807"
9,1.7656439827700492,452,17.656439169939805,"002: 2.7300, 000: 2.2619, 001: 3.4631"
MEAN,2.3855211819126536,496.9,23.855209735298253,n/a
