episode,sim/wall,total steps,steps/sec,score
0,2.6932919464599805,514,26.93291778225962,"000: 1.9510, 001: 3.1147"
1,3.768679156812197,551,37.686789724431286,"000: 2.2988, 001: 1.6317"
2,2.5805196118580556,512,25.805193637879636,"000: 3.1265, 001: 1.9781"
3,3.671905113116291,481,36.71904511637446,"000: 2.2842, 001: 1.8004"
4,3.9085966943219423,408,39.08596158682136,"000: 3.4496, 001: 4.1505"
5,3.5304071800588592,499,35.30406882303824,"000: 0.5219, 001: 3.7326"
6,3.3917233758661527,436,33.91723061334454,"000: 3.4668, 001: 2.2739"
7,2.9629638288591256,526,29.629633115497764,"000: 1.2643, 001: 2.8899"
8,3.051268850844589,452,30.51268507080424,"000: 2.8556, 001: 2.6717"
9,2.6172724922000943,538,26.172723404162035,"000: 0.9527, 001: 2.6425"
MEAN,3.2176628250397292,491.7,32.176624887461315,n/a
