episode,sim/wall,total steps,steps/sec,score
0,6.063107838882781,300,60.63106378121241,"000: -1.9850, 001: -0.9919, 002: -1.3393, 003: -5.0142"
1,1.5488828992536376,26,15.48881799301943,"000: -2.5873, 001: -2.7593, 002: -0.7373, 003: -1.5721"
2,6.063734989467241,249,60.63733229149557,"000: -3.5144, 001: -0.5300, 002: -1.5034, 003: -0.8149"
3,1.4976299818502226,13,14.976279251300737,"000: -0.8056, 001: -1.3470, 002: -1.4030, 003: -1.4071"
4,1.0852705476008826,7,10.852685418024324,"000: -1.0446, 001: -1.4254, 002: -0.8550, 003: -1.3464"
5,1.2230450792251952,9,12.23043494178928,"000: -0.8307, 001: -1.4254, 002: -1.5667, 003: -1.5000"
6,1.136497034127278,7,11.36494834506403,"000: -1.4257, 001: -1.4250, 002: -1.4292, 003: -1.4267"
7,1.410047253666395,10,14.10045357541952,"000: -1.3927, 001: -1.4450, 002: -1.4329, 003: -1.3922"
8,1.3672399922287461,10,13.672373181142229,"000: -1.4258, 001: -1.5790, 002: -1.5047, 003: -1.3921"
9,1.054693599553697,7,10.54692084060317,"000: -1.3925, 001: -1.3921, 002: -1.4259, 003: -1.4255"
MEAN,2.2450149215856077,63.8,22.450130961907067,n/a
