episode,sim/wall,total steps,steps/sec,score
0,0.37928111459809805,117,3.792810852839932,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
1,0.22405336088488417,46,2.2405333226434445,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
2,0.15459440723316178,34,1.5459438879823706,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
3,0.1651014292497204,33,1.651014095559999,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
4,0.15784841389648252,22,1.5784838149394542,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
5,0.15926286543191553,27,1.5926284303411768,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
6,0.1962934768052612,62,1.9629345902486854,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
7,0.13754566623480355,33,1.3754564983263868,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000, 002: 0.0000"
8,0.21267392755698492,27,2.1267386764744685,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
9,0.2025972954056082,32,2.0259726482420994,"018: 0.0000, 007: 0.0000, 019: 0.0000, 006: 0.0000, 015: 0.0000, 004: 0.0000, 013: 0.0000, 010: 0.0000, 002: 0.0000, 005: 0.0000, 016: 0.0000, 008: 0.0000, 009: 0.0000, 001: 0.0000, 017: 0.0000, 012: 0.0000, 014: 0.0000, 011: 0.0000, 003: 0.0000, 000: 0.0000"
10,0.1358768378394551,31,1.3587681938026859,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
11,0.37109458775565096,142,3.7109456000953447,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
12,0.2164748846242286,57,2.1647486306302923,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
13,0.18132363381285468,40,1.8132361225619005,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
14,0.1645191335142259,35,1.6451911323284554,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
15,0.13843788559156367,35,1.384378725364119,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
16,0.10227323312654928,25,1.0227322115624327,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
17,0.37971409218632407,338,3.7971408201595263,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
18,0.15236711105985298,46,1.523670978238341,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000, 002: 0.0000"
19,0.17297731910629954,40,1.7297729948846516,"000: 0.0000, 006: 0.0000, 015: 0.0000, 013: 0.0000, 018: 0.0000, 005: 0.0000, 010: 0.0000, 008: 0.0000, 014: 0.0000, 007: 0.0000, 019: 0.0000, 004: 0.0000, 002: 0.0000, 001: 0.0000, 016: 0.0000, 009: 0.0000, 003: 0.0000, 017: 0.0000, 012: 0.0000, 011: 0.0000"
MEAN,0.20021553379569626,61.1,2.0021551113612888,n/a
