episode,sim/wall,total steps,steps/sec,score
0,0.6949289657564357,21,6.949274854062314,000: 0.0000
1,1.401317356666884,2,14.012869256108887,000: 0.0000
2,0.708105845541018,15,7.0810488917121495,000: 0.0000
3,0.8204003161657026,10,8.20398871945292,000: 0.0000
4,0.643802442996953,44,6.43802195946771,000: 0.0000
5,0.7331806934587216,21,7.331798390407572,000: 0.0000
6,0.7742139363174897,21,7.742131877429789,000: 0.0000
7,0.7992047403087252,20,7.992037504595708,000: 0.0000
8,0.7118423661311394,33,7.118419268173882,000: 0.0000
9,0.7615096915691701,12,7.615078481306828,000: 0.0000
MEAN,0.8048506354912239,19.9,8.048466920271776,n/a
