ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,3844.047,3844.047,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,1.942,1.942,3844.012,3844.012,marl_scalability/train.py:51(train)
33974,1.256,0.000,2722.826,0.080,/marl/marl_scalability/env/scalability_env.py:110(step)
147735,3.607,0.000,1356.550,0.009,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
465588,10.615,0.000,1247.116,0.003,/marl/marl_scalability/utils/geometry.py:196(intersects)
931176,109.771,0.000,1204.799,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
34174,0.242,0.000,1102.241,0.032,/src/smarts/core/smarts.py:167(step)
34174,1.799,0.000,1101.999,0.032,/src/smarts/core/smarts.py:193(_step)
98490,5.070,0.000,1098.520,0.011,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
49245,1.929,0.000,1095.603,0.022,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
93472349/67469434,210.046,0.000,974.959,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
33974,6.407,0.000,887.340,0.026,marl_scalability/train.py:151(<dictcomp>)
49245,5.533,0.000,880.933,0.018,/marl/marl_scalability/baselines/sac/sac/policy.py:171(step)
34274,1.699,0.000,664.244,0.019,/src/smarts/core/agent_manager.py:132(observe)
50245,3.642,0.000,651.561,0.013,/src/smarts/core/sensors.py:180(observe)
2793528,249.152,0.000,517.296,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
931176,17.312,0.000,376.052,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
2793528,3.842,0.000,358.740,0.000,<__array_function__ internals>:2(cross)
2793528,112.351,0.000,345.126,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
34174,1.030,0.000,322.849,0.009,/src/smarts/core/smarts.py:695(_step_providers)
7845,1.108,0.000,321.618,0.041,/marl/marl_scalability/baselines/sac/sac/policy.py:228(update_critic)
6987101,14.768,0.000,280.634,0.000,{built-in method builtins.min}
50245,0.379,0.000,273.635,0.005,/src/smarts/core/sensors.py:995(__call__)
50245,0.235,0.000,269.015,0.005,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
39245,2.323,0.000,267.975,0.007,/marl/marl_scalability/baselines/common/replay_buffer.py:167(sample)
1444599/81516,9.309,0.000,245.362,0.003,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
9751232,40.942,0.000,243.559,0.000,/src/smarts/core/waypoints.py:64(dist_to)
50884,0.758,0.000,236.982,0.005,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
50245,1.098,0.000,233.932,0.005,/src/smarts/core/sensors.py:330(_is_done_with_events)
1295085,2.067,0.000,229.750,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:344(__next__)
1295085,2.681,0.000,227.683,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:383(_next_data)
34174,178.368,0.005,223.959,0.007,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
153735,5.373,0.000,218.871,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
8381584,10.076,0.000,208.316,0.000,<__array_function__ internals>:2(moveaxis)
1255840,2.798,0.000,199.581,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/fetch.py:42(fetch)
10801997,12.624,0.000,192.583,0.000,<__array_function__ internals>:2(norm)
13814240/1255840,44.918,0.000,189.801,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:42(default_collate)
8381584,57.966,0.000,184.259,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
153681,10.381,0.000,181.606,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
101490,0.648,0.000,175.211,0.002,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
101490,2.143,0.000,174.253,0.002,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
1255840,7.561,0.000,172.612,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:79(<listcomp>)
98490,0.395,0.000,168.584,0.002,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
15683,0.160,0.000,163.995,0.010,/usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
