,mem_usage
0,463.7109375
1,463.8515625
2,490.67578125
3,553.453125
4,677.9609375
5,719.90234375
6,735.27734375
7,761.94140625
8,762.23046875
9,762.29296875
10,762.37109375
11,762.71484375
12,762.71484375
13,762.88671875
14,762.88671875
15,762.88671875
16,762.9140625
17,762.9140625
18,762.9140625
19,762.9140625
20,762.9140625
21,762.9140625
22,762.9140625
23,762.9140625
24,762.9140625
25,762.9140625
26,762.9140625
27,762.9140625
28,762.9140625
29,762.9140625
30,762.9140625
31,762.9140625
32,762.9140625
33,762.9140625
34,762.9140625
35,762.9140625
36,762.9140625
37,762.9140625
38,764.82421875
39,766.390625
40,766.390625
41,766.390625
42,766.390625
43,766.90234375
44,766.90234375
45,766.90234375
46,766.90234375
47,766.90234375
48,766.90234375
49,766.90234375
50,766.90234375
51,766.90234375
52,766.90234375
53,766.90234375
54,766.90234375
55,766.90234375
56,766.90234375
57,766.90234375
58,766.90234375
59,766.90234375
60,766.90234375
61,768.140625
62,769.109375
63,769.109375
64,769.13671875
65,769.140625
66,769.76171875
67,769.76171875
68,769.76171875
69,769.76171875
70,769.76171875
71,769.76171875
72,769.76171875
73,770.01953125
74,770.01953125
75,770.01953125
76,770.01953125
77,770.01953125
78,770.01953125
79,770.01953125
80,770.27734375
81,770.27734375
82,770.27734375
83,770.27734375
84,770.27734375
85,770.27734375
86,770.27734375
87,770.27734375
88,770.27734375
89,770.27734375
90,770.27734375
91,770.27734375
92,770.27734375
93,770.27734375
94,770.27734375
95,770.27734375
96,770.27734375
97,771.91015625
98,772.25
99,772.25
100,772.25
101,772.25
102,772.65625
103,772.65625
104,772.65625
105,772.65625
106,772.65625
107,772.9140625
108,772.9140625
109,772.9140625
110,772.9140625
111,772.9140625
112,772.9140625
113,772.9140625
114,772.9140625
115,772.9140625
116,772.9140625
117,772.9140625
118,772.9140625
119,772.9140625
120,772.9140625
121,772.9140625
122,772.9140625
123,772.9140625
124,772.9140625
125,771.75
126,771.75
127,771.75
128,771.75
129,771.75
130,771.75
131,771.97265625
132,772.22265625
133,772.22265625
134,772.22265625
135,772.22265625
136,772.22265625
137,772.22265625
138,772.22265625
139,772.48046875
140,772.48046875
141,772.48046875
142,772.48046875
143,772.48046875
144,772.48046875
145,772.48046875
146,772.48046875
147,772.48046875
148,772.48046875
149,772.48046875
150,772.48046875
151,772.48046875
152,772.48046875
153,772.48046875
154,772.48046875
155,772.48046875
156,772.48046875
157,772.48046875
158,772.48046875
159,772.48046875
160,772.48046875
161,772.48046875
162,772.48046875
163,772.48046875
164,772.48046875
165,772.48046875
166,772.48046875
167,772.48046875
168,772.48046875
169,772.48046875
170,773.21875
171,773.46484375
172,773.46484375
173,773.46484375
174,773.94140625
175,774.1953125
176,774.1953125
177,774.1953125
178,774.1953125
179,774.1953125
180,774.1953125
181,774.453125
182,774.453125
183,774.453125
184,774.453125
185,774.453125
186,774.453125
187,774.453125
188,774.453125
189,774.453125
190,774.453125
191,774.453125
192,774.453125
193,774.453125
194,774.453125
195,774.453125
196,774.453125
197,774.453125
198,774.453125
199,774.453125
200,774.453125
201,774.453125
202,774.453125
203,774.453125
204,774.453125
205,774.453125
206,774.453125
207,774.453125
208,774.453125
209,774.453125
210,774.453125
211,774.69140625
212,774.69140625
213,774.69140625
214,776.44921875
215,776.546875
216,776.546875
217,776.546875
218,776.546875
219,776.546875
220,776.546875
221,776.546875
222,776.546875
223,776.546875
224,776.546875
225,776.546875
226,776.546875
227,776.546875
228,776.546875
229,776.546875
230,776.546875
231,776.546875
232,776.546875
233,776.546875
234,776.546875
235,776.546875
236,776.546875
237,776.546875
238,776.546875
239,776.546875
240,776.546875
241,776.546875
242,776.546875
243,776.546875
244,776.546875
245,776.546875
246,776.546875
247,776.546875
248,776.546875
249,776.546875
250,776.546875
251,776.546875
252,776.546875
253,776.546875
254,776.546875
255,776.546875
256,776.546875
257,776.546875
258,776.80078125
259,776.80078125
260,776.80078125
261,777.05859375
262,777.05859375
263,777.31640625
264,777.31640625
265,777.57421875
266,777.57421875
267,777.83203125
268,777.83203125
269,778.08984375
270,778.08984375
271,805.23046875
272,807.29296875
273,809.61328125
274,810.64453125
275,810.64453125
276,814.76953125
277,814.76953125
278,814.76953125
279,814.76953125
280,814.76953125
281,814.76953125
282,814.76953125
283,814.76953125
284,814.76953125
285,814.76953125
286,814.76953125
287,814.76953125
288,814.76953125
289,814.76953125
290,814.76953125
291,814.76953125
292,814.76953125
293,814.76953125
294,814.76953125
295,814.76953125
296,814.76953125
297,814.76953125
298,814.76953125
299,814.76953125
300,814.76953125
301,814.76953125
302,814.76953125
303,814.76953125
304,814.76953125
305,814.76953125
306,814.76953125
307,814.76953125
308,814.76953125
309,814.76953125
310,814.76953125
311,814.76953125
312,814.80859375
313,814.80859375
314,814.80859375
315,814.80859375
316,814.80859375
317,814.80859375
318,815.0625
319,815.0625
320,815.0625
321,815.0625
322,815.0625
323,815.0625
324,815.0625
325,815.30859375
326,815.30859375
327,815.30859375
328,815.30859375
329,815.30859375
330,815.30859375
331,815.30859375
332,815.5625
333,815.5625
334,815.5625
335,815.5625
336,815.5625
337,815.5625
338,815.5625
339,815.8203125
340,815.8203125
341,815.8203125
342,815.8203125
343,815.8203125
344,815.8203125
345,815.8203125
346,816.05859375
347,816.05859375
348,816.05859375
349,816.05859375
350,816.05859375
351,816.05859375
352,816.05859375
353,816.3125
354,816.3125
355,816.3125
356,816.3125
357,816.3125
358,816.3125
359,816.3125
360,816.5703125
361,816.5703125
362,816.5703125
363,816.5703125
364,816.5703125
365,816.5703125
366,816.5703125
367,816.80859375
368,819.640625
369,823.765625
370,825.828125
371,825.828125
372,825.828125
373,825.828125
374,826.05859375
375,826.05859375
376,826.05859375
377,826.05859375
378,826.05859375
379,826.05859375
380,826.05859375
381,826.3125
382,826.3125
