episode,sim/wall,total steps,steps/sec,score
0,0.5485453658406182,168,5.4854526335402065,"002: -0.9710, 008: -1.1411, 004: -0.2623, 001: -0.8643, 014: -1.0686, 013: -2.0091, 011: -1.4255, 000: -1.3298, 005: -0.8285, 003: -0.6994, 006: -0.8081, 012: -1.2901, 009: -2.1754, 010: -0.7759, 007: -0.6419"
1,0.08184139549563481,18,0.8184138218787876,"002: -1.5650, 008: -0.8903, 004: -1.3540, 001: -1.4213, 014: -0.9980, 013: -0.7341, 011: -0.9694, 000: -0.5755, 005: -1.2395, 003: -1.3639, 006: -1.0578, 012: -0.7923, 009: -0.8878, 010: -0.8999, 007: -1.1152"
2,0.08774119348005645,30,0.8774118430270994,"002: -1.3113, 008: -0.3373, 004: -0.9454, 001: -0.9971, 014: -0.7853, 013: -2.5283, 011: -1.2567, 000: -0.6007, 005: -1.0359, 003: -1.0366, 006: -0.9105, 012: -1.3894, 009: -1.0932, 010: -0.8114, 007: -2.7921"
3,0.6965068383651143,228,6.9650675212588125,"002: -0.9770, 008: -1.4355, 004: -0.4624, 001: -1.3532, 014: -0.3626, 013: -0.8559, 011: -0.8944, 000: -0.7690, 005: -1.0907, 003: -1.2877, 006: -0.8384, 012: -1.0729, 009: -0.9560, 010: -0.8392, 007: -1.8100"
4,0.11671455247052784,44,1.1671453918404922,"002: -0.8351, 008: -1.3821, 004: -0.7146, 012: -1.4856, 001: -0.8375, 014: -0.6910, 013: -1.0347, 011: -0.6157, 000: -2.2480, 005: -0.4443, 003: -0.9911, 006: -0.6478, 007: -0.8054, 009: -0.6732, 010: -1.9155"
5,0.11852011029027994,51,1.1852009255991345,"002: -0.8304, 008: -1.4178, 004: -1.3536, 012: -0.7190, 001: -0.6606, 014: -0.7689, 013: -1.2056, 011: -0.8153, 000: -0.8503, 005: -0.8032, 003: -0.6569, 006: -1.6669, 007: -0.2065, 009: -0.7739, 010: -0.4558"
6,1.9759618401188732,10000,19.759618261555605,"002: -1.1049, 008: -150.8141, 004: -0.8793, 012: -1.0675, 001: -1.0264, 014: -1.8142, 013: -1.3213, 011: -0.8592, 000: -0.7621, 005: -0.8356, 003: -1.3777, 006: -2.2352, 007: -1.6129, 009: -0.4990, 010: -1.0364"
7,0.17471086177631318,56,1.7471084098356895,"002: -1.1122, 008: -0.8706, 004: -0.6899, 012: -0.7581, 001: -1.4734, 014: -0.7608, 013: -0.9278, 011: -0.7735, 000: -0.8143, 005: -0.9794, 003: -0.7478, 006: -1.5971, 007: -0.9238, 009: -0.6735, 010: -1.0723"
8,0.8347647369359449,347,8.347646603306563,"002: -0.8038, 008: -0.9323, 004: -0.5475, 012: -1.0243, 001: -1.1104, 014: -1.0851, 013: -0.5336, 011: -1.0025, 000: -0.7391, 005: -1.1627, 003: -1.0328, 006: -1.3325, 007: -1.2507, 009: -4.0880, 010: -0.9782"
9,0.4142506251782687,221,4.1425059740893895,"002: -0.8448, 008: -0.8314, 004: -0.9754, 012: -1.4169, 001: -0.7307, 014: -1.0379, 013: -0.9251, 011: -0.7735, 000: -1.0696, 005: -1.3529, 003: -0.8232, 006: -1.2638, 007: -7.0961, 009: -1.0352, 010: -1.9191"
10,0.9589966580787602,255,9.58996494702997,"002: -0.7204, 008: -0.8424, 004: -0.9742, 012: -0.8699, 001: -1.4171, 014: -1.3600, 013: -0.9455, 011: -1.4737, 000: -1.1202, 005: -1.1277, 003: -1.0690, 006: -1.1366, 007: -1.4374, 009: -0.8167, 010: -1.5524"
11,0.0796115418390384,28,0.7961153374388004,"002: -1.3322, 008: -0.8772, 004: -0.9365, 012: -1.6851, 001: -0.8302, 014: -0.8416, 013: -1.4190, 011: -0.5668, 000: -0.8530, 005: -1.4619, 003: -0.8380, 006: -0.9584, 007: -1.3912, 009: -1.5596, 010: -1.6541"
12,0.14622315650133458,35,1.4622313465414614,"002: -1.1685, 008: -0.8448, 004: -0.9764, 012: -0.7000, 001: -0.7843, 014: -0.9557, 013: -0.6489, 011: -1.0704, 000: -1.3589, 005: -0.3482, 003: -1.3507, 006: -0.8915, 007: -0.7372, 009: -0.9637, 010: -1.6492"
13,0.7375705440888296,447,7.375704976630018,"002: -0.7732, 008: -0.8428, 004: -0.3453, 012: -0.7492, 001: -0.7793, 014: -1.0676, 013: -1.1819, 011: -0.5699, 000: -1.0806, 005: -1.4295, 003: -0.4389, 006: -0.8580, 007: -1.1729, 009: -2.8377, 010: -0.2993"
14,0.3141884178131521,158,3.1418839546947845,"002: -1.2847, 008: -0.9515, 004: -4.5707, 012: -0.6702, 001: -0.9394, 014: -1.4823, 013: -0.8515, 011: -1.4433, 000: -1.1635, 005: -1.0965, 003: -0.3766, 006: -0.6990, 007: -0.6227, 009: -1.4077, 010: -0.6211"
15,0.08408797607142726,20,0.8408796427077878,"002: -1.1585, 008: -0.8185, 004: -0.9959, 012: -1.4401, 001: -0.8186, 014: -0.9002, 013: -0.9034, 011: -0.9624, 000: -1.0682, 005: -1.0427, 003: -0.7740, 006: -1.0958, 007: -0.7846, 009: -0.8506, 010: -0.8265"
16,1.947035074893805,10000,19.47035058624832,"002: -0.9508, 008: -0.6790, 004: -0.9761, 012: -317.6322, 001: -0.6509, 014: -0.7129, 013: -1.2645, 011: -1.0724, 000: -0.6061, 005: -0.8256, 003: -0.9326, 006: -0.6735, 007: -0.6832, 009: -0.5511, 010: -1.4779"
