episode,sim/wall,total steps,steps/sec,score
0,0.21576791215186597,382,2.1576791011787746,"006: 10.8363, 021: 4.5621, 005: -3.0694, 022: 3.8441, 017: -1.6503, 029: 11.4633, 002: -0.0153, 000: -0.7521, 028: 10.7931, 001: 10.8811, 008: 10.6907, 007: 10.4209, 024: 10.4316, 027: 11.1375, 018: 10.9059, 025: -0.7615, 015: -6.6287, 004: 11.1606, 023: 2.1706, 013: -1.7790, 014: 10.4253, 010: 10.7849, 016: 10.8866, 026: 3.6973, 009: 11.1543, 020: 9.2875, 019: -9.8587, 011: 10.6168, 003: 7.2514, 012: 11.2474"
1,0.19111512182582827,173,1.9111511830226457,"006: 0.0122, 021: 5.0181, 005: -1.0646, 022: -10.8556, 017: 4.7895, 029: 5.0958, 002: 4.6818, 000: -9.8554, 028: 5.2351, 001: -0.8345, 008: 2.9980, 007: 5.0785, 024: 5.0379, 027: 4.7327, 018: -1.5313, 025: -6.0766, 015: -41.5281, 004: -3.4073, 023: 5.1353, 014: 5.1158, 013: 4.6792, 010: 5.0733, 016: 4.9465, 026: 4.9160, 009: 4.9611, 020: 2.8119, 019: 5.1298, 011: 0.1696, 003: 0.8408, 012: 3.7525"
2,0.1804044752213024,179,1.8040447218685431,"006: -0.9755, 021: -0.7656, 005: 5.3083, 022: 4.8172, 017: 1.2137, 029: -2.2395, 002: 5.1801, 000: 5.3177, 028: 3.1596, 001: 0.6185, 008: -60.7064, 007: -0.9925, 024: 5.1429, 027: -2.4929, 018: 5.2201, 025: 5.3714, 015: 4.6859, 004: 5.2313, 023: 0.5072, 013: 5.2873, 014: 2.1796, 010: 5.3344, 016: 5.1912, 026: -21.0151, 009: 1.0055, 020: 5.3174, 019: 5.0633, 011: 5.2146, 003: -6.7667, 012: 1.1061"
3,0.16627735196087132,181,1.662773497757328,"006: 5.2953, 021: 5.1687, 005: 5.1775, 022: 5.3774, 017: -0.7646, 029: 5.1515, 002: 5.2541, 000: 4.1166, 028: 5.3455, 001: -5.6742, 008: -2.4448, 007: 5.2840, 024: 4.8262, 027: 3.0773, 018: 2.5195, 025: 5.3434, 015: 5.2441, 004: -2.0695, 023: 5.4642, 014: -10.1651, 013: 5.1940, 010: -0.1629, 016: 5.5509, 026: -10.8333, 009: -0.8462, 020: 4.8802, 019: 5.2296, 011: -0.0151, 003: 5.5054, 012: 0.8566"
4,0.15843321037868674,233,1.5843320858074896,"006: 1.1766, 021: -7.6956, 005: -1.6429, 022: 5.8520, 017: 6.6456, 029: -6.9560, 002: 2.9326, 000: 6.5838, 028: 6.9538, 001: -0.6997, 008: 6.7495, 007: 6.9020, 024: -8.9330, 027: 6.6998, 018: 7.0243, 025: 4.1394, 015: -0.6954, 004: -41.5838, 023: 6.8390, 013: 6.4230, 014: -0.7927, 010: 6.6058, 016: -1.6120, 026: -3.1821, 009: 6.9825, 020: 6.8416, 019: 6.9317, 011: 7.1056, 003: 2.8613, 012: 0.9812"
5,0.1565122619067457,163,1.5651225939863176,"006: 4.6553, 021: 4.7678, 005: 4.4068, 022: -0.4827, 017: 4.8746, 029: 4.7942, 002: 4.8689, 000: 4.5858, 028: 4.4676, 001: 3.9853, 008: 2.7826, 007: 4.6548, 024: 4.7555, 027: 4.9384, 018: -3.1208, 025: -2.0440, 015: 1.5752, 004: -6.3023, 023: -0.3414, 014: 4.6095, 013: 1.0059, 010: 4.7980, 016: -0.3220, 026: 0.4732, 009: 4.7393, 020: 4.6946, 019: -3.4285, 011: 3.3428, 003: -0.5295, 012: 4.9507"
6,0.16024289405449404,125,1.6024288964661022,"006: 3.7033, 021: 3.6555, 005: 3.3145, 022: -1.4190, 017: 2.0834, 029: 3.4941, 002: 3.6412, 000: -30.0907, 028: -0.2852, 001: -0.0256, 008: -0.7638, 007: 3.6003, 024: 3.2706, 027: 3.6660, 018: 3.7516, 025: 3.6800, 015: 2.3362, 004: 3.6591, 023: 0.1100, 013: -0.1989, 014: -5.7240, 010: 3.7134, 016: 0.1216, 026: 0.5867, 009: 3.2064, 020: -4.6494, 019: -0.7953, 011: 1.7988, 003: -0.8356, 012: 3.7271"
7,0.15673131097143655,171,1.5673130788897252,"006: 5.1296, 021: -0.0589, 005: 5.0328, 022: 5.2588, 017: 4.6672, 029: 4.7501, 002: -7.4327, 000: 3.8655, 028: 4.5377, 001: -0.7871, 008: 3.1470, 007: 5.1277, 024: 2.7673, 027: 1.9409, 018: -0.1182, 025: 4.9687, 015: -7.3518, 004: 5.1455, 023: 4.6138, 014: 5.0391, 013: 2.4730, 010: 3.8100, 016: -1.0785, 026: 1.0427, 009: 4.8073, 020: 1.9093, 019: 1.1527, 011: 4.9101, 003: 5.1410, 012: 5.0593"
8,0.14587040027968476,127,1.4587039628510854,"006: 1.2838, 021: -0.9692, 005: 3.7202, 022: 3.5849, 017: 3.8007, 029: 0.3671, 002: 3.7586, 000: 3.8687, 028: 3.4881, 001: 1.5819, 008: 1.4493, 007: -0.4575, 024: 3.7245, 027: -0.3676, 018: -0.4271, 025: -2.9276, 015: 3.7471, 004: 3.7772, 023: 0.8179, 013: 3.6577, 014: 3.6607, 010: 3.5763, 016: -0.7772, 026: 3.7313, 009: 2.2100, 020: 3.4969, 019: -3.6622, 011: 3.7749, 003: 3.8893, 012: 0.7290"
9,0.14294593379849255,170,1.4294593207905648,"006: 2.6939, 021: -2.5232, 005: -0.0241, 022: -3.2514, 017: 2.0409, 029: 4.6418, 002: -7.4652, 000: 2.3752, 028: -9.0089, 001: 5.0379, 008: 5.0056, 007: 4.7045, 024: 4.5812, 027: 5.0681, 018: 4.6022, 025: -10.2776, 015: 4.7004, 004: 4.8201, 023: 5.1504, 014: 0.2263, 013: 3.6922, 010: 4.7734, 016: 4.9979, 026: 4.8672, 009: -0.9250, 020: 4.8615, 019: 4.4233, 011: 4.7441, 003: 4.9054, 012: -2.5220"
