episode,sim/wall,total steps,steps/sec,score
0,0.13808475215763721,200,1.380847507938306,"000: 3.3786, 020: 5.7564, 012: -2.3499, 014: 5.8590, 037: 5.6216, 041: 0.1414, 008: 5.9477, 034: -0.8729, 010: 0.7320, 025: -0.2138, 022: 1.2624, 026: 2.9797, 035: 5.8283, 044: 5.7464, 017: -1.6436, 043: -1.0104, 029: 5.9482, 018: 6.0066, 013: 0.3009, 030: 6.0303, 001: 5.6357, 027: 5.5639, 011: 5.8236, 021: 5.7492, 031: 5.7967, 007: 5.6103, 003: 5.8443, 015: -2.1036, 005: -1.9655, 028: 5.5345, 033: 5.6159, 036: -0.8014, 006: 3.5136, 019: -0.8374, 023: 4.3702, 002: 0.2440, 016: 2.9110, 040: 0.8360, 004: 6.0140, 038: 5.2617, 039: -1.7661, 042: -0.6189, 024: 5.9166, 009: 5.7501, 032: -3.5163"
1,0.13697945209429868,106,1.3697944914007678,"000: 3.1036, 020: -5.5920, 012: 0.2645, 014: 2.7628, 037: 3.0833, 041: 3.1190, 008: -10.8062, 034: 3.0968, 010: 3.2247, 025: 2.4313, 022: -3.7570, 026: -5.7101, 035: 2.9388, 044: 3.0982, 017: -1.5364, 043: -8.2706, 029: -0.9745, 018: 1.0577, 013: 3.0534, 030: -0.9926, 001: 0.1611, 027: 3.1409, 011: -6.1642, 021: -0.9713, 031: -9.7686, 007: 3.0792, 003: 2.9172, 015: -3.9944, 005: 0.1479, 028: 2.9398, 033: 3.1286, 036: 3.1531, 006: -0.9904, 019: 3.0630, 023: -11.7484, 002: -5.1089, 016: 3.0827, 040: 2.9993, 004: 2.8257, 038: 2.3395, 039: 3.1966, 042: 3.1481, 024: 3.0927, 009: 3.1679, 032: 0.9197"
2,0.13741552335761179,188,1.374155214418398,"000: -8.3522, 020: 0.2154, 012: 5.4127, 014: 0.4937, 037: 0.3105, 041: 5.5026, 008: -7.4318, 034: 5.5365, 010: -10.2262, 025: 5.6772, 022: 5.5475, 026: -10.8112, 035: 5.3866, 044: 5.6799, 017: -0.7587, 043: 5.5618, 029: 5.5825, 018: 2.3164, 013: -21.2987, 030: 5.4593, 001: 5.5489, 027: 4.9842, 011: 4.7697, 021: -0.0912, 031: -0.5300, 007: 5.4554, 003: 5.4249, 015: 3.6390, 005: 3.5656, 028: 5.5419, 033: 5.6398, 036: 5.5893, 006: -2.5970, 019: 5.6002, 023: 5.4947, 002: 5.4018, 016: 5.7493, 040: 1.9059, 004: -0.2748, 038: 3.3916, 039: 1.2069, 042: 5.3194, 024: 5.1301, 009: -0.8384, 032: 1.2176"
3,0.11045153272325806,157,1.1045153124117029,"000: 1.5771, 020: 4.7366, 012: -4.9349, 014: 4.5228, 037: 4.2033, 041: 2.6259, 008: -6.6997, 034: 4.4534, 010: -2.0661, 025: 4.6158, 022: 1.3432, 026: 4.3600, 035: 4.4029, 044: -3.0825, 017: 4.6096, 043: 1.6449, 029: 4.8086, 018: 4.6231, 013: 1.1298, 030: -0.9828, 001: 3.8114, 027: 1.8567, 011: -0.5298, 021: 4.5833, 031: 2.1741, 007: 4.6917, 003: 1.5170, 015: 2.1343, 005: 4.5934, 028: 4.5109, 033: 4.0223, 036: -2.4208, 006: 4.8115, 019: -7.6935, 023: 4.6567, 002: 4.6333, 016: 4.6100, 040: 4.6239, 004: 4.5691, 038: 4.7988, 039: 1.7596, 042: 4.6511, 024: 4.6009, 009: -0.6482, 032: 4.7174"
4,0.1011166357103261,85,1.0111663312920196,"000: -0.8439, 020: 2.4618, 012: -0.5631, 014: -0.9778, 037: 0.3268, 041: -1.7683, 008: 2.5101, 034: 2.4748, 010: 2.7010, 025: 2.4585, 022: 2.4953, 026: -0.8032, 035: 1.2010, 044: 2.5251, 017: 1.1856, 043: 1.4537, 029: 2.4437, 018: -2.7975, 013: 2.3395, 030: 2.5412, 001: 2.5079, 027: 1.2435, 011: 2.5372, 021: 1.4715, 031: 2.4914, 007: -0.8452, 003: 2.3175, 015: 2.3586, 005: 2.6405, 028: 2.3111, 033: 2.2882, 036: 0.0274, 006: -0.8497, 019: 2.4386, 023: -0.5576, 002: 2.3461, 016: 2.5489, 040: 2.3693, 004: 2.4215, 038: -0.9960, 039: -0.7769, 042: 2.4849, 024: -4.5326, 009: 2.0930, 032: -0.3032"
5,0.0894774133223398,175,0.8947741255880837,"000: 4.9068, 020: 5.0989, 012: 5.1653, 014: 4.8523, 037: 5.1730, 041: 0.5919, 008: 4.6611, 034: 3.1900, 010: -23.8962, 025: 5.0461, 022: -3.0570, 026: 5.2709, 035: 5.1873, 044: 1.2739, 017: 4.5622, 043: -11.4237, 029: 5.1594, 018: 5.1616, 013: 5.2169, 030: 0.5775, 001: 1.5428, 027: 5.4575, 011: 4.8137, 021: 5.0987, 031: 0.4476, 007: 5.1149, 003: 3.4490, 015: 5.0608, 005: 5.2060, 028: 5.0347, 033: 0.8948, 036: 0.9608, 006: -0.1188, 019: 3.7227, 023: -1.9033, 002: -1.5347, 016: -1.3280, 040: -0.7772, 004: 1.8781, 038: -1.0979, 039: 5.1598, 042: 0.8197, 024: 5.2299, 009: 3.6274, 032: 4.5285"
6,0.09083849652759268,174,0.9083849573613306,"000: -0.0968, 020: -7.6401, 012: -0.9174, 014: 4.7561, 037: 0.3405, 041: 5.2157, 008: 5.1178, 034: -8.0402, 010: 4.5470, 025: -38.4567, 022: 0.4991, 026: 5.2395, 035: 1.0235, 044: 5.1014, 017: -8.5817, 043: 4.9914, 029: -0.1056, 018: 4.6671, 013: 5.0193, 030: -0.3328, 001: 2.5821, 027: 4.8180, 011: 5.1147, 021: 4.4476, 031: -12.3769, 007: 3.7056, 003: 5.0549, 015: -2.3465, 005: -2.1584, 028: 5.1081, 033: 4.9042, 036: -8.9376, 006: 3.9571, 019: 1.0770, 023: 4.9522, 002: -0.3158, 016: 4.6739, 040: -4.2684, 004: 5.1618, 038: 0.3472, 039: -4.9930, 042: 5.0809, 024: -3.4306, 009: 2.3637, 032: 0.7941"
7,0.08436993241293775,225,0.8436993188494128,"000: 0.5741, 020: 6.6455, 012: 4.9331, 014: 6.0088, 037: -2.0048, 041: 0.3393, 008: -1.4270, 034: 6.6583, 010: 6.5612, 025: -3.1905, 022: -0.7794, 026: -0.8442, 035: 6.6609, 044: -0.9049, 017: 4.5115, 043: 6.3841, 029: -1.4490, 018: 6.5479, 013: 2.4451, 030: 6.6084, 001: 6.5917, 027: 1.3071, 011: -0.6492, 021: 6.1413, 031: 6.3167, 007: 6.4281, 003: 6.3786, 015: 6.5356, 005: -6.8138, 028: 6.6909, 033: 2.2860, 036: 6.5762, 006: 6.3221, 019: 6.6503, 023: 3.2151, 002: 6.7478, 016: 6.3362, 040: 5.8147, 004: 5.2021, 038: 6.4589, 039: 6.4316, 042: 4.1859, 024: 6.5564, 009: 1.6218, 032: -41.8167"
8,0.08466463426115636,131,0.8466463321748717,"000: -5.5496, 020: 1.2572, 012: 2.3019, 014: 3.6712, 037: 3.3237, 041: 3.9491, 008: 3.4775, 034: 0.1155, 010: 3.6149, 025: 0.1249, 022: -1.6970, 026: -10.8547, 035: 2.1273, 044: 3.9704, 017: 1.0614, 043: -2.1644, 029: 3.7246, 018: 4.0718, 013: 3.8969, 030: 0.9187, 001: 3.8073, 027: 2.2420, 011: 0.1124, 021: 3.9011, 031: -42.3091, 007: 3.4511, 003: 3.9182, 015: 3.8900, 005: -3.1624, 028: 3.8441, 033: 3.8323, 036: 3.1004, 006: -0.7785, 019: 2.0369, 023: 3.5738, 002: -8.2914, 016: -7.2377, 040: -4.9511, 004: 2.0276, 038: 3.7924, 039: 3.4285, 042: 3.9561, 024: 3.4966, 009: 2.7174, 032: -0.7726"
9,0.08192600914476138,125,0.8192600824862993,"000: 3.6651, 020: 3.2135, 012: 0.5459, 014: 3.6915, 037: 2.2395, 041: 3.7470, 008: 3.0393, 034: 3.3066, 010: 3.6534, 025: 3.6724, 022: -6.2493, 026: 3.3499, 035: -4.7765, 044: 3.5398, 017: 3.7226, 043: 1.5503, 029: 3.6142, 018: -5.4331, 013: -2.1648, 030: -1.0846, 001: -4.9170, 027: 2.5936, 011: 1.4268, 021: 3.5292, 031: 3.6506, 007: 0.4632, 003: 2.8092, 015: 3.8735, 005: -11.7989, 028: 3.7682, 033: -6.0652, 036: 1.6442, 006: -3.9967, 019: -1.4222, 023: -1.5899, 002: 3.6111, 016: 3.6065, 040: -8.3508, 004: 3.4572, 038: 3.8028, 039: 3.3783, 042: 0.6545, 024: 0.2967, 009: 3.6622, 032: 3.1201"
