episode,sim/wall,total steps,steps/sec,score
0,0.08133694900001164,118,0.8133694806432187,"062: 3.5386, 000: -0.1626, 027: 3.5258, 030: 3.5404, 049: 3.5259, 026: -1.0452, 042: 3.1859, 014: 3.4214, 061: -0.4313, 021: 3.5216, 070: -10.8277, 050: 1.8088, 022: -0.3327, 063: 3.5334, 066: -1.5260, 071: 3.4210, 023: -0.8534, 020: 3.5077, 072: 3.4314, 064: 3.4715, 010: 1.9932, 004: 3.4410, 007: 2.8179, 006: 3.3137, 009: -0.5748, 043: -1.0073, 039: -1.7686, 059: -0.3399, 067: 3.3839, 013: -4.0920, 035: 3.3421, 052: 2.8719, 034: 0.5363, 036: 3.3475, 016: -0.5589, 019: 0.6869, 045: 3.4320, 005: -3.5343, 073: -16.4142, 011: 3.4981, 046: 3.4530, 017: -1.6471, 069: 3.3726, 012: 3.4902, 065: -0.8221, 015: -13.0652, 029: 3.5129, 002: -0.8094, 031: 3.3795, 024: 3.4407, 055: -0.1805, 051: 2.1882, 025: -0.1958, 068: 3.1069, 003: 3.6302, 033: 3.2455, 060: 3.4824, 038: 3.0319, 044: -0.2160, 048: 2.9588, 057: 3.7174, 008: 3.5753, 018: 3.6502, 040: 2.0183, 056: 3.3580, 001: 3.5264, 032: -0.5116, 074: 2.9490, 037: 1.9526, 053: -0.4715, 047: 3.5871, 028: 3.4862, 058: 3.4166, 054: -0.4794, 041: 0.1517"
1,0.07875181670839582,122,0.7875181585999815,"062: 3.6315, 000: 1.3666, 027: -1.4615, 030: 1.2732, 049: 3.6066, 026: -0.9740, 042: -1.2723, 014: 3.3026, 061: 3.6750, 021: -1.8841, 070: 3.3792, 050: 3.9278, 022: 3.4720, 063: 3.3052, 066: 0.3674, 071: 3.6244, 023: 3.5172, 020: 3.4895, 072: 3.6518, 064: 3.5136, 010: -2.6574, 004: -3.8241, 007: 3.5524, 006: 3.6194, 009: 3.5334, 043: 3.5357, 039: 3.1422, 059: 3.4711, 067: 2.0772, 013: 3.6956, 035: 1.9981, 052: 1.3927, 034: 2.3755, 036: -6.0364, 016: 3.5679, 019: -0.9843, 045: -0.7439, 005: 1.8463, 073: -0.2438, 011: 3.6062, 046: 3.4182, 017: 3.6272, 069: 3.7563, 012: 3.5505, 065: 1.7043, 015: 3.7314, 029: 3.0785, 002: 0.3454, 031: 3.4758, 024: -3.9945, 055: 3.5746, 051: 3.5953, 025: 3.5508, 068: 3.4870, 003: 3.5963, 033: 3.5889, 060: 2.1271, 038: -1.4597, 044: 3.5730, 048: 1.6979, 057: 3.6953, 008: -0.5171, 018: -3.9868, 040: 3.5485, 056: 3.6038, 001: 3.5994, 032: 0.2951, 074: -3.7946, 037: -0.8395, 053: 3.7569, 047: -0.2380, 028: 3.5903, 058: 3.5883, 054: -11.3073, 041: -6.4396"
2,0.08434366244239193,154,0.8434366178158357,"062: 4.5675, 000: 4.7448, 027: -0.3612, 030: 4.6726, 049: 4.4376, 026: -3.1215, 042: 0.1561, 014: 4.6627, 061: 4.5969, 021: 1.1780, 070: 0.1815, 071: 2.1402, 050: -3.5335, 063: 4.6516, 066: 0.9360, 022: 4.5772, 023: 2.0428, 020: 4.5462, 072: 2.1228, 064: 4.2093, 010: 4.5849, 004: 4.6455, 007: 4.5153, 006: 4.5860, 043: 4.5389, 009: 4.5503, 039: 1.8490, 059: 4.5496, 067: 4.5907, 013: 4.0845, 035: 4.6667, 052: 0.9401, 036: 2.7722, 034: -0.7338, 016: 4.5487, 019: 4.2534, 045: 4.5851, 005: 4.6336, 073: 4.5012, 011: 4.7124, 046: 4.3769, 017: 4.6768, 069: -0.4950, 012: -1.1173, 065: -0.2084, 015: 4.2547, 031: -0.1269, 002: 4.6970, 029: 4.7267, 024: -0.0844, 055: 4.4607, 051: -0.8368, 025: -0.2656, 068: 4.5050, 057: -0.8429, 044: -0.4614, 033: -2.0382, 060: 4.5002, 048: 4.6230, 003: -1.1958, 008: 4.4520, 018: 4.4739, 040: -0.7283, 038: 4.4275, 001: -7.6056, 032: 0.0267, 056: -0.9163, 037: 4.6525, 074: -4.3675, 053: 4.7332, 047: 4.1758, 028: 4.5960, 058: -0.8400, 054: 4.6756, 041: -6.0076"
3,0.07484591118619559,148,0.7484591055449311,"062: 3.9875, 000: -3.7672, 027: 4.3294, 030: 4.3963, 049: 2.2562, 026: 4.2552, 042: 4.1798, 014: 4.1489, 061: 2.6133, 021: -1.0247, 070: 4.4077, 050: 4.1891, 022: 3.9993, 063: 3.3379, 066: -1.1691, 071: 4.3524, 023: 4.3665, 020: 4.3705, 072: 4.4169, 064: 1.1032, 010: 4.3052, 004: 2.1005, 007: 4.0500, 006: -0.6917, 009: 2.8230, 043: -9.6378, 039: 0.7604, 059: 4.4855, 067: 4.3875, 013: 4.3182, 035: 1.4473, 052: -0.4628, 034: 2.0592, 036: -1.1321, 016: 3.9833, 019: 3.8222, 045: -0.7769, 005: 3.8816, 073: -4.8660, 011: 1.8887, 046: 4.2368, 017: 4.2790, 069: 4.4795, 012: 2.3184, 065: 4.3849, 015: -0.5039, 029: 4.4590, 002: 0.3932, 031: 4.4116, 024: 3.9239, 055: 4.3429, 051: 4.3591, 025: 1.8907, 068: 4.6252, 003: -0.6817, 033: 4.3349, 060: 4.2091, 038: -0.4943, 044: 4.2249, 048: 0.6210, 057: 2.0652, 008: 3.7667, 018: 1.3031, 040: 4.2077, 056: 2.3004, 001: 1.3684, 032: 4.4891, 074: -5.8765, 037: 4.1874, 053: 4.5668, 047: 0.7361, 028: -2.0424, 058: -11.1220, 054: -2.9225, 041: -4.6033"
4,0.07509654855358722,113,0.7509654760168664,"062: 3.3536, 000: -2.3861, 027: 3.4624, 030: 1.8203, 049: 3.4476, 026: 3.3186, 042: -0.9747, 014: 0.0051, 061: 3.4419, 021: 3.3275, 070: 3.3607, 050: 3.3956, 022: 3.1565, 063: -0.4043, 066: 3.3770, 071: 1.6855, 023: -0.2801, 020: 3.0017, 072: 0.3471, 064: 2.8178, 010: -0.7771, 004: 3.3570, 007: -1.1575, 006: 0.5918, 009: -6.5354, 043: 3.2763, 039: -3.5152, 059: 3.4349, 067: 3.2232, 013: 3.4126, 035: 3.0984, 052: 3.3054, 034: 3.0474, 036: -1.0640, 016: -12.1339, 019: 3.3236, 045: -0.9843, 005: 3.3169, 073: 3.3106, 011: -0.9134, 046: 3.3023, 017: 3.1483, 069: 3.0368, 012: 3.4825, 065: 3.2643, 015: -0.1203, 029: 3.4998, 002: 3.2795, 031: -1.0328, 024: -5.5736, 055: 3.1746, 051: 3.3340, 025: -0.9938, 068: -1.0023, 003: 1.4974, 033: -0.4209, 060: 0.4870, 038: 3.3868, 044: -0.1077, 048: 3.2224, 057: 3.1813, 008: -0.7945, 018: -6.3550, 040: 2.8550, 056: -2.1936, 001: 3.4264, 032: 3.2248, 074: 3.1884, 037: 3.3085, 053: -0.7850, 047: 3.3691, 028: 2.8017, 058: -0.2767, 054: 2.6882, 041: 3.2848"
5,0.06298127500563629,113,0.6298127433609936,"062: 2.6930, 000: -8.2907, 027: 3.4267, 030: 3.3988, 049: 3.1931, 026: 3.4951, 042: 3.3360, 014: 3.1995, 061: 3.3713, 021: 3.3922, 070: 3.2629, 050: 3.3476, 022: 3.0772, 063: 1.0910, 066: 0.4171, 071: 3.3947, 023: 3.3394, 020: 3.1691, 072: -5.4077, 064: 1.6794, 010: 3.3370, 004: 1.0168, 007: 2.4753, 006: 3.4547, 009: 3.1800, 043: 3.4184, 039: 3.2803, 059: 3.2897, 067: 1.5591, 013: -0.4778, 035: 3.2513, 052: -0.4454, 034: -1.1472, 036: 3.5165, 016: -0.2668, 019: 0.0975, 045: -0.8768, 005: 3.0637, 073: -1.4210, 011: -11.2751, 046: 0.1412, 017: -0.8337, 069: 3.3111, 012: 3.1616, 065: -0.4807, 015: 1.5542, 029: 3.4993, 002: 3.2160, 031: 3.4016, 024: 3.1738, 055: -4.4934, 051: 2.6454, 025: 1.0392, 068: 3.2691, 003: 0.2996, 033: 2.7080, 060: -4.2300, 038: 3.4231, 044: 2.2142, 048: 0.0813, 057: 3.1833, 008: 0.2961, 018: 3.3073, 040: 3.4070, 056: 3.4042, 001: 3.3382, 032: -1.3359, 074: 3.3173, 037: 1.5368, 053: 3.1274, 047: 3.3937, 028: -2.0666, 058: 3.2870, 054: 0.7901, 041: 2.0360"
6,0.06047745402062788,175,0.6047745357215979,"062: 5.2151, 000: 1.7568, 027: 5.0205, 030: 5.1580, 049: 5.1637, 026: 4.5606, 042: 4.9600, 014: 2.2282, 061: -10.2453, 021: 5.2087, 070: -0.8329, 050: 0.1120, 022: -45.1749, 063: -2.7059, 066: 4.7334, 071: 5.2101, 023: 4.7531, 020: 5.2596, 072: -4.7405, 064: 4.6118, 010: 0.7365, 004: 0.9004, 007: -0.7714, 006: -8.1166, 009: 2.9985, 043: 2.0665, 039: 3.1693, 059: 5.2290, 067: 5.0988, 013: 5.2930, 035: 4.8935, 052: 5.0596, 034: 3.1366, 036: 5.2801, 016: 0.3280, 019: 5.1119, 045: -2.0086, 005: 2.3648, 073: 5.1170, 011: 5.1682, 046: -1.0784, 017: 0.5681, 069: 5.0894, 012: 4.7043, 065: -0.3447, 015: 5.0024, 029: 5.1480, 002: 4.9158, 031: 4.9737, 024: -0.4384, 055: 5.0430, 051: 4.9807, 025: 5.1650, 068: 0.9454, 003: -6.6795, 033: 2.0128, 060: 4.7565, 038: 5.0970, 044: 4.9177, 048: 5.0219, 057: -0.4815, 008: -3.3930, 018: 1.5414, 040: 3.1853, 056: -0.4822, 001: -3.8094, 032: -0.8290, 074: 2.6059, 037: 0.8847, 053: 4.9070, 047: 5.0257, 028: -0.4646, 058: 4.6290, 054: 5.0702, 041: 3.5664"
7,0.06025953318507468,110,0.602595325554396,"062: 2.9133, 027: -2.3535, 000: 3.3213, 030: 2.8455, 049: -4.3873, 026: 3.1867, 042: 0.4849, 014: 3.2941, 061: 3.2404, 021: 2.9179, 070: 1.2554, 071: 3.2067, 050: -7.5670, 063: 3.0630, 066: 0.2663, 022: -2.9980, 023: -1.7690, 020: 3.1921, 072: -0.8220, 064: -1.7722, 010: 3.1482, 004: 3.1543, 007: 0.9869, 006: -3.7500, 043: 3.2333, 009: 3.1856, 039: 2.9593, 059: 3.2256, 067: 1.0009, 035: 3.1781, 013: 3.2366, 052: 2.2616, 036: 3.1896, 034: -1.0258, 016: 2.9716, 019: 3.2419, 045: 3.2743, 005: 0.4636, 073: 1.1124, 011: 3.3452, 046: 2.9964, 017: 2.8186, 069: 3.1138, 012: 3.2717, 065: 1.6670, 015: -0.3541, 031: -5.8034, 002: 0.3253, 029: 3.1808, 024: 3.2091, 055: 3.1963, 051: 3.2472, 025: 2.2074, 068: -4.4890, 057: 0.0815, 044: 2.9479, 033: 3.1875, 060: 2.0834, 048: 3.0673, 003: 2.7185, 008: 1.1358, 018: -2.7112, 040: 2.5171, 038: -0.8133, 001: -1.2360, 032: 3.3159, 056: 3.2755, 037: -6.9416, 074: 0.9277, 053: 3.3552, 047: -8.0019, 028: 1.3309, 058: 0.0814, 054: 0.8242, 041: 3.3042"
8,0.05935983738161688,125,0.5935983670954538,"062: -0.1257, 000: 3.6762, 027: -0.1980, 030: 3.2754, 049: -4.6237, 026: -0.4132, 042: -0.5870, 014: 0.1554, 061: 3.6765, 021: -1.6476, 070: 3.7569, 050: 3.7901, 022: 3.5392, 063: 3.7998, 066: 3.2655, 071: 2.2268, 023: 2.6053, 020: 3.6880, 072: 3.6927, 064: 3.3948, 010: 3.6794, 004: 3.6884, 007: 2.2280, 006: 3.7418, 009: 3.6234, 043: -1.3701, 039: 3.7037, 059: 3.2484, 067: 0.8913, 013: 0.1951, 035: 0.0216, 052: 0.7550, 034: 3.8952, 036: -0.5946, 016: 3.6611, 019: -10.6020, 045: -15.4025, 005: 0.9148, 073: -0.2486, 011: 3.5608, 046: 2.1594, 017: 3.6816, 069: 3.7429, 012: 3.8550, 065: 3.7298, 015: 3.5872, 029: 3.2857, 002: 3.6431, 031: 3.7200, 024: -0.7696, 055: -0.4995, 051: 3.5992, 025: 3.6215, 068: -0.4148, 003: 3.7491, 033: 3.6680, 060: 3.7438, 038: -2.1177, 044: 3.7914, 048: 0.9346, 057: -0.0067, 008: -0.4872, 018: 1.6309, 040: 3.7869, 056: 3.7594, 001: 0.8098, 032: 3.8055, 074: -2.7015, 037: 3.6833, 053: -0.7441, 047: 3.7478, 028: 3.7922, 058: 1.8153, 054: 3.4756, 041: -0.1993"
9,0.05965021827362319,138,0.5965021778183843,"062: 3.9657, 027: 4.2077, 000: 3.7090, 030: 3.6533, 049: 2.3996, 026: 4.1543, 042: 3.9956, 014: -0.0122, 061: 2.9169, 021: 4.2018, 070: 3.6240, 071: 4.0128, 050: 3.9508, 066: 3.7563, 063: 2.6670, 022: 2.5654, 023: -1.2468, 020: -3.9629, 072: 3.9135, 064: 3.6458, 010: 1.7849, 004: 4.0518, 007: -2.5211, 006: 4.0834, 043: 0.0917, 009: -7.0107, 039: 4.1351, 059: 4.4530, 067: 3.0207, 013: 2.2535, 035: -0.7443, 052: 0.7436, 036: 4.0809, 034: 4.0022, 016: -0.2092, 019: -4.6293, 045: -1.3002, 005: -0.0163, 073: -4.7166, 011: 0.4923, 046: 4.1325, 017: 3.9086, 069: 0.6355, 012: 4.0316, 065: 4.1382, 015: -4.4965, 031: 4.0238, 002: 0.5386, 029: -1.3308, 024: 4.0630, 055: -1.2364, 051: 0.8059, 025: 3.9731, 068: 4.0382, 057: -0.9221, 044: 4.0746, 033: -0.4854, 060: -0.4475, 048: -0.9314, 003: 4.0039, 008: 3.9137, 018: 3.7805, 040: 3.9433, 038: 3.8888, 001: 3.4898, 032: -0.1627, 056: 3.9130, 037: 3.5863, 074: 0.3617, 053: 4.1786, 047: 3.6597, 028: -0.2797, 058: 4.0235, 054: -3.7472, 041: 0.7787"
