episode,sim/wall,total steps,steps/sec,score
0,0.08880953014421018,127,0.8880952910774776,"010: 3.7182, 019: 3.6774, 029: 3.7860, 016: -0.5389, 044: 3.6886, 008: -2.3230, 018: 3.8118, 038: 3.5821, 001: -0.2517, 034: 3.6767, 005: -0.4444, 024: 3.6184, 000: -0.4241, 007: 3.3786, 036: 1.4381, 030: 3.7908, 039: -1.7728, 033: 3.4299, 009: -0.5424, 040: 3.6716, 027: 2.6473, 022: 1.5387, 043: -1.0206, 004: 3.8572, 017: -1.6418, 031: 3.6720, 015: -1.7884, 020: 1.9042, 013: -0.4265, 032: -0.5612, 041: 0.1328, 002: 0.6625, 023: 2.9457, 037: 3.2801, 025: -0.4564, 006: 3.3053, 014: 3.6336, 042: 3.3807, 012: 3.6844, 026: 3.7639, 035: -0.2559, 021: 3.7468, 028: 3.7334, 003: 3.7716, 011: 3.7232"
1,0.07287216046035477,156,0.7287215997339842,"010: 3.9805, 019: 4.4290, 029: -0.9757, 016: 4.5935, 044: 4.5410, 008: -10.7180, 018: 1.1405, 038: 3.1204, 001: 4.6338, 034: 4.4874, 005: 4.7640, 024: 4.4909, 000: 4.6612, 007: 4.5624, 036: 4.3749, 030: -0.9976, 039: 4.7486, 033: 1.2645, 009: 4.5952, 040: 4.4516, 027: 1.7789, 022: -3.7751, 043: 0.0829, 004: 4.2499, 017: -1.8854, 031: 4.5975, 015: -4.0329, 020: -5.8734, 013: 4.7885, 032: 0.8287, 041: 4.5931, 002: -10.4518, 023: -11.1716, 037: 4.6886, 025: 3.1026, 006: 4.3347, 014: 4.4634, 042: -50.7829, 012: 1.3471, 026: -5.2746, 035: 4.4173, 021: 0.4132, 028: 4.5391, 003: 4.3641, 011: -6.2801"
2,0.0707535471346581,255,0.7075354690063089,"010: 5.5363, 019: 7.4514, 029: 7.3578, 016: 7.5120, 044: 7.5983, 008: -3.1131, 018: 1.2898, 038: 7.5295, 001: 7.4234, 034: 6.2960, 005: 7.5216, 024: 7.2578, 000: -8.3368, 007: 6.6498, 036: 7.5661, 030: 7.4304, 039: 1.7498, 033: 7.5657, 009: -0.8423, 040: 7.5141, 027: 1.6224, 022: 7.7491, 043: 7.5463, 004: -0.0626, 017: -0.7490, 031: 2.8856, 015: -7.8986, 020: 1.9475, 013: -94.5366, 032: 1.8570, 041: 7.4093, 002: 6.8855, 023: 7.0018, 037: 7.1780, 025: 7.6489, 006: 7.5194, 014: 0.4228, 042: 6.8346, 012: -1.5679, 026: -11.3440, 035: 6.8657, 021: -1.2567, 028: 7.5467, 003: 7.1738, 011: 3.7222"
3,0.06470852118005276,244,0.6470852093456803,"010: -2.0387, 019: -7.6696, 029: 5.4749, 016: 6.8333, 044: -3.1207, 008: -6.9592, 018: 7.1302, 038: 7.5039, 001: 6.5508, 034: 7.0437, 005: 0.7900, 024: 7.3344, 000: 2.3065, 007: 6.9718, 036: 6.6659, 030: 0.6884, 039: 1.0797, 033: 6.8269, 009: -5.7194, 040: 6.9268, 027: 6.6031, 022: 7.2152, 043: 7.1814, 004: 7.2465, 017: 3.7485, 031: 0.1436, 015: -0.0120, 020: 7.1981, 013: 7.2017, 032: 7.3120, 041: 0.0487, 002: 7.2629, 023: 6.9222, 037: 2.1758, 025: 5.4498, 006: 6.9404, 014: -5.9851, 042: 6.9056, 012: -0.1699, 026: 7.3402, 035: 7.4161, 021: 6.8737, 028: 6.9319, 003: 0.0742, 011: -0.4348"
4,0.06109981653340283,101,0.6109981600465355,"010: 1.6759, 019: 2.8358, 029: 1.1289, 016: 3.0577, 044: 2.9497, 008: 3.0224, 018: -10.4669, 038: -0.9763, 001: 0.2383, 034: 2.8433, 005: 2.9327, 024: -4.4966, 000: 2.9916, 007: -0.8445, 036: 0.7218, 030: 2.9677, 039: -0.7797, 033: 2.6226, 009: 2.5686, 040: 2.8970, 027: 2.9364, 022: 3.0266, 043: 2.9601, 004: 2.8881, 017: -0.7216, 031: 2.8442, 015: 0.2755, 020: 2.6492, 013: 2.2991, 032: -0.2907, 041: -1.3126, 002: 3.0368, 023: -3.8100, 037: 0.3262, 025: 3.0046, 006: 2.9511, 014: -1.0089, 042: 2.8307, 012: 2.9951, 026: -0.7652, 035: 2.9425, 021: 0.9039, 028: 2.5345, 003: 1.6272, 011: 3.1074"
5,0.0626663184456123,425,0.6266631831343076,"010: -0.4833, 019: 11.8222, 029: 0.7328, 016: -0.7844, 044: 11.9822, 008: 11.0190, 018: 11.9961, 038: 11.3009, 001: 1.4123, 034: 7.8587, 005: 11.9432, 024: 12.3341, 000: 4.2952, 007: 11.5305, 036: -5.9027, 030: -0.2187, 039: 12.2295, 033: 11.3887, 009: 11.8157, 040: -0.7754, 027: 12.6549, 022: 12.2705, 043: -18.9171, 004: -4.9105, 017: 11.3067, 031: -5.8085, 015: 11.6801, 020: 0.5850, 013: 11.8510, 032: 12.1055, 041: 11.6839, 002: -1.5453, 023: -2.0426, 037: 12.1427, 025: 12.4164, 006: 0.5509, 014: 3.1515, 042: -4.7555, 012: 11.7993, 026: 11.4898, 035: 12.3676, 021: -0.5330, 028: 12.1868, 003: 11.7031, 011: 12.3464"
6,0.05689504540193246,178,0.5689504514178461,"010: 4.9673, 019: 1.7667, 029: 5.1011, 016: 5.0411, 044: 5.3489, 008: 5.1333, 018: 4.6860, 038: 0.7213, 001: 5.2512, 034: -7.3317, 005: -10.3536, 024: -2.6375, 000: 5.2019, 007: 4.9586, 036: 5.1406, 030: -0.3446, 039: 5.2227, 033: 4.9078, 009: 2.4555, 040: -2.7921, 027: 5.1033, 022: 5.0919, 043: 3.8414, 004: 5.2104, 017: 0.0718, 031: 5.0536, 015: -2.3484, 020: 0.0257, 013: 5.1862, 032: 5.0237, 041: 5.2918, 002: -0.3010, 023: 5.0752, 037: 0.7008, 025: -0.9172, 006: 3.9007, 014: 4.3451, 042: 5.2841, 012: -0.9214, 026: 5.4044, 035: -2.5802, 021: 4.9228, 028: -0.7007, 003: 5.0159, 011: 5.2788"
7,0.05835335036208468,189,0.5835335006140233,"010: 5.6093, 019: 5.6009, 029: 5.3687, 016: -9.5853, 044: 5.4779, 008: -1.4203, 018: 1.8509, 038: 5.3500, 001: 5.1383, 034: 5.3350, 005: -6.4966, 024: 5.4868, 000: 0.5319, 007: 1.7277, 036: 3.4666, 030: 5.4826, 039: 5.5854, 033: 4.9024, 009: 2.0094, 040: 5.4286, 027: 0.9356, 022: -0.7780, 043: 3.4382, 004: 5.3986, 017: 5.3850, 031: 5.4810, 015: 5.5175, 020: 5.6729, 013: 2.4678, 032: -6.7613, 041: -3.0280, 002: 5.5090, 023: 2.6477, 037: -1.0130, 025: -5.1354, 006: 5.5394, 014: 5.0911, 042: 5.4765, 012: 5.2851, 026: 5.2959, 035: 5.5528, 021: 3.3775, 028: 5.5633, 003: 5.2527, 011: -0.9765"
8,0.05743202595363121,179,0.5743202560216358,"010: 5.0821, 019: 1.3161, 029: -1.1974, 016: -6.2424, 044: 5.4450, 008: 5.0378, 018: 5.2562, 038: 1.0472, 001: 5.2380, 034: -1.5675, 005: -1.4780, 024: 4.8717, 000: 5.2344, 007: 4.9413, 036: 5.3233, 030: 1.5981, 039: 5.0014, 033: 5.3853, 009: 5.2551, 040: 5.2804, 027: 5.0341, 022: -0.9203, 043: -2.0833, 004: 4.2370, 017: 1.0844, 031: -0.2450, 015: 5.2319, 020: 1.2013, 013: -7.9231, 032: -1.0421, 041: 5.4880, 002: 5.0691, 023: -4.0280, 037: 4.8858, 025: 5.0438, 006: -0.7798, 014: 5.2654, 042: 5.4287, 012: 2.5960, 026: -11.2986, 035: 2.0770, 021: 2.5638, 028: 5.4222, 003: 5.3837, 011: 5.0321"
9,0.05860322926514288,165,0.586032289177689,"010: -5.2435, 019: -1.4231, 029: 3.3426, 016: 4.7660, 044: 4.3388, 008: 4.4553, 018: -5.4224, 038: 0.5567, 001: -3.7361, 034: 4.5944, 005: 4.9176, 024: -3.2486, 000: 4.7224, 007: 4.7192, 036: 4.9588, 030: -0.0141, 039: 3.7680, 033: -1.6306, 009: 3.2408, 040: -8.7273, 027: 4.2015, 022: -0.7223, 043: 4.8924, 004: 4.5345, 017: 5.1294, 031: 4.8522, 015: 4.9112, 020: 4.0109, 013: -0.0383, 032: 4.2195, 041: 4.6820, 002: 4.7608, 023: -5.7036, 037: 4.4057, 025: 4.8808, 006: -4.2291, 014: 4.6397, 042: 4.8587, 012: -0.1570, 026: 4.3926, 035: -8.5406, 021: 4.8677, 028: -6.5090, 003: 4.7215, 011: 0.5504"
MEAN,0.0652193544881082,201.9,0.6521935409575489,n/a
