episode,sim/wall,total steps,steps/sec,score
0,0.10963836342208669,181,1.096383624720555,"035: 5.2492, 032: -0.5415, 010: 5.2482, 006: 5.2440, 026: 4.6963, 055: -0.8194, 001: 5.0484, 039: -1.7736, 056: -0.2195, 058: 5.2296, 022: 3.2788, 047: 5.2599, 036: 0.3913, 016: -0.5162, 011: 5.2509, 053: -8.0228, 038: 4.6992, 050: 4.8349, 017: -1.6445, 040: 5.3657, 007: 4.4933, 013: -0.2783, 012: 5.4066, 020: 5.2651, 019: 3.9755, 029: 5.4169, 042: 5.0115, 054: 0.4797, 021: 5.1893, 057: 5.0248, 046: 4.8276, 025: -0.6042, 051: 0.2310, 028: 4.8472, 031: 5.1915, 048: 5.0148, 041: 0.1223, 059: 0.4465, 033: 4.8883, 043: -1.0218, 037: 5.0118, 000: -0.6262, 004: 5.5371, 008: 5.3733, 018: 5.2371, 023: 4.5637, 027: 5.3576, 034: 1.8507, 049: -0.8176, 015: -4.4678, 002: 0.9768, 014: 5.1385, 003: -0.2754, 045: 5.3225, 030: 5.3549, 044: 5.2337, 009: -0.5494, 005: 0.8206, 052: 1.4696, 024: 5.2908"
1,0.10047320521702365,96,1.0047320346206288,"035: 2.9408, 032: 0.8372, 010: -1.2832, 006: -10.4775, 026: 0.2960, 055: 2.8971, 001: 2.3514, 039: 2.8623, 056: -3.7233, 058: -0.7232, 022: 2.8623, 047: -0.4478, 036: 1.3160, 016: 2.8663, 011: -1.6151, 053: 2.3495, 038: 2.4721, 050: 2.9850, 017: 0.2684, 040: 2.7385, 007: 2.8008, 013: 2.7121, 012: 0.7584, 020: -0.7328, 019: 0.1218, 029: 2.3041, 042: -0.5677, 054: 1.1725, 021: 2.7887, 057: 0.0497, 046: 2.7538, 025: 2.7673, 051: 0.0590, 028: 2.8266, 031: 0.4609, 048: -3.9913, 041: 2.7977, 059: 2.8138, 033: -0.4498, 043: -0.4736, 037: 2.9617, 000: 3.0603, 004: 2.8940, 008: 2.8288, 018: 2.1048, 023: 2.8537, 027: 2.9262, 034: 2.8057, 049: 2.6905, 015: 2.4114, 002: -3.9810, 014: 2.8465, 003: -11.3075, 045: -1.6489, 030: 0.5686, 044: 0.9496, 009: 0.9924, 005: 1.0387, 052: 2.9261, 024: 1.0067"
2,0.10671979301449626,198,1.0671979219165493,"035: 0.0013, 032: 5.8102, 010: 5.6487, 006: -3.7565, 026: 5.8074, 055: -7.4958, 001: -0.7736, 039: -0.0665, 056: 6.1087, 058: 5.9782, 022: -0.3124, 047: 5.5761, 036: 5.6535, 016: 5.6359, 011: 0.3553, 053: 5.6672, 038: -6.9295, 050: 5.9557, 017: 5.2933, 040: -2.0427, 007: -0.7154, 013: 2.4531, 012: -7.0107, 020: 6.1082, 019: 5.4462, 029: 5.9757, 042: -0.2939, 054: 5.7508, 021: 0.0352, 057: 5.8243, 046: 5.8265, 025: -0.0613, 051: 5.8142, 028: 6.0290, 031: 5.5144, 048: 5.5905, 041: -0.4445, 059: 4.4499, 033: 1.3030, 043: 5.6840, 037: 5.8176, 000: 5.7567, 004: 4.3848, 008: 5.7162, 018: -1.1177, 023: -0.8237, 027: 5.6537, 034: 5.8874, 049: -7.2403, 015: 0.3063, 002: 0.0953, 014: 5.7879, 003: -14.1211, 045: 5.4535, 030: -7.8916, 044: 5.6613, 009: 6.1089, 005: 5.8120, 052: 5.7348, 024: 5.5317"
3,0.10016343321589492,97,1.001634317363164,"035: 1.2288, 032: 2.8384, 010: -0.3584, 006: -3.5307, 026: 2.7841, 055: 2.6755, 001: 2.9048, 039: -2.0626, 056: -5.1301, 058: -0.0770, 022: 1.3368, 047: 2.7485, 036: 2.8098, 016: 2.8134, 011: 2.7315, 053: 2.4548, 038: 2.9789, 050: -0.2314, 017: -0.3558, 040: 1.4022, 007: -0.8756, 013: -0.8702, 012: 1.2284, 020: 2.3229, 019: 2.7974, 029: 2.8788, 042: -0.5765, 054: -0.9362, 021: -0.8218, 057: 2.9302, 046: -0.7809, 025: -3.4946, 051: 2.8897, 028: -0.1884, 031: -4.4837, 048: -15.1876, 041: 0.2788, 059: 2.7989, 033: -1.2802, 043: 0.2129, 037: 2.7835, 000: 2.9488, 004: 2.9369, 008: 0.9912, 018: 2.7115, 023: 2.9123, 027: -0.5196, 034: 2.7432, 049: 2.8354, 015: 2.6893, 002: 1.8147, 014: -0.8369, 003: 2.7194, 045: -0.9597, 030: -14.4313, 044: -0.6655, 009: 2.8528, 005: 2.6395, 052: -11.7228, 024: 1.5002"
4,0.0899467911884232,145,0.8994679012419828,"035: 4.2497, 032: 4.2145, 010: -2.0426, 006: 4.0184, 026: 4.3200, 055: -4.4814, 001: -0.3557, 039: 4.2890, 056: -6.5313, 058: 4.1311, 022: 4.3778, 047: 4.2095, 036: -2.9040, 016: 0.6696, 011: 1.8667, 053: 4.2409, 038: 2.5816, 050: 4.2959, 017: 1.1956, 040: 0.5217, 007: -0.5519, 013: 4.3167, 012: 4.2975, 020: 0.8537, 019: 3.8167, 029: -0.1912, 042: -58.8356, 054: 4.2696, 021: 1.7388, 057: -0.5549, 046: 1.7066, 025: 4.4251, 051: 4.1804, 028: 3.8600, 031: 4.1311, 048: -1.1495, 041: 0.6077, 059: 4.2571, 033: 1.9311, 043: 2.5024, 037: 4.3650, 000: 4.0892, 004: -1.3344, 008: 4.1790, 018: -13.1274, 023: -5.3071, 027: -0.7717, 034: -0.8323, 049: 4.2334, 015: 4.1431, 002: 4.3657, 014: 4.3616, 003: -1.3322, 045: 3.7895, 030: -4.5109, 044: 3.6559, 009: 4.2305, 005: 4.3518, 052: 4.2719, 024: 4.2703"
5,0.08609617053240322,122,0.8609616937352469,"035: 1.5317, 032: 3.6251, 010: 3.4009, 006: -0.7048, 026: 3.4830, 055: 3.4768, 001: 3.4794, 039: 3.3956, 056: 3.5839, 058: -0.7801, 022: 3.7465, 047: 3.6493, 036: -3.2005, 016: -1.1736, 011: -9.9858, 053: 3.5117, 038: 3.4523, 050: -0.9820, 017: 3.4706, 040: 2.5676, 007: 3.5022, 013: -0.7936, 012: -1.1511, 020: 2.3124, 019: 2.0701, 029: -5.6260, 042: 3.6809, 054: 3.6083, 021: -8.7247, 057: 3.6084, 046: 3.5512, 025: 2.8556, 051: 3.5179, 028: 1.6728, 031: 3.6042, 048: -0.4669, 041: -8.1888, 059: 3.0521, 033: 3.2303, 043: 3.6370, 037: 3.4397, 000: -0.2433, 004: 3.6235, 008: 3.4646, 018: 3.5888, 023: -4.9979, 027: 3.2633, 034: 3.7430, 049: 2.3106, 015: -0.7783, 002: 3.5790, 014: -6.9765, 003: 3.5789, 045: 1.5282, 030: -1.0168, 044: -1.0641, 009: 3.6873, 005: -1.9318, 052: -6.4687, 024: -2.8372"
6,0.07713628039065434,144,0.7713627960254773,"035: 0.4168, 032: -6.5789, 010: 4.0881, 006: -0.6456, 026: 4.0808, 055: 3.7759, 001: -4.1567, 039: 2.1694, 056: 4.2592, 058: 4.4523, 022: -0.7815, 047: -4.8153, 036: 3.6659, 016: -19.3984, 011: 4.1978, 053: 3.9410, 038: -0.0641, 050: -5.0374, 017: 0.6046, 040: 4.0807, 007: 4.3452, 013: -0.6696, 012: 4.4047, 020: 3.0399, 019: 4.2845, 029: 4.3254, 042: -10.8281, 054: 2.9217, 021: -1.4501, 057: 4.2536, 046: 1.5284, 025: 3.4986, 051: 3.3965, 028: 0.5254, 031: 4.1643, 048: 1.9865, 041: 4.4446, 059: -1.0342, 033: 3.5425, 043: 1.9447, 037: 4.2920, 000: 1.0107, 004: 3.7755, 008: 4.2491, 018: -0.6274, 023: 1.0598, 027: 1.6584, 034: 4.1886, 049: 3.7769, 015: 4.2985, 002: 4.0122, 014: 4.1931, 003: 3.9246, 045: 2.8485, 030: 0.6933, 044: 4.2514, 009: 3.8794, 005: 1.6215, 052: 3.7210, 024: 3.8548"
7,0.07775423794852268,183,0.7775423731839708,"035: 5.2083, 032: -0.4675, 010: 5.1452, 006: 0.4631, 026: 2.8903, 055: 1.9844, 001: 5.2776, 039: 4.1420, 056: 5.2957, 058: 1.2561, 022: 5.3701, 047: -0.3767, 036: 5.5510, 016: -0.5138, 011: 5.5506, 053: 5.4156, 038: 5.2554, 050: -3.1504, 017: -6.6555, 040: 5.2130, 007: 5.1997, 013: -1.4266, 012: -5.0094, 020: 4.8887, 019: 1.8479, 029: 5.3059, 042: 4.9577, 054: 5.4970, 021: -1.6490, 057: 5.0532, 046: -1.2222, 025: 5.2636, 051: 5.4798, 028: 5.1648, 031: 4.7493, 048: 5.3742, 041: 1.0930, 059: -9.4992, 033: 5.2195, 043: 5.3195, 037: -0.4134, 000: 1.4738, 004: -2.1617, 008: 3.8747, 018: -0.3276, 023: 5.4098, 027: -10.1650, 034: -8.7154, 049: -0.4179, 015: 5.1352, 002: 5.4407, 014: 5.2616, 003: 1.0156, 045: 5.4759, 030: 5.2693, 044: 5.2988, 009: 5.2764, 005: 5.3366, 052: 5.2643, 024: -2.9585"
8,0.07828431202643363,166,0.782843112342534,"035: 4.9076, 032: 2.5761, 010: 4.7240, 006: 3.9788, 026: 4.5734, 055: 5.0300, 001: 4.4314, 039: 4.7912, 056: 4.7073, 058: 1.8349, 022: 4.6358, 047: 4.8840, 036: 4.4387, 016: 0.1225, 011: -1.9624, 053: -0.6492, 038: -4.7483, 050: 4.4431, 017: 3.6303, 040: 2.4681, 007: 4.2694, 013: -4.2021, 012: 4.8949, 020: 4.7803, 019: 4.5626, 029: -2.7128, 042: -0.3008, 054: 4.8767, 021: 4.4943, 057: 4.6711, 046: -0.0730, 025: 4.8314, 051: -9.9783, 028: 4.9449, 031: 2.1167, 048: -18.3679, 041: -2.8900, 059: 0.9763, 033: 4.9120, 043: 4.8236, 037: -0.6457, 000: -0.2778, 004: 4.6983, 008: 4.5317, 018: -0.0130, 023: 4.8863, 027: -4.8984, 034: -0.3085, 049: 4.8186, 015: -8.8917, 002: 4.7674, 014: 4.8724, 003: 1.9539, 045: 4.8624, 030: 4.4952, 044: -0.9319, 009: 4.8571, 005: 3.9654, 052: 0.9007, 024: 2.5656"
9,0.07178230451483386,106,0.7178230381945694,"035: 3.2432, 032: 3.0584, 010: 3.0739, 006: 1.4176, 026: 3.1335, 055: 1.7157, 001: 3.2131, 039: -0.1570, 056: 0.5358, 058: -6.3002, 022: 3.0967, 047: 3.0947, 036: 3.0198, 016: 3.1182, 011: 1.5294, 053: 3.0040, 038: 3.1565, 050: 0.6613, 017: -2.3549, 040: 0.0710, 007: 3.0462, 013: -1.7681, 012: -0.0520, 020: 3.1177, 019: 2.7087, 029: 1.4044, 042: 0.4026, 054: -1.7679, 021: 0.2808, 057: -1.2595, 046: 3.1287, 025: 1.5180, 051: 3.1443, 028: 3.1132, 031: 3.2105, 048: 3.1103, 041: 3.0671, 059: 2.9936, 033: 3.0917, 043: -0.6814, 037: -8.3787, 000: 2.7412, 004: 3.1035, 008: -2.7282, 018: 1.3107, 023: 3.0832, 027: -6.9653, 034: 3.2006, 049: -0.6689, 015: 0.8128, 002: 3.1907, 014: 3.1615, 003: 3.1528, 045: 3.1960, 030: 2.7954, 044: -3.3435, 009: 3.0062, 005: -0.4177, 052: 2.0258, 024: -1.0143"
