episode,sim/wall,total steps,steps/sec,score
0,0.1408911839500879,221,1.4089118266519565,"002: 0.7844, 010: 6.4863, 034: -1.5142, 031: 3.0964, 008: 6.4212, 036: 3.3965, 013: -24.7060, 015: -1.1367, 028: 5.9223, 026: -3.7049, 007: -0.0609, 025: 0.1971, 012: 6.6024, 016: 0.3224, 030: 6.4610, 042: 6.1129, 009: 0.2868, 003: 6.7272, 033: 6.3165, 037: 6.3764, 014: 6.3751, 001: 6.4810, 018: 6.7112, 039: -1.7672, 004: 6.5653, 021: 6.0943, 000: 6.1996, 029: 6.4767, 005: 0.5889, 019: 6.4583, 022: 3.5204, 044: 3.6052, 035: 6.5948, 027: -32.6696, 032: -0.5690, 017: -1.6420, 023: 3.3868, 038: 6.0519, 040: 6.3642, 006: 6.1937, 011: 6.5751, 041: 0.0651, 043: -1.0197, 020: 6.5655, 024: 6.4040"
1,0.14119816091795828,145,1.411981592788782,"002: -11.4775, 010: 3.9033, 034: 4.0919, 031: -3.5828, 008: -10.7109, 036: 4.2994, 013: 4.3703, 015: -4.0212, 028: 4.1170, 026: -4.2326, 007: 4.1929, 025: -4.7609, 012: 3.9856, 016: -1.9381, 030: -0.9797, 042: 4.2400, 009: 4.2482, 003: 2.1738, 033: 4.3149, 037: 4.2295, 014: 4.0326, 001: -0.1568, 018: 1.1027, 039: 3.9455, 004: 3.5843, 021: 3.8777, 000: 4.2104, 029: -0.9825, 005: -0.1442, 019: 4.1697, 022: -3.7584, 044: 4.1904, 035: 3.9941, 027: 1.8482, 032: 1.0457, 017: -0.0407, 023: -11.5866, 038: 3.7651, 040: 4.3049, 006: 1.1964, 011: -6.1551, 041: 4.2694, 043: -2.5301, 020: -5.6874, 024: 4.2477"
2,0.1302768653004365,203,1.3027686410444,"002: 4.8203, 010: -1.2938, 034: 5.0057, 031: 2.8939, 008: 0.0468, 036: 5.8840, 013: -0.7912, 015: 2.7217, 028: 5.4701, 026: -10.7699, 007: 6.1039, 025: 6.0498, 012: -1.0417, 016: 5.9368, 030: 5.8621, 042: 5.2284, 009: -0.8441, 003: 5.8553, 033: 6.0294, 037: 0.6955, 014: 0.5039, 001: 6.0135, 018: 2.3605, 039: 6.0003, 004: -1.7406, 021: 5.9501, 000: -8.3429, 029: 5.9202, 005: 2.8245, 019: 6.0273, 022: 6.2213, 044: 5.9744, 035: 5.4334, 027: 2.0891, 032: 6.1266, 017: -0.7397, 023: 5.5947, 038: 5.8820, 040: 2.1996, 006: -7.0779, 011: 5.4300, 041: 6.0316, 043: 6.1315, 020: 0.6696, 024: 5.5435"
3,0.10324576037516027,203,1.0324575949879218,"002: 5.8458, 010: -2.0401, 034: 3.3990, 031: 1.7059, 008: -6.9190, 036: -1.1331, 013: 6.0471, 015: 1.5932, 028: 5.9891, 026: 6.0873, 007: 5.9312, 025: 5.2549, 012: -8.2878, 016: 0.4819, 030: 0.0205, 042: 4.2354, 009: -11.3073, 003: 5.9497, 033: 5.5690, 037: 1.1363, 014: 2.6792, 001: 5.5563, 018: 6.2288, 039: 1.0677, 004: 6.0213, 021: 5.5772, 000: -3.1124, 029: 5.5374, 005: -31.0564, 019: -7.2460, 022: 5.8542, 044: -3.0816, 035: 6.1760, 027: 5.6887, 032: 6.1016, 017: 5.8382, 023: 5.6641, 038: 6.0110, 040: 5.9013, 006: 6.0276, 011: -3.8583, 041: 1.1978, 043: 5.9911, 020: 6.1124, 024: 3.4260"
4,0.09789723596480336,90,0.9789723418760266,"002: 2.7141, 010: 0.4833, 034: 2.6840, 031: 2.6293, 008: 2.6524, 036: -0.2453, 013: 2.2979, 015: 2.6102, 028: 2.0156, 026: -0.9970, 007: -0.8471, 025: 2.6604, 012: 2.7047, 016: 2.6488, 030: 2.7076, 042: 2.6549, 009: 2.5877, 003: 0.4436, 033: 2.2730, 037: 0.1785, 014: 2.4990, 001: 0.9622, 018: -1.5379, 039: -0.7844, 004: 0.7631, 021: -0.3938, 000: -0.9022, 029: 2.6664, 005: 2.7424, 019: 2.6025, 022: 2.5101, 044: 2.5817, 035: 1.5076, 027: 1.5482, 032: -0.2950, 017: -4.1384, 023: -8.8742, 038: -1.0247, 040: 2.4714, 006: -0.9048, 011: 2.6919, 041: -0.9688, 043: -0.4406, 020: 2.6697, 024: -4.5244"
5,0.09497867797282974,210,0.9497867715349188,"002: -1.5300, 010: -0.4766, 034: 1.8896, 031: -0.2677, 008: 5.9111, 036: -4.1561, 013: 6.2640, 015: 6.2115, 028: 6.1535, 026: 6.3983, 007: 5.8046, 025: 6.0582, 012: 4.4290, 016: -0.8561, 030: 1.2159, 042: -12.1844, 009: 6.2037, 003: 5.8039, 033: 0.9395, 037: 6.0062, 014: 3.4719, 001: 1.5208, 018: 5.9903, 039: 6.2581, 004: 0.3382, 021: 6.1541, 000: 5.0795, 029: 5.1915, 005: 5.9871, 019: 5.4964, 022: 5.8102, 044: 1.8775, 035: 6.0785, 027: 6.1514, 032: 5.8182, 017: 5.7605, 023: -2.0443, 038: 5.7949, 040: -0.7741, 006: 0.0126, 011: 5.9828, 041: 1.1779, 043: -8.3127, 020: 4.9998, 024: 6.2203"
6,0.09329557759963156,147,0.9329557647026516,"002: -0.1855, 010: 3.9127, 034: -8.0001, 031: 4.0101, 008: 0.2818, 036: -1.3520, 013: 4.3036, 015: -2.5156, 028: 1.8425, 026: 4.4177, 007: 4.3606, 025: -7.4805, 012: -0.9194, 016: 4.2198, 030: -0.1900, 042: 4.1985, 009: 1.9208, 003: 4.2250, 033: 4.1729, 037: 4.3349, 014: 4.1463, 001: 4.1855, 018: 3.9541, 039: -2.8108, 004: 4.3393, 021: 3.8829, 000: -0.4857, 029: -0.4890, 005: -3.8185, 019: 3.9494, 022: 3.9060, 044: 4.3540, 035: 4.2224, 027: 3.9162, 032: 3.9130, 017: 0.1017, 023: 3.9837, 038: 4.4139, 040: -1.9688, 006: -0.1318, 011: 4.3697, 041: 4.4433, 043: -0.1829, 020: 2.1032, 024: -2.8628"
7,0.08680592425334173,232,0.8680592371127982,"002: 6.6917, 010: 6.8610, 034: 6.7630, 031: 4.0456, 008: -1.4158, 036: 6.6632, 013: -2.4323, 015: 6.8022, 028: 6.9922, 026: 1.5153, 007: 6.5966, 025: -4.7739, 012: 6.6745, 016: -5.5064, 030: 6.8548, 042: 4.1351, 009: 1.9093, 003: 6.3709, 033: 3.8172, 037: 6.5121, 014: 6.4505, 001: 1.3457, 018: 6.2323, 039: -115.5492, 004: 5.2458, 021: 6.4605, 000: 0.7231, 029: 6.6726, 005: -2.0001, 019: 6.7177, 022: -0.7798, 044: -1.5769, 035: 6.6363, 027: 1.4840, 032: -0.4600, 017: 6.6883, 023: -1.4928, 038: 4.2193, 040: 6.3588, 006: 6.5334, 011: 5.6722, 041: 0.3213, 043: 2.3389, 020: 6.9881, 024: 6.9309"
8,0.08555282791699814,144,0.855528267051552,"002: -0.8003, 010: 4.2064, 034: -0.9448, 031: -2.7342, 008: 3.9626, 036: 4.0847, 013: 2.2135, 015: 4.2196, 028: 4.3150, 026: -10.7569, 007: 3.7119, 025: 4.1668, 012: -0.5082, 016: -5.8950, 030: -4.9283, 042: 4.3404, 009: 4.1313, 003: 4.2850, 033: 4.3057, 037: 3.8089, 014: 2.3541, 001: 4.1312, 018: 4.1843, 039: 3.6352, 004: 2.9842, 021: 4.2868, 000: -0.4802, 029: 2.4413, 005: -3.4244, 019: 0.8167, 022: -1.0347, 044: 4.3122, 035: 3.1243, 027: 4.2104, 032: -0.7702, 017: 3.7956, 023: 1.8525, 038: 4.1878, 040: 4.1550, 006: -0.7776, 011: 4.2912, 041: 4.2371, 043: 0.5673, 020: 4.0317, 024: 4.0284"
9,0.0910490381916422,145,0.9104903723748298,"002: 4.1217, 010: 1.5767, 034: 4.1103, 031: 3.3232, 008: 3.6938, 036: 4.2397, 013: -0.7619, 015: 4.2873, 028: 4.4862, 026: 3.6691, 007: 0.5119, 025: 4.2124, 012: 0.3457, 016: 4.2822, 030: -3.5918, 042: 4.3138, 009: 0.4951, 003: 2.3672, 033: 4.1457, 037: 3.9549, 014: 3.9522, 001: -5.1333, 018: -5.2811, 039: 3.9718, 004: 2.9034, 021: 4.1319, 000: -0.7564, 029: 4.1247, 005: 4.2006, 019: -1.4226, 022: -1.8989, 044: 4.3389, 035: 0.5050, 027: 3.9019, 032: 3.3587, 017: 4.3468, 023: -8.1862, 038: 1.0767, 040: -8.3908, 006: -4.2245, 011: 4.0534, 041: 4.2854, 043: 1.1417, 020: 4.2956, 024: 0.3730"
