episode,sim/wall,total steps,steps/sec,score
0,0.20203950028361195,225,2.0203949768834883,"015: -3.0070, 028: 6.1598, 000: -0.7515, 010: 6.7648, 014: 6.2070, 023: 3.9174, 025: -0.7445, 002: -0.1481, 007: 0.5218, 006: 6.4673, 003: 6.4785, 019: -0.9511, 012: 6.6422, 008: 0.2030, 027: 6.4296, 029: 6.6907, 004: 6.7459, 013: -64.2329, 022: -8.6030, 026: -1.8833, 009: 6.4374, 016: 2.0756, 021: 6.2683, 024: 6.5393, 001: 6.8127, 020: 6.7066, 018: 6.6244, 017: -1.6447, 011: 6.4580, 005: 0.4604"
1,0.20389406727174134,164,2.038940624367533,"015: -46.5187, 000: 4.7306, 028: 0.5261, 010: -0.4415, 014: 4.8683, 023: 4.9376, 025: -11.5957, 002: 4.2916, 007: 4.6417, 006: -6.9065, 003: -4.5360, 019: 4.8027, 012: 4.8371, 008: 1.2439, 027: 4.5537, 029: 4.6431, 004: 1.3558, 022: -10.7413, 013: 4.2977, 026: 4.6168, 009: 4.7393, 016: 5.0011, 024: 0.5334, 021: 4.8629, 020: 2.8266, 001: -0.8458, 018: -1.5294, 017: 4.6867, 011: 3.5221, 005: -0.2004"
2,0.20067519302615736,110,2.006751877891157,"015: 2.9407, 028: 0.7508, 000: 3.2640, 010: 3.2547, 014: 0.5259, 023: 0.4372, 025: 3.2881, 002: 2.2852, 007: -0.9791, 006: -1.0068, 003: -12.8404, 019: 3.1033, 012: 3.2940, 008: -0.2054, 027: -0.4613, 029: 0.9585, 004: 3.2087, 013: 3.2589, 022: 3.2560, 026: -2.7353, 009: 0.9631, 016: 3.1093, 021: -3.2575, 024: 3.2557, 001: 0.6402, 020: -0.9285, 018: 3.1255, 017: 3.2877, 011: 3.2168, 005: 3.2099"
3,0.1663327709055833,180,1.6633276834038306,"015: 2.8710, 000: 5.1033, 028: 5.2351, 010: -2.3960, 014: -2.1918, 023: 5.2884, 025: 5.4546, 002: 5.3182, 007: 3.4061, 006: 5.4005, 003: 5.3121, 019: 5.4097, 012: -12.5213, 008: -0.3147, 027: 1.0980, 029: 4.9396, 004: -3.0340, 022: 5.4074, 013: -3.2432, 026: -11.2980, 009: -0.8379, 016: 5.5683, 024: 4.8323, 021: 5.1494, 020: 4.6676, 001: -5.1977, 018: 1.1468, 017: -0.7617, 011: 3.7883, 005: 5.2182"
4,0.15232853782916334,276,1.5232853622560951,"015: -0.6289, 028: 8.1521, 000: 7.7858, 010: 7.8103, 014: -0.7972, 023: 8.1998, 025: 8.0459, 002: 4.7450, 007: 5.9784, 006: -2.1155, 003: 4.6633, 019: 8.2395, 012: 0.9678, 008: 7.8118, 027: 7.6764, 029: -6.8980, 004: 7.9819, 013: 1.0852, 022: 7.9180, 026: 0.9036, 009: 7.8741, 016: 8.0111, 021: -4.5936, 024: 8.0227, 001: -0.6135, 020: 7.9656, 018: 8.1814, 017: 8.2085, 011: 7.9081, 005: -1.6425"
5,0.1407834108572706,229,1.4078340900010735,"015: -2.1878, 000: -14.0921, 028: 2.0670, 010: -180.3712, 014: 6.8465, 023: 1.0761, 025: -2.0388, 002: 6.7500, 007: 2.3992, 006: 6.0544, 003: 6.1694, 019: 6.7001, 012: 6.8677, 008: 2.9979, 027: 7.0475, 029: 6.5554, 004: -0.2825, 022: 6.2180, 013: -6.1994, 026: 0.6399, 009: 6.6464, 016: 1.1364, 024: 2.4208, 021: 6.7170, 020: 6.3481, 001: 6.7773, 018: -3.1168, 017: 6.8833, 011: -1.9809, 005: 6.0285"
6,0.14190530479000266,181,1.4190530293323818,"015: -0.3097, 028: -0.3320, 000: -119.8506, 010: 5.3109, 014: -4.7969, 023: 1.8556, 025: 5.0588, 002: 4.5970, 007: 5.3211, 006: 5.1950, 003: -0.8383, 019: -86.4423, 012: 5.2583, 008: 5.2818, 027: 4.3632, 029: 4.8684, 004: 5.3651, 013: -0.3196, 022: -1.4253, 026: 5.2761, 009: 0.1794, 016: 2.4330, 021: 5.3158, 024: 4.2164, 001: 0.0486, 020: -4.5312, 018: 5.3494, 017: 2.1230, 011: -0.0965, 005: 4.5497"
7,0.1370112837138457,165,1.3701128127260094,"015: -6.9022, 000: 4.2520, 028: 4.4582, 010: 3.4586, 014: 5.0305, 023: 4.3462, 025: 4.8815, 002: 4.9984, 007: 3.5917, 006: 5.0886, 003: -5.4067, 019: 2.5477, 012: 4.9043, 008: 3.1278, 027: 4.8439, 029: 4.7027, 004: 4.7788, 022: 4.9399, 013: 2.3413, 026: 1.8957, 009: 4.6068, 016: -4.6598, 024: 1.4327, 021: -0.1202, 020: 3.3422, 001: -0.7858, 018: -0.1153, 017: 4.0832, 011: 4.7655, 005: 4.6308"
8,0.1476128748172088,232,1.4761287257796911,"015: 7.0068, 028: 6.7086, 000: 6.6888, 010: 0.9296, 014: 6.4468, 023: -5.9101, 025: -3.0919, 002: 6.8512, 007: 6.4512, 006: 1.2611, 003: 6.7613, 019: -0.1682, 012: -0.1582, 008: 6.4427, 027: 1.2472, 029: -2.1043, 004: 6.7218, 013: 6.5868, 022: 1.7585, 026: 6.7603, 009: -0.5698, 016: -0.7786, 021: 6.8645, 024: 6.8910, 001: 6.1450, 020: -3.6081, 018: -2.0710, 017: 2.2003, 011: 6.9816, 005: 6.8293"
9,0.13669381993588342,165,1.366938180459263,"015: 4.6029, 000: 2.4827, 028: -1.0441, 010: 4.6804, 014: 0.0684, 023: 5.1044, 025: 0.8789, 002: -3.8686, 007: 4.4490, 006: 2.2060, 003: 4.8001, 019: -0.4153, 012: -2.5192, 008: 4.8148, 027: 4.9094, 029: -0.1911, 004: 4.6635, 022: 0.0588, 013: 4.6451, 026: 4.8673, 009: -0.9102, 016: 1.0827, 024: 4.5699, 021: -8.1868, 020: 4.6749, 001: 4.8880, 018: 4.5107, 017: 2.0091, 011: 4.5935, 005: 4.4623"
