episode,sim/wall,total steps,steps/sec,score
0,0.21552324526247657,391,2.155232435630484,"023: 3.8483, 019: 10.8598, 029: 11.5746, 007: 10.9335, 028: 10.9470, 025: 2.2224, 004: 10.8964, 009: 11.4076, 022: 3.5607, 021: 11.1003, 012: 11.3552, 010: 11.1615, 027: 0.2005, 008: 11.2927, 015: 11.0993, 020: 11.1006, 006: 11.0088, 000: 2.0714, 026: 0.5077, 024: 3.0179, 005: 0.7013, 014: 10.8579, 018: 10.9758, 011: 11.5199, 013: 0.1176, 003: 9.4389, 002: 0.2027, 017: -1.6443, 001: 11.6461, 016: 2.5548"
1,0.17980029549125728,172,1.7980029280254894,"023: 4.9704, 029: -2.1361, 019: 2.3975, 007: 5.0813, 028: 5.1222, 025: -1.1609, 004: 1.4296, 009: 5.0175, 022: -10.8329, 021: -0.2449, 012: 4.8349, 010: 4.9907, 027: 4.7011, 015: 4.4853, 008: 5.0344, 020: 0.9321, 006: -3.2152, 000: 4.8352, 026: 4.6450, 024: 5.0599, 005: -0.2358, 014: 4.8627, 018: -1.5256, 011: 3.4184, 013: 4.4758, 003: -0.5400, 002: 4.7525, 017: 4.8553, 001: -0.8439, 016: 5.0759"
2,0.14881756667758517,166,1.488175647690874,"023: -10.6610, 029: 0.8554, 019: 4.8634, 007: 4.5540, 028: 5.0038, 025: 4.8979, 004: 0.7077, 009: 1.0455, 022: -1.4840, 021: 4.8035, 012: 4.9676, 010: 4.9101, 027: 0.2750, 015: 4.5928, 008: -19.9776, 020: 4.9910, 006: 4.1436, 000: 4.7439, 026: 0.2996, 024: 4.9230, 005: 4.7599, 014: 2.1511, 018: 1.6351, 011: 4.8513, 013: 4.9136, 003: -3.4208, 002: 0.2638, 017: 2.6787, 001: 0.3991, 016: 4.7608"
3,0.14672819936515455,159,1.4672819678253683,"023: 4.4394, 029: 4.6356, 019: 4.8029, 007: 4.7104, 028: 4.7255, 025: 4.6661, 004: -0.2353, 009: -0.8390, 022: 4.8749, 021: 4.7465, 012: -1.0247, 010: -1.3923, 027: 2.3082, 015: 4.3833, 008: -2.8526, 020: 3.0665, 006: 4.5955, 000: 4.5343, 026: -11.3496, 024: 4.5304, 005: 4.7843, 014: 0.4618, 018: 2.2771, 011: 2.8855, 013: -3.6531, 003: 4.8920, 002: 4.4434, 017: -0.7389, 001: -4.5791, 016: 4.8176"
4,0.13603334028510003,270,1.360333391412605,"023: 7.5453, 029: -6.9611, 019: 8.0976, 007: 7.3028, 028: 8.2061, 025: 6.2233, 004: 7.8518, 009: 7.9439, 022: 7.3005, 021: -3.8734, 012: 1.4528, 010: 5.1597, 027: 7.3027, 015: 7.7068, 008: 7.8958, 020: 6.5690, 006: 7.9348, 000: 7.4887, 026: -9.8887, 024: -74.7233, 005: -1.6426, 014: -0.7874, 018: 7.5229, 011: 7.7205, 013: -2.5300, 003: 0.0293, 002: 0.0961, 017: 7.9404, 001: 7.6067, 016: -2.0934"
5,0.12549154756195385,215,1.2549154599024142,"023: 1.6746, 029: 6.2453, 019: -0.5203, 007: 6.1904, 028: 3.6629, 025: -2.0386, 004: 0.6522, 009: 6.4540, 022: 6.0219, 021: 6.5600, 012: 6.3382, 010: 6.1550, 027: 6.3765, 015: 2.5471, 008: -2.3651, 020: 6.3607, 006: 6.3166, 000: 2.3879, 026: 0.6396, 024: 6.4900, 005: 5.5953, 014: 6.4941, 018: -3.0831, 011: 3.2999, 013: 1.0338, 003: 5.8626, 002: 5.9744, 017: 6.4079, 001: 1.2559, 016: 1.1640"
6,0.13639926856675688,154,1.363992659744527,"023: 0.9806, 029: 4.1236, 019: -5.2334, 007: 4.3973, 028: -0.2783, 025: 3.3322, 004: 4.4980, 009: 4.0432, 022: -1.4192, 021: 4.6073, 012: 4.5084, 010: 4.4985, 027: 4.5975, 015: -3.0658, 008: 4.5685, 020: -4.5790, 006: 3.2412, 000: -79.6346, 026: 4.5061, 024: 4.0657, 005: 4.1785, 014: -1.2533, 018: 4.5307, 011: -3.5016, 013: 0.4283, 003: -0.8478, 002: 4.3202, 017: 0.3106, 001: -0.1017, 016: 1.0355"
7,0.12736546742857813,181,1.2736546571913407,"023: 4.8858, 029: 1.6136, 019: 2.5357, 007: 5.2834, 028: 4.8714, 025: 5.3105, 004: 5.4732, 009: 4.6877, 022: 5.3599, 021: 0.5364, 012: 5.4552, 010: 3.8051, 027: 1.2705, 015: -6.6741, 008: 3.1250, 020: 4.5938, 006: 5.2839, 000: 2.8568, 026: -0.3093, 024: -0.2339, 005: 5.2914, 014: 5.4254, 018: 0.5655, 011: 5.2514, 013: 2.3258, 003: -39.8092, 002: 5.3043, 017: 5.1072, 001: -0.7895, 016: -0.2092"
8,0.12513831633317193,129,1.251383134389556,"023: -2.1955, 029: 3.8059, 019: -0.4422, 007: -5.6478, 028: 1.5746, 025: -2.9051, 004: 3.8542, 009: -0.9053, 022: 3.5610, 021: 3.7776, 012: 0.2573, 010: 1.8270, 027: 2.2607, 015: 3.9276, 008: 3.4026, 020: 3.3988, 006: 0.9183, 000: 3.9051, 026: 3.6328, 024: -1.6053, 005: 3.8332, 014: 3.7392, 018: 0.4556, 011: 4.0293, 013: 3.8666, 003: 1.6626, 002: 3.9134, 017: 3.4837, 001: 3.1292, 016: -0.7799"
9,0.1292823269049996,216,1.292823257980804,"023: 6.5194, 029: 6.2657, 019: 5.6497, 007: 5.8938, 028: 1.5046, 025: 1.1258, 004: 6.0109, 009: -0.9049, 022: 6.2958, 021: -1.0711, 012: -2.3670, 010: 6.0901, 027: 6.1102, 015: 5.7538, 008: 6.2890, 020: 1.1235, 006: -5.8101, 000: 2.4799, 026: 6.3210, 024: 6.1558, 005: 0.4973, 014: 0.1308, 018: 3.6709, 011: 6.0048, 013: 2.9942, 003: 6.0277, 002: -4.3159, 017: 2.0092, 001: 6.4930, 016: 6.3031"
