episode,sim/wall,total steps,steps/sec,score
0,0.09853026196846723,100,0.985302603482345,"004: 2.9190, 048: 2.6697, 046: 2.9748, 003: 2.9097, 041: -3.1432, 014: 2.9594, 050: 2.6155, 034: 2.8951, 045: 2.9516, 053: -0.3561, 033: 2.8687, 049: -0.5840, 020: 2.8827, 000: 0.8250, 051: -0.9767, 023: 1.0901, 035: 1.7262, 006: 2.5514, 058: 2.8134, 017: -1.6462, 040: -0.1546, 013: -4.9258, 012: 3.0356, 021: 2.9403, 002: -0.9742, 038: 0.9171, 037: 2.4286, 027: 3.0272, 055: -0.6019, 011: 2.7630, 056: 0.5800, 057: 3.0027, 005: 0.7643, 022: 2.8220, 029: 2.9278, 043: -1.0224, 009: 3.0396, 028: 2.8515, 010: -0.1571, 024: 2.8120, 008: 2.9170, 032: -27.4684, 039: -1.7640, 054: 1.0818, 031: 2.8926, 001: 1.7371, 044: 2.8523, 025: 0.8320, 015: -10.1623, 026: 2.9254, 019: 2.9412, 052: 2.4530, 030: 2.9943, 059: 0.4063, 036: 0.2789, 042: 2.5778, 018: 2.9332, 007: 2.4977, 047: 3.0602, 016: 0.5261"
1,0.09694860099486001,125,0.9694859991922626,"004: 3.6596, 048: -4.0292, 046: 3.6275, 003: -11.2518, 041: 3.5067, 014: 3.6806, 050: -0.9720, 034: 3.4564, 045: -2.0736, 053: 3.2848, 033: 2.4870, 049: 3.4037, 020: 0.2037, 000: 3.8642, 051: -0.7881, 023: -2.5025, 035: 3.7357, 006: -6.8038, 058: 0.2752, 017: 3.6041, 040: 3.6246, 013: 3.4250, 012: -7.8757, 021: 3.3757, 002: -3.7496, 038: 3.4484, 037: 3.7635, 027: 3.4646, 055: 3.7009, 011: -7.9800, 056: -5.7888, 057: 3.5893, 005: -0.1140, 022: 3.6583, 029: -7.0357, 043: -0.9776, 009: 2.4320, 028: 3.8825, 010: 2.4914, 024: 1.0152, 008: 3.5963, 032: 1.0071, 039: 3.7854, 054: 2.9822, 031: 3.6891, 001: 3.3095, 044: 0.9593, 025: 1.2224, 015: 3.2307, 026: -0.1940, 019: 3.7421, 052: 3.7380, 030: -0.3122, 059: 3.6877, 036: 3.1723, 042: -0.5409, 018: 3.2980, 007: 3.5884, 047: 2.5430, 016: 3.6536"
2,0.10197495549340606,96,1.0197495342733196,"004: -0.4175, 048: -0.8573, 046: 2.7056, 003: -14.4618, 041: -0.5757, 014: 2.4337, 050: 2.9432, 034: 2.8982, 045: 2.7551, 053: 2.9089, 033: 1.2060, 049: -7.6437, 020: 2.8354, 000: -0.1670, 051: 2.8178, 023: -0.8209, 035: 2.7636, 006: -3.7605, 058: 2.8208, 017: 2.5664, 040: -2.0383, 013: 2.9141, 012: -6.5915, 021: 1.4101, 002: -0.0023, 038: -6.9413, 037: 2.7369, 027: 2.9024, 055: 2.9032, 011: 0.2172, 056: 2.6852, 057: -0.2672, 005: 1.2470, 022: 2.7234, 029: 2.9379, 043: 1.9206, 009: 2.8062, 028: 1.8726, 010: 2.7352, 024: 2.5978, 008: 2.9054, 032: 2.8527, 039: -0.1149, 054: 2.9268, 031: 2.6753, 001: -0.7781, 044: 2.7596, 025: -0.0731, 015: -2.1134, 026: 2.8620, 019: 2.8299, 052: 3.0811, 030: -6.2561, 059: -0.4835, 036: 2.8374, 042: -1.2954, 018: 1.2655, 007: 2.6909, 047: 2.8450, 016: 2.5873"
3,0.10337124250388187,116,1.0337124118613246,"004: 3.4870, 048: -0.8548, 046: -0.7808, 003: 3.1757, 041: 3.4313, 014: -0.8479, 050: 2.0017, 034: 0.0037, 045: -0.9727, 053: 2.6529, 033: -12.3848, 049: 3.4888, 020: 3.1465, 000: 3.4825, 051: 3.2839, 023: 3.5584, 035: 3.0796, 006: -3.3379, 058: -1.2181, 017: -0.6723, 040: 3.0784, 013: 3.4143, 012: -1.7646, 021: -1.0052, 002: 2.2048, 038: 3.4900, 037: 3.5040, 027: 3.4590, 055: 3.4160, 011: 3.2940, 056: -4.7819, 057: 3.5249, 005: 3.1507, 022: 0.7492, 029: 3.4717, 043: -10.3037, 009: 3.6206, 028: 3.4536, 010: -0.6594, 024: 0.4084, 008: 0.5043, 032: 3.4095, 039: -0.5537, 054: -1.7890, 031: -4.5402, 001: 3.5007, 044: 0.2936, 025: -1.2311, 015: 3.4678, 026: 3.2790, 019: -9.8189, 052: -9.8325, 030: -3.1770, 059: 3.4755, 036: 3.5128, 042: -0.0093, 018: 3.4920, 007: 3.4333, 047: 3.3019, 016: 3.3544"
4,0.09231395169873086,190,0.9231395095018362,"004: 4.7814, 048: -1.0820, 046: 0.1990, 003: -1.5003, 041: 0.8139, 014: 5.7877, 050: 5.3476, 034: -0.6842, 045: 5.2390, 053: 3.5628, 033: 5.4949, 049: 5.4719, 020: -1.0026, 000: 5.5738, 051: 1.6917, 023: 5.3164, 035: 5.6104, 006: 5.3876, 058: 3.5728, 017: -5.7908, 040: 5.4327, 013: 5.6817, 012: 5.6086, 021: 0.9468, 002: 5.7338, 038: -1.9966, 037: 5.5330, 027: -0.7784, 055: -4.8187, 011: 5.6003, 056: -5.8256, 057: 0.7261, 005: 4.9697, 022: 1.5912, 029: 5.5411, 043: -0.1361, 009: 5.6019, 028: 1.4907, 010: -2.0421, 024: 5.0097, 008: 5.3898, 032: 5.5477, 039: 5.5630, 054: 5.6215, 031: -0.0529, 001: 3.1218, 044: 5.3943, 025: 5.1105, 015: 5.5403, 026: 5.5770, 019: 5.2773, 052: 5.5393, 030: 0.9237, 059: 5.5766, 036: -2.8996, 042: -5.3933, 018: -2.8905, 007: 1.4329, 047: 5.5641, 016: 5.5466"
5,0.08246125737893734,105,0.8246125629812887,"004: 1.2368, 048: 3.0973, 046: 2.9906, 003: 3.1362, 041: -0.0504, 014: -6.9552, 050: -0.9761, 034: 3.1904, 045: 1.8835, 053: 3.1350, 033: 0.2970, 049: -0.1970, 020: -0.2020, 000: -0.1836, 051: 3.1623, 023: -5.0289, 035: 1.7673, 006: 3.0221, 058: -0.7798, 017: 0.1500, 040: 3.0821, 013: -0.8011, 012: -1.1505, 021: -0.8135, 002: 3.0914, 038: 2.8334, 037: 3.0184, 027: 2.5512, 055: -0.0712, 011: -0.2165, 056: 3.1139, 057: 2.9734, 005: -0.9111, 022: 3.1878, 029: -5.6635, 043: 3.1485, 009: 3.0886, 028: 2.9971, 010: 3.0610, 024: 3.1093, 008: 2.9864, 032: 2.7573, 039: 2.6264, 054: 3.1114, 031: 3.1290, 001: 3.0880, 044: -46.6756, 025: 0.0175, 015: -0.7772, 026: 2.0463, 019: 3.0940, 052: 3.1827, 030: -0.9808, 059: 2.3312, 036: -0.9560, 042: 3.0675, 018: 2.9354, 007: 3.0789, 047: 3.0885, 016: 0.0781"
6,0.07490766796964071,153,0.749076671826969,"004: 4.4502, 048: -10.3871, 046: 1.5946, 003: 3.6954, 041: 0.3025, 014: 4.1747, 050: 0.3995, 034: 4.4546, 045: 4.3303, 053: 4.1676, 033: 3.9420, 049: 4.5341, 020: 4.1285, 000: -0.8499, 051: 2.1742, 023: -0.8389, 035: -8.5639, 006: -0.2170, 058: 4.5641, 017: 4.5139, 040: 4.4137, 013: -0.2482, 012: 4.7301, 021: -1.0425, 002: 4.5639, 038: -0.2644, 037: 4.5062, 027: 0.3361, 055: 4.0136, 011: 4.3013, 056: -2.0051, 057: 4.4662, 005: 1.2306, 022: -0.7756, 029: 4.3977, 043: 4.2496, 009: 3.8363, 028: 2.2793, 010: 1.0852, 024: 3.7531, 008: 4.5055, 032: -1.1664, 039: 1.6619, 054: 4.3000, 031: 4.2673, 001: -0.3189, 044: 4.6668, 025: -0.6924, 015: 4.6249, 026: 4.4770, 019: 4.5413, 052: 1.8659, 030: 4.4899, 059: 0.4113, 036: 4.2117, 042: -10.7605, 018: 4.4810, 007: 4.3524, 047: -0.2634, 016: 4.5308"
7,0.06768018074527954,173,0.6768018030338865,"004: -12.7700, 048: 4.1891, 046: 5.0125, 003: 3.0674, 041: 5.0406, 014: -0.4760, 050: -1.8332, 034: -9.1524, 045: 4.9320, 053: 5.0100, 033: 0.1676, 049: 4.9458, 020: 4.6633, 000: 0.8115, 051: 5.2846, 023: 4.9464, 035: 5.1241, 006: -1.2035, 058: 1.8153, 017: -4.0202, 040: 5.0354, 013: -1.4219, 012: -5.2653, 021: 2.6563, 002: 5.1733, 038: 4.9999, 037: 5.0079, 027: -1.6586, 055: -1.0340, 011: 5.0704, 056: 2.2922, 057: 2.3624, 005: 0.6062, 022: 5.3441, 029: 3.0714, 043: 5.1994, 009: 5.0502, 028: 4.7212, 010: 4.8958, 024: 0.1976, 008: 4.9589, 032: 0.5446, 039: 4.8253, 054: 5.1621, 031: 2.4367, 001: 0.4593, 044: 5.0881, 025: 4.8107, 015: 5.0275, 026: 3.9374, 019: 5.1304, 052: 5.1422, 030: 5.1517, 059: -1.4126, 036: 3.0750, 042: 4.9396, 018: 0.2766, 007: 1.8436, 047: -11.9110, 016: 0.1774"
8,0.07123614479318995,110,0.7123614369330257,"004: 3.2580, 048: -0.2953, 046: 1.1642, 003: 2.8848, 041: -2.8988, 014: 3.2364, 050: 2.9729, 034: -0.9785, 045: 0.7509, 053: -0.4115, 033: 3.3227, 049: 3.2777, 020: 3.2617, 000: -1.0263, 051: -10.4452, 023: 3.3398, 035: 3.1704, 006: 0.7914, 058: 2.7423, 017: 3.0511, 040: 3.0119, 013: -2.3883, 012: 3.3001, 021: 0.3196, 002: 3.0667, 038: -4.7609, 037: -0.4152, 027: -1.7279, 055: 3.3162, 011: -0.5053, 056: 2.9880, 057: -0.3060, 005: 0.8689, 022: 3.2272, 029: -2.7036, 043: 3.1979, 009: 3.2384, 028: 3.1409, 010: 3.2114, 024: 2.5229, 008: 3.2440, 032: 3.2363, 039: 0.1719, 054: -6.7584, 031: 3.0301, 001: 3.2555, 044: 0.9718, 025: 3.2177, 015: -0.4249, 026: 3.3716, 019: 2.7968, 052: -0.0097, 030: 2.8918, 059: 3.1270, 036: 3.2543, 042: 0.7932, 018: 3.1764, 007: 3.1627, 047: 3.3469, 016: -0.8479"
9,0.0688762872184068,115,0.6887628643159349,"004: 3.3063, 048: 1.1502, 046: 3.3478, 003: 0.5310, 041: 3.3656, 014: 3.4632, 050: 3.3634, 034: 3.4371, 045: -0.7467, 053: 3.3249, 033: 3.0344, 049: -0.1320, 020: 2.0054, 000: 2.8292, 051: 3.3585, 023: 3.2691, 035: 3.3299, 006: 3.1526, 058: -3.9329, 017: -2.3539, 040: -5.4947, 013: -1.7719, 012: 3.2806, 021: 0.4872, 002: 0.4271, 038: 3.2308, 037: -8.7318, 027: -6.6761, 055: 3.0310, 011: 3.0860, 056: 3.5041, 057: 0.4615, 005: -19.5609, 022: 3.2604, 029: 3.2514, 043: -0.0874, 009: 3.2955, 028: 1.2871, 010: 3.2099, 024: -1.0258, 008: -2.9052, 032: 3.4098, 039: -0.5815, 054: -1.7663, 031: 3.4368, 001: 3.4592, 044: -4.9341, 025: 3.3286, 015: 3.3700, 026: 3.2426, 019: 3.4094, 052: 1.8371, 030: 3.1046, 059: 3.1313, 036: 3.4111, 042: -0.0885, 018: 1.2812, 007: 3.0427, 047: 3.2832, 016: 3.4010"
