,mem_usage,step
0,5229686784,100
1,5283684352,200
2,5335851008,300
3,5426118656,400
4,5505699840,500
5,5603356672,600
6,5687959552,700
7,5756710912,800
8,5856841728,900
9,5929824256,1000
10,6078570496,1100
11,6180483072,1200
12,6259654656,1300
13,6325936128,1400
14,6432878592,1500
15,6527676416,1600
16,6598586368,1700
17,6689382400,1800
18,6793261056,1900
19,6882955264,2000
20,6984335360,2100
21,7093714944,2200
22,7166345216,2300
23,7267033088,2400
24,7356690432,2500
25,7445192704,2600
26,7512240128,2700
27,7572971520,2800
28,7687835648,2900
29,7761702912,3000
30,7865913344,3100
31,7959154688,3200
32,8018366464,3300
33,8116432896,3400
34,8226799616,3500
35,8325988352,3600
36,8422789120,3700
37,8494366720,3800
38,8591204352,3900
39,8675172352,4000
40,8767385600,4100
41,8868483072,4200
42,8933732352,4300
43,9041256448,4400
44,9125044224,4500
45,9241473024,4600
46,9327673344,4700
47,9431339008,4800
48,9528139776,4900
49,9629151232,5000
