episode,sim/wall,total steps,steps/sec,score
0,0.6287688783024066,328,6.28768861059933,"003: 9.5546, 009: 9.5587, 005: 0.7548, 007: 9.1817, 001: 9.3363, 006: 0.5644, 004: 9.4621, 002: 0.5204, 008: -340.5463, 000: 0.4203"
1,0.5394463760723116,201,5.394463484582325,"003: 5.8471, 009: 0.3090, 005: 5.9794, 007: 0.7924, 001: -3.2126, 006: 5.7371, 004: 1.4085, 002: -1.6428, 008: 3.7089, 000: 5.8793"
2,0.5914931691543439,161,5.914931121633369,"003: 4.9578, 009: -0.0010, 005: 4.2207, 007: -1.7630, 001: 4.5088, 006: 4.1708, 004: 3.2835, 002: -0.6788, 008: 4.5334, 000: -0.6153"
3,0.6403465337594156,123,6.403464622262292,"003: -1.0636, 009: 3.5877, 005: 3.6418, 007: -0.8760, 001: 1.7086, 006: 3.5712, 004: -2.0431, 002: -1.2679, 008: 2.1874, 000: -0.8684"
4,0.5492118497668728,224,5.49211827293415,"003: -10.7475, 009: 6.6131, 005: 6.6533, 007: 6.1692, 001: 6.0685, 006: -1.6860, 004: 6.5205, 002: 0.1943, 008: -10.7648, 000: -0.3772"
5,0.43899241758986907,155,4.38992393875455,"003: -4.0343, 009: 1.4958, 005: 0.3681, 007: 4.4707, 001: 4.5908, 006: 1.5939, 004: 4.5870, 002: 4.1779, 008: -5.6725, 000: 4.5803"
6,0.3192993800541806,221,3.192993712551678,"003: 6.2399, 009: 6.4883, 005: -4.2864, 007: -3.0953, 001: 4.3783, 006: -1.3410, 004: 4.6707, 002: 6.5043, 008: 6.6302, 000: 6.1901"
7,0.281788636841922,142,2.8178862750944926,"003: 4.2119, 009: 4.1203, 005: 0.7821, 007: 4.2113, 001: -13.1619, 006: -6.5072, 004: 4.1997, 002: 0.5385, 008: 0.9610, 000: 4.2465"
8,0.2986736090371434,233,2.986736008219012,"003: 0.2096, 009: 6.8773, 005: 3.1407, 007: -3.9794, 001: 6.4050, 006: 3.3825, 004: -1.9953, 002: -73.0263, 008: 6.3793, 000: 6.2701"
9,0.21489065788607983,79,2.1489064952428882,"003: -0.1784, 009: 0.5628, 005: -1.4678, 007: 2.3227, 001: 2.4392, 006: 1.9485, 004: -0.8357, 002: 2.2657, 008: -5.0486, 000: 2.2207"
10,0.22312554991756797,215,2.231255460530238,"003: 5.9901, 009: 5.1061, 005: -10.8079, 007: 3.5527, 001: 6.4653, 006: 2.7417, 004: 6.5910, 002: 5.9347, 008: 6.1290, 000: -46.1013"
11,0.23103386956712932,90,2.310338582551434,"003: 2.6935, 009: 2.6201, 005: -14.6638, 007: 2.7015, 001: -1.8555, 006: 2.7167, 004: -7.1517, 002: 2.6198, 008: -3.7639, 000: 0.0405"
12,0.2373128887299224,163,2.373128829636763,"003: 4.8811, 009: 4.5008, 005: 4.8576, 007: 1.6449, 001: 2.1490, 006: -0.4986, 004: 4.6957, 002: 4.8091, 008: -0.7971, 000: -0.1578"
13,0.2641870516355994,151,2.641870406154829,"003: 4.5664, 009: -2.0391, 005: 4.4309, 007: 4.4279, 001: 4.2301, 006: -1.1849, 004: -0.7964, 002: -2.6278, 008: -17.8231, 000: 4.0363"
14,0.263265258940854,329,2.6326525442048587,"003: -6.0630, 009: 9.3004, 005: 0.5995, 007: 8.9846, 001: -0.9170, 006: 5.3794, 004: 2.5510, 002: 9.3318, 008: -0.4225, 000: 9.6336"
15,0.2369452448725265,206,2.369452396742563,"003: 1.6297, 009: 6.1365, 005: 1.0879, 007: 2.0706, 001: 6.1980, 006: 5.8644, 004: 6.1937, 002: 4.9317, 008: 3.5986, 000: 3.8749"
16,0.27105245577355663,154,2.710524455366543,"003: 4.0428, 009: 1.9397, 005: -6.6255, 007: 0.7039, 001: 0.0305, 006: 3.9030, 004: 4.4763, 002: 4.7550, 008: -6.0459, 000: 0.3111"
17,0.2725757831805357,156,2.7257577750299795,"003: 4.2861, 009: 3.3575, 005: -4.4566, 007: -0.8346, 001: 1.3066, 006: 4.3185, 004: -85.0773, 002: -0.0133, 008: 4.7293, 000: 4.0259"
18,0.25868931062555567,114,2.586893008286205,"003: 3.3081, 009: -1.4191, 005: 3.4876, 007: -4.6044, 001: -4.6159, 006: -4.0704, 004: 2.1491, 002: 3.2946, 008: 3.4574, 000: -4.0378"
19,0.27183674696827426,50,2.7183672582668477,"003: 1.4782, 009: 0.4432, 005: 1.3439, 007: 1.4810, 001: 0.4119, 006: -1.6438, 004: -0.7833, 002: -3.7619, 008: 1.4686, 000: -1.3849"
20,0.2364845247711377,203,2.3648452083018925,"003: 4.9140, 009: 3.5905, 005: 5.9738, 007: 3.0269, 001: 2.9918, 006: 5.7336, 004: 5.8559, 002: 6.0951, 008: 5.4994, 000: 2.5945"
21,0.2923346913616339,145,2.9233468293053773,"003: -0.2530, 009: 2.9116, 005: 4.0070, 007: 4.2420, 001: 3.0042, 006: 3.5138, 004: 4.2115, 002: 0.4209, 008: 0.7722, 000: -0.2195"
22,0.24396595562555623,173,2.439659498837243,"003: -0.6705, 009: 0.6725, 005: 5.0011, 007: -1.9265, 001: 3.4727, 006: 4.6698, 004: 4.7925, 002: 5.1386, 008: 5.0156, 000: 2.2263"
23,0.23342855971261925,122,2.334285533235222,"003: 3.2785, 009: 3.5159, 005: 1.7455, 007: 0.9331, 001: -5.4464, 006: 3.8012, 004: -4.3032, 002: 0.7792, 008: 3.3702, 000: 3.7021"
24,0.2734058465551613,200,2.734058385352754,"003: 5.7092, 009: 5.8470, 005: 5.8808, 007: 1.1113, 001: 4.5601, 006: 2.1313, 004: -2.9195, 002: 0.8916, 008: 5.5882, 000: 6.1015"
25,0.25887646098261324,99,2.58876449684965,"003: 2.8686, 009: 1.7282, 005: -4.8401, 007: 2.9552, 001: 3.0040, 006: -6.9942, 004: -0.8925, 002: 2.9911, 008: 2.7239, 000: 0.8295"
26,0.29177434721017914,95,2.9177432798133482,"003: 2.4697, 009: 2.4239, 005: -2.5230, 007: 0.1222, 001: 2.8313, 006: 2.4815, 004: 2.2971, 002: -0.9187, 008: 1.2442, 000: -0.6853"
27,0.24502924662780262,153,2.450292382075134,"003: 0.5141, 009: 4.6349, 005: 4.5223, 007: 4.1916, 001: 1.7435, 006: -8.0084, 004: 3.0300, 002: 4.4360, 008: 4.5104, 000: -1.2741"
28,0.21527753174325287,59,2.1527751676105766,"003: -0.7983, 009: -0.1143, 005: -0.7797, 007: 1.8347, 001: 0.2898, 006: 1.8247, 004: -6.5462, 002: 1.8621, 008: 1.8029, 000: 1.5822"
29,0.2216868868441343,117,2.2168688183682708,"003: 3.1306, 009: 1.8479, 005: 3.0917, 007: 2.9392, 001: 0.3847, 006: 3.4474, 004: 1.6245, 002: 1.8842, 008: 3.5685, 000: 2.4165"
30,0.22515499540174505,121,2.2515498641173055,"003: 1.8321, 009: -0.7148, 005: 3.7304, 007: 3.3879, 001: 2.0804, 006: 3.6522, 004: 1.0655, 002: -1.4162, 008: 3.1066, 000: 3.5674"
31,0.26402164988915333,114,2.6402163822631395,"003: 2.6880, 009: 3.1454, 005: 0.0613, 007: 1.8931, 001: -1.6848, 006: 3.3335, 004: 3.4941, 002: 3.1686, 008: -0.3891, 000: -0.8206"
MEAN,0.313574261418783,159.25,3.1357424720241953,n/a
