episode,sim/wall,total steps,steps/sec,score
0,0.4075343201470834,229,4.075343011264202,"005: -0.9314, 038: -1.2587, 013: -2.2172, 002: -0.9694, 032: -1.0029, 035: -0.7489, 039: -1.6531, 010: -0.9651, 024: -1.2542, 023: -1.0741, 019: -0.8241, 009: -0.9864, 033: -0.7739, 036: -0.6387, 031: -1.4666, 034: -0.8932, 020: -1.2555, 004: -0.9284, 001: -0.9789, 037: -1.1407, 008: -0.9840, 027: -1.3480, 029: -0.9607, 030: -1.1650, 006: -1.1851, 000: -1.2011, 025: -0.9211, 016: -1.1555, 028: -0.9727, 011: -1.4572, 014: -1.0654, 015: -1.0696, 007: -1.4008, 026: -1.7492, 021: -1.0700, 017: -0.9732, 022: -0.8743, 012: -1.0251, 018: -0.9760, 003: -1.0757"
1,0.16283643061548975,46,1.6283641687236858,"005: -1.0030, 038: -0.7788, 013: -0.8333, 002: -1.0711, 032: -0.7599, 035: -0.9638, 039: -1.1578, 010: -1.3396, 024: -0.6739, 023: -1.0040, 019: -0.9819, 009: -1.4524, 033: -0.3632, 036: -1.1438, 031: -0.9763, 034: -0.7664, 020: -1.2339, 004: -2.0238, 001: -1.4863, 037: -0.8837, 008: -0.9822, 027: -0.9099, 029: -0.8609, 030: -1.1641, 006: -1.8807, 000: -1.4401, 025: -1.0709, 016: -1.0414, 028: -0.8163, 011: -0.9672, 014: -0.2089, 015: -0.6819, 007: -0.6551, 026: -0.9782, 021: -1.0715, 017: -0.8250, 022: -0.9635, 012: -3.7715, 018: -1.0718, 003: -1.1614"
2,0.6423302938580112,250,6.42330199424079,"005: -0.9780, 038: -1.3896, 013: -0.9776, 002: -0.9888, 032: -0.9717, 035: -1.5410, 039: -0.7236, 010: -1.0705, 024: -0.8404, 023: -0.8580, 019: -0.7784, 009: -0.9762, 033: -0.7406, 036: -0.5309, 031: -1.0208, 034: -1.2019, 020: -1.5603, 004: -0.9754, 001: -2.8892, 037: -1.0708, 008: -0.9892, 027: -1.0700, 029: -0.7097, 030: -0.6231, 006: -0.4665, 000: -0.8790, 025: -0.9763, 016: -4.0001, 028: -0.9722, 011: -0.9710, 014: -0.9761, 015: -0.7050, 007: -1.0672, 026: -4.1016, 021: -0.4555, 017: -1.1154, 022: -0.9733, 012: -1.2443, 018: -0.9740, 003: -0.9195"
3,0.3915675171256625,142,3.9156735751695595,"005: -0.7987, 038: -0.8509, 013: -1.0795, 002: -0.7552, 032: -1.8203, 035: -0.1406, 039: -1.0855, 010: -0.9811, 024: -0.9104, 023: -1.0039, 019: -1.0160, 009: -0.7306, 033: -0.9833, 036: -1.0633, 031: -0.9117, 034: -0.7699, 020: -1.6241, 004: -0.5075, 001: -1.4173, 037: -2.1442, 008: -1.2239, 027: -0.9180, 029: -0.8827, 030: -1.0372, 006: -1.0186, 025: -1.3508, 000: -1.2453, 016: -1.6225, 028: -1.5318, 011: -1.1036, 014: -1.0881, 015: -0.9966, 007: -0.9035, 026: -1.5584, 021: -1.1976, 017: -0.8585, 022: -1.2024, 012: -1.2282, 018: -0.8473, 003: -0.7155"
4,0.8789651237164603,250,8.78964497445911,"005: -0.9957, 038: -1.1316, 013: -1.0306, 002: -1.0576, 032: -0.9651, 035: -0.9783, 039: -1.2828, 010: -0.9989, 024: -0.8887, 023: -0.9793, 019: -0.6604, 009: -1.7398, 033: -1.3772, 036: -1.0655, 031: -0.9945, 034: -1.0701, 020: -1.0283, 004: -1.1225, 001: -1.1564, 037: -1.4622, 008: -0.9958, 029: -1.0734, 027: -1.6536, 030: -0.7629, 006: -0.9851, 025: -1.0601, 000: -0.8962, 028: -0.8800, 016: -1.2172, 011: -1.0761, 014: -1.2070, 015: -0.9256, 007: -0.9252, 026: -6.8088, 021: -0.8411, 017: -1.0707, 022: -1.0724, 012: -1.0733, 018: -1.1904, 003: -0.9640"
5,0.1884101373416089,49,1.8841011661473783,"005: -0.3372, 038: -1.0746, 013: -1.4186, 002: -0.9553, 032: -1.0732, 035: -1.0688, 039: -0.8782, 010: -0.8623, 024: -1.0585, 023: -1.0102, 019: -0.7522, 009: -2.3957, 033: -1.0682, 036: -0.6242, 031: -0.9707, 034: -1.0756, 020: -0.9172, 004: -1.2442, 001: -0.9843, 037: -0.4408, 008: -0.3290, 030: -1.4719, 029: -0.6859, 027: -1.2768, 006: -1.0470, 025: -0.9755, 000: -1.6537, 028: -0.7452, 016: -0.9738, 011: -1.0701, 014: -0.8164, 015: -1.0346, 007: -0.8793, 026: -1.0015, 021: -1.4977, 017: -1.0862, 022: -1.2631, 012: -1.0421, 018: -0.9262, 003: -1.0698"
6,0.4539881773066152,145,4.5398814002851005,"005: -1.0731, 038: -0.8066, 013: -0.9787, 002: -0.8919, 032: -0.7260, 035: -0.9807, 039: -1.0413, 010: -1.0941, 024: -1.0760, 023: -0.9833, 019: -0.9906, 009: -0.3773, 033: -1.9746, 036: -0.8736, 031: -1.0366, 034: -1.0871, 020: -0.5729, 004: -0.6340, 001: -0.9727, 037: -1.2927, 008: -1.9996, 030: -1.0686, 029: -0.7271, 027: -1.4758, 006: -1.0938, 025: -1.1268, 000: -1.0418, 028: -1.3316, 016: -0.8358, 011: -1.1090, 014: -0.6493, 015: -0.7379, 007: -0.8292, 026: -1.4186, 021: -0.8058, 017: -1.0931, 022: -0.9786, 012: -0.7252, 018: -0.9027, 003: -0.8158"
7,0.4783974419179992,154,4.783974029426763,"005: -1.0017, 038: -1.1259, 013: -0.8076, 002: -1.0485, 032: -0.8150, 035: -0.8173, 039: -1.5911, 010: -1.3947, 024: -0.9203, 023: -0.7566, 019: -1.2006, 009: -0.8351, 033: -0.9407, 036: -0.8863, 031: -0.9805, 034: -1.1103, 020: -1.1529, 004: -0.9353, 001: -0.6311, 037: -0.7789, 008: -0.9674, 030: -0.7159, 029: -1.0435, 027: -0.9646, 006: -1.3151, 025: -0.9726, 000: -0.5239, 028: -1.0750, 016: -0.8837, 011: -0.9820, 014: -1.5290, 015: -1.0703, 007: -0.9758, 026: -0.7262, 021: -0.2645, 017: -1.1444, 022: -1.6075, 012: -0.9688, 018: -0.3562, 003: -0.9685"
8,0.23927988395699334,110,2.392798703063711,"005: -0.9756, 038: -0.4173, 013: -0.7784, 002: -0.1800, 032: -1.0918, 035: -1.7644, 039: -1.2735, 010: -1.2257, 024: -0.9770, 023: -1.1216, 019: -1.3459, 009: -1.5939, 033: -1.5833, 036: -0.8391, 031: -0.8620, 034: -1.3225, 020: -0.6118, 004: -0.9866, 001: -0.7012, 037: -1.7903, 008: -1.0735, 030: -0.8148, 029: -0.5383, 027: -0.9081, 006: -0.9237, 025: -0.9034, 000: -0.3952, 028: -1.1958, 016: -1.7579, 011: -0.7169, 014: -0.7588, 015: -1.0448, 007: -0.8087, 026: -0.9367, 021: -0.9410, 017: -1.9187, 022: -0.8996, 012: -1.7761, 018: -0.3294, 003: -1.4190"
9,0.44128061808913527,250,4.412806013754475,"005: -1.4049, 038: -1.6429, 013: -0.9766, 002: -0.7498, 032: -0.2423, 035: -1.0483, 039: -0.2917, 010: -0.8099, 024: -1.8032, 023: -1.0944, 019: -1.2280, 009: -1.0595, 033: -1.4814, 036: -1.1389, 031: -0.9726, 034: -0.4599, 020: -0.9706, 004: -1.2968, 001: -1.1101, 037: -1.2632, 008: -2.3352, 030: -0.4695, 029: -1.0031, 027: -0.9858, 006: -1.0751, 025: -0.9755, 000: -0.6314, 028: -0.9799, 016: -0.5684, 011: -1.3538, 014: -1.2792, 015: -1.0737, 007: -0.7962, 026: -0.8308, 021: -0.7894, 017: -0.8259, 022: -1.0690, 012: -0.9159, 018: -1.0626, 003: -0.9821"
