,mem_usage
0,473.04296875
1,473.10546875
2,488.91796875
3,501.97265625
4,524.34765625
5,565.79296875
6,569.4765625
7,642.08203125
8,771.39453125
9,890.8515625
10,904.2890625
11,943.9921875
12,987.734375
13,993.28125
14,996.140625
15,1018.17578125
16,1023.65625
17,1029.44140625
18,1032.203125
19,1035.46875
20,1039.58203125
21,1041.08984375
22,1043.359375
23,1049.25390625
24,1050.9375
25,1053.69921875
26,1055.26953125
27,1056.53515625
28,1057.359375
29,1059.11328125
30,1061.78125
31,1062.55078125
32,1063.6796875
33,1065.74609375
34,1066.51171875
35,1067.85546875
36,1069.3984375
37,1070.55859375
38,1072.06640625
39,1073.49609375
40,1074.640625
41,1075.88671875
42,1077.35546875
43,1078.75
44,1080.203125
45,1081.53515625
46,1082.890625
47,1084.29296875
48,1085.5078125
49,1086.25
50,1087.24609375
51,1088.49609375
52,1089.7265625
53,1091.33203125
54,1092.53515625
55,1094.0625
56,1095.28515625
57,1096.7734375
58,1098.08203125
59,1099.57421875
60,1100.85546875
61,1102.06640625
62,1105.3125
63,1107.5625
64,1110.62109375
65,1116.125
66,1118.796875
67,1121.93359375
68,1122.96484375
69,1124.1953125
70,1126.703125
71,1129.38671875
72,1130.67578125
73,1133.2890625
74,1136.265625
75,1137.0859375
76,1137.98046875
77,1139.3125
78,1140.42578125
79,1142.44921875
80,1144.38671875
81,1145.36328125
82,1146.6171875
83,1147.64453125
84,1149.60546875
85,1152.23046875
86,1153.19140625
87,1154.67578125
88,1155.48828125
89,1157.5234375
90,1159.02734375
91,1160.12109375
92,1161.3984375
93,1163.2109375
94,1164.39453125
95,1165.54296875
96,1166.8125
97,1167.98828125
98,1169.49609375
99,1170.140625
100,1171.59375
101,1172.7890625
102,1173.7890625
103,1174.984375
104,1176.2421875
105,1177.21875
106,1178.46875
107,1179.7109375
108,1181.21875
109,1182.64453125
110,1183.890625
111,1185.36328125
112,1186.61328125
113,1188.11328125
114,1189.40234375
115,1190.8046875
116,1191.81640625
117,1193.2890625
118,1194.57421875
119,1195.78515625
120,1197.015625
121,1198.71484375
122,1201.98046875
123,1204.48828125
