Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
├────────────────────┼────────────────────┼────────────────────┼────────────────────┼────────────────────┤
│             0/1000 │               0.36 │               1421 │               3.59 │       000: 33.9802 │
│             1/1000 │               0.28 │                128 │               2.78 │        000: 1.7895 │
│             2/1000 │               0.28 │                128 │               2.78 │        000: 2.6132 │
│             3/1000 │               0.28 │                217 │               2.80 │        000: 0.3222 │
│             4/1000 │               0.28 │                340 │               2.78 │        000: 7.3847 │
│             5/1000 │               0.28 │                258 │               2.78 │        000: 5.2208 │
│             6/1000 │               0.31 │                 27 │               3.14 │       000: -1.6423 │
│             7/1000 │               0.28 │                122 │               2.76 │       000: -5.1652 │
│             8/1000 │               0.28 │                200 │               2.80 │        000: 3.9688 │
│             9/1000 │               0.28 │                 99 │               2.78 │       000: -1.8988 │
│            10/1000 │               0.28 │                250 │               2.79 │        000: 4.3436 │
│            11/1000 │               0.29 │                 16 │               2.86 │       000: -0.5651 │
│            12/1000 │               0.28 │                238 │               2.76 │        000: 5.8735 │
│            13/1000 │               0.28 │                 43 │               2.81 │       000: -4.0115 │
│            14/1000 │               0.32 │                 28 │               3.18 │       000: -1.7632 │
│            15/1000 │               0.28 │                 27 │               2.81 │       000: -1.6387 │
│            16/1000 │               0.28 │                115 │               2.84 │        000: 0.5234 │
│            17/1000 │               0.28 │                195 │               2.75 │        000: 4.4868 │
│            18/1000 │               0.28 │                 82 │               2.81 │        000: 1.4279 │
│            19/1000 │               0.28 │                 69 │               2.81 │        000: 0.9425 │
│            20/1000 │               0.28 │                152 │               2.77 │        000: 3.1649 │
│            21/1000 │               0.28 │                118 │               2.81 │       000: -4.5677 │
│            22/1000 │               0.28 │                118 │               2.81 │        000: 1.7292 │
│            23/1000 │               0.28 │                240 │               2.77 │       000: -2.9730 │
│            24/1000 │               0.28 │                139 │               2.77 │      000: -12.4553 │
│            25/1000 │               0.28 │                289 │               2.77 │        000: 7.2963 │
│            26/1000 │               0.30 │                 51 │               2.95 │       000: -3.0420 │
│            27/1000 │               0.28 │                 78 │               2.83 │        000: 1.0264 │
│            28/1000 │               0.28 │                129 │               2.76 │        000: 2.5133 │
│            29/1000 │               0.29 │                 29 │               2.87 │       000: -0.1723 │
│            30/1000 │               0.28 │                329 │               2.76 │        000: 8.7367 │
│            31/1000 │               0.28 │                244 │               2.76 │        000: 4.3791 │
│            32/1000 │               0.28 │                 69 │               2.85 │       000: -7.1851 │
│            33/1000 │               0.28 │                109 │               2.78 │        000: 1.2703 │
│            34/1000 │               0.28 │                 76 │               2.76 │        000: 1.1851 │
