,mem_usage,step,replay_usage
0,100,5418262528,0
1,200,5420933120,0
2,300,5420539904,0
3,400,5422252032,0
4,500,5414543360,0
5,600,5415399424,0
6,700,5415923712,0
7,800,5416448000,0
8,900,5417234432,0
9,1000,5418283008,0
10,1100,5453324288,0
11,1200,5454499840,0
12,1300,5453647872,0
13,1400,5466333184,0
14,1500,5466796032,0
15,1600,5467058176,0
16,1700,5467320320,0
17,1800,5468106752,0
18,1900,5475119104,0
19,2000,5475905536,0
20,2100,5476429824,0
21,2200,5478002688,0
22,2300,5478920192,0
23,2400,5479985152,0
24,2500,5481345024,0
25,2600,5480873984,0
26,2700,5481660416,0
27,2800,5482196992,0
28,2900,5482446848,0
29,3000,5482971136,0
30,3100,5483233280,0
31,3200,5483495424,0
32,3300,5484019712,0
33,3400,5483548672,0
34,3500,5483548672,0
35,3600,5483548672,0
36,3700,5483749376,0
37,3800,5483749376,0
38,3900,5484011520,0
39,4000,5484470272,0
40,4100,5485006848,0
41,4200,5485785088,0
42,4300,5486571520,0
43,4400,5499002880,0
44,4500,5500018688,0
45,4600,5500739584,0
46,4700,5501464576,0
47,4800,5502115840,0
48,4900,5502980096,0
49,5000,5577007104,0
