episode,sim/wall,total steps,steps/sec,score
0,0.197341091771525,137,1.9734108702743836,"014: 4.1467, 006: 3.5261, 024: 4.0205, 022: 1.5012, 018: 4.0521, 002: 1.2038, 020: 3.8599, 009: 0.5563, 007: -0.1474, 025: -0.0771, 004: 4.0644, 015: -4.4492, 027: -11.9867, 013: -16.0769, 026: 4.0179, 017: -1.6430, 003: 0.0677, 016: 0.5515, 019: 4.0568, 021: 4.0811, 023: 3.3020, 005: -4.2515, 010: 3.9971, 012: 4.1282, 008: -1.2136, 028: 4.0127, 011: 3.9865, 000: 3.8071, 029: 4.2048, 001: 4.1273"
1,0.2129509743978149,170,2.1295097058187364,"014: 4.8890, 006: -11.6231, 024: 0.0819, 022: -10.8325, 018: -1.5284, 002: 4.2380, 000: 4.7380, 009: 5.0500, 020: -0.2368, 007: 4.9736, 025: -2.6167, 004: 1.2046, 027: 4.3392, 015: 4.5021, 013: 4.5383, 026: 4.8214, 017: 4.8031, 016: 4.8028, 023: 5.1705, 021: 5.0137, 019: 4.7501, 012: 4.7722, 005: -0.0908, 010: 0.6250, 008: 4.9024, 028: 0.0647, 011: 3.5746, 003: 1.2444, 029: 4.9002, 001: -0.8462"
2,0.21648770692483432,189,2.164877039687639,"014: 2.8740, 006: -0.4753, 024: 5.4997, 022: 5.6013, 018: 5.5578, 002: 5.5371, 020: 5.3308, 009: 0.8388, 007: -0.4892, 025: 5.6816, 004: 5.5277, 015: 4.7980, 027: 0.5736, 013: 5.4783, 026: -1.7828, 017: 5.4799, 003: -5.0466, 016: 5.3549, 019: 5.5088, 021: -0.5182, 023: 0.6325, 005: 5.4199, 010: 5.5432, 012: 5.4151, 008: -2.3854, 028: 2.4786, 011: 5.5357, 000: 5.3960, 029: 0.8572, 001: 0.6305"
3,0.17010737297194783,194,1.7010737048261666,"014: 0.5341, 006: -5.6074, 024: 5.1566, 022: 5.7733, 018: 2.3360, 002: 5.6562, 000: 5.4697, 009: -0.8480, 020: 4.9124, 007: 5.6686, 025: 5.7290, 004: -2.8692, 027: 5.3581, 015: 5.4588, 013: -5.5140, 026: -11.2492, 017: -0.7363, 016: 5.6799, 023: 5.4581, 021: 5.5961, 019: 5.7293, 012: 0.5686, 005: 3.4173, 010: -3.9162, 008: -10.1231, 028: 5.6607, 011: 4.0503, 003: 5.7888, 029: 5.7601, 001: -5.1344"
4,0.140001275881485,215,1.400012739253081,"014: -0.8212, 006: 1.4512, 024: 3.1636, 022: 5.8967, 018: 6.2404, 002: 3.4228, 020: 6.4503, 009: 6.2199, 007: 6.0612, 025: 6.4669, 004: 1.1827, 015: 5.8454, 027: 6.2662, 013: 2.1109, 026: -0.8771, 017: 6.4853, 003: 3.3150, 016: -1.0822, 019: 6.3358, 021: -13.1604, 023: 6.2809, 005: -1.6432, 010: 6.2202, 012: 0.5095, 008: 6.3016, 028: 6.0779, 011: 6.2709, 000: 6.2745, 029: -6.9718, 001: 5.7016"
5,0.12880653927317548,185,1.288065379902677,"014: 5.3760, 006: 5.6256, 024: 3.6086, 022: 5.3642, 018: -3.0904, 002: 5.5191, 000: 0.1902, 009: 5.5366, 020: 5.4160, 007: 3.2489, 025: -2.0397, 004: -2.1177, 027: 3.1774, 015: 2.1560, 013: 1.3797, 026: -16.2116, 017: 5.4775, 016: -0.8237, 023: -0.8426, 021: 5.2915, 019: 0.7764, 012: 5.6313, 005: 4.9566, 010: 5.3401, 008: 3.2612, 028: 4.8182, 011: 3.2011, 003: 5.5165, 029: 5.0856, 001: 5.2785"
6,0.13408850010238085,165,1.3408849828378058,"014: -3.0268, 006: 4.5842, 024: 3.2693, 022: -1.4214, 018: 4.7810, 002: 4.6074, 020: -4.4779, 009: 4.2486, 007: 4.8015, 025: 2.8040, 004: 4.9650, 015: 1.6765, 027: 4.9075, 013: -0.6332, 026: 4.9670, 017: 2.0714, 003: -0.8391, 016: 4.9025, 019: -7.2644, 021: 4.9081, 023: 0.8889, 005: 4.7587, 010: 4.8510, 012: 4.7973, 008: 4.8361, 028: -0.3409, 011: 4.8250, 000: -21.3614, 029: 4.5420, 001: -2.6934"
7,0.12725868005268615,193,1.2725867865227471,"014: 5.6817, 006: 5.7544, 024: 4.8358, 022: 5.6476, 018: 0.7035, 002: 5.6147, 000: 2.3527, 009: 4.9672, 020: 3.4848, 007: 5.5369, 025: 5.2855, 004: 5.8066, 027: 0.6427, 015: -6.8752, 013: 2.3397, 026: -5.4132, 017: 3.5091, 016: -0.2196, 023: 4.8496, 021: 0.7118, 019: 2.8034, 012: 5.7771, 005: 5.6167, 010: 3.7720, 008: 3.1214, 028: 5.1496, 011: 5.5637, 003: -68.6555, 029: 2.9219, 001: -0.7890"
8,0.13050998029954763,147,1.3050997781325233,"014: 4.3700, 006: -1.0783, 024: 4.3623, 022: 4.1813, 018: 0.9723, 002: 4.4317, 020: 0.2395, 009: -0.9713, 007: -1.6873, 025: -3.1025, 004: 4.3937, 015: 4.3361, 027: 2.4110, 013: 4.3983, 026: 4.3633, 017: 4.2841, 003: 4.4123, 016: -0.7767, 019: 0.5893, 021: 4.2242, 023: -0.9983, 005: 4.4122, 010: 1.7209, 012: 0.5917, 008: 3.8990, 028: 0.2153, 011: 4.4694, 000: 4.2615, 029: 4.2483, 001: 3.8649"
MEAN,0.16195023574171077,177.22222222222223,1.619502331917307,n/a
