episode,sim/wall,total steps,steps/sec,score
0,0.5927910232730287,232,5.927909979944081,"003: 6.6968, 007: -8.2156, 000: 6.6320, 009: 2.9121, 006: 6.4361, 002: 0.8541, 001: 6.7814, 004: 6.8749, 005: -0.8421, 008: -1.9778"
1,0.6850779113289679,419,6.850778926348906,"003: 11.8572, 007: 0.3961, 000: 11.9850, 009: 11.4525, 006: 3.2711, 002: -1.6423, 001: -0.8169, 004: 11.7715, 005: 11.7193, 008: 3.8339"
2,0.6273576233491046,169,6.273575789296003,"003: 5.0404, 007: -1.7770, 000: -0.8020, 009: -20.0842, 006: 4.6279, 002: 1.8318, 001: 4.4765, 004: 2.7153, 005: 4.7123, 008: 4.9944"
3,0.6473513900219935,101,6.473513207756437,"003: -0.6681, 007: -0.8516, 000: -0.8454, 009: 2.9341, 006: 2.9370, 002: 1.2806, 001: 2.1941, 004: 0.4741, 005: 2.9704, 008: 2.9834"
4,0.5427381445186344,270,5.427381263109361,"003: -10.7443, 007: -25.5056, 000: 7.8977, 009: 7.7168, 006: -8.3556, 002: 7.2161, 001: -2.3161, 004: 7.8456, 005: 5.9032, 008: -2.5790"
5,0.4274194342392941,146,4.274194103729591,"003: -3.9850, 007: -21.0071, 000: 4.3100, 009: 4.0614, 006: -2.6837, 002: 4.0190, 001: 4.2415, 004: -1.0724, 005: -15.8884, 008: -5.6095"
6,0.3934089262981557,246,3.93408915798104,"003: 7.1296, 007: 0.5757, 000: 6.6437, 009: 7.0827, 006: -0.0353, 002: 7.0570, 001: 2.2290, 004: 3.9343, 005: -3.9938, 008: 7.1915"
7,0.33593760367961684,176,3.359375914493864,"003: 5.0688, 007: 5.0763, 000: 4.7717, 009: 5.1958, 006: -0.5862, 002: -2.5560, 001: 5.1577, 004: 3.9907, 005: 0.8193, 008: -1.7902"
8,0.3841452629808817,230,3.841452476839895,"003: -1.4705, 007: -4.3282, 000: 5.9450, 009: 6.6487, 006: 6.8710, 002: -0.5617, 001: 6.5838, 004: -2.0898, 005: -7.4979, 008: 6.4165"
9,0.31595666796602284,103,3.159566517905889,"003: 0.0796, 007: 1.0847, 000: 2.8998, 009: 0.4611, 006: 2.5182, 002: 2.9696, 001: 2.9848, 004: -0.8499, 005: -0.3860, 008: -17.7408"
10,0.3054156199629957,326,3.0541561518766978,"003: -6.7706, 007: 9.6101, 000: 9.5787, 009: 3.1353, 006: 2.1373, 002: 7.9306, 001: 9.6150, 004: 9.8027, 005: -11.1444, 008: 9.4971"
11,0.30486021470804164,68,3.048601853805342,"003: 1.9513, 007: 2.0287, 000: 0.4451, 009: 1.9542, 006: 2.0684, 002: 1.9509, 001: -0.0606, 004: 0.0561, 005: -14.1364, 008: -3.7601"
12,0.32056395899337287,148,3.205639474054448,"003: 4.3597, 007: 1.3454, 000: 0.6392, 009: 4.0256, 006: -1.1292, 002: 4.3975, 001: 2.9108, 004: 4.3576, 005: 4.4363, 008: -0.7920"
13,0.3471024840745197,90,3.4710246492471915,"003: 2.6613, 007: -0.9733, 000: 2.0181, 009: -2.0410, 006: -1.0100, 002: 2.6023, 001: 2.7412, 004: 0.0771, 005: 2.5498, 008: -0.6387"
14,0.30268672605993996,258,3.0268672013334603,"003: 4.7296, 007: -6.8117, 000: 4.1437, 009: 7.5212, 006: 7.3544, 002: 3.0865, 001: 0.0791, 004: 7.7717, 005: 7.5960, 008: 7.2360"
15,0.29528886826989054,205,2.9528886117119724,"003: 3.2138, 007: 1.9657, 000: 3.8500, 009: 3.1520, 006: 5.7053, 002: 5.9446, 001: 6.1804, 004: 6.1030, 005: 0.0194, 008: 0.8173"
16,0.32146671877634314,115,3.214666994941347,"003: 3.0900, 007: -0.7122, 000: 2.2381, 009: 1.7931, 006: 3.0991, 002: 3.5613, 001: -0.7207, 004: 3.4154, 005: 1.9666, 008: -6.0534"
17,0.3465994346986444,93,3.4659941314052563,"003: 2.7307, 007: -0.8467, 000: 1.1888, 009: 2.3457, 006: 2.8161, 002: -0.3503, 001: 1.3602, 004: -23.6609, 005: -0.3299, 008: 2.8306"
18,0.3359030672461535,97,3.3590304783307925,"003: 2.8029, 007: -4.4638, 000: 0.9080, 009: -1.4333, 006: -3.5764, 002: 2.6698, 001: -0.5055, 004: 2.7677, 005: 2.7963, 008: 2.9743"
19,0.35175413547423195,76,3.517541121849473,"003: 0.3556, 007: 2.2852, 000: -1.2805, 009: 2.2890, 006: -1.6476, 002: -3.5411, 001: 2.0452, 004: -0.7842, 005: 2.1663, 008: 2.2254"
20,0.3056364193153513,235,3.0563641268127486,"003: 6.8899, 007: 2.9254, 000: 2.6144, 009: 2.2168, 006: 4.5750, 002: 0.0297, 001: 5.6505, 004: 7.0426, 005: 7.0035, 008: 6.4420"
21,0.2732571253412141,72,2.7325711050572683,"003: 0.0920, 007: 0.6062, 000: 0.1299, 009: 2.1679, 006: 2.0985, 002: 0.4664, 001: 0.2246, 004: 2.2488, 005: 1.8811, 008: 2.0430"
22,0.3206587036930878,126,3.206586920194329,"003: -0.7193, 007: -2.0551, 000: 2.3861, 009: 0.1770, 006: 3.4135, 002: 3.8817, 001: 3.2745, 004: -1.1786, 005: 3.5323, 008: 3.6565"
23,0.29368592143880246,127,2.9368591010434715,"003: 3.3149, 007: 0.3122, 000: 3.8980, 009: 3.7976, 006: 3.8294, 002: -5.9648, 001: -0.0123, 004: 0.8205, 005: 1.7027, 008: 3.5667"
24,0.3075163721496202,135,3.075163621290127,"003: 3.1404, 007: -0.5853, 000: 4.0987, 009: -0.0414, 006: 2.2378, 002: -6.3834, 001: 3.8275, 004: -3.0836, 005: 3.9050, 008: -0.1853"
25,0.3062372132924484,99,3.062371907074119,"003: 2.9263, 007: 1.2909, 000: -2.6370, 009: 2.8692, 006: -6.6142, 002: 2.9751, 001: 3.0241, 004: -4.6088, 005: -4.7499, 008: 2.8683"
26,0.3590673998735565,98,3.5906737791701224,"003: 2.6248, 007: 0.1588, 000: -0.6233, 009: 2.3501, 006: 1.8363, 002: -0.9093, 001: 2.8667, 004: 2.4026, 005: -2.5370, 008: 1.3806"
